 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
PC_14 -3.3017926375034536e-05 6.64598402875962e-06 -7.999576147509632e-06 -7.439859028613875e-05 3.839068658025464e-06 2.8168980295725554e-07 -1.9047751372824395e-09 -6.321955892007185e-08 3.2122151033613566e-10 0.005989815114190102 -0.011225781657982454 -0.0005663133155533737 0.0005594941366788528 0.00751971818600739 0.007558862035134377 -0.002983785422809656 -0.00022323585495923455 0.01262204467380126 -0.00029062285591272 0.01737166789210094 0.430208710136241 -0.0018126525031061025 -0.00048091787458020316 0.00682397262757725 -0.001610259705563064 -0.008684189500256545 -0.002151084676298011 -0.02931756636523589 0.009547676284359914 1.1669687028008505e-05 -4.65936296047572e-05 -2.7832866837577775e-05
PC_15 -5.267282704447341e-05 -5.4528428671779475e-06 -7.586266266600521e-06 -7.402657728149347e-05 5.332050837903839e-06 -2.5879501298865064e-08 5.595543698838267e-10 -9.144151026059335e-08 4.666819334309157e-10 0.0035549767142499895 -0.006632526113904138 -0.009528980039525743 -0.015487103675569573 -0.022323807900685402 0.021349560865078603 -0.0025647707841861267 0.012768784389504273 0.01960664065057325 -0.012615411008492462 -0.0031511353697679053 -0.001812652503106109 0.501310115423696 -0.012248579712727439 0.004483902909208526 0.008332935546225835 -0.001398106369735354 0.002657927992974766 0.002009897491757725 -0.015254595861180553 6.377269376719992e-06 3.459369328392698e-05 3.2742258266212174e-05
PC_16 2.092156079205498e-06 -2.8611830735379643e-06 -2.0533644104689487e-05 8.381103136255668e-05 -1.49576581528662e-06 4.4431805965165913e-07 -3.3322446729435292e-09 -5.95451147778591e-08 8.822858588722663e-10 -0.0022557801910462576 0.008522953222872026 0.00807982319923912 0.008870170852932879 -0.015179201805752272 -0.012944065569176023 -0.013377449389245248 0.002595984120206391 -0.005188598192977919 0.0063254573083957625 -0.008372572659619515 -0.00048091787458019383 -0.01224857971272707 0.5146286596258806 0.010320285848471951 -0.0009426629421803417 0.011898187677779119 0.012019359736531522 0.015294852269788677 0.008832877654373414 9.43569864269862e-06 5.0336532583007806e-05 4.700575575362237e-05
PC_17 -4.700116322657109e-05 9.035215710291767e-06 1.1840562287141678e-05 -2.8898158992564716e-05 5.633073017914698e-06 4.2796335992394064e-08 -1.0767616748953305e-09 -2.0616531383339356e-07 1.7682513953704802e-09 -0.011447392725432166 0.006322269225842978 -0.016389202228554427 0.016235178305061125 0.01831882400653473 0.007643484871488192 -0.00688516314597572 -0.0038052365297901263 0.012035030440819517 0.020496152496170168 0.020058455109338853 0.006823972627577243 0.0044839029092085024 0.010320285848471942 0.5583200625124061 -0.01671022564792934 -0.013325271753167427 -0.019477815540080722 -0.010633315202005927 -0.0369728343115986 1.019726159430703e-06 -3.313975039989882e-05 -7.68468984721265e-06
PC_18 -1.307727464815212e-05 3.3570364165243547e-06 1.3306732665610697e-05 0.0003965084106780986 -2.2105341547392652e-05 -7.287943601289553e-08 -3.574148796637629e-10 3.915372778974525e-07 -2.2505678193619933e-09 0.0003999018735708426 -0.003833604687662739 0.005541379613135554 -0.003510733518545089 -0.007890543763067899 0.015343160113078336 -0.007046353786299032 0.011899915083957838 -0.01252265034549797 0.013870559411771633 0.013837182053722056 -0.0016102597055631246 0.008332935546225873 -0.0009426629421801552 -0.016710225647929424 0.5383658536180448 0.03933499043888482 -0.011193463426678854 -0.010815290666974797 -0.001029076881471709 -1.232123250578129e-05 -2.448571859164581e-05 4.916772162575003e-07
PC_19 6.380960648919384e-06 -4.7437154009854937e-08 -9.903481048761255e-06 0.00028160175977503437 -2.069787430527044e-05 1.964673205053769e-07 -1.2714232860456047e-09 4.1839145339296977e-07 -2.5531790443166932e-09 -0.0011199446344129487 0.002865172507820221 0.0033791468987249703 -0.0004518594468065258 -0.0070251556285092845 0.002828773081598178 -0.0009555657391009632 0.0035849420984392618 -0.007396651613161102 0.009701787656284015 0.004582795630569902 -0.008684189500256649 -0.0013981063697354453 0.011898187677779058 -0.013325271753167528 0.039334990438884734 0.5198781242477575 -0.002218305544913489 0.013287427193475159 0.01386925237706955 3.3519036448454215e-05 6.531819103262593e-06 -3.2542642359138447e-06
PC_20 -4.744313279024644e-05 -2.0815899683500564e-06 -3.191541608016765e-05 -0.00031752818592070697 2.3895492426776534e-05 5.640983158535895e-07 -3.3388564473263888e-09 -4.919673848389405e-07 3.0378887522923236e-09 0.003970256004816602 -0.004496336452522424 -0.0016427030712802453 -0.007051664973289507 -0.0013340238931463745 -0.0014526303409724778 -0.00029511234158145604 -0.003918330839448348 -0.00027260962365397513 0.010306021114953977 -0.020948314904543644 -0.0021510846762979397 0.00265792799297494 0.012019359736531449 -0.019477815540080597 -0.011193463426678863 -0.002218305544913501 0.5679366072508542 0.023602702305902515 -0.0021839214627552535 2.589454754876438e-05 1.2991588011957639e-05 2.029646307136484e-05
PC_21 -6.032643826101661e-05 3.7752423571588675e-06 -1.8794808807573437e-05 -7.127042952957052e-05 6.535343771242696e-06 4.4234198770743407e-07 -2.7605713469015536e-09 -1.4964513393088941e-07 8.634679555630949e-10 -0.0010066657220014913 -0.000581020481305426 -0.0021057246755039525 -0.002175739772293909 0.007454658625468142 0.0016370851915454444 -0.008131708949982842 -0.002124880621208614 -0.0020519738075831643 0.012515474542667262 -0.014895864546818 -0.02931756636523589 0.0020098974917576984 0.01529485226978867 -0.010633315202005927 -0.010815290666974705 0.013287427193475213 0.0236027023059024 0.6141496795827871 0.003910087449773474 -1.891483649153435e-06 3.187922394101836e-05 -2.2012187616355703e-06
PC_22 9.073070192035609e-05 -1.2508485376540878e-05 -9.31342096035704e-06 -0.00032610622992455894 1.6902281589986692e-05 -2.47065383956158e-07 2.99696437115314e-09 -2.425691490584885e-07 1.0383584111174834e-09 0.0059037901396165925 0.005276793216036959 0.009941670308658002 -0.0065559014524667145 -0.009627484559444897 -0.010088986093815198 0.014483668049281083 -0.009994501333895307 0.024770936338585327 0.005112664098292432 -0.007588146098178187 0.00954767628435994 -0.015254595861180645 0.008832877654373458 -0.036972834311598535 -0.001029076881471738 0.01386925237706942 -0.002183921462755248 0.0039100874497735305 0.5948678917203919 2.156796089525242e-05 7.947509251122404e-05 2.8873891306217505e-05
proband -1.3424154259205723e-06 -2.375779147279807e-08 2.028907145369413e-09 1.9432212301254316e-06 -6.42714352740956e-08 8.06769284299759e-10 -1.1166054311648347e-11 6.074977471198758e-10 -1.3151766578759026e-13 -5.9234376004432235e-06 1.0080719235823816e-06 1.1644563372288917e-06 6.58537780795008e-06 -3.5266652199953304e-06 -1.926429715377795e-06 -9.523547242606536e-06 -9.850433937709242e-06 -6.883607839175557e-06 4.341727072006121e-06 -3.539660182738368e-06 1.1669687028006183e-05 6.377269376673735e-06 9.435698642679953e-06 1.019726159426861e-06 -1.2321232505775274e-05 3.35190364485332e-05 2.589454754876236e-05 -1.891483649153545e-06 2.1567960895250994e-05 2.051525332123127e-05 -1.3187090086110083e-05 -1.2105446343708162e-05
paternal 1.278578796988039e-06 1.5054859125347595e-08 9.538742979523443e-08 1.3668112870233798e-06 -3.386533295814771e-08 -9.395459896855502e-10 2.0324732349894244e-12 -4.4729755809735164e-11 2.959676651985841e-12 1.3619943677701018e-05 4.1585231388683336e-05 -1.8730546883027804e-05 -5.545804984551079e-07 -2.3120677358923304e-05 -6.342484238366838e-06 1.601425243108531e-05 -9.887440791033767e-06 -3.763501879084849e-05 -2.3936806834356012e-05 -5.103911503381844e-05 -4.6593629604756405e-05 3.4593693283899695e-05 5.0336532583028006e-05 -3.313975039989868e-05 -2.448571859164657e-05 6.531819103238688e-06 1.299158801196137e-05 3.1879223941019216e-05 7.947509251122593e-05 -1.3187090086110058e-05 3.7224435818173394e-05 -6.404834270794079e-06
maternal 1.8326098267694294e-06 3.270859070908248e-08 5.862223331823546e-09 -3.7782994083814014e-06 2.4454467814421807e-07 4.1892246337839136e-10 -5.605339932278058e-12 -4.697370644792835e-09 2.7942863831729832e-11 1.544613831046533e-05 3.1102541693937686e-05 -1.424433121103482e-05 -2.5489360052828323e-06 -3.677967023456914e-05 -2.747118428007783e-05 5.340292765389439e-06 -3.890058588060569e-05 -2.6024282307277226e-05 -2.2762538054896637e-05 -2.8990234304049024e-05 -2.7832866837574872e-05 3.2742258266215454e-05 4.700575575358215e-05 -7.684689847211569e-06 4.916772162546277e-07 -3.2542642359277716e-06 2.0296463071363878e-05 -2.201218761635821e-06 2.8873891306217633e-05 -1.2105446343708184e-05 -6.404834270794073e-06 3.503445223058855e-05
