 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_14 -0.0021734036981024833 9.299164159713378e-05 -0.0005078416619407062 -0.00774591036867358 0.00042117258221981374 1.3963882827059124e-05 -1.1231480872710378e-07 -6.421357789098375e-06 2.3081222289913055e-08 0.008740388939466902 -0.07651716524679888 -0.07326798299353955 0.2466726278642376 0.025681921277422717 0.061628922924332946 0.028968370539843545 -0.06900972536535148 0.21447533925831674 0.12479448824966304 0.5932537491283799 3.7081306964892544 0.1345815423337269 -0.3141181531879299 0.16992174408834265 0.09374190185095337 -0.013376109282939475 0.06797459088203538 -0.39762441380371244 0.229154169476835 0.00013205909150901496 0.0003052268333299291 0.00019525671795680825 -0.001679733110390581 0.00030246584438923613 -0.0014377281235704198 0.0007133137454698788
PC_15 -0.0009549465397403683 -8.891851136940554e-05 8.186272282230424e-07 -0.0041733457779422065 0.00029606381862589244 -2.9595755063029675e-06 3.062098469541982e-08 -4.723479095990179e-06 1.2203586739740222e-08 0.08265745637424873 -0.0773292066667608 -0.05902622828558864 -0.23067532102554164 -0.21333986583125142 0.1774890499625298 -0.007773153824279453 0.11487910586406985 0.08777278391982708 -0.07492051205964599 -0.15647964639648368 0.13458154233372718 3.854311074884978 0.004675006494734649 0.0699152954741976 0.14485884587775386 -0.06363927209978393 0.2862958314958507 -0.1263512565400873 -0.4059079094046142 -0.00013956161318801912 0.001797154858646662 -0.00027334493921813346 -0.0009623738159280498 -0.001458120020652281 0.0004836046608790231 0.0007962212303385935
PC_16 -0.003125996187410325 -2.3209346444066906e-05 1.863014294577388e-05 -0.0011849886057673988 0.0002030918496132718 2.5540267401440185e-06 -6.632001032586562e-08 -7.593686496465959e-06 8.165095266330689e-08 0.01407769587024199 0.08644225384380136 0.06247198969096529 0.09795161373785952 -0.14094358394319206 -0.12180227620430875 -0.13214530120406354 0.09019415157826424 -0.009687369088918714 0.22181555413831638 -0.07441895183161168 -0.31411815318792935 0.004675006494732036 4.589760367363364 0.018224006887950953 0.008542223511773332 0.14621573788427322 0.11896541154885167 0.04617831197189138 -0.006279953185977889 -0.0002912636007771368 -0.0003970561360388253 0.000691073053362884 0.0004356583679903305 0.0014399096562201282 -0.00021136262255323668 1.0129700679750089e-05
PC_17 -0.0011012305319686873 8.619116924017183e-05 -0.00038931714349370967 -0.022780979233860563 0.002107837795887214 1.368119063937821e-05 -1.384745961238972e-07 -5.9022034778201815e-05 5.186608483007338e-07 -0.15538236062593935 0.06448330913863763 -0.22733708511440076 0.1949206998935529 0.2724769835979869 0.16873430358346406 0.01471524558259911 0.1466324153734703 0.03846505890515894 0.3527763456631972 0.4220300440190376 0.16992174408833954 0.06991529547419509 0.018224006887948622 5.074710409470886 0.11085669464212393 0.0679504754361548 -0.25781337985866526 -0.2066535013569898 -0.23455940384698504 2.345221342676398e-05 -0.0007286903789214907 -0.0011063749488994204 0.001251997056600814 0.00018443262994397212 -0.0012141816821643783 0.002074797344684743
PC_18 -0.0019044895761097884 7.157792573060366e-05 0.0007821083223867334 0.007444370945440479 -0.0005541729625918655 -1.2431569746714024e-05 4.976084049394281e-08 1.1734752342382329e-05 -7.07626300145782e-08 -0.04287365240137604 -0.05361579542303604 -0.01906030726774395 -0.04172308433854024 0.10217218875815132 0.29252643937457123 -0.18868947924544477 0.26592833185209136 -0.2083447350004048 0.13226533054977854 0.19433889833761117 0.09374190185095296 0.14485884587775183 0.008542223511775183 0.11085669464213319 4.380747434335026 0.14263394918125055 -0.0649081178100016 -0.3080229898878653 0.2532263670438072 -7.692733370427398e-05 8.958341854751181e-05 0.0009395875613945693 -0.0009559109370769769 0.0006438519736051408 -0.0018259399859430943 2.605969702243212e-05
PC_19 -0.0019281015234791203 -3.3937326486138936e-05 -0.0004393875856998521 -0.0028552271957796495 0.0006968476895610837 2.029783750476088e-05 -2.4500756139780017e-07 -3.071726469471018e-05 3.446925486236345e-07 -0.02137066162538288 0.011128139388634486 -0.018221497166856115 -2.7561186409583413e-05 0.0466034427215441 0.0514023167806294 -0.13381075923839422 0.17970768373991114 -0.07426768775080833 0.048658509703643424 0.05662769383205108 -0.01337610928294144 -0.06363927209978482 0.1462157378842716 0.06795047543615103 0.14263394918124933 4.444168431272847 0.006010850318886402 0.13585988501924845 0.23054798422338058 3.799643804770025e-05 -0.0007008078640292982 0.00040200995870429335 0.0006697671889575982 0.00028421306255421773 -0.0014793108264086244 0.0011281070438750593
PC_20 -0.00113273072013881 -5.681765030380548e-05 -0.0008249863246373668 0.004741870603074113 -0.00030527864335355584 1.8369697878057436e-05 -1.3233382277021668e-07 6.82152688007272e-06 -5.542717467499369e-08 0.040939132087775346 -0.04968268436766163 -0.04360687622135541 -0.09424693348102049 -0.17086769125808593 0.13055789370867574 0.07762358504513078 0.0745564012738714 0.028867872108523054 0.11410625217455142 -0.29898762217005426 0.06797459088203543 0.2862958314958494 0.11896541154885136 -0.2578133798586649 -0.06490811780999871 0.00601085031888742 4.953093614337412 0.4140672430732085 -0.08475836074128625 0.00034895709568935786 0.00020039925475778502 -0.00020622487931104707 -0.0012885724235527482 0.0003513675316031521 0.0018966791197777243 -0.0006143038235618583
PC_21 0.005425858845040886 2.3726573811288503e-05 0.0010436085878090294 0.00021832814381904 -0.00016076191713569772 -3.6913150889571946e-05 3.871461417541887e-07 7.910374688025685e-06 -1.0399355504972672e-07 -0.04839717093141817 0.04260683381159804 -0.053870679512411715 0.09790415201072183 0.03716343232881862 0.11130096195578215 -0.18098947917526403 -0.09901754399035234 -0.37329399561132826 0.10951315065971307 -0.09264141842897551 -0.3976244138037105 -0.1263512565400866 0.046178311971891026 -0.20665350135699148 -0.30802298988786614 0.13585988501924598 0.41406724307321036 5.583780075595964 0.28306669183173366 -5.549841738284974e-05 -0.0002253370547753703 -0.00022092244617310573 -0.0001075356634871956 0.0015383120782454936 0.0010900378908149583 -0.0005939673702145618
PC_22 0.0038222068755409517 -0.00015491453137299736 0.001204457893630182 0.007581171982071468 -0.0008156904722845849 -3.610903030936674e-05 3.2945287786161444e-07 2.734037372431658e-05 -2.925328367228993e-07 0.10787931222942367 0.10771509582673923 0.17454963625555028 -0.174762755458976 -0.29989998577499616 -0.1351194216619245 0.2580593473245218 -0.36115573723351635 0.3042933372027275 0.031754700457863994 -0.29409670661860543 0.2291541694768392 -0.4059079094046105 -0.0062799531859769175 -0.23455940384697715 0.25322636704380724 0.2305479842233786 -0.08475836074128691 0.2830666918317362 4.872720170817002 0.0006950336262062612 -0.00027979329165907886 -3.4470898964755507e-06 0.0014108849011777304 -0.0007624876639837115 0.0011129823006019084 -0.001388583294144166
proband -1.685630984011475e-05 1.6576976610665845e-08 -4.549168647608445e-06 3.12275581569739e-05 -1.7508751659606815e-06 1.326206740061327e-07 -1.2238564881414571e-09 3.292008364007789e-08 -1.330682523258437e-10 -7.730775455238594e-05 4.773496037335882e-05 0.00034229029969699186 4.152317478951266e-05 0.0002537433594619076 -0.0003374426460690893 -9.783599169909055e-05 -0.0004236353164207843 0.00036135540938925383 -0.00015627903972359545 -0.00038924822724805644 0.0001320590915091077 -0.00013956161318806005 -0.0002912636007771665 2.3452213426932508e-05 -7.692733370433411e-05 3.799643804769631e-05 0.00034895709568932685 -5.549841738287444e-05 0.0006950336262063196 0.00017700100631117265 -9.107235676903036e-05 -8.570716013686934e-05 6.497940301879262e-06 -2.9078435455767454e-06 -4.1501983404595205e-06 -8.914778532572791e-07
paternal -1.1101700743674517e-05 -6.949665667162139e-07 2.2958333418882515e-06 1.1997445681987732e-05 6.672224817778896e-07 -7.148345306431244e-08 7.644107036094485e-10 -3.6393807123420856e-08 2.933272650588807e-10 -8.186606919463104e-05 -0.00024503700168588286 -0.0007157482545119026 0.00023867247046751718 0.0002922699720460696 0.00015308042357118273 -0.00042497848009197064 0.00030665433359864606 0.00011802062927933553 -0.00028795432591026176 -0.00022769729201878037 0.000305226833329781 0.0017971548586474659 -0.00039705613603754897 -0.0007286903789212465 8.95834185490448e-05 -0.000700807864029202 0.0002003992547578798 -0.00022533705477554588 -0.0002797932916591271 -9.107235676903e-05 0.0006108547446578775 4.502730422549142e-05 -0.00048186727297659025 -0.00038505337553569786 -1.8255350927402664e-05 -8.695418424173125e-06
maternal -2.3613129509768512e-05 -7.850843673390992e-08 -9.741744700040616e-07 2.050696367018228e-05 -4.720694636466068e-06 -2.7005059533148257e-08 7.060499086820655e-10 2.0954681500465117e-07 -2.3972837822766795e-09 -0.00043357257819480677 -7.108757020784834e-05 0.0001560813634345251 -0.001021852917296589 -7.161569050661224e-05 -0.00013192380707874806 -0.000879767911677398 0.00017274370101810248 -0.0005005946544162481 -0.0008512419025656181 0.000601508186831008 0.00019525671795669254 -0.00027334493921780375 0.0006910730533627236 -0.001106374948898924 0.000939587561394243 0.00040200995870428354 -0.00020622487931105764 -0.00022092244617317525 -3.447089896448486e-06 -8.570716013686945e-05 4.502730422549089e-05 0.0005842309373036833 3.493048818625399e-06 -2.0699723252362937e-05 -0.00040591100278499555 -0.00041185127368588306
gpp -2.965269268349495e-06 3.175060363524712e-07 -2.557211367188877e-07 7.868534128876866e-05 -3.079117635746219e-06 8.818753298090499e-08 -1.3130237846383133e-09 2.3623523162725985e-08 1.4617340907383344e-10 -0.00018983637343951973 -0.00014770494519439695 -0.0001821794471206439 -0.0009554856131410094 -9.544282897933592e-06 -0.0017217014901746278 -0.0008334810478530595 0.0015982610449442533 -0.0006450408456918285 -0.00042291724260727864 0.0004592480090496197 -0.0016797331103906765 -0.0009623738159270596 0.00043565836799031173 0.0012519970566008745 -0.0009559109370766639 0.000669767188957746 -0.0012885724235525136 -0.00010753566348746363 0.001410884901178183 6.497940301878446e-06 -0.0004818672729765913 3.493048818623685e-06 0.002096650388834048 -0.0012264778358183706 2.863749506872774e-05 -3.137021745633789e-05
gmp 8.077919452286727e-06 9.947127474209355e-07 -9.257032608233938e-06 -0.00019579124438274517 1.1375966891830014e-05 2.0332817102777902e-07 -1.4897345936875035e-09 -2.2258336660345187e-07 1.4844375671154531e-09 0.00043305762250854524 0.001038025569653002 0.0006531136092222226 5.586983493397499e-05 -0.0011109551978517615 0.001538613605283825 0.0012376757774352684 -0.0014440951405565053 -0.0006754564755925255 0.0011475243918044923 -0.0002713549154812236 0.0003024658443895166 -0.0014581200206538693 0.0014399096562188406 0.00018443262994566597 0.0006438519736045728 0.0002842130625540868 0.00035136753160274246 0.0015383120782458172 -0.0007624876639842994 -2.9078435455766107e-06 -0.000385053375535697 -2.0699723252363696e-05 -0.0012264778358183728 0.0019332345116504551 -6.728301246967909e-08 4.268589500485988e-05
gpm 2.247501920789723e-05 -5.172906516377228e-07 3.954630213142756e-07 2.1769334275018782e-05 2.1725536596395707e-06 8.560812449836743e-08 -1.4888292130781005e-09 -1.8021109110905688e-07 2.4379625321922677e-09 0.0007466105625381985 -0.0002837931623229485 0.0001324074669617245 0.0007486232024977023 0.00014593698207601108 -0.00014397493761527538 0.00027979638765356676 -0.00020457497059960845 0.00022031296071573815 -0.0005889682237345441 -0.0028945468964352307 -0.0014377281235703919 0.00048360466087826346 -0.00021136262255268777 -0.00121418168216416 -0.0018259399859425897 -0.0014793108264084948 0.0018966791197776573 0.0010900378908148779 0.0011129823006018986 -4.150198340459112e-06 -1.8255350927402206e-05 -0.0004059110027849943 2.863749506872712e-05 -6.728301246950178e-08 0.0011237776860491227 -0.00037899219707988115
