 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
PC.PC15 -2.3855769502981777e-06 -1.268924517536031e-08 -2.427971639304301e-07 -8.591953715185079e-07 -6.73141628447941e-07 -1.6471608966358386e-07 1.9243841687432854e-08 -1.483821291181793e-07 6.133009412231768e-08 -1.7378928633047404e-08 1.8303884010771757e-09 2.0405796448233766e-07 4.692975201399894e-08 -4.7602592730079226e-08 -3.511032617674249e-08 -5.0596968792658854e-08 1.515637112897753e-07 1.227751296325539e-07 -3.589352908068069e-08 1.2554709829286444e-07 3.1281672578167503e-06 1.988927737693514e-08 -4.3489359863339534e-08 -1.2999731812812272e-07 1.9872774321507993e-07 1.065828763578883e-07 -2.1602444957406132e-07 -3.0970014363451116e-06 3.4268207914355207e-06 2.7783487463239102e-06
PC.PC16 1.1909632402164554e-06 -3.918067340149662e-08 -2.2548919893282522e-06 1.1618065856665898e-06 4.007329604755696e-06 1.5230554062672786e-06 -7.679944570517559e-08 7.696092441625997e-08 -1.270113945698567e-08 9.859406434768309e-08 -3.972138782508542e-08 -7.329685072474128e-08 -5.872544331234784e-09 7.340458530582729e-08 5.360767844447557e-08 -2.7852995546296288e-08 4.023166515040467e-08 4.4833943243004636e-07 6.951866629047867e-08 -1.3131221484071854e-07 1.988927737693537e-08 3.3824372925518015e-06 -3.436322207987594e-08 -6.579706694232673e-07 -1.3140490269384078e-07 1.2302672370861054e-07 6.963406508223216e-07 3.657017081664635e-06 -3.247901219002153e-06 -5.111768990090325e-06
PC.PC17 1.3850137516597886e-06 1.3807969895271563e-08 1.2502091249644147e-06 -1.0484656879637161e-06 -1.5201979091980797e-06 -6.622650480324228e-07 4.732840652572852e-09 -1.4321727811362606e-08 2.058556772201517e-08 -4.0495205300588305e-08 -5.023936928953426e-08 -1.540675920759578e-07 -1.6722597618386793e-08 -1.0239285935284988e-07 1.806997169500523e-08 7.405677554528922e-08 7.166251804759173e-08 -2.501977805795691e-07 1.0177891404089412e-07 -3.093886294751689e-08 -4.34893598633394e-08 -3.43632220798755e-08 3.4684210462331823e-06 6.731755805154131e-08 -2.1331244688596901e-07 -3.288059722216462e-08 -3.684242896310133e-07 -3.201871762664987e-06 4.325511796543087e-06 3.5512779111274787e-06
PC.PC18 5.721060478161474e-07 3.2089023810676964e-08 -2.2170490758638897e-06 -5.573930977271182e-06 -4.137795783158194e-06 -8.974057524728157e-07 2.6415187323704843e-08 -4.7153346356438144e-08 4.520745688976134e-08 -1.0107376995585568e-07 1.4899406271654398e-07 7.799448024484531e-08 1.3848380805398973e-08 -2.3083706096913245e-07 -7.894301993398544e-08 -2.2235583266618533e-07 -1.589613932137907e-07 7.1125689723845435e-09 -2.624297662170728e-08 1.6165266841250527e-07 -1.299973181281234e-07 -6.579706694232669e-07 6.73175580515406e-08 5.124826684034215e-06 -5.82554443459903e-08 3.410218800050779e-07 -2.253363494225697e-06 -9.801264091044826e-08 -5.432868360459154e-07 3.4759614950723755e-07
PC.PC19 -1.1733926028487833e-06 -2.473961777890925e-08 -6.271676422729959e-07 -1.3824355434339587e-07 -1.1389675561674909e-06 -7.310796309527075e-07 7.196821877416926e-08 -1.3861183806066804e-07 -2.0506555810979632e-08 1.6237230069097332e-07 2.295184057591852e-07 1.28824377649992e-07 -8.374891476374998e-08 -8.351617801639345e-08 2.498577143592558e-07 1.2988757793481069e-07 1.0645410966625549e-07 3.508873058924478e-07 -2.1683963351647516e-07 1.0583785170371295e-07 1.9872774321507988e-07 -1.314049026938409e-07 -2.133124468859686e-07 -5.8255444345989444e-08 4.546648701192922e-06 4.785732600437407e-07 9.62275086843637e-07 -1.6081441945519291e-06 6.976965854860814e-07 2.125771840736017e-06
PC.PC20 1.195921238327735e-06 -2.146155093552129e-08 4.79601638696579e-07 -4.1685540061238653e-07 4.0709134644469e-07 4.909363168226096e-07 -1.2690937682470156e-07 6.772676517726269e-08 -5.535886959509432e-09 1.6065798562157362e-07 3.459046119893164e-08 -1.857542442403775e-07 -6.019525204650038e-08 -1.8280599882167794e-07 -1.5637973273088997e-07 1.0751571555040498e-07 -6.546027309642247e-08 1.3432349657823387e-08 -8.919396077176328e-08 -1.1191338852104174e-07 1.0658287635788752e-07 1.2302672370861276e-07 -3.2880597222165005e-08 3.4102188000507675e-07 4.785732600437388e-07 3.453459228926017e-06 -1.182277409312874e-06 1.341631129478592e-07 -1.1828700868403035e-06 1.3356634852432644e-06
proband -1.5251340257187357e-05 -8.304351009052477e-07 -2.3598129143421745e-06 -2.731096134675487e-05 -1.2557254078209014e-05 -1.761128691553183e-06 -7.834751627822353e-07 8.629709469644777e-07 -1.0024229803595713e-06 -1.425224896531336e-06 -4.3808106737063025e-07 -1.5460176785526143e-06 5.342665235124391e-07 4.3542986864174633e-07 1.2040488698662923e-06 5.399827813518026e-07 1.5892619187226852e-06 8.156270565835796e-07 3.454119962216651e-07 4.5043042688771896e-07 -2.1602444957404902e-07 6.963406508222984e-07 -3.684242896309985e-07 -2.253363494225673e-06 9.622750868436426e-07 -1.1822774093128772e-06 0.0004229640370103782 -0.00021203447238313998 -2.0570141478927384e-05 -1.9929032314390316e-06
maternal -7.955869858088909e-06 -7.847870183862226e-07 -2.8071829455132406e-05 2.639667848501781e-05 5.846845073459198e-05 2.101075024556511e-05 6.25752872220587e-08 -1.3817327845587105e-06 2.2690229612922365e-06 2.7820488331740303e-06 1.96958240415903e-06 3.887611911224553e-06 2.273919727074758e-06 -4.34813194735682e-07 3.679530092072482e-06 -2.567095026298694e-06 2.5667625171968606e-06 2.287112883299831e-06 -3.967855287727056e-06 2.001184499766728e-06 -3.0970014363451395e-06 3.65701708166467e-06 -3.201871762664994e-06 -9.801264091052714e-08 -1.6081441945519298e-06 1.3416311294782875e-07 -0.00021203447238313415 0.0015481725356937147 -0.0012658222925407843 -0.0008416624839593633
gpm 3.0401627098871307e-05 3.0114905127383605e-06 7.594884682142479e-05 1.5786584387049394e-06 -4.937574629907467e-05 -2.1225926975600877e-05 -2.756121038926531e-06 1.005454423541191e-07 -1.2317250286964717e-06 -2.3259895284323812e-07 -2.208677738015792e-06 -8.103316129602947e-06 -9.231139790573048e-07 9.038926943358334e-07 -4.887721666069164e-06 -1.081371296029648e-06 -1.2921711909087238e-06 -3.827705189219327e-06 9.060920856490436e-06 -1.9690061378240003e-06 3.4268207914355813e-06 -3.2479012190022295e-06 4.325511796543122e-06 -5.432868360458612e-07 6.976965854861181e-07 -1.1828700868402605e-06 -2.0570141478932388e-05 -0.0012658222925408 0.0038797224803328615 -0.0014174885347518643
gmm 3.406647753921711e-05 2.054374673377344e-07 -9.743709128925571e-06 -4.095236788808206e-05 -1.8993871375691087e-06 1.0133184493890974e-05 -1.4744987347559804e-06 8.60069568072535e-07 -6.114301311780514e-06 -2.610074600703556e-06 -5.107069966739119e-06 1.1805771944634164e-06 -1.9366339491758746e-06 -2.6320982801804734e-06 -4.540385083914528e-06 2.198254154690918e-06 -1.8703988508547973e-06 -4.0760741880048245e-06 1.6837744638397092e-06 -5.265936949295406e-07 2.778348746323889e-06 -5.111768990090294e-06 3.5512779111274376e-06 3.4759614950730706e-07 2.1257718407359805e-06 1.3356634852432763e-06 -1.992903231442765e-06 -0.0008416624839593441 -0.0014174885347518916 0.003228016824521303
