"PGS","PHENO","GEN_MOD","VAR","BETA","SE"
"ADHD_Demontis","FEV1",2,"paternal",0.0183484365164177,0.0319333550016143
"ADHD_Demontis","FEV1",2,"maternal",0.0215094199586918,0.031020595810472
"ADHD_Demontis","FEV1",3,"proband",-0.0295604964601286,0.0300929643701594
"ADHD_Demontis","FEV1",3,"paternal",-0.018557319409129,0.0441192453914116
"ADHD_Demontis","FEV1",3,"maternal",0.00490922004036454,0.0411194654058296
"ADHD_Demontis","FEV1",3,"gp",0.0453346658647098,0.0400864460343954
"ADHD_Demontis","FEV1",3,"gm",0.0151720709200743,0.0375619868694697
"AFB_Repo","HGT",1,"proband",0.0143505586977042,0.0224265922130153
"AFB_Repo","HGT",2,"proband",-0.0140192493410125,0.0267636991383952
"AFB_Repo","HGT",2,"paternal",0.0332324193888737,0.0322751432066341
"AFB_Repo","HGT",2,"maternal",0.0618592667276271,0.0320790802273007
"AFB_Repo","HGT",3,"proband",-0.0149725009164986,0.0267692509911599
"AFB_Repo","HGT",3,"paternal",0.0725654466206957,0.0466988856233945
"AFB_Repo","HGT",3,"maternal",0.0437870274507561,0.0461541902712857
"AFB_Repo","HGT",3,"gp",-0.0498169439944886,0.0403240504953838
"AFB_Repo","HGT",3,"gm",0.0308551138093265,0.0416412315681885
"AFB_Repo","EA",1,"proband",0.184798338627106,0.0233382224696487
"AFB_Repo","EA",2,"proband",0.110509034646792,0.0299469560198344
"AFB_Repo","EA",2,"paternal",0.0632401123872123,0.0302540528473481
"AFB_Repo","EA",2,"maternal",0.125100626464336,0.030042794035097
"AFB_Repo","EA",3,"proband",0.110769376558876,0.029973331064986
"AFB_Repo","EA",3,"paternal",0.0591317716945132,0.0432479050294372
"AFB_Repo","EA",3,"maternal",0.136413752335635,0.0420097775764459
"AFB_Repo","EA",3,"gp",0.00631839899604672,0.036354176081599
"AFB_Repo","EA",3,"gm",-0.0154120905569453,0.0369945545778716
"AFB_Repo","COG",1,"proband",0.123139857661015,0.0300852651772674
"AFB_Repo","COG",2,"proband",0.0966433190095172,0.0383897500925434
"AFB_Repo","COG",2,"paternal",-0.00409980643049075,0.0380446470340932
"AFB_Repo","COG",2,"maternal",0.0716507077941175,0.0374504847072431
"AFB_Repo","COG",3,"proband",0.0969512521271969,0.0379737235649505
"AFB_Repo","COG",3,"paternal",-0.0378100309109018,0.0543595838761715
"AFB_Repo","COG",3,"maternal",0.00396003735143296,0.0515060561566807
"AFB_Repo","COG",3,"gp",0.0323362409427893,0.047116830786257
"AFB_Repo","COG",3,"gm",0.0807392630435378,0.0459456779945554
"AFB_Repo","AFB",1,"proband",0.136360873225999,0.0390677663980804
"AFB_Repo","AFB",2,"proband",0.0819984835162033,0.0527415476953344
"AFB_Repo","AFB",2,"paternal",0.0389763691085888,0.0481489653864645
"AFB_Repo","AFB",2,"maternal",0.0822177598341897,0.0489105112536292
