 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_14 -6.144437117193483e-05 1.0147906413145614e-05 -1.4216816100148842e-05 -0.0001913984637523853 1.2471234891690118e-05 5.230181534242509e-07 -3.97017045649929e-09 -2.854549139539937e-07 2.0216907540562477e-09 0.00944766865752269 -0.02294150850046508 -0.005415607350566978 0.00840341782171571 -0.0035609316287444678 0.0040220884836808185 -0.010522390203027705 0.004547099688946806 0.023782960599821365 -0.003976460359920716 0.03757819718434751 0.588365594138335 -0.0032752992070524613 -0.005923963418304898 0.005331179051834864 -0.008752330349909037 -0.004198973811302798 -0.0006171089437745202 -0.054387303979266576 0.025019635227901654 1.65443782165881e-05 -7.991801492243517e-06 2.6822578595030924e-05 -1.4391785620499692e-05
PC_15 -0.0001272076375821032 -8.244824537286324e-06 -7.601324799346069e-05 -0.0013392678465007906 7.981455368954955e-05 1.2331398332623988e-06 -6.978447867696121e-09 -1.4494523729862465e-06 8.299602133370968e-09 0.0057907006420249395 -0.007601095676124252 -0.012791310138634526 -0.02969290057297251 -0.0413349211851255 0.034340577253474974 0.0016561752737256597 0.03737311939193565 0.04015447172592557 -0.022861423368901148 -0.0124642061231835 -0.003275299207052284 0.7012463961000187 -0.023671742032004086 0.0012937679645715142 0.02375118768622438 0.0007315109550775719 0.005836103346932318 0.006312021123473273 -0.03336644386872668 -1.484762204319511e-05 -7.208955748901598e-06 -2.567772951342973e-05 -3.7978942800429756e-06
PC_16 6.438753319810752e-06 -2.3795339363719916e-06 -5.3866656153625475e-05 -0.00043830802878589467 3.576008062601565e-05 1.2887105796844327e-06 -9.678597676043767e-09 -8.491310578349642e-07 5.884286514331332e-09 -0.0037667699310201122 0.011979702326060751 0.011969070883471083 0.011822165400416735 -0.02370176982604847 -0.017439329656297783 -0.02269895920245721 -0.003357101827902091 -0.006446435967188366 0.015376177764253585 -0.016671519995795973 -0.005923963418304703 -0.0236717420320039 0.7135406654756656 0.008083851628636497 0.006364493651634761 0.0034124721508151153 0.01080987022617421 0.01377028095771383 0.03133518690053003 -6.105336478284347e-05 -4.140081095950317e-06 -2.5184059405479798e-05 -5.0478669154828993e-05
PC_17 -8.409821220910098e-05 1.4366697446085381e-05 1.553793205969328e-05 -0.0006876211729047424 4.7171751673391234e-05 1.3991082329077612e-07 -2.1637540470289717e-09 -9.754021263660788e-07 6.1431922773327234e-09 -0.018735212198147742 0.005270136353984906 -0.026442648935787103 0.020152996767094793 0.04148295004674918 0.011693776306332511 -0.008088606966137725 -0.011235700265787647 0.007919183387504782 0.03512944360771856 0.03320764320687472 0.005331179051834933 0.001293767964571289 0.00808385162863636 0.7811718339944033 -0.02569019108003129 -0.02278704880806364 -0.02110058824784262 -0.010998091553047892 -0.05254702911653149 -4.297634289465247e-05 -4.556980740073266e-05 7.10211897373689e-05 6.527824381251321e-05
PC_18 2.7987181556201346e-05 7.184952042372333e-06 2.2426784681552125e-05 -0.0004055195872857964 2.1029404616134395e-05 -1.731548028582521e-07 -5.6076932868577624e-11 -3.4031538058243017e-07 1.583447324891973e-09 0.0012696446240749726 -0.003284023614844152 0.006573305106485417 -0.0032108024745485784 -0.006309446501060654 0.02148964971293849 -0.015081567681248213 0.023201661299034563 -0.022662376439020145 0.013523729797088043 0.026332169044030157 -0.008752330349908934 0.023751187686224536 0.00636449365163458 -0.025690191080031167 0.7697560018311441 -0.005669451958194329 -0.012497753309097305 -0.012093435074195488 0.028020280308521623 -0.00010396153682519099 5.2246046521782684e-05 -1.5389213031748764e-05 -9.417999366777967e-05
PC_19 1.2455156206069711e-05 7.175900634401924e-07 -7.966314624584372e-06 0.0005267998470517546 -3.79628525663468e-05 2.1287276632977298e-07 -1.598269996899486e-09 7.941425722504563e-07 -5.102738440136614e-09 0.0003456214241567866 0.003076868949659261 0.003947341528238704 -0.001364157273142457 -0.007628162980859834 0.004220025863722763 -0.0034558391008697887 0.010807992371865183 -0.013552763605498883 0.01630217846905594 0.006651651051311711 -0.0041989738113029145 0.0007315109550774664 0.003412472150814515 -0.022787048808063818 -0.005669451958194223 0.8065765653747548 0.0023273461561645805 0.0047602637299227705 0.008102251820138148 0.00020314013812778518 -3.78494087677961e-06 0.00011225899133272527 -3.9922237078214063e-05
PC_20 -3.191516437653774e-06 -2.342636651784846e-06 -2.141597883405978e-05 -0.00039121292435303134 2.412382572134319e-05 3.326867859082369e-07 -1.486520254640633e-09 -4.033512461694114e-07 1.793377011145331e-09 0.0029347472891544006 -0.001057558392986068 0.0019470875311736711 -0.006283232335363027 0.0100405513909541 -0.010826446666342561 -0.0009479784498695454 -0.014417401772040357 -0.0018107896933606813 0.02157749659252519 -0.03585924723265203 -0.0006171089437744681 0.005836103346932368 0.010809870226174046 -0.021100588247842497 -0.012497753309097307 0.002327346156164549 0.7990831906877225 0.040805492235256834 -0.008551463527509868 3.5141597219913925e-05 1.3856519155354578e-05 -9.063643385604465e-06 4.463241604769534e-05
PC_21 -0.00011744934390155343 4.985222267142554e-06 -1.9832859182805206e-05 0.00014620600682439515 2.3170867097510935e-07 4.5151878827037636e-07 -2.876271186942378e-09 -1.422582525855423e-07 1.1854136063708841e-09 -0.004271304481842544 -0.00938425589967897 -0.012019865811953684 -0.004009715919538077 0.017445336426186994 0.004385656002313983 -0.005822274470562348 0.0073846009379375365 -0.005974415024001835 0.01697564779938703 -0.019069600120630154 -0.054387303979266576 0.006312021123472982 0.013770280957713514 -0.01099809155304808 -0.012093435074195467 0.004760263729923 0.04080549223525674 0.8595788774591897 0.0023107772434962292 -4.557076602107958e-05 -1.7801168020363472e-05 0.00015041793550536587 1.4929010304801468e-06
PC_22 0.00010996263484687356 -2.1662744470620856e-05 -3.733268062596863e-06 8.83391322538473e-05 -1.732078325131113e-05 -7.545534193737524e-07 7.872996134006306e-09 5.728729358320887e-07 -4.798269265511089e-09 0.014085198928579694 0.011429880000569211 0.018255238965326503 -0.015866008350498867 -0.022628483547706024 -0.01564838594510167 0.02516937477986408 -0.017076591324757927 0.04793489475954161 0.0075265481863622105 -0.03434296467122181 0.02501963522790166 -0.033366443868726434 0.03133518690053024 -0.052547029116531384 0.02802028030852175 0.008102251820138014 -0.008551463527509766 0.0023107772434961134 0.8291478461408451 -4.062491577652782e-05 1.6564201224569372e-05 -0.00011637257374147402 -3.53387183434148e-05
proband 1.1868020736073693e-07 -1.1879300096381869e-08 7.618105586599018e-08 3.9395326527794105e-06 -3.152250156505143e-07 -3.0126816684406936e-09 2.619593637405213e-11 7.1838143504909255e-09 -5.0291184726877176e-11 -4.96614260306838e-06 -2.1502934546258568e-08 -4.19401543834638e-06 -4.337611996352576e-06 1.194847431525337e-05 -3.459771985342291e-05 -1.2854423089470111e-05 5.671599941172199e-05 4.442670631413777e-06 4.840016788200871e-05 2.051145950767647e-05 1.6544378216590513e-05 -1.4847622043180237e-05 -6.105336478303283e-05 -4.297634289466321e-05 -0.00010396153682515208 0.0002031401381277925 3.5141597219909934e-05 -4.5570766021084664e-05 -4.0624915776537796e-05 5.1233439797344534e-05 3.0334102956726736e-05 -5.2949536945041703e-05 -5.144915988962975e-05
sibling 1.1996289594190028e-07 -4.9538551337697835e-09 -1.0361190778167092e-07 2.9042845417136075e-06 -1.726150984145178e-07 1.1202436280262768e-09 -1.1506807943374103e-12 3.992944856991844e-09 -2.9205653851156145e-11 1.6799075672066026e-07 -4.94260179037827e-06 -2.8446229262424597e-07 -2.3227641266758583e-06 -2.63803476983948e-06 -3.6096235102765436e-05 -9.821028234855714e-06 3.896519403842649e-05 -8.977367461857643e-06 6.076133279454698e-05 3.2290250031086266e-05 -7.991801492240126e-06 -7.208955748883934e-06 -4.1400810959058154e-06 -4.556980740074124e-05 5.22460465217542e-05 -3.7849408768097364e-06 1.3856519155351317e-05 -1.780116802036801e-05 1.6564201224560902e-05 3.033410295672675e-05 6.1074902605128e-05 -5.93030433062009e-05 -5.783430612368089e-05
paternal 2.750654069043014e-07 -5.891043877123635e-10 3.961250749758028e-07 1.8326479172469573e-05 -1.1911721432099657e-06 -6.550715775415586e-09 3.078157460335139e-11 2.232790854905625e-08 -1.280674079305471e-10 4.726362511929979e-05 -4.3701192275314994e-05 -8.064674509144963e-08 1.5860021677649314e-05 1.7155052400160465e-05 5.6432345681530355e-05 -4.4833970219716446e-05 1.2503886449508107e-05 8.051113445514659e-05 -3.8377567834165066e-05 -6.907738559835235e-05 2.682257859502039e-05 -2.5677729513458626e-05 -2.518405940540403e-05 7.102118973737675e-05 -1.5389213031744434e-05 0.00011225899133273264 -9.063643385600723e-06 0.0001504179355053624 -0.00011637257374146389 -5.294953694504226e-05 -5.930304330620141e-05 0.00020267060077249266 -3.4941972780733864e-05
maternal -6.683710827678211e-07 -4.1724451984141355e-08 -6.53394848601891e-07 -2.3033131586576445e-05 1.464300534747447e-06 1.2086214414248949e-08 -7.083848902978031e-11 -2.855144408791528e-08 1.7409643469074309e-10 5.0040653006414074e-05 -9.469846614329444e-05 2.0883770724549702e-05 -3.4547800844743385e-05 3.366234434183772e-05 7.122039342510033e-05 7.973225499291485e-05 3.774037506811246e-05 -3.0387726752874866e-05 -6.287845546876485e-05 1.0004103101188131e-05 -1.4391785620497025e-05 -3.797894280051609e-06 -5.047866915466712e-05 6.52782438125245e-05 -9.417999366778845e-05 -3.9922237078215175e-05 4.463241604769756e-05 1.492901030494794e-06 -3.53387183434059e-05 -5.1449159889629336e-05 -5.783430612368047e-05 -3.4941972780735084e-05 0.00019754490635592626
