 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
PC_14 -0.0036014947633328984 0.00013279343380528496 -0.00011630816285934865 0.00016142894058001126 -6.871979620153595e-05 7.924936607192508e-06 -9.409110878624483e-08 2.5361778314985993e-06 -2.0764307454476535e-08 0.006262750410476213 -0.04291213972530064 -0.12160164581934228 0.2920812057297244 0.0281828320993281 0.10311970031745857 0.031040228158122258 -0.09817833545868242 0.27428597763204365 0.12989406462773387 0.7875770354808375 4.718453019199094 0.20786536588029214 -0.16439910495231455 0.21016506303895274 0.19704120536628938 0.024473960301039835 -0.054625454115150365 -0.37363167061171737 0.3722821748817709 0.0003483535877584953 -0.0002638670011644245 0.0015549460446836042 -0.0008935562437167782 0.0011374344764846596 -0.0024558101829962246 -0.0010830106692333212
PC_15 -0.0034958208971200837 -0.00011243853496154241 -0.0003262646595648629 -0.004076383108465789 0.0004900467929338382 1.2016076491313764e-05 -1.528538698567421e-07 -1.5908910538186954e-05 1.5720576840687873e-07 0.09809573209433181 -0.1247156089564093 -0.05781238059882726 -0.2648390181172038 -0.2678831437572701 0.16692174647304078 0.01548394784203663 0.09021229604310849 0.09106598110436623 -0.1011523091280919 -0.15726093839683464 0.20786536588028764 4.906744447082211 0.09305792261742017 0.06529500082264104 0.14536278376530776 -0.03342022978485187 0.1983115067220199 -0.07823258166658073 -0.4407687838474845 0.0005053226902578025 -0.0009539159626598189 -0.0014021127718610298 -0.0004299391716212227 0.0009417683147856349 0.0007439869172780786 0.0003180359873369556
PC_16 -0.005284393158744985 4.866575108640227e-06 -0.00018660792675579178 -0.0010232637452601767 0.00013678538742520192 9.527355834131136e-06 -1.451047323433683e-07 -5.711336531573232e-06 7.472610609331154e-08 0.011953567128827055 0.10565897743787345 0.06451540759779328 0.09843121192995112 -0.17929124226744902 -0.20493139068593497 -0.1458880138001141 0.08297478937275428 -0.02772680645423362 0.18549552705518052 0.054795235759717634 -0.1643991049523174 0.09305792261742121 6.064201242503941 -0.046736387344457384 0.03956508943405341 0.2231695226058822 0.17473077946031948 0.07726041164245853 0.021145597519509684 0.0003298520970444694 -0.0011583610365124449 -0.001817248071240435 0.0015734272206159598 -0.001166344983893938 -0.00027231869980876613 0.0016437948703396132
PC_17 -0.003412462730015251 0.00010293823565123862 -5.320865185825474e-05 -0.0059062687434554085 0.0006299028752581424 3.2804865397596363e-06 -4.402839119871997e-08 -1.7567506582176343e-05 1.5228204770947239e-07 -0.15074393146967816 0.05468374216536767 -0.2779901648232069 0.2409467764425034 0.42204504268186777 0.2316054198851649 0.09694609853835252 0.22754747991501587 0.0892307218822817 0.4507145454742928 0.6084202934562402 0.2101650630389515 0.06529500082264 -0.04673638734445695 6.467506271860801 0.23657852027195705 0.14901601970232894 -0.2458376379877409 -0.1665521587371955 -0.1917680063697311 -0.00030619557287518316 0.0016601769612959413 -4.214698736956886e-05 -0.001001719297808356 -0.0010764515075077487 -0.0002391344749493832 0.0010793271751843047
PC_18 -0.0035176942901206077 9.483817165899013e-05 -2.2497463532604225e-05 3.021788089396178e-06 2.0297145719040606e-05 7.412509544051988e-06 -1.1017179014559416e-07 -2.554206676013061e-06 4.600300109320406e-08 -0.04419960381386739 -0.05117965905614246 -0.07951698067232452 -0.015790598556787702 0.17134726257343236 0.33610656513126613 -0.24698860599014658 0.3436130445826892 -0.13639817299372678 0.18195886909378356 0.21770588619588593 0.19704120536628605 0.14536278376531053 0.0395650894340565 0.23657852027195436 5.355553309183742 0.3340463930763425 -0.05482864355123886 -0.37218041231438886 0.24557552435403984 -0.0003892818173663887 0.0003268110141068291 -0.000863669402401605 0.0011686947872927367 -0.0012261914361729543 6.613047934050024e-05 0.0009655176669207023
PC_19 -0.002703789681502506 -4.398021369660646e-05 -0.000943956036802262 -0.007552491171183873 0.0010167137686560397 3.3224350231898366e-05 -3.4812896235149975e-07 -3.642460827454143e-05 3.703125975370751e-07 -0.003911712532635526 0.00927744555481441 -0.010958885683647975 -0.0009593396252756302 0.013664665147785514 0.049612719643834874 -0.09071484691004716 0.21817256396782814 -0.09272739699925611 0.003991910479813932 0.09353446817188436 0.024473960301035106 -0.03342022978485083 0.22316952260587514 0.14901601970232564 0.33404639307633543 5.389952009250748 0.013492162168849024 0.20887882570189598 0.3822549032101966 0.0010375902020464177 0.0013796585611153065 0.0003761064611211062 0.0012497376106012923 -0.0021369453582805297 -0.00010206519479516536 -0.0011269021918590394
PC_20 0.0006088005336379119 -5.908388147540386e-05 -0.00029455027340365733 -0.0022983779235870323 0.00026851272046579623 3.909783796056541e-06 -5.28345211133556e-09 -8.170329094986462e-06 6.259783773898116e-08 0.03917298886669205 -0.059847158284409785 -0.00628106374968685 -0.1535475879807092 -0.27958020241317844 0.17759164650227924 -0.006425443611210098 0.08012664058859384 0.016799417294780274 0.04149164318589594 -0.28774974092395744 -0.0546254541151503 0.19831150672201878 0.174730779460317 -0.24583763798774255 -0.054828643551241875 0.013492162168845738 6.06575578615193 0.523598571692506 0.008976727289600396 0.00020089423356594823 -0.0006065864516426066 -0.0005612165513043778 0.0010836127181384416 -0.0009939311427716645 -8.566493548901576e-05 0.0004636415710845229
PC_21 0.005701881611461344 4.957008762257803e-05 0.0006363128292426149 0.0010845806271637987 -6.960851855818492e-05 -2.626127367609501e-05 3.121676659944197e-07 3.1460416073439634e-06 -6.123047075225516e-08 -0.06740904481378478 0.027186797429996717 -0.07958797898251219 0.17543350530464724 0.04760307729452892 0.1036381744053219 -0.19939490035459592 -0.1661925102259966 -0.48088643546272725 0.10351882613213517 -0.0967622275717754 -0.3736316706117155 -0.07823258166657958 0.07726041164245834 -0.16655215873719606 -0.37218041231438603 0.20887882570189306 0.5235985716925032 6.9620882415969385 0.22282015161704058 4.5405311864989545e-05 0.00023336271164260813 -0.0003371723677189387 0.00043983732996354016 -0.0007993235657543849 0.00021190574588837225 0.0009876489406571076
PC_22 0.003022113934892852 -0.00021173192638547527 0.00016338287159166768 -0.0001188233602621636 -0.00018511812997800436 -8.602288011249724e-06 1.0392172698461756e-07 1.2034524818577757e-05 -1.8505154240647614e-07 0.14602743456473027 0.1620704410929711 0.2271517979173128 -0.1759113102566916 -0.40680444045613556 -0.1831257154022257 0.31111339257778514 -0.39481660438524413 0.31661802816692675 0.024098861161141107 -0.39239448791451564 0.3722821748817719 -0.440768783847489 0.02114559751950696 -0.1917680063697307 0.2455755243540389 0.38225490321018957 0.008976727289597612 0.22282015161704188 6.211583551252075 -0.001146974336796261 -0.00019906777591962468 -0.0006221552206209823 -0.00011377361390642985 0.000781792343406337 0.001356473602115048 0.000621101690352594
proband 1.1600535357014364e-05 -1.5682692763501084e-07 1.7409520001284537e-06 7.92317710471504e-06 -1.4052001602496092e-06 -7.707739678410851e-08 8.806607009039129e-10 5.771134707470159e-08 -6.577020884819982e-10 -0.00012219476104874207 -0.00013643111578595147 -0.0002452548724736764 0.00033728082895632694 -6.956708954167848e-05 -6.585358742709728e-05 -0.00011360746540719355 0.00052735325992853 7.747136663208247e-05 0.00010744862008637517 0.00029123737433532464 0.00034835358775826743 0.0005053226902579859 0.00032985209704428445 -0.0003061955728750979 -0.00038928181736653676 0.0010375902020466992 0.0002008942335659478 4.5405311864917046e-05 -0.0011469743367961277 0.00016998954669000132 -8.56917179545152e-05 -8.015643000575585e-05 6.4987260376482526e-06 2.43161838332142e-06 -4.480438539116385e-06 -6.0879984233362305e-06
paternal -2.765596362657671e-05 1.1867153461959382e-07 2.146072670804913e-06 4.432116790210481e-05 -3.2353726261954804e-06 -3.713927743280944e-08 1.1941191878323472e-10 8.605634790942604e-08 -7.432692045697294e-10 0.00031347002556722156 -0.0005567412649172408 -4.4805717861879744e-05 0.000705648599140358 -0.0002820484401952525 0.0010265138582846464 -0.00044223145292327654 0.0007672579383041902 0.0009273275459228312 0.0010508706779342727 0.0008986451671619123 -0.00026386700116451606 -0.0009539159626586984 -0.0011583610365136798 0.001660176961294579 0.0003268110141084264 0.0013796585611151608 -0.0006065864516424755 0.00023336271164248404 -0.00019906777591995745 -8.569171795451518e-05 0.0006666714445452984 4.769762935586943e-05 -0.0005085316900663898 -0.0004953045610230258 4.237376537829793e-06 -1.9069661564818433e-05
maternal -4.997792171568996e-06 -2.088520067667352e-07 1.8098984090207376e-06 -1.2030379974105345e-05 1.8518098813223695e-06 -6.725882369518669e-08 5.556318568986776e-10 -5.79687862099545e-08 5.292460519437637e-10 -3.9773834725422585e-05 0.0002597731063296312 -5.15525785980927e-05 2.517022710785488e-06 0.00035620860862118237 -0.000419145186633538 -0.000426269539071322 9.253379996617844e-05 -0.00029296902840686423 -0.0006731618881221449 0.0003348555480137334 0.0015549460446831818 -0.0014021127718603348 -0.0018172480712403418 -4.214698736968366e-05 -0.0008636694024013992 0.0003761064611213585 -0.0005612165513044739 -0.0003371723677187095 -0.0006221552206212532 -8.015643000575562e-05 4.769762935586966e-05 0.000629484895249085 -1.565300852277896e-05 4.667624583279626e-06 -0.000497832733545312 -0.00045692078448178914
