 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_14 -0.002627543571140992 5.296293721080144e-05 -0.0003685002262937244 0.0029844392458624695 -0.00036152100261142075 1.1066844489439602e-05 -9.826345387762239e-08 1.1907946303206666e-05 -1.1721195607157772e-07 0.0025591552867627113 -0.02967370825219897 -0.04065593997887398 0.14963438778999427 0.0025324807904362305 0.02304802453334339 0.009245948778652176 -0.03573611254690917 0.11886371357076755 0.05135368967027041 0.37711605929888153 2.091577746105741 0.08886652318672873 -0.20144277527765297 0.09177946066536358 0.04706467388740523 0.011908334064278886 0.06424826640290557 -0.23092358579060307 0.12268151667677006 0.0002399614632581966 -0.00042360408764457986 0.0007271380723202202 -0.00021021445933840536 0.0009223327434356406 -0.0007419597440820743 -0.0008252912045702662
PC_15 0.00033242451898072987 -4.363672961443652e-05 0.0004061380996818839 -0.005268104590672903 0.0004242645262359207 -1.2311923508445714e-05 1.0643307264794375e-07 -9.404986103361476e-06 6.146812915267571e-08 0.0453001980147608 -0.04956185170009347 -0.0295213634435946 -0.13188398670447582 -0.12458406806564636 0.10428198648787183 0.0038501808841216343 0.09412549552055001 0.05569490767702621 -0.022072438115635248 -0.10256273789390564 0.08886652318673151 2.156545342524498 0.01806027448808274 0.017744225883992267 0.10850392467374437 -0.03458122458372095 0.17663481796385272 -0.09198138431052982 -0.2660024277042303 8.613875253223323e-05 -0.0005850787745774 -0.00045206365287949417 -0.00046178381802042034 0.0009764577195629415 -0.0003972213679201798 0.0007872772018095237
PC_16 -0.00039146354429674536 -8.046107855598795e-06 0.000557840419353895 -0.003516560618290753 0.00032396071756413537 -1.2822886062795691e-05 8.06320303289839e-08 -9.559936459970854e-06 9.159422723560322e-08 0.011548608939755848 0.05470869799187488 0.03487559224079929 0.05260914607386201 -0.058412052555889854 -0.07195518539315551 -0.09144611810686984 0.04462537011045368 0.0016608395508002575 0.13410123131559776 -0.044125705556056626 -0.20144277527764662 0.01806027448808455 2.586214917219232 -0.0075674293744330216 0.014327226321797363 0.07372590640140965 0.08003073405296098 0.01142108666174192 -0.004570379671859028 0.00035864030268999164 -0.0004443293188721881 -0.0007330623931682682 0.0005728363810024584 -0.0006329308572571516 -0.00011581736186158828 0.0007493592218483714
PC_17 -0.000670905107794096 5.177756743648686e-05 -0.000620351040582806 -0.018548985155116722 0.001707915203961533 1.92420604743344e-05 -1.806667952558978e-07 -4.8575174530659146e-05 4.331147846310617e-07 -0.09120994823882493 0.02582692838800005 -0.12421169098528485 0.11515804069733451 0.15387529824867774 0.10155632694412708 0.000709467997349289 0.09231731869567689 -0.013878580061201474 0.17773933465997724 0.2262718390101955 0.09177946066536742 0.017744225884006783 -0.007567429374418691 2.885597999129978 0.10784574322545287 0.06690600640906379 -0.1527650230480096 -0.12297251513511831 -0.10561048160223456 -0.00017058765106881582 0.0007090510714921934 0.0004660359834182086 -0.000762654191358742 -0.00012715488565396955 -0.0005982388795788976 0.00021923778245745208
PC_18 -0.0014281853084610917 3.793901866285033e-05 0.00011628410692502065 -0.0023618986594143763 0.00029995618789807263 3.529561689088153e-06 -7.482381410919014e-08 -1.1584074584450281e-05 1.270745824222179e-07 -0.02333158522057425 -0.030621597890715207 -0.030449194357577734 -0.01501803044280381 0.05167072044942402 0.15831185279567342 -0.12454362960109881 0.14128560050638986 -0.1197962682432019 0.0729627481283501 0.11176813164017414 0.047064673887407385 0.10850392467374617 0.014327226321797166 0.10784574322545014 2.452636281036611 0.019938578024195998 -0.05718393227162019 -0.20267549397460155 0.1637267688400341 -0.0003740923058347147 -0.00026023349642915144 -0.0006330418265015484 6.56325999097429e-05 0.0005170377174711948 -0.0006492945162561241 0.0016085799773982344
PC_19 -0.0007601609080670539 -1.4897229020352829e-05 -0.0006934399529166242 -0.0061342939099506616 0.000843120174388117 2.308001142933422e-05 -2.3171613506719673e-07 -3.0775706986579024e-05 3.180127920955131e-07 -0.014810277325310353 0.009824617122667837 -0.014908537716417238 0.01185150453760582 0.026069767030351437 0.025059013633372186 -0.06699146914135493 0.12264457665798187 -0.04958307573938351 0.026767553101670404 0.03127440825206 0.011908334064283816 -0.03458122458371539 0.07372590640141763 0.06690600640905459 0.01993857802419738 2.56896598688922 0.02062263938386792 0.07136301051766751 0.09665532007562995 0.0007519220359818305 3.262248465767746e-05 0.0001784206216776295 0.0014823130956845344 -0.0013359887321866492 -0.0005477492110456821 -0.00040284098648809397
PC_20 -3.478452087572928e-05 -2.3000045765978704e-05 -0.0002701596543097769 0.0030330077117282483 -0.00016400967462210209 4.754724218089863e-06 -2.3522981503122157e-08 3.12291975883555e-06 -2.284440690445621e-08 0.02010822598666792 -0.023736744860768277 -0.02560121284835451 -0.0630209834516345 -0.08937812050653413 0.08869402506854636 0.05047870499282866 0.038820871425503445 0.021014148076947133 0.08802185889771184 -0.18032154351248672 0.06424826640290418 0.17663481796385308 0.08003073405296239 -0.15276502304800227 -0.05718393227161929 0.020622639383871936 2.6936588676091735 0.2796683020925925 -0.029185663963097644 0.00044172058617859475 -0.0010488627888835971 -0.0006117633491945466 0.0013993773547133646 -0.00023468421446439707 0.000403784065812634 1.9989881713817746e-05
PC_21 0.002373348432645648 1.2566247790791859e-05 0.00017670471981772026 6.243593855918288e-05 -7.734070810584736e-05 -1.003491275048834e-05 1.2768297556571433e-07 3.941984124803926e-06 -5.0944365566369305e-08 -0.02890504292006175 0.01514332755514759 -0.03949904187208259 0.05348855376058828 0.01844045385296707 0.08845349075221849 -0.08315103308537479 -0.06629427409668653 -0.21042926781181526 0.07909859447414648 -0.04919532735323199 -0.2309235857906034 -0.09198138431053107 0.011421086661742248 -0.12297251513512121 -0.20267549397460152 0.07136301051766594 0.27966830209259425 3.194791114216309 0.1858456679836994 0.00028437574264206017 -8.397967674021774e-05 -0.00021989160056543614 0.0008592705503732161 -0.0010446510235230068 -0.0001490004286081403 0.0009058040802882661
PC_22 0.0019922511271800126 -9.385495543054769e-05 0.000653065715972844 0.0025421582777041675 -0.0003102017444329781 -1.967935489670531e-05 1.7574695598916348e-07 1.1212377019054343e-05 -1.2512508521291726e-07 0.06280994261974233 0.06181763445131434 0.10703267553043579 -0.09969491672649142 -0.19469341698792633 -0.06762535288602858 0.15537642154246634 -0.24441329686790209 0.16166086737358387 0.015893303402299493 -0.1865927842371471 0.12268151667676207 -0.26600242770422966 -0.00457037967185726 -0.1056104816022083 0.16372676884003964 0.09665532007564466 -0.02918566396310053 0.18584566798369637 2.752895988001966 -0.0008678244469443623 0.00020714691098084207 9.633915174116374e-05 -0.0004787027354076044 0.000790662583018747 0.0008374882166724293 -0.0003608591307316093
proband 1.866284706905772e-05 3.880457626684934e-08 6.638302189701182e-07 -3.43192222021232e-05 2.0773457693354334e-06 -5.496978903915054e-08 7.655514764878039e-10 -3.419025007645208e-08 1.1879255499089054e-10 -6.816951026787124e-05 -6.913166928661281e-05 -6.045324963486319e-05 0.000173101320066755 -9.589225617418372e-05 4.372891082569959e-05 6.963389277519729e-05 0.0005237239658409444 0.00011998035861580067 -7.65680360494261e-05 0.00020686966166706116 0.00023996146325828835 8.613875253234732e-05 0.0003586403026900045 -0.00017058765106896218 -0.00037409230583469787 0.000751922035982001 0.00044172058617857876 0.00028437574264208266 -0.0008678244469443128 0.00010165211151448815 -4.912215971805643e-05 -5.2110789773165385e-05 7.221653945897877e-06 -5.598507061084787e-06 2.6290646847221957e-06 -2.181975062006969e-06
