(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal gpp gpm gmp gmm
covarPC5 1.26935798029825e-05 -2.14690674001003 0.000419892496076115 -0.000346320719693676 4.30723554394233 -2.16054159123571 -0.000149545784188773 -6.29730224116358e-05 0.000487620143090711 0.000501363323494447 0.00314330222996754 7.27344652235354e-05 0.000251890822742704 -0.000179963473856539 -0.000131704095315299 -0.000102594432050138 -0.000227152822789801 0.000111484484152918 -0.000299923993584868 0.000108137616725529 6.26361865487558e-06 -2.45698099907818e-05 0.000183680221194169 -3.80712622420813e-05 5.11585944942853e-05 -2.13901776269e-05 -0.000109695262606353 -8.02701528051665e-05 4.14605536296358e-05 8.10615543017767e-05 0.000401780389404434 -2.89650233564456e-05 -5.45114858723732e-05
covarPC6 -8.4012668994896e-06 2.73531116297224 0.0136392597559763 -0.0137845571736589 -5.47009254821485 2.73496957626058 2.70373288735697e-05 -5.72699834811773e-05 1.44408384852761e-05 -0.000112609816660439 7.27344652235354e-05 0.00277729460676377 -2.35275747809396e-05 4.76700398807484e-05 5.89395072926234e-05 4.05257550103735e-06 -9.80454778896488e-05 -1.67849243102824e-05 -3.56082869798482e-05 -3.57444241960848e-05 -2.52790680502705e-05 -2.42620339737452e-05 6.29875791352459e-05 -8.88460212684753e-05 -5.2002366990699e-05 -9.83075256106231e-05 -3.81068789300301e-05 0.00020111020037381 0.000161804106051412 2.91769392259135e-05 -0.000178304478367827 7.77642501780749e-05 -0.000105070645100434
covarPC7 2.37371358629546e-05 0.952220701036966 0.0165539345183518 -0.0164270118393523 -1.88843929768581 0.936259046000013 3.54181879208321e-05 -7.23390289799019e-05 0.000233513423112073 9.74159041908805e-05 0.000251890822742704 -2.35275747809396e-05 0.00290723539381986 0.000180444865982258 -5.38243800699901e-05 -2.60461828051367e-05 0.000323896386371357 7.93283110019807e-05 7.1742078419041e-05 -0.000101859406905098 -0.000118536602515288 4.75492271072274e-06 -0.000131177503493048 2.38920881390468e-05 2.70757984318597e-05 -0.000117440104407603 -3.39553284716088e-05 -0.000269073064284596 4.76398113981546e-05 0.000125473268858271 0.00032347802860906 -3.37507878309888e-05 0.000106891145182988
covarPC8 6.35487409973376e-06 -2.01133767952361 0.0447192567961603 -0.044822735502717 4.01089513511098 -1.99963630000159 1.77007893873772e-05 0.000119763067036082 -0.000101536758089154 -0.000397550748561759 -0.000179963473856539 4.76700398807484e-05 0.000180444865982258 0.00291213888218793 8.47115238409649e-05 0.00010678156063836 -0.000187871242006905 8.5235569805931e-05 -1.81297252637873e-05 -7.36312986484145e-05 -0.000115984616245523 6.03674280726594e-05 3.23313968398282e-05 -0.000184730254523188 -5.0457760975528e-05 2.46297542191189e-05 3.51718561302392e-05 6.99850675948605e-05 4.06147593850406e-05 -0.00011197547770857 -0.000420828035189801 -4.13200303550275e-05 0.000240213708914259
covarPC9 1.62168215892588e-05 3.63507993432676 0.038978113120851 -0.0388594930727726 -7.27893072154131 3.644034910946 -2.69154981543721e-05 -3.62788800905432e-05 -0.000432046701260543 0.000132276846964084 -0.000131704095315299 5.89395072926234e-05 -5.38243800699901e-05 8.47115238409649e-05 0.00292566915347287 -5.90620126362517e-05 -1.79462360994719e-05 -0.000117962388731109 2.23923447747748e-05 -0.000197906502981684 0.000112733480438305 7.56441991601508e-05 0.000140406740803456 -0.000124012369736903 -8.33711398751186e-05 -0.000187857617630157 -5.16565440123643e-05 0.000317588663536856 3.82918475971886e-05 -0.000316230886077265 -0.000162738907993729 0.000235426081458701 -2.62800177915989e-05
covarPC10 -2.80963331215459e-06 0.592227193968062 0.0367912934892368 -0.0366551690494743 -1.18428067123571 0.592087338398325 4.80570899216877e-05 -1.8656137085599e-05 -4.61148001229362e-05 8.924700467899e-05 -0.000102594432050138 4.05257550103735e-06 -2.60461828051367e-05 0.00010678156063836 -5.90620126362517e-05 0.0027363736385983 -0.000119318648119862 -7.68754166413355e-06 -6.09663245867573e-05 -1.87139755473701e-05 6.51852518924071e-05 -7.21885682268047e-05 1.64559010696243e-05 5.01708920161845e-05 9.73144499275097e-05 5.1779164250695e-05 -4.73457730558285e-05 8.73458376255903e-05 0.000157360688194463 0.000139744880465702 -0.000298466277327523 -0.000164693828729576 -8.36761212014984e-05
covarPC11 -5.82097759239499e-05 2.48907556138989 0.0459612954256401 -0.0459218867001233 -4.98429947206449 2.49539453528363 5.22790838054772e-05 -2.25363065019136e-05 0.00018493431891542 9.9778583188292e-05 -0.000227152822789801 -9.80454778896488e-05 0.000323896386371357 -0.000187871242006905 -1.79462360994719e-05 -0.000119318648119862 0.00296304672246713 -4.93477067552061e-06 -4.07192665370209e-05 -0.000133314903283471 8.01626655163082e-05 6.49887659944154e-05 9.74264077783821e-05 -2.21588963263252e-06 0.00019344629704358 4.34081524368239e-05 2.71591513587391e-05 -0.000230108584365139 -0.000326262986236206 0.000173076211205742 4.59376025518074e-05 0.000124304044118591 0.000110341539025682
covarPC12 3.03156512616948e-05 -0.153820363900993 0.0393046577508781 -0.0394248046683267 0.316207177300641 -0.162381315637623 0.00038348414657733 -0.000161870013722828 2.63338357318392e-05 -0.000328104648474142 0.000111484484152918 -1.67849243102824e-05 7.93283110019807e-05 8.5235569805931e-05 -0.000117962388731109 -7.68754166413355e-06 -4.93477067552061e-06 0.00289783757917448 3.38345440561028e-05 1.81553872146745e-05 -0.000137002934416917 5.82964115424449e-05 -3.86605011104542e-05 -5.05148933596876e-05 -2.98509677284602e-05 -0.000159067611730851 -8.89659877593307e-06 -0.000179158775434645 5.02432773800481e-05 0.000407604677191232 -0.000258429188932492 -6.72973442754184e-06 9.56301388576785e-05
covarPC13 -3.32888340540174e-06 0.996617229813102 0.00604430849067156 -0.00591741990514489 -1.9871319798121 0.990493217449486 -0.000104961506650896 0.000110026736266314 -0.000347780453432093 -0.000209450180223686 -0.000299923993584868 -3.56082869798482e-05 7.1742078419041e-05 -1.81297252637873e-05 2.23923447747748e-05 -6.09663245867573e-05 -4.07192665370209e-05 3.38345440561028e-05 0.00287752719822471 -0.000164775259444591 0.000260823734595698 6.85910739708657e-05 3.79130276896795e-05 -3.761980260703e-05 1.45483316404763e-05 3.8926271391094e-05 6.13847456484734e-05 4.06001089528223e-05 -0.000167734581518676 -0.000197262835229338 -0.000108818786147616 2.049429430794e-05 0.000246318871062209
covarPC14 1.56591962664055e-05 -1.17907814041155 0.0296632496183283 -0.0298051574871246 2.35586298291323 -1.17681897697104 -0.000222569801980652 -0.000138694292682359 4.41277326991875e-05 -7.37533278275065e-06 0.000108137616725529 -3.57444241960848e-05 -0.000101859406905098 -7.36312986484145e-05 -0.000197906502981684 -1.87139755473701e-05 -0.000133314903283471 1.81553872146745e-05 -0.000164775259444591 0.00283550504760808 -5.29086729650914e-05 2.38771519543716e-06 3.38485472538102e-06 3.91726152940726e-05 -3.85567588844622e-05 -5.45467003187134e-06 -4.71025362010663e-05 7.27809378210895e-05 9.65164711918825e-05 0.000190897366522687 -0.000179220109458698 -0.000230582236818011 0.000388436257839141
