 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_14 -2.6365416374086017e-06 8.98685219806946e-06 3.735408667276098e-07 -1.5600900453484803e-05 -1.0987659690802251e-06 1.758851944413836e-07 -1.4327584361618367e-09 3.6518127802429715e-08 -2.922546405982748e-10 0.007212317618600561 -0.011507482998903607 -0.0011046101095762556 -0.00036963002738162396 0.005111796059345714 0.008063954623346909 -0.0023583662154243712 -0.0023880418429085785 0.020878990464458867 -0.006293919439627819 0.02102644680640306 0.4176251290671338 -0.002781035841844497 -0.0013422695029913162 0.008007785036325883 -0.0010791380713059515 0.0028353570534766035 -0.004247925818610739 -0.03596976422911295 0.008979968392074265 -5.174814223503267e-05 -2.627991001458646e-05 8.831010793690286e-05 3.1861434789781597e-05
PC_15 -8.617143533590387e-05 -7.13363253761884e-06 -2.286754960684333e-05 -0.0005306181097602888 3.1297118389374003e-05 2.620418263250379e-07 -1.2131359647272882e-09 -5.501162496932686e-07 3.07559018541104e-09 0.002812062961348461 -0.008811184574881021 -0.01186614989972213 -0.01417609941180631 -0.022491137822795337 0.02082627434697263 -0.0030454938123520327 0.014498226879123688 0.015988950581557446 -0.014349518594731542 0.006050966278843108 -0.0027810358418446494 0.4802074231691634 -0.0077964805124857645 0.009424514533787539 0.0010574062204206168 0.0011313301650993086 0.00533122211667974 -0.001557012496282494 -0.01762378463566416 -2.45118537136488e-05 -1.4900871466017633e-05 -8.28009287149009e-06 -4.4944233714236354e-05
PC_16 1.1668932692284197e-05 -2.7400491216439833e-06 -2.7239341180088214e-05 -0.00016254884412106896 1.468007329936896e-05 6.38602905855569e-07 -4.98477403926874e-09 -3.852750941553441e-07 2.892355681581378e-09 -0.001170413306207352 0.007387519053580975 0.010294561543887568 0.010222920223149818 -0.018586614895302098 -0.013477376391134664 -0.010904626152081272 0.0015103481919556013 -0.005698639957315086 0.0056116417567511675 -0.008188197993124464 -0.0013422695029911224 -0.0077964805124857445 0.5140947341611087 0.011091301858479289 0.012247501106920345 -0.0026515665134961577 0.014464285717096051 0.023594786201637186 0.013377279749401028 1.9631846813586225e-05 -1.68990379323624e-05 5.9108650865075896e-05 -5.368428493049751e-05
PC_17 -3.714583556575641e-05 1.0879692794843668e-05 2.436896763699074e-05 6.106683869548711e-05 -4.5137450871335896e-07 -1.6285848666982447e-07 8.122411541313398e-11 -7.645300997063702e-08 8.751450148421589e-10 -0.012030299185554 0.006505262016720327 -0.020247811385136833 0.016372145567275658 0.021104017893573888 0.009016874680923038 -0.007025687731781868 -0.002321346889209474 0.010597782616143036 0.0267255317060167 0.023262348296169282 0.008007785036325911 0.009424514533787575 0.011091301858479357 0.55885432877227 -0.018992599980334916 -0.01585394377098386 -0.02056147351778067 -0.009565498492988123 -0.04550047434027525 -3.761033601733857e-06 -1.1475393884333918e-06 4.181684208971938e-05 -1.8645875480413193e-05
PC_18 7.98973739743541e-06 3.4732935591177235e-06 1.7631330313771887e-05 0.00027717110184141713 -1.549353127489674e-05 -9.525183577341216e-08 -5.910582021200398e-10 2.949771989904649e-07 -1.887666828850569e-09 0.0030818453741918816 -0.0032517865257134246 0.007737764147241624 -0.007016725270447255 -0.010741475776809296 0.017332668468532257 -0.005977497436634297 0.012388947431951727 -0.009195640641734682 0.010560674345708931 0.007178410185649887 -0.0010791380713061909 0.0010574062204202488 0.012247501106920836 -0.018992599980334927 0.5794015145923971 -0.02556596663535692 -0.018306289969628815 -0.00020728033179101204 0.013047906384695905 0.0001689493148670328 2.6619055808424956e-05 2.17862224195997e-05 -4.394258476045819e-05
PC_19 1.26465729582539e-05 5.381430830038095e-07 -2.0478672970759783e-05 0.0003284897084397772 -2.2120764135006672e-05 4.603484244010671e-07 -3.1920565466201975e-09 4.014956923437209e-07 -2.176809967832807e-09 -0.0008765815891369287 0.002582829498587751 0.005525549194193353 -0.0009250121386108836 -0.007920956096156007 0.0041254854487606 0.00010396611667009191 0.004218883129965681 -0.005220239115843293 0.011221180468424092 0.000935055354571532 0.002835357053476348 0.0011313301650991436 -0.002651566513496673 -0.01585394377098388 -0.02556596663535684 0.6266120079136048 -1.5946637229941102e-05 -0.0006538318318606821 -0.010504475688051821 -0.00023339999458986462 1.608469418715426e-05 1.9797048771674294e-05 -2.014376701927595e-05
PC_20 -5.065261463943486e-05 -3.018020437791844e-06 -3.7856801219147924e-05 -0.00040982936124310933 3.057532502773673e-05 6.826924396056616e-07 -4.239308226337638e-09 -6.435970902946512e-07 4.096430325209773e-09 0.003571397138130739 -0.004593619642412004 -0.0014982176761488325 -0.008862808413608352 -0.0020936254104171564 0.0008555839817438861 0.000808778592017416 -0.002825858250641748 -0.0006026716978226041 0.012955615741475234 -0.02366663704471097 -0.004247925818610755 0.005331222116679743 0.014464285717096065 -0.02056147351778079 -0.01830628996962886 -1.5946637229985998e-05 0.546913343544017 0.03653982606538956 0.0032198737802293267 -1.817459919938368e-05 -1.5063413644740018e-05 7.537257645295713e-05 -7.684394609431534e-06
PC_21 -4.228184169832516e-05 3.6609601443767416e-06 -4.910144318165927e-06 -1.0913180535731523e-05 4.320237013948168e-06 9.793814159791518e-08 -3.1815774403756326e-10 -9.431547776551548e-08 2.2864335755372726e-10 -0.0004014591374019751 -0.0002868522199141187 -0.002135444001800428 -0.0023325518907145923 0.009154363018487922 0.001972896534330494 -0.0065077170995152004 -0.0018621105100863438 -0.003946636282786816 0.013994904856291282 -0.019422848930517173 -0.035969764229112924 -0.0015570124962824728 0.023594786201637477 -0.009565498492988121 -0.00020728033179111217 -0.0006538318318606949 0.03653982606538966 0.6174147809755348 0.002438848155775401 4.858010223453199e-05 -1.402225551880561e-06 4.253329860381508e-05 1.960658502519841e-05
PC_22 5.123477675650427e-05 -1.5223893387925358e-05 -1.5186799686846038e-05 -0.0003961375374744552 2.6379835539576176e-05 -2.2992369179881494e-07 3.4173548334290745e-09 -4.777623475958123e-07 2.6568841267165248e-09 0.006105925882930648 0.0028390460721367675 0.012661223968037224 -0.006514677201701022 -0.010615209317578454 -0.011763346501554781 0.01874099271597481 -0.010767875980236671 0.022388592758972217 0.004978830006502101 -0.004585484908732994 0.008979968392074097 -0.017623784635664257 0.013377279749401106 -0.04550047434027529 0.01304790638469565 -0.010504475688051884 0.0032198737802292547 0.0024388481557753388 0.6088831019567758 3.067211353356606e-05 -3.213301860789844e-05 -2.0741273446123053e-07 9.052321105920995e-05
proband 8.185279849642241e-07 1.7336892427042666e-09 8.502610998804278e-08 -1.5910134946950057e-06 3.764419496703667e-08 -2.825033116582611e-09 2.4857483543704236e-11 7.424222833999852e-10 -1.3674019354193609e-11 -5.494044270918865e-06 -1.5028081564699026e-05 -7.003988297070513e-06 -1.1763425853789419e-05 -1.2130118741570193e-05 3.6372708390004516e-06 -2.7422122640298578e-05 7.478068345689365e-06 5.7898522513368175e-06 -1.4226669064721787e-06 1.3516411080810589e-05 -5.174814223513345e-05 -2.4511853713823816e-05 1.963184681367389e-05 -3.7610336017267105e-06 0.00016894931486694605 -0.0002333999945898747 -1.8174599199378306e-05 4.858010223454678e-05 3.067211353356438e-05 4.0007297316122275e-05 1.7663406952151075e-05 -3.6981427436442886e-05 -3.5881325758854554e-05
sibling 8.320642652082516e-07 1.6544029721834644e-09 5.152830897289989e-07 5.8747635742174506e-06 -4.11711155471211e-07 -1.0624133962942192e-08 6.78459895203744e-11 8.984986410982462e-09 -5.946537538649266e-11 -7.511268279021912e-06 -1.966679690984235e-05 -5.043753908432828e-07 -4.888024788637636e-06 -1.965316224733139e-05 -7.828287839414937e-06 -3.521989534939682e-05 -1.338477506166298e-05 -1.0024662785772342e-05 7.44569017733072e-06 1.0763533933433899e-05 -2.6279910014582675e-05 -1.4900871466082248e-05 -1.689903793207076e-05 -1.1475393884220297e-06 2.661905580831212e-05 1.6084694187157533e-05 -1.5063413644731997e-05 -1.402225551866012e-06 -3.213301860789573e-05 1.766340695215093e-05 4.712085731704532e-05 -4.166769272769425e-05 -4.0418702546486344e-05
paternal -1.2658497877210481e-06 -1.7506516521011912e-08 8.655110293994597e-08 5.9276701947564674e-06 -4.0458278963071936e-07 -2.0324730389659374e-09 1.171620889358268e-11 7.814287951988075e-09 -4.6585929086964793e-11 3.6024418387771896e-05 7.024983986620557e-06 9.118516052143544e-07 -2.057362204357791e-05 1.5960083386999887e-05 4.232732357218621e-05 3.145635060104949e-05 1.8150712096950475e-05 3.840297509547233e-05 -7.053173388288295e-05 -7.42339580251053e-06 8.83101079370219e-05 -8.280092871549293e-06 5.9108650865162524e-05 4.181684208971719e-05 2.178622241958686e-05 1.9797048771673854e-05 7.537257645295881e-05 4.253329860380644e-05 -2.0741273446216994e-07 -3.6981427436442764e-05 -4.16676927276942e-05 0.0001232339075993757 -7.073506688746958e-06
maternal -1.2023797369881602e-06 -1.3705877344163058e-08 -9.893536232164377e-07 -1.1684543748148882e-05 8.295282075633304e-07 1.9620175065568826e-08 -1.222013435310929e-10 -1.7894185003718254e-08 1.1761403505036186e-10 3.0420915365520073e-05 3.078771557323343e-05 1.075030453325325e-05 -2.5722432765874947e-05 9.54477577733429e-06 1.6743869420172448e-05 6.049786980684725e-05 6.925865517084324e-05 1.689025335574541e-05 3.293709351753996e-05 -5.240420901502968e-05 3.186143478971189e-05 -4.494423371416573e-05 -5.368428493053622e-05 -1.864587548041987e-05 -4.394258476032418e-05 -2.0143767019358716e-05 -7.684394609441865e-06 1.9606585025191226e-05 9.052321105921703e-05 -3.588132575885445e-05 -4.041870254648658e-05 -7.073506688746689e-06 0.0001197496331512297
