 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_14 -1.6999807971128036e-05 5.934309216833992e-06 -1.6076225375554048e-05 -0.00015940221613070077 1.0049162392371468e-05 4.382987884732973e-07 -2.873645256572845e-09 -1.9671370643307057e-07 1.185215200142366e-09 0.00486782571338402 -0.008229911294558018 -0.0007902497986663833 0.0007372735876194066 0.004792529479435719 0.0065895816264996375 -0.002835906111985645 -0.000684184160056346 0.01235434376795979 -0.0006640880396953836 0.017038134593389487 0.34589256035833005 -0.0007679469507987351 -0.0026175604557901236 0.006878746117167511 -0.0012313900935643403 -0.001766980784343965 -0.0019960093551661456 -0.02500708276415526 0.007559105053588261 -6.929729771422714e-06
PC_15 -5.423697004400923e-05 -4.913031984456304e-06 2.7288102738783837e-06 -0.00024256089901117476 1.5492885045877945e-05 -2.051786502391241e-07 1.5598383999114228e-09 -2.8137167938683305e-07 1.6216675814365735e-09 0.002775041546030242 -0.006461848690135508 -0.008180550200623837 -0.01168404228301796 -0.01817161584303956 0.01616586797890181 -0.0020435057411368846 0.00874707948204341 0.013392699088086364 -0.00962363759119075 0.0001751470082107473 -0.000767946950798729 0.3980470067362686 -0.009061712584004622 0.005329105022310651 0.004228543997138196 0.00047428991863640433 0.0028970746942572944 -0.0009475713054246765 -0.013862387379627404 -3.5237401716417585e-05
PC_16 -1.0067108245904132e-06 -2.734231068826945e-06 -1.5192007212168916e-05 2.5531902632792485e-06 2.4435004134458215e-06 3.545192681595948e-07 -2.8779521642868545e-09 -1.2599018934056167e-07 1.2420646678861909e-09 -0.0015260292503994938 0.006278508261417811 0.006919172019075185 0.007193800432166746 -0.012971845228823636 -0.01064019667768638 -0.010344178053366095 0.0029080716192981778 -0.003499446867113578 0.006814799842284467 -0.007495823423981175 -0.0026175604557901228 -0.009061712584004667 0.4196659538653272 0.007349329134419439 0.004887752001554476 0.0030766643723094105 0.009819999644657698 0.0128544203951028 0.008958992994557114 3.8149041103440525e-06
PC_17 -3.3509445332549544e-05 8.743236074271967e-06 -2.3284212279017026e-06 -9.515065324155767e-05 1.0746988091668944e-05 3.2546254838377367e-07 -2.824236763191381e-09 -3.17549338822899e-07 2.4952060371378834e-09 -0.00952795692652356 0.005151656780392928 -0.01481919503999852 0.013209177739752283 0.015457159384535403 0.006654405713721446 -0.004931591279341677 -0.0015061977857886463 0.009525330933110412 0.018528212564000935 0.018081006946663238 0.006878746117167527 0.005329105022310657 0.007349329134419446 0.4580982154349939 -0.011615971035966201 -0.009534057475476995 -0.01719991459565893 -0.009090427807561247 -0.03129661882162364 4.9490397567628355e-06
PC_18 -5.846922374357267e-06 2.790892043495752e-06 5.470528525226935e-06 0.0001760305695480572 -1.1057862947186474e-05 4.6404484661096e-08 -9.433151727615125e-10 2.376205301402155e-07 -1.6592503637684876e-09 0.0012093589417515912 -0.0031008604453454922 0.004518585631046373 -0.0038483361373328785 -0.007608547150530182 0.01315587203412332 -0.005157982242247498 0.01044692315879988 -0.008712208311973621 0.010881358886286219 0.008990727675984725 -0.0012313900935643422 0.004228543997137955 0.004887752001554456 -0.011615971035966217 0.4592273896758351 -0.0015319215044065635 -0.011700113135012688 -0.004238288834743094 0.006891380933222878 0.0001252911384652399
PC_19 2.2844385599668533e-06 4.3850816260823067e-07 -1.281869882537867e-05 -3.4544276134537206e-05 6.165311868700318e-07 3.104803877911375e-07 -2.252976331174457e-09 -2.8282938772079385e-08 3.5095472301835036e-10 -0.0011916021800118248 0.0020127251554539157 0.0037544730091377382 0.00030463027443386345 -0.005268965948180597 0.002319855880186304 -0.0006553193775631601 0.0029306250061255424 -0.004959455864932115 0.00943953517368235 0.002364082093284784 -0.0017669807843439652 0.0004742899186369654 0.0030766643723093897 -0.00953405747547699 -0.0015319215044063974 0.47948886267210455 -0.0012340946481295089 0.002837422008886081 -0.0006893925985121029 -0.0001723077362465506
PC_20 -4.361305083669541e-05 -2.1189141395452223e-06 -1.943406168551939e-05 -0.00011217621305796959 1.163118245262317e-05 3.51054103003781e-07 -2.2168017047491253e-09 -2.7859070848120655e-07 1.9005570071337323e-09 0.0030562050624684443 -0.0039699649940374655 -0.0011531184034968664 -0.006736117188558698 -0.0019107238064151016 0.0004401061590290942 -0.0003562247173093124 -0.0017512261021535719 -1.0254142667022527e-05 0.009067039209107017 -0.018096109042635443 -0.0019960093551661465 0.0028970746942572237 0.009819999644657714 -0.01719991459565896 -0.011700113135012662 -0.0012340946481294857 0.4600973256812965 0.024475338528809874 -0.000383182388526048 4.6649238362435996e-06
PC_21 -4.954249914373123e-05 3.0052480575105468e-06 -1.3588110397246987e-05 -2.103000079983883e-05 2.24113136486586e-06 2.9884291944364393e-07 -1.6229757205225987e-09 -2.883471700008734e-08 -1.909702069769869e-10 -0.0004466493513606812 -0.0004614832523101058 -0.0019392550988858444 -0.0011055276112605593 0.006574605332603515 0.0006209913079398866 -0.006324378095896131 -0.002054824858004441 -0.003036594513748313 0.010583419589186993 -0.013231208392851877 -0.025007082764155263 -0.0009475713054247594 0.012854420395102796 -0.009090427807561278 -0.004238288834743062 0.002837422008886068 0.02447533852880985 0.5082846159526764 0.004323715382999623 5.4577037816015005e-05
PC_22 5.9325742679385674e-05 -1.1486360829321657e-05 3.336339909962717e-05 7.381006792309936e-05 -9.24197400472151e-06 -1.0974908119740416e-06 8.317850016535951e-09 2.7039980773523045e-07 -2.06792203763552e-09 0.004838657463737436 0.003642482166016797 0.008685826435433381 -0.005261340175193786 -0.008493790075570084 -0.008009473297844487 0.0127296597824802 -0.008666332125182672 0.01962771245685296 0.004661437035121792 -0.005963505957040405 0.007559105053588237 -0.013862387379627505 0.008958992994557108 -0.03129661882162364 0.006891380933222885 -0.0006893925985121145 -0.00038318238852605755 0.0043237153829996005 0.49441833463777574 4.4493218057080505e-05
proband 5.7585767757922843e-08 -5.6817400844513205e-09 5.594431996357862e-08 7.435861523928974e-07 -9.977558694945247e-08 -2.1719966814050594e-09 1.8976859246490635e-11 2.8102649346997226e-09 -2.2230437292942712e-11 1.6983445572483766e-05 -1.0909819759878722e-06 -1.4830327102266759e-06 -3.0066274915045362e-05 -7.975187995523964e-06 2.7242418873355778e-05 -2.553510245279186e-06 3.3416228323153746e-05 1.779852379258508e-05 -1.0054123376130795e-05 -8.25477179152328e-06 -6.929729771422567e-06 -3.5237401716438605e-05 3.814904110344716e-06 4.949039756762351e-06 0.00012529113846524722 -0.00017230773624654655 4.66492383624289e-06 5.457703781601463e-05 4.4493218057079604e-05 9.479802465991343e-06
