 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
pcs.V15 9.941518811784304e-09 -1.6399583299803159e-07 3.553470092456058e-09 -2.4883952646851138e-11 8.880193564597134e-08 -4.045980607043289e-08 1.541707632456511e-09 -1.3709464953553288e-11 -1.0095074428835309e-09 -5.130791612538343e-09 7.436966295964666e-09 3.2257740333278366e-09 -5.5423973348567005e-09 3.928848650586349e-09 -5.064091359553713e-09 -1.5095275365514234e-08 -1.430890173970248e-09 -3.472665258381334e-09 -1.0350663613320772e-08 -1.0183193126134673e-08 1.2551363275337146e-06 -3.725358026894556e-09 -3.0819109105697586e-09 4.884610384550046e-09 2.5479961040806704e-09 -1.221283442582316e-08 -1.7793522503807713e-08 -1.1189021111821298e-08 2.6481499093851258e-08 -3.448200620857746e-07 2.1786461216030262e-07
pcs.V16 5.8042710650138775e-08 -2.2510328612757574e-07 4.470489106911824e-09 -2.691048419459753e-11 -2.2906719446312515e-06 1.5640111900198881e-07 -2.9005916283874133e-09 1.6300005566035077e-11 -8.126403500645197e-09 9.755092714928124e-09 9.965742879598575e-09 8.09598278939061e-09 -1.1432363833647212e-09 4.46147459472949e-09 -8.691854364221597e-09 4.975745242725696e-10 -1.017049513626513e-08 8.554496410875787e-09 -3.971225895494899e-09 -1.0571441119746779e-09 -3.72535802689462e-09 1.2319047565699919e-06 3.82795585332688e-09 -1.3968734531887434e-09 -1.7047464021447678e-08 -6.454320734759448e-09 -1.1601983737728202e-08 -9.880792438043409e-09 -1.1770114328188031e-07 3.036490763889967e-07 1.0170501104293749e-07
pcs.V17 -2.7434770031333803e-08 -1.957641894590992e-07 3.533963889134658e-09 -2.0443869520022973e-11 -4.326771510049586e-06 2.822586261996183e-07 -6.0347271198958335e-09 4.171691453980452e-11 -1.3435244923299282e-08 8.08834640007356e-09 -9.57572404081785e-09 -1.0280833723660618e-09 -2.0685120655438298e-08 -7.034232210902788e-09 2.363884009674173e-09 4.610590290896797e-09 4.891760981734112e-09 -1.014609075102e-08 -1.991575452627886e-08 7.717880242977514e-09 -3.0819109105698496e-09 3.827955853327045e-09 1.2553000237522578e-06 1.3825974513757747e-08 3.854094569455115e-09 3.417855760609853e-09 -8.465411647574033e-09 -2.066288190868455e-08 2.6549845245954823e-09 -1.459590442118206e-07 4.9930417008856777e-08
pcs.V18 -4.427353657807862e-08 2.123047257750511e-07 -4.39200392324289e-09 2.8181818049983053e-11 1.7621931099634095e-06 -8.432031202243826e-08 8.12194437489305e-10 2.423151144308677e-12 -1.4852035633374792e-08 3.982811433794636e-09 -5.9869227136402665e-09 1.8021095633619943e-09 7.206843583276814e-09 1.6523620412386342e-08 -1.282237005311166e-08 6.882844459281523e-09 8.562703223207163e-09 -5.2212245141235064e-09 -7.782557513153592e-09 -1.6094322791242204e-08 4.884610384550083e-09 -1.3968734531888317e-09 1.3825974513757767e-08 1.224536354713256e-06 -1.0345297235321527e-08 -1.0633038437032706e-08 -9.58761844501119e-09 -1.8056647445248436e-09 3.4787153105572583e-08 -6.791357110070756e-08 -7.934874431783959e-08
pcs.V19 -2.1617834581140748e-08 1.4849780914810483e-07 -3.924467358646853e-09 3.0846397509770464e-11 -1.6205452418067702e-07 -5.2204585323337066e-08 2.1069450232472143e-09 -1.932925851407341e-11 -4.6068913547940605e-09 6.418698470789115e-09 8.486813442146762e-09 3.29015135026668e-11 5.972519338621323e-09 2.150607733041077e-08 -2.00099819663061e-08 -8.494433568916972e-10 -1.4784324100558403e-11 -1.1821832602422112e-08 -1.7618446144262813e-08 4.497349609618109e-11 2.5479961040807598e-09 -1.7047464021447512e-08 3.854094569455277e-09 -1.034529723532169e-08 1.2323938887991761e-06 7.965556818200655e-09 1.962834653077624e-09 6.657704422676542e-09 -1.2094402114494634e-07 -3.335649100109437e-08 -7.538182983828273e-08
pcs.V20 -5.279615249372171e-08 -1.236005585710869e-07 2.433228582958936e-09 -1.489226527531643e-11 -1.7540439472698828e-06 1.3502482964018098e-07 -3.3851922140328125e-09 2.637018035097172e-11 -8.99632943502817e-09 -2.3047384290808968e-09 6.084203711626687e-09 3.888114111656942e-09 -2.1936998195877937e-08 8.401316972670363e-09 -1.0842893893469779e-08 1.562514690362526e-08 5.374165959390558e-09 3.620337276207497e-09 -1.7173393120621602e-09 -5.423613529905702e-09 -1.2212834425823224e-08 -6.454320734759442e-09 3.4178557606097592e-09 -1.0633038437032622e-08 7.96555681820059e-09 1.2332141989502743e-06 1.0095321092901057e-08 1.5726660607783727e-08 1.542508661631869e-07 -1.7422498640744767e-07 -8.022044955717717e-08
pcs.V21 2.402087774872531e-08 1.2110044240099898e-07 -3.2498619681662945e-09 2.591259172203811e-11 2.7918614416329404e-06 -2.4151165126723837e-07 5.997535738350139e-09 -4.541253469574412e-11 9.440799621083954e-09 1.4249040358200224e-09 5.61466917632418e-09 -2.6601595760876338e-08 -1.0013875102333863e-08 5.841838981453817e-09 -8.3999135467064e-10 1.7627075476200867e-10 -1.5563378016857117e-08 -1.3144795235839928e-08 7.765093391988855e-09 2.2368488743993134e-10 -1.779352250380752e-08 -1.1601983737728039e-08 -8.465411647573785e-09 -9.587618445011546e-09 1.9628346530777076e-09 1.0095321092901055e-08 1.2330313291128148e-06 -5.604732290806667e-10 -3.1489245429099956e-08 -1.593811749482876e-07 -1.7311269450740696e-07
pcs.V22 -4.300199670915871e-08 2.7314360668598766e-07 -6.348443219352516e-09 4.4977149008815404e-11 3.189472472690491e-07 -3.7484665737181704e-08 6.480427528057758e-10 -3.1513384935121083e-12 1.7797636396390686e-10 3.0714206503753555e-09 2.6935403506921842e-09 -1.2179982952355305e-08 -1.0438207765512026e-09 1.5193536719540454e-09 1.060005744428468e-08 -8.072717862997103e-09 1.2004776627335575e-08 1.410996049411666e-08 4.528485467966068e-09 -1.1893738880427347e-08 -1.1189021111821242e-08 -9.880792438043255e-09 -2.066288190868432e-08 -1.8056647445249625e-09 6.657704422676597e-09 1.5726660607783803e-08 -5.604732290807147e-10 1.2420689120844731e-06 -1.336416425108783e-08 8.214246967448011e-08 -2.515203135338967e-07
proband -8.550503187234202e-06 1.8103796810791655e-06 -4.1348396606992546e-08 2.7471939619547937e-10 8.98716839353525e-06 -1.23902732891625e-06 4.272626683627259e-08 -4.242395097666394e-10 2.551675129271029e-07 -6.305608405289237e-08 2.015102053839753e-08 3.721811308766493e-08 -2.0430175601166303e-08 -1.9957181778832124e-08 5.133888308283022e-08 6.818481461235224e-08 -4.345648859356102e-08 1.0862110675191921e-08 5.1649143455013107e-08 8.451256560088411e-08 2.6481499093853657e-08 -1.1770114328187551e-07 2.6549845246010004e-09 3.47871531055674e-08 -1.209440211449459e-07 1.542508661631884e-07 -3.14892454290981e-08 -1.3364164251089683e-08 0.0001320041599360405 -7.720154311023022e-05 -6.890800904043601e-05
paternal 1.075169064328584e-05 1.7565864227883708e-06 -5.0938646404552945e-08 3.956557016754708e-10 3.570251262827357e-06 -8.733327591661126e-07 2.4165658688899277e-08 -1.605966820691965e-10 6.995519367584739e-07 -5.758407240428746e-07 3.77986574258315e-07 3.7982134546649856e-07 1.3111376364709263e-07 6.48396780185617e-08 1.471654963797979e-07 3.150825302257382e-07 1.3313287988500114e-07 7.407006281126424e-08 -9.50229975903072e-08 2.623130921979337e-07 -3.448200620857753e-07 3.0364907638899446e-07 -1.459590442118204e-07 -6.791357110070535e-08 -3.335649100109409e-08 -1.7422498640744767e-07 -1.593811749482846e-07 8.214246967448241e-08 -7.720154311023022e-05 0.0001763810395681439 -6.729191876962628e-06
maternal 6.7201077105249195e-06 9.945016757411924e-07 -1.3760719441406248e-08 6.099881233970988e-11 6.401452544857823e-05 -4.552021585162397e-06 1.000677548428962e-07 -7.12310247204065e-10 5.851576763780861e-07 -4.588330821405415e-07 -6.772487681474784e-08 1.0288233223089113e-07 -2.2098542302919425e-07 -9.374718033294154e-08 -1.1468962980256779e-07 2.143886674570893e-07 1.6955470626918614e-08 -9.083389710827837e-08 -3.012130021711819e-07 6.867113856572896e-08 2.1786461216030294e-07 1.0170501104293758e-07 4.99304170088468e-08 -7.934874431784063e-08 -7.538182983828258e-08 -8.022044955717597e-08 -1.7311269450741797e-07 -2.515203135338939e-07 -6.890800904043601e-05 -6.729191876962588e-06 0.00016493525348089896
