 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gp gm
pcs.V5 3.3414285238588797e-06 -5.575778861945133e-06 1.5280505782503324e-07 -1.3210211102517132e-09 -3.4049438848965e-05 4.0263146143546906e-06 -1.4114005848264075e-07 1.5237633624446802e-09 -7.039501458333463e-09 7.347811416331034e-08 4.050174571824136e-06 7.117697660195813e-08 3.055746581072685e-08 -6.689548949202817e-09 -4.270677302890905e-08 -1.2180509520049556e-07 4.986915518418776e-08 9.879933046806865e-08 -6.950782107789539e-08 -6.554337473087467e-08 1.7424973300674267e-08 -4.597602445101154e-08 -1.8199932142732657e-07 -2.0352550238565525e-07 1.5648566332866687e-07 1.3294126906294095e-07 9.83003928716253e-08 6.413915153149537e-08 1.8534830314297706e-07 4.103384249462651e-07 -1.0978140079116464e-07 2.383984630971877e-06 8.250355125591423e-07
pcs.V6 -7.450623366382739e-06 1.8257969489837493e-08 9.552545252286002e-09 -2.0247785448378658e-10 1.3772244660090955e-05 -1.3990679951672104e-06 4.8806457401678605e-08 -5.184140398724377e-10 -5.542905535715051e-09 2.5992821901973915e-08 7.11769766019556e-08 3.844488803621947e-06 4.977134102903325e-08 1.044158754406428e-07 2.210563487010599e-09 -1.2552908253087273e-07 1.5950205393523446e-07 -4.396638612606336e-08 -1.0851800883392828e-07 -6.040661363062224e-08 5.0059593338150434e-08 9.765329200073313e-08 -1.0848788466566706e-07 4.261285241743733e-08 -6.65084401150187e-08 2.958548508263737e-08 -1.4508508227666985e-07 2.923823574448624e-08 -1.495242513709211e-07 4.7870165848461e-06 -5.483657086674519e-07 -2.3306314511500384e-06 2.459186519124118e-06
pcs.V7 3.974593258274412e-07 -1.5313405145537963e-06 4.66103662863743e-08 -4.926017273306702e-10 -9.974642607779063e-05 9.045650387130276e-06 -2.6483638954341675e-07 2.492522230075007e-09 1.6490642582225746e-07 1.2617674243324774e-07 3.055746581073709e-08 4.9771341029040924e-08 4.67480902235309e-06 4.863281355461208e-08 -2.2805576965017893e-08 -2.0463705054863081e-07 -8.810669566004236e-09 -1.2812406707243934e-07 -1.0523151141551091e-07 -1.844041301310783e-07 1.1679095550309767e-07 -9.579317935986383e-08 -1.4749206529456167e-07 -1.2355625833864364e-08 4.189327110998714e-08 -3.878642381735458e-08 -5.5914648930553885e-08 -1.4148978875528581e-08 1.28969994561704e-08 1.67697670908631e-06 3.3516057923242e-06 -1.8143203931282231e-06 -3.1167087330333434e-06
pcs.V8 -2.055609461574449e-05 -2.164872437103203e-06 6.530304127453765e-08 -6.824526840649736e-10 0.00014682230250767498 -1.4455852416767068e-05 4.4072353721913315e-07 -4.209445294238205e-09 1.420105290121318e-07 -4.3857168802982106e-08 -6.689548949239774e-09 1.0441587544063744e-07 4.863281355456107e-08 4.512579000827711e-06 1.1914583297487926e-07 7.091315625799245e-08 1.285219154879382e-07 3.6098918745666354e-07 -1.1587191035951375e-07 -3.295789988238669e-07 -1.2826016742100214e-07 -8.263130934525448e-08 8.239503302800732e-08 8.84992074681021e-08 1.9762924737529735e-07 1.3304462023227783e-07 -2.9326705540956553e-08 -4.579930247523514e-08 -8.198980089237913e-07 -1.7387481960839586e-06 -2.7027553217532526e-06 2.6960431773880867e-06 9.428102324019421e-07
pcs.V9 2.9988314447211826e-06 4.019162363207118e-07 2.5279704176411862e-09 -1.6297738922463695e-10 -3.093504214986701e-05 3.744771750965456e-06 -1.330597193845552e-07 1.4809396190174172e-09 6.061774266438227e-09 -1.2455768526684507e-07 -4.270677302889488e-08 2.2105634870118563e-09 -2.2805576965004764e-08 1.1914583297488479e-07 4.410921727465229e-06 4.019114748661411e-08 3.323505932393991e-08 -8.949151987152237e-08 -3.891138164609865e-08 -1.9969551271598921e-07 -4.437875531067695e-08 -2.0376986587282254e-08 4.176488410109531e-08 -9.92511671149667e-08 -1.8674156145763498e-07 -1.206870908544264e-07 -2.6516508641604502e-09 4.4868802927369125e-08 -7.862236649159122e-08 1.3674108987782146e-07 -2.4195083798986773e-06 -1.7581696932782167e-07 9.560089779460825e-07
pcs.V10 4.3838354810201574e-07 -6.123168808602041e-07 3.218666746231043e-08 -3.540053842053366e-10 1.1530198238522892e-05 -5.947136190563213e-07 6.523032535814849e-09 9.92712770105444e-12 1.4471547044924263e-07 1.080212240895096e-08 -1.2180509520049323e-07 -1.2552908253087366e-07 -2.0463705054863047e-07 7.091315625799106e-08 4.0191147486613615e-08 4.653307943452411e-06 4.24407548499102e-11 3.68490155653366e-08 3.674774965388753e-08 3.275941937071671e-08 -5.192592273751155e-08 -1.865190447376619e-08 2.138683245916454e-07 7.368943133706576e-08 -4.188863649474658e-09 5.237211242804402e-08 6.302912706688161e-08 -7.648277933989502e-08 4.983451816490243e-07 1.593001661553546e-07 -3.7685223546099573e-06 1.0572501572780319e-07 4.476948772672341e-06
pcs.V11 -5.547223241648537e-06 -1.7115711035453418e-06 5.217179385490523e-08 -4.852584340441159e-10 -1.3479567351131715e-05 3.6454284644465906e-07 1.6701118953381692e-08 -3.826967696578012e-10 -1.243919920868562e-07 1.4910235600065486e-07 4.986915518418012e-08 1.5950205393523653e-07 -8.810669566019042e-09 1.2852191548795985e-07 3.3235059323932393e-08 4.2440754849568876e-11 4.578845676971023e-06 1.4724049718324146e-07 4.605910803051231e-08 -9.186128790160625e-08 7.708278866841797e-08 -1.7663962681012268e-07 -7.415668509196949e-08 1.594939863655461e-07 -1.4787173549289602e-07 9.090376505172421e-08 -8.964265628741904e-08 1.3676243072895255e-07 -1.5861878660870964e-06 1.2459389672236292e-06 3.3784835717730537e-06 -9.209450630202966e-08 -2.725040059995035e-06
pcs.V12 -3.3329772557738826e-06 -3.888753386535968e-06 9.735361463303497e-08 -7.198233728276505e-10 4.646402952457406e-05 -4.5386773769564725e-06 1.451439439707153e-07 -1.4940584923440218e-09 1.6724907894458614e-07 -6.583765128961053e-08 9.879933046804862e-08 -4.396638612606554e-08 -1.2812406707246517e-07 3.609891874566706e-07 -8.94915198715292e-08 3.684901556533496e-08 1.4724049718323315e-07 4.4657769198827925e-06 -2.847669479395303e-07 -2.604466412814824e-08 2.6251353242115912e-08 -1.330153796432561e-07 -1.3866829745718964e-08 -2.0770575572865282e-07 -1.280265925890806e-07 -4.9921764730299584e-08 -5.657457193641191e-08 8.28752582460115e-08 -6.192948902652344e-07 3.04130631505515e-06 2.654704966427427e-07 -1.1438488896508751e-06 -4.54168690470706e-07
pcs.V13 -2.1751598882367402e-05 -5.374193647797184e-06 1.9199171450002066e-07 -2.116349852281219e-09 4.046140379343294e-05 -3.078424164797137e-06 6.007711351091905e-08 -2.607710267935771e-10 -1.237839359127839e-07 3.547549470365037e-08 -6.950782107790125e-08 -1.0851800883392805e-07 -1.0523151141554158e-07 -1.1587191035947395e-07 -3.891138164611415e-08 3.6747749653888625e-08 4.6059108030512275e-08 -2.8476694793950784e-07 4.703754623512223e-06 -1.0722290458321853e-07 1.1202392459151151e-07 2.370411781277472e-08 -1.9118749709350805e-07 -6.191818537515806e-08 -2.7397241579412603e-07 7.62328456251946e-08 -3.426303172123775e-08 -6.40156416135783e-08 2.543083318072721e-06 -2.530579046663704e-06 -3.3722531089848973e-06 3.40723488624209e-08 7.888665153661482e-08
pcs.V14 -5.282030589405215e-06 5.220412342005265e-06 -1.512378874184058e-07 1.3477170661812716e-09 0.0001296899934482228 -1.2536637261750539e-05 3.76750596881973e-07 -3.5368765275352408e-09 -3.695258736893153e-08 -2.2217855612090834e-07 -6.554337473088406e-08 -6.040661363063206e-08 -1.8440413013107253e-07 -3.2957899882394387e-07 -1.9969551271596568e-07 3.2759419370719315e-08 -9.18612879016274e-08 -2.6044664128187417e-08 -1.0722290458325188e-07 4.502823535975268e-06 -6.77796938247973e-08 3.042567817889166e-08 -6.713332009525625e-08 -1.666320284153678e-07 8.893719781178251e-09 -1.278304573118726e-07 -1.3613033512039585e-07 9.537415675974804e-08 -6.073470859907507e-07 -9.789084518501142e-07 -1.1378105041085247e-06 3.517079631988734e-06 2.7749836059462834e-06
pcs.V15 -1.3103318068084232e-05 -4.049332136013632e-06 1.235216182766686e-07 -1.226033278957412e-09 2.025502859618768e-06 -6.511580566576293e-07 2.6265283724799616e-08 -2.703787791337227e-10 1.475939352160334e-08 -2.4154689192084365e-07 1.7424973300668063e-08 5.005959333815128e-08 1.1679095550308073e-07 -1.2826016742098002e-07 -4.43787553106866e-08 -5.192592273751228e-08 7.708278866841854e-08 2.6251353242127728e-08 1.1202392459151008e-07 -6.777969382477653e-08 4.609714085305663e-06 -1.0383697036852847e-07 -7.078941028258535e-08 -3.5734805272011852e-09 3.2065211439608386e-08 -2.3305855041284664e-07 -1.0622774398658655e-07 -1.2185002367203504e-07 -5.39018908177494e-07 -1.9472361116948923e-06 7.57003970221215e-07 4.4718197030432105e-07 1.8831529350549416e-06
pcs.V16 4.51666833738103e-06 -7.472728022800156e-07 -5.09100089095403e-10 1.5129791787208907e-10 -2.7593354156030896e-05 2.1168331927891513e-06 -4.902139820983654e-08 4.0029342131530445e-10 -3.9638840944928135e-08 1.0129866909741798e-07 -4.5976024451016955e-08 9.765329200073575e-08 -9.579317935986807e-08 -8.263130934523986e-08 -2.0376986587286694e-08 -1.865190447376727e-08 -1.766396268101205e-07 -1.330153796432522e-07 2.370411781277681e-08 3.04256781789004e-08 -1.0383697036852812e-07 4.577954871686718e-06 3.522148961380862e-09 -4.823858847589803e-08 -1.8260223233323896e-07 -5.2439135779415886e-08 -1.9861880330626592e-07 -6.010004465522888e-08 -1.4400859123361689e-06 6.718880307259455e-07 1.5452446271618507e-07 1.4324886531320017e-06 -5.3795882411576905e-08
pcs.V17 -8.05173234017699e-07 2.053940439314025e-07 1.0421090592224079e-08 -2.425649894223849e-10 -4.569585689221236e-05 4.2533518736041835e-06 -1.3052674066746e-07 1.2149778832730897e-09 -2.0566844637596967e-07 1.9878198216920772e-07 -1.8199932142731993e-07 -1.0848788466566234e-07 -1.4749206529456667e-07 8.239503302804403e-08 4.1764884101087215e-08 2.1386832459164693e-07 -7.415668509196196e-08 -1.3866829745701417e-08 -1.911874970934851e-07 -6.713332009525483e-08 -7.078941028257387e-08 3.5221489613809803e-09 4.787765009575533e-06 1.714437403922051e-07 2.6661736835210844e-07 7.823668224287504e-08 -3.880776724490355e-08 -3.0891346385201694e-07 -1.6563586506269614e-07 -1.2281451327621693e-06 -4.712077086148744e-06 -4.2283469077822767e-07 2.9400774468855066e-06
pcs.V18 9.928562485880515e-07 7.624747672554226e-09 2.2738647283308247e-08 -3.876110188300595e-10 -0.00010540537462869589 1.0765535627986966e-05 -3.3853267494332017e-07 3.2784552136861375e-09 8.788515476673565e-08 1.0813208633238377e-07 -2.0352550238563966e-07 4.261285241744751e-08 -1.2355625833868425e-08 8.849920746817482e-08 -9.92511671149831e-08 7.368943133706782e-08 1.5949398636556374e-07 -2.077057557286181e-07 -6.191818537511101e-08 -1.6663202841537143e-07 -3.5734805271772425e-09 -4.823858847589486e-08 1.714437403922097e-07 4.471930209975582e-06 -9.544378921412659e-08 1.3298941918088055e-09 -8.178146217628453e-08 1.4516628045168845e-07 8.866683409394037e-07 -4.113538151747781e-07 -1.8168323305547563e-06 -1.0648265809287812e-07 6.15318814323042e-07
pcs.V19 4.1448956532317776e-07 -2.2503114910057655e-06 5.979687150704653e-08 -4.6417744942390583e-10 -1.4389394897303106e-05 6.678118821789224e-07 -4.36858244550899e-09 -1.1096039175659638e-10 5.8058448758608286e-08 1.719298207598195e-07 1.564856633286571e-07 -6.650844011501671e-08 4.189327110997295e-08 1.9762924737531977e-07 -1.8674156145764366e-07 -4.188863649476132e-09 -1.4787173549289507e-07 -1.280265925890726e-07 -2.7397241579412863e-07 8.893719781199525e-09 3.2065211439607334e-08 -1.8260223233323957e-07 2.6661736835210077e-07 -9.544378921414444e-08 4.458139236852037e-06 1.8682836894927543e-07 1.6726179972631552e-07 -1.4958985693284447e-08 -2.1153090891341625e-06 -2.5187797408351064e-06 -4.118757185675824e-06 2.5121647222112136e-06 3.6667717529143566e-06
pcs.V20 -8.374211383284354e-06 -8.04088756077448e-06 2.331018750879619e-07 -2.1484282677004728e-09 -4.753637846191087e-05 4.84461336287816e-06 -1.5627581017440481e-07 1.56192302278296e-09 -3.070479339034761e-08 8.264721913734429e-08 1.3294126906292846e-07 2.9585485082644997e-08 -3.878642381739623e-08 1.3304462023236997e-07 -1.2068709085445786e-07 5.237211242804237e-08 9.090376505173495e-08 -4.9921764730257365e-08 7.623284562520995e-08 -1.2783045731182239e-07 -2.33058550412837e-07 -5.243913577941485e-08 7.823668224285207e-08 1.3298941917533579e-09 1.8682836894928665e-07 4.422612389495086e-06 1.870799398602438e-07 2.1629732143301862e-07 1.6995509647533966e-06 -1.739713158206346e-06 -7.581721859580936e-06 6.087823521889539e-07 5.7856400338983504e-06
pcs.V21 1.3419099604076934e-05 -7.48991407731388e-07 3.4796961410930074e-10 2.684075604684561e-10 -1.3851642318051278e-05 1.514418488017831e-06 -4.842959226807119e-08 3.8470625682830125e-10 1.227956878687483e-07 -3.6077918291811566e-08 9.830039287161684e-08 -1.4508508227666797e-07 -5.5914648930560846e-08 -2.932670554094321e-08 -2.651650864165601e-09 6.302912706688001e-08 -8.964265628741817e-08 -5.657457193640969e-08 -3.4263031721240826e-08 -1.3613033512038245e-07 -1.0622774398658898e-07 -1.9861880330626555e-07 -3.880776724490584e-08 -8.178146217629157e-08 1.6726179972631526e-07 1.8707993986023686e-07 4.557222759840645e-06 7.66131308467151e-08 -1.131105573123579e-06 3.855557811551125e-06 -1.4760649155731582e-06 -4.361837472543329e-06 1.6124875829121942e-07
pcs.V22 -8.97562097977543e-06 1.0437287238684976e-06 -1.033660473576577e-08 -8.571487243245728e-11 7.677658473159811e-05 -7.1927676453882395e-06 2.0591494407863762e-07 -1.8609888871446807e-09 8.423539599882402e-08 -1.6264893474417376e-08 6.413915153148751e-08 2.9238235744481877e-08 -1.4148978875539768e-08 -4.5799302475253976e-08 4.486880292737387e-08 -7.648277933989306e-08 1.3676243072894212e-07 8.287525824600177e-08 -6.401564161359287e-08 9.53741567597642e-08 -1.2185002367204393e-07 -6.010004465523452e-08 -3.0891346385202726e-07 1.4516628045167098e-07 -1.4958985693294112e-08 2.1629732143298778e-07 7.661313084670893e-08 4.521936768191977e-06 6.942351347204067e-07 3.5863480470207068e-06 -2.588810409028056e-06 -3.079538262726393e-06 1.513054815506067e-06
proband -7.388365647828357e-05 -1.7464955084477528e-06 2.7984417049139175e-07 -4.876720466466796e-09 -0.0002583585984221067 2.4111211837507137e-05 -8.116582943520202e-07 8.80035723623721e-09 2.6392718398499924e-06 -6.25353081871768e-07 1.853483031431679e-07 -1.4952425137092845e-07 1.2896999456355553e-08 -8.198980089238692e-07 -7.86223664915633e-08 4.983451816490297e-07 -1.5861878660870193e-06 -6.192948902651894e-07 2.5430833180728407e-06 -6.073470859910862e-07 -5.39018908177391e-07 -1.4400859123361087e-06 -1.656358650625981e-07 8.866683409396062e-07 -2.1153090891340672e-06 1.699550964753723e-06 -1.1311055731235138e-06 6.942351347202975e-07 0.0009012084594771029 -0.00043020346733540674 -0.0004773385965969699 -2.877799144341044e-06 3.690776144447536e-06
paternal 0.00027848748623320816 -2.72138031228428e-05 6.15506886328535e-07 -3.6561238231524784e-09 -0.0014291602654666643 0.00013093171795735187 -3.848214424114108e-06 3.717953815249028e-08 5.177810664477807e-06 -1.5354782349955937e-07 4.1033842494578456e-07 4.787016584846365e-06 1.6769767090853e-06 -1.7387481960818264e-06 1.367410898772334e-07 1.5930016615538025e-07 1.2459389672237512e-06 3.041306315055891e-06 -2.5305790466631755e-06 -9.789084518486954e-07 -1.9472361116946902e-06 6.718880307257937e-07 -1.2281451327625835e-06 -4.113538151758884e-07 -2.5187797408350764e-06 -1.739713158206513e-06 3.8555578115510436e-06 3.586348047021619e-06 -0.0004302034673354118 0.00361567405769452 0.0003546060715461724 -0.002537929085654497 -0.00010318205613827194
maternal 0.00022823814169360365 -1.956009262641051e-05 3.6908433504955526e-07 1.037422747353034e-09 -0.0008083460371194252 8.564694058304786e-05 -2.383130071012963e-06 1.9389985608261085e-08 -1.6750205537836005e-06 3.713768892841993e-06 -1.0978140079137393e-07 -5.483657086673577e-07 3.3516057923239427e-06 -2.702755321752565e-06 -2.419508379898922e-06 -3.7685223546100035e-06 3.3784835717731604e-06 2.654704966429863e-07 -3.372253108984816e-06 -1.1378105041080502e-06 7.570039702212716e-07 1.5452446271620047e-07 -4.712077086148832e-06 -1.8168323305550244e-06 -4.118757185675762e-06 -7.5817218595809684e-06 -1.4760649155731455e-06 -2.5888104090278264e-06 -0.0004773385965969716 0.0003546060715461776 0.003140100786190627 -0.00013585147040057706 -0.0021112769972604353
gp -0.00026483189291329326 3.723437854936733e-05 -8.045133750934122e-07 4.119281811088468e-09 0.0013704050032421536 -0.00011783208871444026 3.1142247477836417e-06 -2.6458010712842544e-08 -1.7382916070903963e-06 -2.8983945569872675e-06 2.383984630972322e-06 -2.3306314511502616e-06 -1.8143203931273873e-06 2.696043177386317e-06 -1.7581696932731088e-07 1.0572501572780663e-07 -9.209450630214941e-08 -1.1438488896514852e-06 3.4072348862047097e-08 3.5170796319875287e-06 4.4718197030416896e-07 1.4324886531321086e-06 -4.2283469077789256e-07 -1.0648265809195702e-07 2.5121647222111852e-06 6.087823521891603e-07 -4.361837472543265e-06 -3.079538262727142e-06 -2.8777991443364708e-06 -0.0025379290856544965 -0.00013585147040057235 0.00221219242235658 6.155027301835126e-05
gm -0.0001313534095071439 2.0963971435350993e-05 -5.785919364773517e-07 3.353638365686819e-09 0.0011394102433447083 -0.0001163118878534504 3.3632348249295453e-06 -2.942259750787912e-08 2.9784443329039366e-06 -4.405169083732148e-06 8.250355125591511e-07 2.4591865191240196e-06 -3.1167087330332447e-06 9.42810232401249e-07 9.560089779463034e-07 4.47694877267237e-06 -2.7250400599952107e-06 -4.541686904710219e-07 7.888665153635254e-08 2.7749836059461233e-06 1.8831529350547754e-06 -5.3795882411633524e-08 2.9400774468855e-06 6.153188143231209e-07 3.6667717529142054e-06 5.785640033898023e-06 1.6124875829114128e-07 1.5130548155059009e-06 3.690776144449065e-06 -0.000103182056138283 -0.002111276997260437 6.155027301836114e-05 0.001866250125402624
