 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gp gm
pcs.V5 5.081219540194133e-06 1.0947093472574001e-05 -2.3006980549457426e-07 1.5964173671344998e-09 0.0004106047299247826 -2.670414805697922e-05 5.579167386733926e-07 -3.728864637778267e-09 1.4048370345269328e-07 1.1109447560284435e-07 4.774331660750399e-06 3.0304449860616344e-08 -1.9281195980006783e-07 -8.423865320515305e-08 -3.0354158244624867e-07 -1.1914767100312592e-07 -3.3916781098774374e-07 3.162224881080772e-07 7.2154491247306155e-09 -8.467919508571971e-08 8.536859034068562e-08 -8.317803910898134e-08 2.9365035647319704e-08 -2.686713231228882e-07 2.022566394685342e-07 1.709534350231731e-07 1.8923895340922508e-07 -2.229298039967215e-08 2.7874253434674575e-07 -1.8514987307214347e-06 1.7795611618049277e-07 3.7663897851699374e-06 1.864619299521482e-06
pcs.V6 -9.923248669171996e-06 -3.488354813074868e-06 9.269322338887607e-08 -8.726417741494124e-10 -0.00010456934938049243 6.282727840796207e-06 -1.1132958859401163e-07 5.598828804948164e-10 -9.121855522429338e-08 2.913699062547395e-07 3.030444986062143e-08 4.804564628169597e-06 -2.58685238720485e-08 1.960228295021916e-07 2.0671551958443588e-07 -2.3230631005927783e-07 3.300132213090681e-07 -7.120347843019972e-08 6.934000905385372e-08 1.2676299530257383e-08 -9.507014779078252e-09 5.487787497620233e-08 -2.959331163075187e-07 1.1372656299417675e-07 -1.4172942056776565e-07 -1.0712858042745932e-08 -2.3316141178204478e-07 2.591515506707824e-07 5.346300660366472e-07 2.9975895427389946e-06 -5.1296593113214826e-06 -7.565386661980574e-07 8.179851604398676e-06
pcs.V7 3.3883826562608364e-06 -2.0558171302472277e-05 4.485792575190603e-07 -3.246292432403187e-09 -0.0008107694636533426 5.754488422113194e-05 -1.3449908912124887e-06 1.0334365105407709e-08 4.6315810613064516e-08 -1.9880617291085847e-07 -1.9281195980002072e-07 -2.586852387204709e-08 5.943306491968286e-06 1.840131337086383e-07 1.7301335365886914e-08 -2.1475466888005729e-07 2.018972685088331e-07 -3.5358797021307344e-07 -1.3442705792020994e-07 -3.496433004898864e-07 1.9484197962746819e-07 -2.098395992760038e-07 -1.328467091744126e-07 -9.149499203970005e-08 1.6810842443117952e-07 7.856113767858609e-08 5.886834773668853e-08 -2.8219123217221923e-08 3.1413774779691857e-07 2.5189656801991713e-06 1.2014766642299071e-05 -2.8596556455564344e-06 -9.570463018510604e-06
pcs.V8 -3.11243762966252e-05 -3.369339240393919e-05 8.422086347634205e-07 -6.91875532144679e-09 -0.00031636968211551906 2.036089599872443e-05 -4.12287021614895e-07 2.599242924889691e-09 3.888857717839654e-07 -6.285329549273955e-08 -8.423865320476668e-08 1.9602282950210797e-07 1.8401313370778732e-07 5.638091505981184e-06 7.337240080402779e-08 -7.493825898698214e-08 2.6519224773440716e-07 3.4735489128170384e-07 8.362784556098616e-08 -4.269766406175557e-07 -2.0951583152517226e-08 -2.0649029942062104e-07 -2.6332653089949734e-09 1.0049826155353501e-07 1.6701569157875396e-07 3.190775231826591e-07 4.0767016322391733e-08 -1.0199041448957343e-07 -2.8335010232432834e-07 1.0249668973164039e-06 1.6916193523048056e-06 3.7908489119883107e-07 -3.923443197779973e-06
pcs.V9 1.556181911546038e-06 6.932045764594028e-06 -1.3084401779705047e-07 6.926020955532122e-10 0.00017214156916928625 -1.0233478706853209e-05 1.7970391376684014e-07 -7.776987100171632e-10 -2.611879991679119e-07 1.1873945143092168e-08 -3.0354158244626476e-07 2.0671551958443858e-07 1.7301335365905688e-08 7.33724008039089e-08 5.751209558805849e-06 3.458137628768652e-08 3.2713330982210273e-07 -1.739517253947068e-07 -4.5384897170391804e-08 -3.62656695342188e-07 3.5514041258551215e-08 -3.3388769805364264e-08 1.1144871529322072e-07 -8.549479906769109e-08 -3.927408181109244e-07 -2.1413952611443146e-07 -8.635678367318206e-08 7.033766403055625e-08 1.0706377806234281e-06 4.771751213716989e-06 -1.9363510597789114e-06 -4.385034113239365e-06 -7.43662926201568e-07
pcs.V10 9.580999234553924e-06 2.7956620676858557e-05 -7.010543050110939e-07 5.732223745272619e-09 0.0009627305253583927 -7.208851273810137e-05 1.75437858668694e-06 -1.3889965269946485e-08 2.452050805777798e-07 2.1590760448197813e-07 -1.1914767100325854e-07 -2.323063100592633e-07 -2.1475466887989198e-07 -7.493825898802383e-08 3.458137628768619e-08 6.074578342520575e-06 -9.167107642102129e-08 1.6548721398943015e-07 2.924018401794053e-07 2.926416370697321e-07 8.061456965827017e-08 5.800269761912717e-08 6.086538744199276e-07 2.382054491792229e-08 1.0499089794697425e-11 3.714303458925921e-07 7.936892199411964e-08 -2.4428381702139715e-07 3.2913854344918223e-06 5.303567332694873e-06 -1.3713004624209663e-05 -3.978731115079108e-06 1.2093570397507251e-05
pcs.V11 -1.1124206793575235e-05 1.8768619466129425e-06 -1.6774021388633306e-08 -8.967202372157383e-11 -4.55587155952312e-05 1.0547282027766725e-06 3.392960472338945e-08 -7.338239699295428e-10 -4.243451091153861e-07 1.6967281759852514e-07 -3.3916781098779604e-07 3.300132213090799e-07 2.018972685089526e-07 2.6519224773444586e-07 3.27133309822084e-07 -9.16710764211748e-08 6.038121817939919e-06 -7.714038670817378e-08 3.2422136250341857e-07 -1.6242944006145797e-07 1.816923889894269e-07 -2.901170366155797e-07 9.59807661966418e-08 4.820117432125912e-07 -1.820903732345182e-07 1.140110615697621e-08 -2.10356906179298e-07 2.0698369193965765e-07 -3.882521601749733e-06 6.217109944175046e-07 1.1247038471642434e-05 -8.930928678740432e-08 -6.723554361550172e-06
pcs.V12 -1.1110598954785824e-05 -2.48167528915214e-05 6.005552412103018e-07 -4.66924924013649e-09 0.0002575827083779729 -1.9010127093007812e-05 4.6575313910778394e-07 -3.795724369316946e-09 1.7484463580610704e-07 -2.3719983970777383e-07 3.1622248810851893e-07 -7.120347843030378e-08 -3.5358797021412556e-07 3.473548912810631e-07 -1.7395172539454448e-07 1.6548721399084271e-07 -7.714038670813033e-08 5.550312382482161e-06 -1.7651612292238432e-07 -2.429116539875093e-08 -1.7472652195835435e-08 -3.245408587615759e-07 -3.3114113037367064e-08 -2.5918534597760237e-07 2.9326114489591605e-08 1.1662063477870545e-07 -1.5402881604617357e-07 2.079260419153471e-07 1.9880068949830657e-06 4.26712080443767e-06 -8.880462623653312e-06 -2.6810171228830343e-06 5.031313187433032e-06
pcs.V13 -2.3725382127672953e-05 2.3095592196737986e-05 -4.517620197387859e-07 2.6251714815576803e-09 0.00021972810828400192 -1.736132814326674e-05 4.2684018538864906e-07 -3.3125564529204754e-09 -8.233711573618301e-08 1.5498488092412364e-07 7.215449124444549e-09 6.934000905391564e-08 -1.3442705791958824e-07 8.362784556094605e-08 -4.538489717048085e-08 2.924018401786539e-07 3.242213625034527e-07 -1.765161229229022e-07 5.777387798026317e-06 -5.1651175310756294e-08 4.0087820876265453e-07 1.8566117789750157e-07 -1.9903444749222412e-07 1.515073367931579e-07 -1.4724875432496422e-07 1.964497861957561e-07 -1.2142525339678529e-07 -4.65883640693481e-08 2.8367549073618378e-06 -6.98318011220803e-06 -5.8818206232671475e-06 5.522992422362202e-07 3.2005055768288544e-06
pcs.V14 -9.537827582188693e-06 1.0444301652662918e-05 -2.784054609970386e-07 2.3410598118410865e-09 0.00030614170118537166 -2.5735563862406216e-05 7.073488043817767e-07 -6.3049058585559805e-09 5.420762648760272e-08 -1.242214231515958e-07 -8.467919508583523e-08 1.2676299530277085e-08 -3.496433004896735e-07 -4.2697664061790446e-07 -3.6265669534221123e-07 2.9264163706953893e-07 -1.6242944006140037e-07 -2.429116539934203e-08 -5.165117531051577e-08 5.75848971819385e-06 1.36378338889796e-07 -2.7199967910910377e-08 -1.2217363548427612e-07 -3.320944676510854e-08 -3.935091486448928e-08 -3.090593055742295e-07 -3.8897059250285604e-07 1.429552888701243e-07 -1.1403347760823456e-06 1.3120516420661457e-06 -8.628643200990339e-07 2.3603071964703218e-06 4.006293057016337e-06
pcs.V15 -2.039419938811685e-05 -1.8005142312476678e-05 4.747226987998152e-07 -4.126032259219086e-09 -4.192608452714636e-05 3.844966020087891e-06 -1.1318548445264055e-07 1.0782270971148511e-09 2.4580470574438585e-07 -3.9420383752662084e-07 8.536859034094557e-08 -9.507014779135979e-09 1.9484197962687897e-07 -2.0951583152641323e-08 3.551404125863657e-08 8.061456965901519e-08 1.8169238898941864e-07 -1.7472652195545515e-08 4.008782087627743e-07 1.3637833889006872e-07 5.9524427923762065e-06 -1.4697393758691677e-07 2.7874662724000443e-08 1.513899308752535e-07 -5.623072510553719e-08 -1.648797074938842e-07 -3.6817559158127853e-07 -1.3923123909545175e-07 1.4343528771208757e-06 -4.935729908990215e-06 9.50699114636511e-06 9.503660124495742e-07 -3.6294894419042977e-06
pcs.V16 1.2018488402363944e-05 4.523980699667414e-06 -1.6895356765689844e-07 1.767605582511243e-09 -7.499629618134254e-05 4.166594517548907e-06 -6.825758718641776e-08 3.544705327817646e-10 1.0563587639834249e-07 1.34419751010852e-07 -8.317803910909994e-08 5.4877874976229575e-08 -2.098395992757244e-07 -2.064902994204812e-07 -3.33887698054068e-08 5.8002697618757845e-08 -2.901170366155873e-07 -3.245408587616129e-07 1.8566117789738444e-07 -2.719996791106007e-08 -1.4697393758686073e-07 6.0782542502181505e-06 -9.002705964465886e-08 1.313805222919351e-07 -2.4185743459694417e-07 -2.0022584823961555e-07 -2.957352211278714e-07 1.3830079545686634e-08 -9.447384382536905e-07 -2.635967380222464e-06 -5.069380745934568e-06 3.805645967402591e-06 3.763035502189643e-06
pcs.V17 1.4279216361687957e-06 5.423501110718963e-08 -1.0244391249024308e-08 8.505344125418514e-11 -0.00023908242648064206 1.643468054584555e-05 -3.773926902063435e-07 2.8169182011084903e-09 -6.237833104806888e-08 3.1371419964185484e-07 2.9365035647238637e-08 -2.959331163074971e-07 -1.3284670917419558e-07 -2.633265308682765e-09 1.1144871529318277e-07 6.086538744196023e-07 9.59807661966078e-08 -3.311411303714439e-08 -1.9903444749246293e-07 -1.221736354844423e-07 2.7874662724184395e-08 -9.002705964472527e-08 6.243295177807187e-06 2.108561268794054e-07 5.101660284778384e-07 1.3743667042217446e-07 1.2384658516173235e-07 -4.987934153554577e-07 -1.4147154927869608e-06 5.497312935548062e-07 -7.296298448388245e-06 -8.873685523464664e-07 6.457693278389516e-06
pcs.V18 5.501876527000273e-07 2.971416360278886e-05 -6.885094593905616e-07 5.146032044486016e-09 0.0007930904573729122 -5.5358889727661346e-05 1.2497725008929733e-06 -9.163769252735185e-09 -8.969210326353149e-09 -1.1511719797293647e-09 -2.686713231230802e-07 1.1372656299420891e-07 -9.149499203936149e-08 1.0049826155284719e-07 -8.549479906772305e-08 2.3820544917640815e-08 4.820117432127028e-07 -2.591853459787078e-07 1.5150733679364365e-07 -3.320944676507553e-08 1.5138993087472793e-07 1.3138052229221717e-07 2.1085612687970513e-07 5.330337713478644e-06 -1.8431244309621864e-07 1.5841566324376386e-07 -9.31917261518967e-08 2.5894250049492784e-07 8.190350934691192e-07 3.522550992094115e-06 -1.3575418319737831e-06 -4.086747380764004e-06 8.836755892453538e-07
pcs.V19 -1.378345702138121e-05 -4.044700630737254e-05 9.889275000661742e-07 -7.821229161085155e-09 -0.00014590865775129867 1.0506629475349892e-05 -2.458468907093723e-07 1.826170220491643e-09 -1.1224039472369259e-07 3.7624348495824115e-07 2.0225663946911358e-07 -1.4172942056789435e-07 1.68108424429867e-07 1.670156915784703e-07 -3.927408181107336e-07 1.0499091458711241e-11 -1.8209037323453595e-07 2.932611449022881e-08 -1.4724875432469224e-07 -3.9350914863879604e-08 -5.623072510554181e-08 -2.418574345970673e-07 5.101660284774294e-07 -1.843124430950451e-07 5.664752822345196e-06 4.058375058541458e-07 1.52839566536021e-07 -4.2419464307428246e-08 -3.954147641547188e-06 -7.837260256712833e-06 -7.188833456905664e-06 5.8105230502107664e-06 6.955547733417953e-06
pcs.V20 -1.1832660866974668e-05 1.1331807320547775e-05 -1.8629860973454986e-07 7.868215412893998e-10 0.0004080332308470343 -2.6587837307148215e-05 5.514259733539402e-07 -3.6426695927017934e-09 -1.8893362131208393e-07 2.843228245378801e-07 1.7095343502316635e-07 -1.0712858042749052e-08 7.856113767855314e-08 3.1907752318228936e-07 -2.1413952611441886e-07 3.714303458927056e-07 1.140110615702781e-08 1.166206347782724e-07 1.9644978619603006e-07 -3.0905930557412196e-07 -1.6487970749413597e-07 -2.0022584823949884e-07 1.374366704222576e-07 1.5841566324393848e-07 4.0583750585358675e-07 5.76405067541178e-06 2.204723060162642e-07 1.3790766168897745e-07 3.8358242754923115e-06 -8.816933364965762e-06 -1.4375041204145475e-05 2.7594672028596265e-06 1.0287584355572277e-05
pcs.V21 2.187858457885432e-05 3.180266581605132e-08 -3.6579897690843405e-08 7.053635901738336e-10 -0.00039866125598579915 2.7939102702846425e-05 -6.480775653258535e-07 4.882404137964201e-09 1.867135307692881e-07 4.110011327475181e-08 1.8923895340910938e-07 -2.331614117820128e-07 5.886834773700736e-08 4.0767016322907577e-08 -8.6356783673238e-08 7.93689219936291e-08 -2.1035690617935633e-07 -1.5402881604577626e-07 -1.214252533971744e-07 -3.889705925031164e-07 -3.6817559158096735e-07 -2.957352211279882e-07 1.2384658516171809e-07 -9.31917261523596e-08 1.5283956653670996e-07 2.2047230601614777e-07 5.876730706917176e-06 -3.917755689020633e-08 -1.979320936586381e-06 1.2192823318507547e-05 -2.695443159257571e-06 -1.158262384656682e-05 1.191583943386869e-06
pcs.V22 -2.0591533780236367e-05 2.6402543081000738e-06 1.32297792475562e-08 -7.688928630126322e-10 6.08460627313436e-05 -4.527626338833799e-06 1.0817500224705837e-07 -8.456775790271483e-10 -1.6093813713563343e-07 -2.579447711150134e-07 -2.2292980399692124e-08 2.591515506707874e-07 -2.8219123217188627e-08 -1.0199041448961512e-07 7.033766403055088e-08 -2.4428381702143104e-07 2.069836919396676e-07 2.0792604191526436e-07 -4.6588364069311796e-08 1.429552888701249e-07 -1.3923123909548703e-07 1.3830079545707183e-08 -4.987934153554327e-07 2.589425004949183e-07 -4.2419464307510414e-08 1.3790766168896133e-07 -3.9177556890170945e-08 5.978102920966107e-06 5.557873224552607e-07 7.19687263234643e-06 -7.180041878205419e-06 -5.404267937929399e-06 5.977291930363539e-06
proband -4.901630989030038e-05 7.585681188643265e-05 -1.8376724773478796e-06 1.3522398385803572e-08 0.0030897490306519763 -0.00022890093196307543 5.425893044408245e-06 -4.122332692868274e-08 3.692615620079475e-06 -2.5112974474147062e-06 2.7874253434649116e-07 5.346300660366595e-07 3.141377477970664e-07 -2.8335010232766337e-07 1.0706377806234847e-06 3.291385434492287e-06 -3.882521601749264e-06 1.9880068949788335e-06 2.836754907364262e-06 -1.1403347760815727e-06 1.4343528771185503e-06 -9.447384382525688e-07 -1.4147154927860564e-06 8.19035093470327e-07 -3.954147641552377e-06 3.835824275492113e-06 -1.979320936585069e-06 5.55787322455378e-07 0.0009850022857878723 -0.0005235341898237303 -0.0005108543696979075 6.336497991466914e-05 -2.2232450041663414e-05
paternal 0.00041192755665889024 -0.0007864147644384151 1.8155258350528584e-05 -1.347668405247389e-07 -0.014038287807023183 0.0010528967636125892 -2.5977913651209104e-05 2.1157201555963132e-07 4.24074985789595e-06 5.156309878987728e-06 -1.8514987307140175e-06 2.997589542737577e-06 2.518965680184107e-06 1.0249668973274077e-06 4.77175121371886e-06 5.303567332711119e-06 6.217109944152988e-07 4.267120804462568e-06 -6.983180112215245e-06 1.3120516420695918e-06 -4.9357299089804335e-06 -2.6359673802285436e-06 5.497312935465225e-07 3.5225509921018244e-06 -7.837260256690857e-06 -8.816933364958744e-06 1.219282331849451e-05 7.196872632346926e-06 -0.0005235341898236728 0.005200990291159697 0.0005499115575157442 -0.003756036584796393 -0.0002050280161294838
maternal 7.549183497159959e-05 0.00015308898438970694 -2.2248942982080244e-06 1.061318071411624e-08 -0.004618694579440575 0.0003797610159281095 -9.829194126354853e-06 8.09654886811212e-08 -9.020046705015086e-06 -6.285469177494304e-06 1.7795611617748313e-07 -5.12965931132069e-06 1.201476664230675e-05 1.6916193523136022e-06 -1.9363510597801904e-06 -1.3713004624220781e-05 1.1247038471641567e-05 -8.880462623648252e-06 -5.881820623273836e-06 -8.628643201043261e-07 9.506991146370034e-06 -5.069380745936206e-06 -7.296298448387658e-06 -1.3575418319834482e-06 -7.188833456894706e-06 -1.4375041204148479e-05 -2.6954431592560937e-06 -7.1800418782061165e-06 -0.0005108543696979377 0.0005499115575160058 0.004811785574852133 -0.0002761444903883355 -0.003402148445450573
gp -0.00029081211773484124 0.0005616241018008323 -1.309100969976778e-05 9.70852636359848e-08 0.00826166443986937 -0.0006030273956477727 1.4363174637708428e-05 -1.1252753816420964e-07 2.6734143643032405e-06 -7.922142329058517e-06 3.7663897851641492e-06 -7.565386661968988e-07 -2.8596556455442846e-06 3.7908489119389747e-07 -4.385034113240971e-06 -3.978731115092956e-06 -8.930928678615292e-08 -2.6810171228982732e-06 5.522992422392037e-07 2.360307196466594e-06 9.503660124443886e-07 3.8056459674062125e-06 -8.87368552340776e-07 -4.086747380771796e-06 5.81052305019909e-06 2.7594672028541123e-06 -1.1582623846557768e-05 -5.40426793792994e-06 6.336497991462213e-05 -0.0037560365847963246 -0.00027614449038816 0.003241117012435714 0.0001272080552837955
gm -3.190175172778105e-05 -0.00023711724177625937 4.299198967905119e-06 -2.5821536389763464e-08 0.0005692183174183052 -0.00010617039613764681 3.835785351765628e-06 -3.8277611991892005e-08 6.7411187383976165e-06 5.935736876331076e-06 1.8646192995245564e-06 8.179851604397936e-06 -9.570463018517929e-06 -3.923443197784712e-06 -7.43662926200433e-07 1.209357039751714e-05 -6.72355436154984e-06 5.031313187432701e-06 3.2005055768325936e-06 4.006293057020486e-06 -3.629489441906465e-06 3.7630355021900014e-06 6.457693278388025e-06 8.836755892531267e-07 6.955547733413101e-06 1.0287584355575282e-05 1.1915839433841252e-06 5.9772919303640764e-06 -2.2232450041635248e-05 -0.00020502801612966792 -0.0034021484454506033 0.00012720805528391006 0.0029903854623764
