 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband maternal gpm gmm
PC.PC15 -1.6262848182600556e-06 -2.541698551857687e-08 1.8942509213152634e-08 -4.052541447787155e-07 -6.48618850306786e-07 -4.018123785189957e-07 1.9309021099629664e-08 -9.822537835430724e-08 4.441613931002241e-08 -7.965469944814572e-09 7.490300718660625e-09 1.7983073095562958e-07 3.40804169221439e-08 -2.2260522239905628e-08 2.5085141520902764e-08 -3.079790435879963e-08 1.3690941454857752e-07 1.0946625111649046e-07 -7.923102121894935e-08 8.79033887891792e-08 1.9151338556774813e-06 -1.878824411129812e-08 -1.693756064489758e-08 -9.446340955688012e-08 1.414437635881368e-07 1.3514179747617394e-08 3.8053535370593745e-07 -3.588066084898232e-07 3.097443992311984e-06 -9.644987770159885e-07
PC.PC16 5.704647641610269e-07 -2.2387794210601973e-08 -1.8857376496546344e-06 4.3805856497000453e-07 3.5789316253458e-06 1.6942936103685558e-06 -6.656983501436952e-08 2.117881207353758e-08 2.2218335399166795e-10 7.561556201214952e-08 -4.7966703365496335e-08 -9.362265606767035e-08 -3.776017261412626e-09 1.8772424013223968e-08 5.921399837864724e-08 3.2013956544263886e-09 -5.010692270979996e-08 2.6118756760392744e-07 8.893541361548885e-08 -8.239678324378985e-08 -1.8788244111298138e-08 2.028003977308321e-06 -6.634725263949425e-08 -4.0402723091503366e-07 -7.684574167188817e-08 1.5672672256926493e-07 -3.471873938809556e-07 -1.3921774583215464e-06 6.594038435226193e-07 1.903464313561655e-06
PC.PC17 8.639179139821202e-07 6.529405043373291e-08 -1.9377789052364082e-07 -1.2793262164949497e-06 7.093142213793281e-07 7.675429319749859e-07 -1.1545223048334957e-09 -9.145156161567543e-08 5.0084468755483486e-08 -4.6059509531784194e-08 5.747216931264217e-09 -2.0916903756723294e-07 -2.4200176927249613e-08 -4.974076506101362e-08 -5.1603760627108505e-08 2.8498824294284183e-08 1.2870047823090839e-08 -1.6360534758534397e-07 3.0324608956836994e-08 -2.852565048525726e-08 -1.693756064489776e-08 -6.634725263949569e-08 1.8838147534982971e-06 4.785530950946657e-08 -1.6710752771718213e-07 1.1721043968402141e-08 -3.8954142740175606e-07 4.7263845860604344e-07 -1.5524060046812473e-06 -2.862277733730661e-07
PC.PC18 5.76415775605521e-07 4.2329154284443e-08 -1.3587749249646468e-06 -3.911692238186863e-06 -3.6579958795849317e-06 -9.593929409007792e-07 1.039090882927068e-08 -4.9593211875632774e-08 1.8554748935216365e-08 -9.948450864968373e-08 5.662729342606034e-08 6.107303307583553e-08 3.713062961346825e-08 -4.444294826687245e-08 -2.9332065492470243e-09 -2.3177960140862848e-07 -8.61787403191006e-08 -7.985279155335632e-08 -1.6080100186808194e-08 6.240995454183894e-08 -9.446340955688064e-08 -4.0402723091503223e-07 4.7855309509466856e-08 2.9695278267788346e-06 1.2850576192079455e-08 2.148295626287098e-07 1.9564112006173672e-07 -1.611365481506639e-06 1.7082657919090986e-06 -1.4279662789826753e-06
PC.PC19 -9.59527737873554e-07 -5.528246236354344e-08 -7.186642278037052e-07 -5.384120561577076e-07 -6.219754645628442e-07 -2.6314583714154726e-07 7.986972887282573e-08 -1.2949958796446949e-07 -3.345865404743957e-08 1.1022368461031633e-07 1.6643850576629006e-07 1.265632176558173e-07 -6.373446427332829e-08 -9.596455657884419e-08 2.250575423518805e-07 2.680892791638325e-08 2.694465448167111e-08 3.450697058285046e-07 -1.7947378163418594e-07 5.631768956439451e-08 1.4144376358813708e-07 -7.684574167188906e-08 -1.6710752771718165e-07 1.2850576192079808e-08 2.853953400730771e-06 3.293304707234558e-07 7.544066863289328e-07 -5.5269885331001237e-08 -1.0036161368868228e-06 -1.8899335472120294e-06
PC.PC20 1.2711350612836082e-06 -3.9445245290279503e-08 4.471587620584506e-07 -4.3969334127712534e-07 7.216472002231359e-08 2.859657080055209e-07 -9.565542774644631e-08 7.565159493549719e-08 -4.253261118896007e-08 1.1656779661703475e-07 -3.187031678566485e-08 -1.669025545015933e-07 -4.380375639746483e-08 -1.1480582290758886e-07 -1.4408124329275522e-07 2.7322096556965938e-08 -1.1128620522973348e-08 7.738735573527686e-08 -1.0071479139520883e-07 -5.425238780403104e-08 1.3514179747617013e-08 1.5672672256926514e-07 1.1721043968402048e-08 2.148295626287095e-07 3.2933047072345604e-07 2.074101088470773e-06 -7.304322252915035e-07 -4.28055658220886e-07 -7.594301909344239e-07 1.589457585295891e-06
proband 3.0963478936778596e-06 -3.941209890891609e-07 -1.1600249088093258e-05 -1.9380111013223673e-05 -4.401547347824428e-06 1.5682102157205885e-06 3.311795518004142e-07 -1.6942774170891606e-07 -7.543118099957076e-07 -8.087518366768537e-07 -3.408941154224858e-07 6.105371543872012e-07 6.867384615682304e-07 1.1130381977083063e-07 -9.636041204358593e-08 1.3143346954855346e-07 -9.357136733846254e-08 7.939466424348716e-07 4.1376969638000385e-07 2.4147022295237226e-07 3.805353537059368e-07 -3.471873938809535e-07 -3.895414274017537e-07 1.9564112006173847e-07 7.544066863289271e-07 -7.304322252915048e-07 0.0002789572004529904 -0.00014379831874416766 -5.036060148998354e-06 1.6769812444073807e-05
maternal 3.23930690812667e-06 2.381435510691281e-06 1.4554625064995153e-05 9.330760831732624e-07 1.3537184296252409e-05 9.367086108798179e-06 3.1400961230091715e-07 1.4460738877738879e-06 9.220566944126041e-07 -2.5404090740592437e-07 1.0051724475836303e-06 6.111560990931359e-07 2.079699662329556e-06 -5.675968823756289e-07 -2.793522235769775e-06 1.573061061863008e-06 2.7088787855172274e-07 -1.173323498400873e-06 1.8175353685642507e-06 -4.654432682599308e-07 -3.5880660848981274e-07 -1.3921774583215584e-06 4.7263845860603396e-07 -1.6113654815065994e-06 -5.526988533098279e-08 -4.280556582208868e-07 -0.00014379831874416623 0.0010554187652756823 -0.0008274832726916213 -0.0006340008556820838
gpm -1.490484064407889e-05 -3.0221894506007917e-06 -1.3467551709685973e-05 2.4365229277825808e-05 3.3815327465122104e-05 8.764909097049445e-07 -2.845042980832138e-07 -1.2802955388598482e-07 -3.878949730084423e-06 -3.6391426646593546e-07 9.349348149372756e-07 -1.6786262235171137e-06 -1.1137684271696319e-06 -3.922506290674244e-07 3.393388154195927e-06 -1.361004796129545e-06 1.5041915969489288e-06 4.268659747828762e-06 -9.560923025695785e-08 2.3477240184400693e-06 3.09744399231198e-06 6.594038435226299e-07 -1.5524060046812454e-06 1.7082657919090458e-06 -1.0036161368868292e-06 -7.594301909344219e-07 -5.036060149000097e-06 -0.0008274832726916195 0.002618957086570203 -0.0009655935223057447
gmm 1.3712644989294413e-05 -2.230682139340789e-07 3.178295783377141e-05 1.5707946236498133e-05 -4.7653107577108204e-05 -2.099859986332463e-05 6.535952371068592e-07 -5.200862473595432e-07 9.728459972239162e-07 2.8293292648368184e-07 -3.7293693287767817e-06 -2.016683408808734e-06 -1.613593226239873e-06 3.1737644646239175e-06 1.2738545177647378e-06 -1.4637676794455334e-06 -2.2140564608207886e-06 -1.912088073484404e-06 -2.9125693438663908e-06 -1.7702626053552486e-06 -9.644987770160008e-07 1.9034643135616626e-06 -2.862277733730605e-07 -1.4279662789826937e-06 -1.8899335472120479e-06 1.589457585295891e-06 1.6769812444072977e-05 -0.000634000855682084 -0.0009655935223057437 0.002237277376948056
