 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
pcs.V15 -5.044070633151582e-06 -2.55309376211164e-07 4.913607866812268e-09 -3.0077291402246e-11 3.086404429538183e-05 -3.4512727745922078e-06 1.1482829376227371e-07 -1.1812853282151089e-09 2.619726287351038e-08 -1.6948453772899168e-07 1.2007976149415614e-08 4.138309148708383e-08 1.015377071301345e-07 -7.345996586848201e-08 -2.3901876147560635e-08 -4.312792226082306e-08 8.765948383205932e-08 2.9764308774103976e-08 6.764538937922646e-08 -4.512666310216014e-08 3.549394355646003e-06 -9.355745479096364e-08 -3.3636580031372476e-08 -1.4021054295883914e-08 3.312000975657687e-08 -1.511344524414607e-07 -3.1887422320976056e-08 -6.162677583274119e-08 1.20926457907378e-06 -2.3779169690253536e-06 -5.92376408626473e-07 -1.1683498203413416e-06 5.012734975527553e-06 1.4200441370822584e-06 -4.7294581915910315e-06
pcs.V16 -1.056217635249031e-06 -2.3879541405658865e-06 5.86308879413985e-08 -4.928046105660574e-10 -3.8401237105977105e-05 3.312162986739826e-06 -8.996530894319063e-08 8.20648754660682e-10 -2.47786631409566e-08 6.672527281877019e-08 -5.014169733412403e-08 6.750389642292939e-08 -7.437560833228258e-08 -3.2070680817751224e-08 -2.786896087591197e-08 -3.7544082401082497e-08 -1.462515908477285e-07 -9.681269397562137e-08 1.0434228813665061e-08 1.738050321890194e-08 -9.355745479094581e-08 3.509463988379503e-06 1.5250619544677307e-08 -3.8223941694286374e-08 -1.368283102814808e-07 -6.169215207942446e-08 -1.4878748261821117e-07 -3.244389738020771e-08 -9.106038768678853e-07 -2.1396602179501795e-07 3.154608657492578e-06 -5.346219005202527e-07 2.4106231371243277e-06 -5.918182764154099e-06 1.4461911568931426e-06
pcs.V17 9.620285664169995e-07 1.4777765345211966e-06 -3.605611427534918e-08 2.6781159484556104e-10 -2.1109212773422224e-05 1.752840424009239e-06 -4.9035424940123044e-08 4.00004311533464e-10 -1.0864214661708296e-07 1.2094063414980497e-07 -1.0123049201124975e-07 -5.593487664935411e-08 -8.515478452507128e-08 6.99129148672473e-08 2.4983474345392463e-08 1.7120618880281266e-07 -3.5731433765366265e-08 8.79174467953602e-09 -1.3256491749099815e-07 -2.688114909500426e-08 -3.363658003137808e-08 1.5250619544691928e-08 3.674738407245346e-06 1.153215579752133e-07 2.153601026345878e-07 6.579726804011622e-08 -3.640102904012754e-08 -2.205406630432273e-07 7.324004053584034e-07 -4.637429765650529e-07 5.029013735821959e-07 -5.111244432341109e-06 5.753132340387576e-06 -2.163577602656577e-06 -2.3286811911659023e-06
pcs.V18 -2.426922780750258e-07 -4.787451786453526e-08 1.7048720860288863e-08 -2.885907561961335e-10 -6.141984227689087e-05 6.426418613553438e-06 -2.0720533938729435e-07 2.058479833430259e-09 4.892670277110272e-08 6.187996650798239e-08 -1.6029033832306225e-07 2.2686852419401623e-08 -2.5837321735000434e-08 8.243080972058402e-08 -7.514259646200821e-08 3.423379417811507e-08 1.1445892754201886e-07 -1.3694450255702597e-07 -3.4098767315614755e-08 -1.333418910186318e-07 -1.4021054295882165e-08 -3.8223941694254835e-08 1.153215579752024e-07 3.393061668495567e-06 -6.313389444273134e-08 1.2368509819557793e-08 -4.1041516240975615e-08 1.107781564557029e-07 7.850601359930846e-07 -4.860803022506589e-06 -5.511083321094597e-07 1.4655127676381166e-07 5.324013571103616e-06 1.199257162928082e-07 4.197238852647598e-07
pcs.V19 5.764270835181881e-06 6.986921196231128e-07 -3.415758521455533e-08 4.719154652189239e-10 5.276643686989813e-06 -1.1994133863129854e-06 5.347986119347311e-08 -6.808456113650837e-10 6.35901944783636e-08 1.1314934656608456e-07 1.1527718019930236e-07 -3.276660308347041e-08 1.6418558455592726e-08 1.4840839545060548e-07 -1.3112264362183656e-07 5.54353220151416e-09 -1.087709670933162e-07 -7.476144100766855e-08 -2.1396921276695292e-07 1.404583550633143e-08 3.312000975657065e-08 -1.3682831028147945e-07 2.153601026345933e-07 -6.313389444271956e-08 3.4173654419889965e-06 1.1126320031336057e-07 1.4641990465476044e-07 -1.929625558726301e-08 -1.356244009704274e-06 8.998277598531526e-07 4.026074787333057e-06 -2.779384861171302e-07 8.359413351052444e-07 -1.0232302874121553e-06 -6.284729819407261e-06
pcs.V20 -8.645618515020967e-07 -4.0887255575162714e-06 1.0944984970830754e-07 -9.187148919385867e-10 -2.3730605087727273e-05 2.225183548587528e-06 -6.696281172173498e-08 6.284451371935393e-10 -1.2419735953064955e-08 6.5502867456168e-08 8.78251968999589e-08 9.472631989032449e-09 6.221143621743192e-09 9.24879440102185e-08 -9.324504013442279e-08 1.3349443640925042e-08 8.322698378265303e-08 -2.0962180599413073e-08 3.266914297965533e-08 -1.0097810962694114e-07 -1.5113445244143734e-07 -6.169215207943604e-08 6.579726804009945e-08 1.236850981951431e-08 1.1126320031336323e-07 3.381797533352587e-06 1.5719233008666352e-07 1.5833828008734467e-07 3.225786273859862e-07 1.212473989484911e-06 -7.244043131676246e-07 -1.479570415630874e-06 -6.582468871994718e-07 -2.60119561406748e-06 1.1072732453597504e-06
pcs.V21 1.4142191918113559e-05 2.563634623400228e-06 -9.857720918440356e-08 1.1913203149442675e-09 3.363222493030749e-05 -3.1829169639206734e-06 9.752633557487849e-08 -1.0263033762876573e-09 1.2436957063401268e-07 -7.271453128180416e-08 7.456356321467986e-08 -1.0559247941225501e-07 -3.486408492887968e-08 -6.940183738664092e-10 4.335122827405368e-09 5.1973998535021465e-08 -5.614719504900808e-08 -1.1344739674133792e-08 -4.8630970563926105e-08 -9.456504740596522e-08 -3.188742232100179e-08 -1.4878748261820154e-07 -3.640102904011002e-08 -4.104151624092812e-08 1.4641990465475745e-07 1.571923300866602e-07 3.5074555738894057e-06 4.709880982891231e-08 3.208937723039989e-07 -3.0088812991666124e-06 -9.808533060393648e-07 4.0542912670836835e-06 -1.638092669058466e-08 2.3179933795437524e-07 -1.039222275613577e-06
pcs.V22 -8.415966232564272e-06 -7.046673708913594e-07 3.794248317907392e-08 -5.020634736787053e-10 3.779150654395183e-05 -3.432682482525409e-06 9.508475628794817e-08 -8.336041639942865e-10 6.446012655979264e-08 -1.3500328491655401e-08 3.3403619583624104e-08 3.4552063492472666e-08 -2.0171511357430827e-08 -3.74849441225054e-08 2.9864444232551934e-08 -2.532512283691938e-08 1.2220487696211455e-07 5.050411908398498e-08 -3.96140722769215e-08 7.582413410612682e-08 -6.162677583273955e-08 -3.244389738022925e-08 -2.20540663043223e-07 1.107781564556967e-07 -1.929625558725544e-08 1.583382800873182e-07 4.709880982894155e-08 3.446389663284077e-06 4.484996421724505e-07 2.6926615762858427e-06 3.740385218231152e-07 -5.467380585178056e-06 1.3653211053163292e-06 -4.491008703035422e-08 -2.177271258720541e-06
proband -5.586165825777253e-05 -2.2632040145542485e-06 2.043963247079904e-07 -3.169955319110388e-09 -0.00027826910219652136 2.7397600918543768e-05 -7.849618740231238e-07 6.9799315313615876e-09 -7.349636426485062e-07 5.6345524047902434e-08 6.890706033310844e-07 5.536958590247904e-07 8.87262506937964e-07 5.184774736218956e-07 1.0909875895103542e-07 8.404849058100226e-07 -6.824670030251362e-07 -6.021432851248857e-07 7.42405513406769e-07 -1.8134975751243986e-07 1.2092645790738642e-06 -9.106038768678306e-07 7.324004053583258e-07 7.850601359929463e-07 -1.3562440097042934e-06 3.225786273861039e-07 3.208937723038796e-07 4.4849964217255834e-07 0.0005246024236299721 -0.00024752948945063233 -0.0002472528525858528 -2.9921144856158834e-05 1.4349251544553095e-05 5.1072142808380545e-06 -3.687031697056106e-05
paternal 0.00025821750625686817 1.426999949526871e-05 -6.264484727997547e-07 7.214614736127342e-09 -9.60577021698696e-05 8.313809157838218e-06 -4.43279794894422e-07 7.95960903580406e-09 2.0121142668191385e-06 5.537649210053095e-07 5.95831479829657e-07 -3.3231931791495505e-07 5.721554330902505e-07 -1.0087757337222696e-06 2.596495443546442e-06 2.112333879313229e-06 -1.276205832831744e-06 1.226923470952102e-06 -3.2238727838598187e-06 -3.603298548997267e-08 -2.3779169690256034e-06 -2.139660217946828e-07 -4.637429765649646e-07 -4.8608030225060915e-06 8.998277598530326e-07 1.2124739894852027e-06 -3.0088812991669575e-06 2.6926615762855763e-06 -0.00024752948945063044 0.0023223947108796292 4.873646077348118e-05 -0.0019352155512427068 -0.0014615268880866384 4.3569724019640136e-05 5.688243200140069e-05
maternal 0.00019629098101348982 4.691420782941227e-05 -1.6777637515183318e-06 1.8311528985978267e-08 -0.000561922445244662 3.601548803196599e-05 -6.438140249659046e-07 2.2624560997310373e-09 4.578716136381617e-07 -2.4416132219291675e-07 -1.8629058177235788e-06 -3.4708803925290715e-07 -1.0440398231359192e-06 2.688634989979688e-06 1.3692276934610694e-06 4.4845472820322075e-07 -5.936763222700614e-07 6.133150158096418e-07 -1.9635486660052923e-06 1.016080129987697e-06 -5.923764086266325e-07 3.1546086574929217e-06 5.029013735822054e-07 -5.511083321091632e-07 4.026074787332899e-06 -7.244043131672359e-07 -9.808533060397678e-07 3.740385218229869e-07 -0.00024725285258585136 4.8736460773480124e-05 0.0018870209077672547 -5.371498726394604e-06 5.530366717131471e-05 -0.0015687265025047781 -0.001088687269157726
gpp -0.00033986700130041143 2.0570798818316478e-05 -1.1392487224935486e-07 -1.8108243220598154e-09 0.002122547609132831 -0.00017344746287491753 4.785303389536649e-06 -4.448236006732637e-08 -4.344619222353274e-06 5.945496173566523e-06 9.775325101239615e-07 2.4716194666659156e-06 6.647308713349033e-07 -9.923639408412584e-07 -3.3477977559763037e-06 -6.719766969380489e-07 6.078005975074482e-07 -3.193426513008198e-06 9.557239697554761e-07 2.35875234333285e-06 -1.1683498203413803e-06 -5.346219005212021e-07 -5.111244432340793e-06 1.4655127676370147e-07 -2.779384861167276e-07 -1.4795704156322368e-06 4.054291267085134e-06 -5.467380585178285e-06 -2.992114485616277e-05 -0.001935215551242692 -5.371498726386549e-06 0.005666196141936541 -0.0018635529285495672 -5.0182310041551394e-05 8.261501318971943e-05
