 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
pcs.V15 -1.0718756422662081e-05 -8.645747577137725e-07 1.0130703488689913e-08 -3.0112950999493705e-11 0.00029574388210575693 -2.275981012219064e-05 5.809744276994518e-07 -4.887821662296851e-09 5.069965911687101e-07 -5.293165275058911e-07 1.2368417759839253e-07 -5.723206633830755e-09 1.8682867948883916e-07 2.289188027998725e-08 8.178026634730886e-08 1.039641120942258e-07 2.9442621513412645e-07 5.100390793390783e-08 5.138315839199006e-07 2.391638954785182e-07 7.992435733574335e-06 -1.6543183684640104e-07 4.870852298386681e-08 2.0195515846370713e-07 -9.004353774736669e-08 -1.9080477243465587e-07 -4.1446156689832824e-07 -1.138612947863773e-07 3.134608826025508e-06 -7.84559975027591e-06 -3.096059076151979e-06 -1.0765229606028136e-05 2.4373313645127972e-05 -8.707282729537102e-07 -3.5911955406588035e-06
pcs.V16 -1.953461143910916e-06 -3.0430237544039863e-05 6.891931538488739e-07 -5.18920211494978e-09 -0.0005879144655111999 4.225667100642881e-05 -1.0006962536334289e-06 7.907742681793182e-09 1.1699277037033986e-07 1.8562847435140604e-07 -1.3894715073923582e-07 7.44986499592055e-08 -2.3996413247607253e-07 -2.4497608870420446e-07 4.556550184772027e-08 4.8024447937772226e-08 -3.7030345921422784e-07 -4.5229914242743983e-07 2.747786610455088e-07 -3.945931980369238e-08 -1.654318368464384e-07 8.183348516566466e-06 -1.0330601067349545e-07 2.3108771858271798e-07 -3.7541794368002877e-07 -2.773217986437566e-07 -3.9864388870066147e-07 5.73127871515902e-08 -2.918097573008249e-06 4.229074047617891e-06 5.736382106906165e-06 2.5932868996489864e-05 -3.0889599930506506e-05 -1.873714134030319e-05 1.5357846150962342e-05
pcs.V17 2.1590328917766946e-05 2.1293390765146485e-05 -5.678447241383903e-07 4.8581487195437755e-09 -0.00032266354578776107 2.1357216192636858e-05 -4.6718190825286815e-07 3.2765002158160487e-09 -7.410123726890519e-08 4.3139293614650283e-07 2.193810804661917e-09 -3.8108969168839794e-07 -1.217150166202372e-07 -4.312646473382322e-08 2.2141088252654103e-07 8.333112488787502e-07 1.1222210017225996e-07 -2.9336590843659114e-08 -3.747221602396293e-07 -1.74744317337244e-07 4.8708522983890525e-08 -1.0330601067356074e-07 8.41412045590098e-06 2.2825207624654724e-07 5.994910027641079e-07 1.3609035241731005e-07 1.9039674025856884e-07 -5.722890025844274e-07 2.8781635688671434e-06 1.4322401138898939e-05 4.290369758492278e-06 -1.232750150026327e-05 -7.73936355735392e-06 -7.555147448337846e-06 -1.1329465066594752e-06
pcs.V18 -1.842970817851536e-06 3.8179210494622006e-05 -8.717838767024821e-07 6.396039095062275e-09 0.0009954233897908403 -6.863629874847396e-05 1.5280833236005673e-06 -1.1023391376454985e-08 2.222935532796087e-10 -6.502020053165812e-08 -3.611622597070645e-07 1.5769123434689025e-07 -1.240104814743983e-07 1.78290418968098e-07 -8.017365043645252e-08 -2.1858402878029816e-09 6.342900025983802e-07 -3.870602943084325e-07 2.3654975687346294e-07 -9.87332505384689e-08 2.0195515846377855e-07 2.31087718582682e-07 2.282520762464429e-07 7.144862512423116e-06 -2.3264222024865738e-07 1.64109521106849e-07 -1.1798763814241689e-07 3.386438980104092e-07 1.572935151338537e-06 -1.3627839539243226e-05 -3.591229227111975e-06 2.245071630007595e-05 -7.4157452611871364e-06 4.296280318086822e-06 5.539635668896006e-07
pcs.V19 -1.5608168583775504e-06 -2.329646892682708e-05 5.464090568459893e-07 -4.011579291644732e-09 0.00021053029870367495 -1.6817189029891307e-05 4.4430806894431396e-07 -3.9439074551961425e-09 -9.29484182026875e-08 4.0905837154345624e-07 2.856009561232731e-07 -1.7796673769491697e-07 1.8305146929766593e-07 2.871478753278725e-07 -5.669290011558405e-07 2.208517334807685e-08 -2.5982218901697486e-07 6.194375215965111e-08 -2.2094048250044884e-07 -4.555738478944055e-08 -9.004353774739817e-08 -3.754179436799489e-07 5.994910027641134e-07 -2.3264222024878014e-07 7.555452103840228e-06 5.123186492897228e-07 2.4258681574957e-07 -6.600321655918288e-08 -2.2790052736795615e-06 -4.5553319560272964e-07 1.2592309016656736e-05 2.467090850647174e-07 -1.2946456176624863e-06 7.868125060255671e-06 -2.7437048016134974e-05
pcs.V20 -5.929066430649884e-06 2.3253980727974704e-05 -4.732409219146539e-07 3.0896999025874873e-09 0.0005942867864737912 -3.995330613914209e-05 8.659383670414416e-07 -6.093661446293379e-09 -2.514213398340446e-07 2.0998409471784775e-07 2.1652092754414816e-07 -4.7539445787422255e-08 1.522102679493681e-07 4.424366799694705e-07 -2.9885639064690966e-07 4.3414126335650926e-07 1.0984858257244338e-07 1.8959981467298908e-07 1.6846776445600415e-07 -3.5365852640458037e-07 -1.9080477243461797e-07 -2.7732179864376734e-07 1.360903524172492e-07 1.6410952110683737e-07 5.123186492897963e-07 7.628702448276798e-06 2.987346718701781e-07 1.7034447102025912e-07 -1.7298830138595316e-06 4.4776221371952016e-06 1.8496986780104866e-06 -1.705387504664169e-05 6.538974098871508e-06 -6.471193176225537e-06 2.3890605198118694e-06
pcs.V21 6.196048379465826e-05 5.854794311613418e-05 -1.5462820138079477e-06 1.3494710334628043e-08 0.00010729894359084819 -1.2458082069850392e-05 4.052533190798942e-07 -4.135121890080238e-09 3.700768976200626e-07 -5.497778197638085e-08 2.3280721278437276e-07 -2.723531004228509e-07 9.062834596847922e-08 6.530446506981721e-08 -9.762107015841984e-08 8.677321575715066e-08 -2.6361221128695913e-07 -1.9305984537841541e-07 -2.3256356123408974e-07 -5.436429281215008e-07 -4.144615668982611e-07 -3.986438887007543e-07 1.9039674025851323e-07 -1.1798763814230631e-07 2.425868157496302e-07 2.9873467187025015e-07 7.850902226331801e-06 -4.3213113913675135e-08 1.5173620723139527e-06 7.487724490916779e-07 -2.299512557337863e-07 6.249553026316097e-06 -6.328466202451404e-06 -1.8719507075343658e-06 -6.604610851090175e-06
pcs.V22 -4.094238715976006e-05 -2.7723940587142897e-05 8.037247859369598e-07 -7.49680077475562e-09 -0.0004166841048314826 3.1775145901654114e-05 -7.972356248265229e-07 6.55344795651414e-09 -2.2354325305898536e-07 -3.8683996104424154e-07 -7.78806076344635e-08 3.2945589482335406e-07 -3.734464892755731e-08 -1.653840901771627e-07 1.4751930395818212e-07 -3.2675035792465596e-07 2.9146001323486687e-07 2.6612309760207077e-07 -1.1039160442789422e-07 1.8115901858957715e-07 -1.1386129478642317e-07 5.7312787151636957e-08 -5.722890025843732e-07 3.3864389801037057e-07 -6.60032165592419e-08 1.703444710202303e-07 -4.3213113913639334e-08 8.030436661367925e-06 -9.787260045529077e-07 4.600947181129061e-06 1.6890029996261926e-06 -3.579383709551085e-05 3.091854898595715e-05 1.3006775314873233e-05 -1.7073714893759422e-05
proband 0.00017950550927938702 0.0006913971493030205 -1.7271638663047877e-05 1.3988389543611572e-07 0.016997796840630974 -0.001240453375086683 2.9681212292438744e-05 -2.326311510814355e-07 -5.911812156928278e-07 1.7996905474235112e-06 -8.71980234233702e-07 -4.708959670046941e-07 -2.7293524512368766e-06 5.14640718896977e-07 4.955927407457403e-07 -1.192174654685698e-06 -3.725390581158753e-06 2.529729851171273e-07 5.268216044533953e-07 -1.1665436742522526e-06 3.134608826026665e-06 -2.9180975730085657e-06 2.8781635688652545e-06 1.5729351513379837e-06 -2.2790052736773435e-06 -1.7298830138596407e-06 1.5173620723116208e-06 -9.78726004551887e-07 0.0011470809626021232 -0.0004758083257533219 -0.0005758618128667582 -0.0002021699380186765 6.908855298620632e-05 0.00014543055901337348 -0.00017587714814396905
paternal 0.0008805846466852498 -0.0006017380995149696 1.178710558077271e-05 -7.339973011709533e-08 -0.03530300618293031 0.002511910396781356 -5.892710613949939e-05 4.573518428612109e-07 2.2219508944920173e-06 6.70204923802395e-06 8.27156247357861e-07 1.0984421875469228e-06 1.2214062227952004e-05 -5.889097239473464e-06 7.742596246339594e-06 1.321171815745325e-07 -4.55815365040743e-06 -1.4545216782141766e-06 -1.5706989217999925e-05 4.814609218212082e-06 -7.845599750276662e-06 4.229074047615301e-06 1.432240113890192e-05 -1.3627839539237375e-05 -4.5553319560653943e-07 4.477622137198349e-06 7.487724490982267e-07 4.600947181124772e-06 -0.00047580832575323475 0.006410818452142442 -5.646852888235845e-05 -0.005845809919327048 -0.00406478564685818 0.0007454979293604382 -0.00024420559842090115
