 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
pcs.V16 4.392744919566414e-08 -2.4900330129797415e-07 4.9588272875943665e-09 -2.983807370447279e-11 -2.640457959492586e-06 1.821988147090843e-07 -3.4372743914141087e-09 1.9710584548609802e-11 -1.299466277544562e-08 1.5587010628073096e-08 1.0045706518869373e-08 7.785345493536784e-09 -4.299464093146535e-09 5.5860509685750504e-09 -1.0822841446233157e-08 3.825577457534195e-09 -1.0097136797725271e-08 6.913286323391606e-09 -3.936467315139369e-09 -1.868755959383665e-09 -5.096372033306939e-09 1.366357325384097e-06 4.402977402525997e-09 -1.952428376001682e-09 -1.6864795853687172e-08 -8.39209305859313e-09 -9.903135772226923e-09 -1.2038964206477871e-08 -8.144194340580343e-08 1.8000541644343835e-07 1.91341361998921e-07
pcs.V17 -2.8655842136020678e-08 -2.018686628126241e-07 3.521011159511284e-09 -1.938203507784315e-11 -4.4920884654036075e-06 2.930471277321491e-07 -6.2643898602594145e-09 4.314185363254726e-11 -8.394051034143334e-09 1.2515834556476069e-08 -8.063890818558686e-09 2.613192030252796e-10 -2.1409303826223972e-08 -8.385059756335784e-09 5.399490919926172e-09 6.082332460905969e-09 5.133867845051342e-09 -1.4279521967874718e-08 -2.098894668647905e-08 9.608277403138209e-09 -3.556835720735922e-09 4.40297740252557e-09 1.3929525674400644e-06 1.705292429409815e-08 5.0293756787247316e-09 3.674395612135235e-09 -1.053605704158004e-08 -2.219302607361695e-08 8.84702105338754e-09 1.279986378374468e-07 -1.2288441057009823e-07
pcs.V18 -3.459199209905462e-08 2.3438155161169932e-07 -4.844430755691985e-09 3.095333382757845e-11 1.963380294393623e-06 -9.743546021904825e-08 1.0566661554961427e-09 1.0952454014145158e-12 -1.0743074251536783e-08 4.4690927157417954e-09 -4.441701297247686e-09 1.1284540103568658e-09 7.118585182050593e-09 1.5001503065713158e-08 -1.4396301456960923e-08 9.163071389384662e-09 8.127060722843122e-09 -8.825109183615674e-09 -5.8963669914288346e-09 -1.834466452353816e-08 6.1026154352606705e-09 -1.9524283760015957e-09 1.7052924294098197e-08 1.364332417109421e-06 -1.1084824835302143e-08 -9.681661724556144e-09 -1.2190590547482328e-08 -2.4047604387860084e-09 5.079210086523343e-08 -4.041091552055366e-07 -7.150383207456957e-08
pcs.V19 6.0441304826420934e-09 1.7250626899422048e-07 -4.477354515186495e-09 3.497979102630805e-11 1.3126244151177822e-07 -8.560216318587197e-08 3.117672667224836e-09 -2.8304044463007104e-11 -4.065111700697374e-09 7.41607146354645e-09 9.098713092919149e-09 1.645548058578375e-10 4.7360500507855614e-09 2.4754430911156534e-08 -2.0295150633210768e-08 -2.5118378511141716e-10 -4.256132506670381e-10 -1.2236501481139498e-08 -2.1642251374529776e-08 -2.5608052270032377e-10 3.3389804371866056e-09 -1.6864795853687053e-08 5.029375678724906e-09 -1.1084824835302171e-08 1.3717721865297793e-06 9.942592662928734e-09 2.274778016829106e-09 7.068047509704595e-09 -4.4831456473685156e-08 2.738315401872748e-07 6.898056527047579e-08
pcs.V20 -2.0265690204790863e-08 -1.5398543570362244e-07 3.2207933876269177e-09 -2.100948906015972e-11 -1.9038730188614514e-06 1.490850026535734e-07 -3.840405175637079e-09 3.0769583781361494e-11 -7.755298733087555e-09 -7.15001499817322e-09 8.374101188081712e-09 3.894144012955362e-09 -2.1344080983026335e-08 8.403278005618744e-09 -1.2339125893572255e-08 1.5828654165834302e-08 6.4761405526255115e-09 5.070275739609051e-09 -3.82503235267957e-09 -8.263394942902635e-09 -1.0852334416463818e-08 -8.392093058593181e-09 3.6743956121355464e-09 -9.68166172455622e-09 9.942592662928661e-09 1.3715569921999351e-06 9.990030389168072e-09 1.8838110176952235e-08 -2.5633311746623533e-08 1.4857466377801383e-07 -3.275642409943166e-07
pcs.V21 4.0520554830329033e-08 1.2301443612420567e-07 -3.3030664163491263e-09 2.6470443257893978e-11 3.185899475706898e-06 -2.7595499138847777e-07 6.878323373008336e-09 -5.278332132315419e-11 1.190514642620395e-08 -5.086710657264225e-09 5.038297170509741e-09 -2.702144763843442e-08 -1.095173692176587e-08 7.264664977567287e-09 -1.8953415698877776e-09 2.629484798069824e-09 -1.8534695548061818e-08 -1.4736599486740136e-08 7.178085465653507e-09 -1.6506377119826336e-09 -1.969347876340986e-08 -9.90313577222719e-09 -1.0536057041581144e-08 -1.2190590547482081e-08 2.27477801682931e-09 9.990030389167703e-09 1.369018234017688e-06 -3.948008643481711e-09 1.2765771184970494e-07 1.2356123906480098e-08 -2.802499917252058e-07
pcs.V22 -3.4992747940206786e-08 3.0353910370190445e-07 -7.048805948779265e-09 5.00485926600666e-11 4.3548065469791007e-07 -4.8175229962749695e-08 9.053896092686478e-10 -5.201999087069704e-12 2.6155229459601005e-09 1.1615341546807943e-09 5.160543220932095e-10 -1.2345656320494986e-08 2.2573606155943277e-09 2.649344421240271e-09 1.2860422167625148e-08 -1.049613957987684e-08 1.69905236028291e-08 1.7313544095648726e-08 3.79013807642932e-09 -1.045568508532273e-08 -9.752846772814198e-09 -1.2038964206477704e-08 -2.2193026073616723e-08 -2.4047604387860626e-09 7.068047509704542e-09 1.8838110176952354e-08 -3.9480086434819726e-09 1.378828347356242e-06 -3.84642475156266e-09 -1.0866375068117293e-07 -1.3111028027953797e-07
proband -3.2196950594205244e-07 4.4487438944341664e-07 -1.086132696193314e-08 9.108140357847883e-11 -1.93150770226457e-06 4.2624026306532786e-08 4.748209015181266e-09 -1.0012045572951928e-10 -1.304569015572392e-07 1.0504412488352013e-07 1.892907221629465e-07 4.6234564769897234e-08 4.312707287349461e-08 1.6191859376258232e-07 1.3117903959366765e-07 4.7832671101010505e-08 3.586135001278746e-08 1.0724649465247113e-07 3.120031481117387e-08 -1.8961878322722832e-07 1.3872990060545847e-07 -8.14419434058034e-08 8.847021053388096e-09 5.079210086523317e-08 -4.4831456473685454e-08 -2.5633311746623513e-08 1.2765771184970425e-07 -3.846424751562713e-09 0.00012698372335569641 -7.61352412048915e-05 -6.594452826588072e-05
paternal -2.297020694493977e-06 -2.930383073457208e-07 1.1897275481911845e-08 -1.0314711045448185e-10 7.7059626077619e-06 -6.347907394805525e-07 1.579586961573466e-08 -1.0986009831828479e-10 -3.857526915333184e-07 5.998223556663712e-07 1.4620521466020523e-07 3.082635900394264e-07 -9.089462599775497e-08 -1.237678771163483e-07 -1.856058617387363e-07 6.954279075082946e-08 -3.534060118298522e-08 -2.1023917210277617e-08 -3.4214237285431095e-08 4.3828693336398465e-07 -4.193050093303029e-08 1.800054164434384e-07 1.2799863783744516e-07 -4.0410915520553624e-07 2.7383154018727564e-07 1.485746637780135e-07 1.235612390648072e-08 -1.086637506811724e-07 -7.613524120489154e-05 0.00018770476638586608 -1.3542200765338005e-08
maternal 2.201736462825737e-06 -2.588304083242514e-06 5.565695352866005e-08 -3.9808547690144015e-10 -4.9975634704659e-05 3.1898839293432434e-06 -6.462596903937608e-08 4.338692225590136e-10 -4.5071730175419317e-07 4.969555500390412e-07 5.237977781914772e-08 -4.0755819595380785e-08 -1.3622661689191328e-07 -6.942416346344798e-08 -1.1389816267674144e-07 2.0067312730270189e-07 -1.6276089403702037e-07 -1.6717979403538127e-07 -2.7818953981600497e-07 9.888775152893351e-08 -2.663782701394568e-07 1.9134136199892126e-07 -1.2288441057008902e-07 -7.150383207457113e-08 6.898056527047353e-08 -3.2756424099431507e-07 -2.802499917252047e-07 -1.3111028027954088e-07 -6.594452826588071e-05 -1.3542200765338007e-08 0.0001688255422822263
