 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_8 -0.00014730374506891997 -5.185675870270573e-06 -1.45844530444101e-05 2.727418154388031e-07 -2.809963706686418e-09 0.00370763823460782 -0.0034826924042848976 0.0002242525050987833 0.025352322321704885 0.024898293271140032 0.5093677236315167 0.030220122244537847 0.015042782756062033 -0.015943226109899993 -0.0033591327307694913 -0.03351117552272792 0.022550925929242883 0.04429977376965679 -0.026616019978473713 0.02144624502626476 0.036875614829397454 0.010649372601071228 -0.007705389286220576 0.009318156496961655 -0.023793737171858176 9.968159512209637e-06 5.865993454133607e-07 8.356638738530331e-05 7.501965457613602e-05
PC_9 0.00020238265195786834 4.04398499630831e-06 -3.354672031329857e-06 -6.592225855921861e-08 1.4411424998781456e-09 0.013102415795583692 -0.007887420234628517 0.015581667256571967 -0.03655346099371398 -0.0008278310671637923 0.030220122244537972 0.7048762937577219 0.006688717323848741 -0.0012721766838667233 -0.047734170307555404 0.0368264862704571 -0.005329586955017666 -0.003035391740472818 -0.02701433182493449 -0.01725470812225774 -0.014714519090080052 -0.004968224607994238 -0.002827864452800788 -0.01606998964607178 0.04789384188853547 -3.901053712567375e-06 -3.214509526510608e-05 0.0001454021864262356 0.00011856184472338169
PC_10 -0.00012901764182791757 -1.4102606837820999e-05 -3.568025555826072e-05 3.11124588777834e-07 -1.0900194695067192e-09 -0.007149445721354685 -0.0028635802455419662 -0.02210897910999092 -0.008584154574611107 -0.025104958568663852 0.015042782756062127 0.006688717323848513 0.8047799846817044 0.03490119492615281 0.0041127004121519406 0.0016629298620450751 -0.009701308420151707 0.028120335808865693 2.579767354273153e-05 -0.008200688817921655 0.029382634332274452 0.008673691431742835 -0.02161861251395699 0.009525469643960272 -0.016893193028662344 1.1770487170717647e-05 -5.192576900097131e-05 4.35392599215893e-05 9.712286762180079e-05
PC_11 -1.6268036258821718e-05 1.791072918792289e-05 1.9565341608495933e-05 7.747259821634631e-09 -7.2946504378332e-10 -0.0023039615186606337 -0.01915948681587619 -0.0018868685107167815 0.010366243406210252 0.02887438870562656 -0.01594322610990008 -0.0012721766838665724 0.034901194926152616 0.7717087937912911 0.0075768442701910944 -0.01714083544618156 0.058533704949113446 0.035836105273890265 -0.013243026010378023 0.027818094532215308 -0.040060799458487575 -0.027800711936742155 -0.002306467681821876 -0.01472442253715446 0.06511309497569677 2.855389483542514e-05 4.6551632522232123e-05 -5.711762280537624e-05 3.661008209975969e-05
PC_12 -0.00021200659232598157 -1.1674061427895862e-05 2.6424248758922742e-05 -8.588629456532801e-07 5.120741266140725e-09 -0.0009420901170586861 0.0069249589230057935 -0.021297866066224982 -0.02151403758482052 0.0013954559005901444 -0.003359132730769515 -0.04773417030755541 0.004112700412151944 0.00757684427019112 0.8769801039834312 0.0458804279713771 -0.03757552010290273 -0.04017426177760994 0.004069697069540321 0.05446676236096955 0.031024641621380727 0.02536141311085654 0.03600779101515835 0.027574734091195097 0.016239646695850363 -1.2783656136765998e-05 -1.3529246074584161e-05 3.115478468591218e-05 4.573570726529615e-05
PC_13 3.704256106613883e-05 -2.1145496176079978e-05 2.5516956302823318e-05 -8.888095310800226e-07 5.601807525933689e-09 0.004678112160711799 0.014654765128418196 -0.020348865384039568 -0.0005060334857049882 0.04762516928874366 -0.033511175522727796 0.03682648627045697 0.001662929862045342 -0.017140835446181682 0.04588042797137713 0.9203043354593574 0.05624275547225534 0.013616161650628062 -0.014251693473791826 0.04028465272531861 0.03474838952982739 0.011770498333336625 -0.051233007007097146 -0.04051190237983028 -0.018246458131980815 1.5522520305506126e-05 6.755310769165763e-05 -1.1974290322275102e-05 3.4379117876596746e-05
PC_14 -4.1234387088989306e-05 2.692748521592301e-05 -5.322159387418659e-07 4.3742298634643583e-07 -2.9534684591197408e-09 0.012789738188697955 -0.030200411600900923 -0.001494269369569536 -0.0005680089738653263 0.012931925164604114 0.02255092592924282 -0.005329586955017653 -0.00970130842015178 0.058533704949113446 -0.0375755201029027 0.05624275547225512 0.8787325833006782 -0.0034366050464881355 0.0029085662694811765 0.01936205898802731 -0.004318540922858399 0.0027944179979986976 -0.005343806573251435 -0.08140158487683624 0.027707130260995985 -5.465990087993556e-05 -6.604921642146281e-05 7.530517626388372e-05 3.6720278678338375e-05
PC_15 -0.00015893927656033036 -2.0280236485418493e-05 2.4854448799772895e-05 -7.360284405881705e-07 4.077541615871523e-09 0.008342945759966408 -0.01682089624199677 -0.027670632642047718 -0.03366646120531504 -0.052511075175104185 0.04429977376965682 -0.0030353917404727514 0.028120335808865686 0.03583610527389025 -0.04017426177760992 0.013616161650627982 -0.0034366050464881455 0.9957869366433277 0.0010088158231225401 0.026817212115982918 -0.0009542940437482398 -0.009318683605531203 0.007000626920260014 0.002409285144255697 -0.0357174525064255 -1.6320149632002165e-05 -1.9783169028605355e-05 -3.918126217578308e-05 1.646933977703639e-05
PC_16 -4.436480055133231e-05 -9.139687268019184e-06 -2.294163597617961e-05 4.275807239420605e-07 -3.827249213289411e-09 -0.004806138222895899 0.01617486615724591 0.023345771781856924 0.022032169119196095 -0.042610001349797116 -0.026616019978473748 -0.027014331824934484 2.5797673542584537e-05 -0.013243026010378037 0.0040696970695403 -0.01425169347379199 0.002908566269481175 0.001008815823122534 1.1136315091775948 0.029569707610029677 0.0234803955423905 0.008739549063568573 0.03751925520974595 0.060457193852811154 0.02902206023665269 3.650188274525e-05 -3.575241570291472e-05 4.551307174104963e-05 -1.4672328173800737e-06
PC_17 -8.011329071891659e-05 3.142700560321208e-05 3.310818229121107e-05 -1.1648577175484922e-07 6.333432328184984e-11 -0.025285544393945786 0.012508631634825972 -0.03899612400894731 0.04129030136796646 0.04329632231347314 0.02144624502626482 -0.01725470812225769 -0.008200688817921771 0.027818094532215298 0.054466762360969534 0.04028465272531795 0.01936205898802731 0.02681721211598293 0.029569707610029687 1.176937391656683 -0.05604106809832594 -0.03627009143007872 -0.036587773741617174 -0.014168177797182128 -0.09586977228739492 -6.052681414337562e-05 -0.00010390660278585192 8.346927317941626e-05 0.00014460423237092827
PC_18 -5.82025250099099e-06 1.2337187390755664e-05 1.3285830227648976e-05 2.6553739828113253e-07 -3.7452056180323926e-09 0.0011727646241707248 -0.004799572922501268 0.00949768028393427 -0.014469355600555364 -0.013705897652846164 0.03687561482939727 -0.014714519090080733 0.029382634332274712 -0.040060799458487534 0.03102464162138085 0.034748389529828484 -0.004318540922858428 -0.0009542940437482546 0.023480395542390606 -0.05604106809832592 1.1952937699828456 0.0032114195148160605 -0.048697746844637776 -0.007452016011508565 0.024635773635106918 0.0002281189800175766 2.5698366766563636e-05 -5.552803321952549e-05 -2.2658133628591064e-05
PC_19 7.277304179761762e-06 1.400247017640965e-07 -3.679711516065537e-05 8.194357929224653e-07 -5.574591750207294e-09 9.065418737764433e-05 0.009408687831217942 0.009011899790785054 -0.0038844229197290865 -0.01998854600817972 0.010649372601070815 -0.004968224607995292 0.00867369143174329 -0.027800711936741926 0.025361413110856507 0.011770498333337334 0.0027944179979983133 -0.009318683605531274 0.008739549063568443 -0.03627009143007937 0.003211419514816689 1.2206916837169566 0.00031271112051727197 0.013643243985814204 0.008050450898162807 -0.00043648486464283905 -0.00014228303966210053 0.00020647324028307402 0.00012967995158115787
PC_20 -9.608635882822195e-05 -4.746833504408547e-06 2.1040446320152283e-05 -5.053740210614281e-07 2.8004947171138304e-09 0.006201769845680069 -0.007588976556973962 0.002705210728051606 -0.013944160793604143 -0.0007343539629323684 -0.007705389286220534 -0.0028278644528008305 -0.02161861251395699 -0.002306467681821786 0.03600779101515834 -0.05123300700709708 -0.005343806573251496 0.007000626920260037 0.03751925520974589 -0.036587773741617265 -0.04869774684463782 0.0003127111205170292 1.1090685925966475 0.09194316867041011 0.012405713794951881 -2.990415917827488e-05 8.226804159149955e-07 -2.5370246856990357e-05 -0.00023640145416174423
PC_21 -0.00015153773076025565 1.899633306679014e-05 2.147356311610387e-05 -3.6370177151386003e-07 2.8349496281851275e-09 -0.004680038279414693 -0.002073000098773728 -0.006941189240546049 -0.0032400924248851847 0.01790829151638268 0.009318156496961588 -0.016069989646071654 0.009525469643960319 -0.014724422537154431 0.02757473409119505 -0.04051190237983001 -0.0814015848768363 0.002409285144255696 0.0604571938528111 -0.014168177797182137 -0.007452016011508629 0.013643243985813822 0.09194316867041 1.2841425510975732 -0.006478352376078185 6.15307122281139e-05 5.044850417877032e-05 1.4173774561037727e-06 6.8306827426053e-06
PC_22 0.00014449351326193235 -4.102763395756151e-05 3.485541662323361e-05 -1.6298835003950775e-06 1.2249065546453979e-08 0.01733196449785739 0.010273508436308287 0.03085476337399685 -0.02056827909631994 -0.028335244348534495 -0.023793737171858086 0.047893841888535446 -0.016893193028662285 0.06511309497569677 0.016239646695850395 -0.01824645813198008 0.02770713026099597 -0.03571745250642549 0.02902206023665268 -0.09586977228739477 0.024635773635106856 0.008050450898162411 0.012405713794951952 -0.006478352376078166 1.257182121887944 0.00017259872246753034 6.500444434821858e-05 -8.867527197616925e-05 -0.000272728256137801
proband -6.330648720203876e-07 -3.189090966161095e-08 -8.550045558551686e-08 -1.1535214673899962e-10 3.4479661746738135e-12 4.302961823542474e-06 2.9356687538159416e-05 -1.1148224352217823e-05 8.004044766487533e-06 3.13226262128285e-05 9.968159512251481e-06 -3.901053712599777e-06 1.177048717075226e-05 2.8553894835430146e-05 -1.2783656136767729e-05 1.5522520305503026e-05 -5.465990087994011e-05 -1.6320149631998635e-05 3.650188274525096e-05 -6.0526814143360275e-05 0.00022811898001754097 -0.0004364848646431302 -2.99041591783082e-05 6.153071222810465e-05 0.00017259872246750367 6.93472092819589e-05 3.5689337731514755e-05 -6.836931432961954e-05 -6.305261321700883e-05
sibling -1.6293557401154118e-07 -2.1498424295773623e-08 -1.3664536070571982e-07 9.261188690479289e-10 -1.9162273238491986e-12 -2.518710844294216e-07 3.083607383696774e-05 -1.0191683474253333e-05 2.436553603045322e-06 4.137379294194948e-05 5.865993453902469e-07 -3.214509526488141e-05 -5.192576900107457e-05 4.6551632522206164e-05 -1.3529246074566562e-05 6.75531076920675e-05 -6.604921642144118e-05 -1.9783169028600802e-05 -3.575241570290751e-05 -0.00010390660278583941 2.5698366766544995e-05 -0.00014228303966207898 8.226804160786709e-07 5.044850417875151e-05 6.500444434820289e-05 3.568933773151474e-05 8.455345878675079e-05 -7.765285619639439e-05 -7.335572923181989e-05
paternal 2.6193122887403765e-07 1.4284306499426331e-08 -1.339014069529431e-07 3.454256790961474e-09 -1.8029697419182565e-11 -5.244016000694729e-06 -0.00010592588809498918 2.821581775666509e-05 -2.7852188542703724e-05 -1.568077919345686e-05 8.356638738520603e-05 0.00014540218642618597 4.353925992156464e-05 -5.7117622805384524e-05 3.115478468591565e-05 -1.1974290322445806e-05 7.530517626387425e-05 -3.918126217579918e-05 4.551307174105576e-05 8.346927317939478e-05 -5.5528033219423815e-05 0.0002064732402835058 -2.53702468569178e-05 1.4173774561331215e-06 -8.867527197615011e-05 -6.836931432961974e-05 -7.76528561963944e-05 0.0001997475537833296 1.69402450249817e-05
maternal 4.5557311933368017e-08 -5.401176524235779e-08 2.1676432488453915e-07 -3.9086825456895306e-09 2.3195129726219352e-11 2.022808867403839e-05 -7.947888308214627e-05 -1.4336370186543393e-06 -1.4734823970134764e-05 -4.6364183526156674e-06 7.501965457597928e-05 0.00011856184472337598 9.712286762176647e-05 3.661008209976226e-05 4.573570726529982e-05 3.437911787650025e-05 3.672027867834492e-05 1.6469339777041397e-05 -1.4672328173855705e-06 0.000144604232370918 -2.2658133628515726e-05 0.00012967995158137953 -0.00023640145416187064 6.830682742602091e-06 -0.0002727282561377678 -6.305261321700882e-05 -7.335572923181991e-05 1.6940245024981574e-05 0.00018783806437480772
