 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_4 0.0007497797222716326 0.0006861822727600943 0.0008822547995952834 0.010728735224754402 -0.001302336680415338 -1.6622448844220378e-05 2.183059957050447e-07 4.586944866128575e-05 -4.7040616653170286e-07 -0.15329245623047555 2.611605044266125 -0.03797689305655492 0.5746567367336648 -0.22538899819485442 -0.23956545296772325 -0.087556849225382 0.08373591810760797 0.08916450178375768 0.1817466572326713 0.22884449163873155 -0.24933870609325806 -0.29349333066489414 0.22659976346188512 0.1584246654370979 -0.17968537929812303 0.06351477452280552 -0.1465190640953976 0.16645018016075602 0.32947236917537437 -0.00011978682328062073 0.0006794374015836892 0.0010923169432218963 -0.0011360236730798457 -0.0009682051864937835 -0.0017866357937567714 -0.0008140413878410598
PC_5 -0.0005871117376487157 0.00010866877919054132 -0.0005685913367373997 -0.0024744031861303074 2.1273746987936636e-05 1.597079542878659e-05 -1.391046758968386e-07 2.0603966625571026e-06 -6.586521212453991e-09 0.05720568694546046 -0.037976893056555126 3.5340794786558187 -0.23967519689286906 -0.4374526611970571 -0.44470928395148124 0.5411750435727651 -0.23902601015073288 -0.566375066412968 -0.2554299019856918 0.15598317102676593 -0.2717693161180692 -0.1498886863127438 0.22772322311556004 -0.6886963237442721 -0.14497124594474672 -0.1175133528899118 -0.15339103701649293 -0.1526035866822437 0.6101402134734003 -0.00034126060963929436 -0.001392201458926689 -0.0005535150134846371 0.002840039536249118 0.000521029189791736 0.0027748975518215994 -0.0018527392790230958
PC_6 0.00041613239548549824 -0.00044429816056311633 -0.0003839530337555173 -0.007730440235823463 0.0007595742869063461 -3.324075980850483e-06 5.7924426395952665e-08 -1.9443806863756584e-05 1.0652434188649821e-07 0.13421499908841414 0.5746567367336639 -0.23967519689286942 4.648842568394515 0.26618694082159355 0.4958086157756536 -0.4541644137225417 0.4841168257781213 0.1609463820407806 -0.18285467635428307 0.12404715871902608 0.8451609493829108 -0.7854154048801582 0.3172448591849078 0.5560063359080272 -0.15854438280675826 0.030094724521578565 -0.37149207801014056 0.3129591630672913 -0.4947181632877526 0.0002894300146834394 0.0004358433672752404 0.0023440723964808187 -0.0010843437789636234 0.0018075191373286485 -0.005099944676130577 -0.00038337724797565814
PC_7 -0.0054238761193381125 0.00022727791353298495 -0.004069036852268879 -0.048987080490290484 0.004663104641269573 0.0001360574811357178 -1.2797312564088292e-06 -0.00013605593067632848 1.2361290912353812e-06 0.03958497250407351 -0.22538899819484828 -0.43745266119705445 0.2661869408215849 6.242404841492659 -0.06868305876080968 0.7862407490691207 -0.5249264876035137 0.6457172775369804 0.4485353647334923 0.2402397178509886 0.09009902426203135 -0.6666407627002443 -0.4863636367127625 0.8001617021520243 0.36299571691315324 0.22591522929712055 -0.5931041226845128 0.15737179098383972 -1.0713090412478574 -0.0014121936784398967 0.0006044123190875173 0.002686244721637585 -0.0002524659247525102 0.0009624396598784371 -0.0018000289118678353 0.0021428617813444707
PC_8 0.0006298663165853317 -0.0005192713238751179 0.001240332442696878 -0.0023983444054739254 -7.86028779686683e-05 -5.210473834217955e-05 4.898870599284861e-07 1.2911325541537197e-05 -2.0625745444950966e-07 0.056964738157724605 -0.23956545296772164 -0.44470928395147835 0.49580861577565466 -0.06868305876080541 6.850495178318374 0.8427290803830575 -0.08366094501583168 0.5575487672371118 0.5047670798097585 0.1100288263490018 0.2507386795852106 0.5512000562187459 -0.47305159591847695 0.43222119038531404 0.9130272183194497 0.13029355447034838 0.47416565045665804 0.2708558960903875 -0.43800788189163486 0.0009758276460930997 -0.0005470073700497326 0.00021694054425493915 0.004872344058104995 -0.0033757545117511197 -0.001336082064750129 0.0021858998126869306
PC_9 0.007504628430104947 -0.00013079509567135545 0.0003711216452874757 0.0058903062998330175 -0.0006607318119489584 -1.8604562335097256e-05 2.3075055382933014e-07 2.5008597244500643e-05 -2.6149438948291395e-07 0.06826684406507325 -0.08755684922538448 0.5411750435727677 -0.4541644137225442 0.7862407490691166 0.8427290803830574 8.787750277997437 0.49845524097233435 -0.0022422685551290564 -0.6789277958588988 0.6487568194395269 0.10399922472388677 0.06803558017733943 -0.35040661052656735 0.028244711047141106 -0.6851343562007824 -0.48597146142346315 0.1031173148375357 -0.5494935227061398 0.8622771685991031 -0.0003496744415240843 -0.0022869783337962587 -0.003129638409311177 0.005444734921894294 0.0008883914084775597 0.004484064667704526 0.006241223321666949
PC_10 0.0025612848547299032 -0.00021230346852991718 -0.001071980161675503 0.0029103096904888174 -0.00017912384852305463 9.209776495062854e-06 4.949524555782315e-08 5.474886759835338e-06 -7.260870214404275e-08 -0.16755751757882362 0.08373591810760694 -0.23902601015073296 0.4841168257781215 -0.5249264876035131 -0.08366094501583111 0.4984552409723404 11.304156422368344 1.5712143234067038 -0.7473278172085537 -0.014086015388449787 -0.28818581141914607 0.19627435122975653 0.3072938897112858 0.479404971545505 0.835807575854817 0.729162030976445 0.1788606408411426 -0.27269468556987186 -1.1447901417862882 -0.00016872068724353668 0.0013466830563371062 0.0032441316187362553 -0.0011073808964217036 -0.0005218329159115224 -0.008012512623904396 0.004173755722300648
PC_11 -0.001776580910839119 0.0004822692544051548 -0.0006573357509487124 -0.015453755968666714 0.0018206549373774013 2.7755511727365222e-05 -2.1111297783031798e-07 -5.191764853311578e-05 4.169650844428091e-07 -0.10253936395806272 0.08916450178376735 -0.5663750664129641 0.16094638204077602 0.6457172775369682 0.5575487672371126 -0.0022422685551255514 1.571214323406705 9.64219625040972 0.7115517498366171 1.1812371193860782 0.747038870784524 0.13929961598967186 -0.0022663096145065023 -0.05697211314660285 -0.6432044725430702 -0.2832747887346084 0.22229701021139986 -1.3225831003260349 0.8859254364644235 0.0001830261208349137 -0.002092663431855247 0.00046139151812561887 0.005407704912226353 -1.3195787699072649e-05 -0.001644568605924699 0.003452790477132193
PC_12 -0.007452983302377763 -0.00019966299964236723 0.0009167665646723697 0.017090019997767845 -0.001607189331752631 -3.0255734278014887e-05 2.4477246951494034e-07 4.685231981799741e-05 -4.339478984121859e-07 -0.052899244562517565 0.1817466572326718 -0.2554299019856894 -0.1828546763542813 0.4485353647334912 0.5047670798097599 -0.6789277958588984 -0.7473278172085492 0.711551749836614 12.144449269587412 0.4581145224185608 0.3293742619702728 -0.13316868375920848 0.6103031542926843 0.8359607902530776 0.28866775399913874 0.15318511718630032 0.2510538523456928 0.4235376585682819 0.18304734756983718 0.0008412707202694433 -0.0025721887664107274 0.0012093201336150074 0.00340949084262211 0.0034597691663123117 -0.002117558035248151 0.00042317249039968823
PC_13 -0.003931281641155358 -0.00043227995803734134 -0.00395721559083947 -0.04179920600143882 0.0036248936980376287 9.873579237488922e-05 -8.574044412089225e-07 -0.00010032006003624082 8.924137129546847e-07 0.1846538252104458 0.22884449163873422 0.1559831710267664 0.12404715871902064 0.24023971785099565 0.11002882634900105 0.6487568194395248 -0.014086015388449087 1.1812371193860869 0.45811452241855277 11.158346913897248 1.8883025375061784 -0.4251867345938954 -0.07806929086795007 1.272158966978209 0.5896604955386542 0.188050582573025 -0.8082427937877407 -0.24596850075586393 -0.860733255811725 -0.0012501900058506424 0.00505688696538141 0.003354711859084419 -0.002173117157541759 -0.0034450378426406306 -0.0023000068306146693 -0.0009704152277327097
PC_14 -0.0075332462398676435 0.0003048665233018076 -0.0008131742012107087 0.0016205565389108083 -0.0007936682574054133 2.6226757154103787e-05 -2.1841036213329636e-07 3.4691978902129004e-05 -3.8858528190496746e-07 0.03768121406402006 -0.2493387060932572 -0.2717693161180688 0.8451609493829103 0.09009902426202113 0.2507386795852095 0.10399922472388472 -0.288185811419143 0.7470388707845125 0.32937426197028213 1.888302537506188 11.861713445810315 0.5187973628839164 -0.8873244261946777 0.4645431799417807 0.27088276431596026 0.03515919406249465 0.07978175711044133 -1.2088177903205715 0.9181643221013679 -0.0007268053468797959 0.0019629835122274143 0.0011955929840673277 0.00565448432841662 -0.004543618561946198 -0.005307482112656322 0.0029000646655137404
PC_15 -0.006839828561218072 -0.00025963895472215135 0.00037239028609985545 0.004242350704744183 -9.616975650357255e-05 -5.611706079151049e-06 -3.41375338608861e-08 1.0153917566721067e-06 -1.5847830431906728e-08 0.2729992086131711 -0.2934933306648968 -0.1498886863127421 -0.7854154048801584 -0.66664076270024 0.5512000562187496 0.06803558017732995 0.19627435122975506 0.13929961598967366 -0.1331686837592115 -0.4251867345938921 0.5187973628839224 11.908039409567056 0.17576215619191812 0.2637926856498395 0.473093507974781 -0.30589612935581784 0.775849325193886 -0.3787178366222053 -1.2713586687791496 -0.0001306362296155996 -0.0033329255312166844 -0.0015314200594603055 0.003288335442338869 0.0028151629658459253 -0.0011430280910037112 0.0039282352529092235
PC_16 -0.014305195960265247 -0.00010045263575189967 0.0007245994821258008 0.011963271807423858 -0.0008570973510389264 -2.462836011245675e-06 -2.1106432277254926e-07 1.4245092187537394e-05 -1.2583874003375099e-08 0.0724822673216679 0.2265997634618857 0.2277232231155602 0.31724485918490875 -0.4863636367127709 -0.47305159591847473 -0.3504066105265711 0.3072938897112831 -0.0022663096145087622 0.6103031542926857 -0.0780692908679564 -0.8873244261946738 0.17576215619192143 14.646571232654921 0.05958046669187449 0.011734035910972858 0.392792774683474 0.44974686947934145 0.20556818278719996 0.02249306498289484 0.003195561210212859 -0.0019913200704213658 -0.004263985951223498 0.0005263101503075519 0.0010277588794454394 0.0023705608900372616 0.0016816475154770695
PC_17 -0.002284505558491939 0.00026121883478958904 0.00029335257924407114 -0.031146615497894714 0.003147539429162949 -8.07844160724372e-07 -1.3952852881398528e-08 -8.890948946892368e-05 7.512107194440807e-07 -0.5023904936760806 0.15842466543710426 -0.6886963237442716 0.5560063359080273 0.8001617021520334 0.4322211903853058 0.028244711047142074 0.47940497154550704 -0.05697211314659237 0.8359607902530818 1.272158966978208 0.4645431799417892 0.2637926856498327 0.05958046669187532 16.428025012152396 0.31192427920158344 0.2987692666425711 -0.8080545124281842 -0.7873527582513404 -0.8214722927850683 -0.0007968655636980186 0.003360194804660437 -0.0023423526227015013 -0.006789516664571402 0.005390192876078851 0.005633931884503238 0.0019456800888711112
PC_18 -0.008136867773604797 0.000233284792065286 -0.0013584595626174429 -0.015520900483883817 0.0017930462991673194 5.9412545638326066e-05 -6.403360740272467e-07 -5.926140231855678e-05 5.865223691124681e-07 -0.12390004222750872 -0.17968537929811002 -0.14497124594474162 -0.1585443828067626 0.3629957169131355 0.9130272183194525 -0.6851343562007808 0.8358075758548137 -0.6432044725430701 0.2886677539991453 0.5896604955386411 0.27088276431596303 0.47309350797478317 0.011734035910977167 0.31192427920157645 13.924615449660338 0.380564239031115 -0.21680664201257946 -1.0127130717517112 0.759247783063887 0.0011559162540461163 -0.0015400115945911463 0.0006837305104125546 -0.0030128538766734524 0.0072020918280317914 0.0007145692390553238 0.0029329917833969795
PC_19 -0.0074719342341620625 -6.114553294752182e-05 -0.003457595554734985 -0.028170786668548695 0.003823544421706598 0.00012029556723193659 -1.2246868330099267e-06 -0.00013762962318127162 1.3948975452381633e-06 -0.05384670558371486 0.06351477452281075 -0.11751335288991312 0.030094724521574294 0.22591522929713012 0.1302935544703449 -0.48597146142345987 0.7291620309764354 -0.2832747887345952 0.1531851171863009 0.18805058257302884 0.03515919406250578 -0.30589612935582317 0.39279277468348334 0.2987692666425769 0.3805642390311293 14.348269417155919 0.061318700234759875 0.5452054033293592 0.859361162499817 -0.0025488425979407242 0.0010108808991345127 -0.0012432789712742587 0.0028158428060033832 0.0004083178867844373 -0.003587709097291826 0.006677639570125734
PC_20 -0.0030434652577859796 -0.0001187750140224904 0.0007962892501131332 0.03372343643159996 -0.0027873979142826544 -3.1050060205074076e-05 3.2025945430219924e-07 7.775082250213412e-05 -7.102439244416865e-07 0.1564591130019396 -0.1465190640954043 -0.15339103701649381 -0.3714920780101379 -0.593104122684513 0.47416565045666226 0.10311731483753733 0.1788606408411414 0.22229701021139295 0.25105385234569305 -0.8082427937877337 0.07978175711043635 0.7758493251938923 0.4497468694793383 -0.8080545124281839 -0.21680664201258937 0.06131870023476319 15.31263389329877 1.4505327495976175 -0.2010672214324166 6.966827615995697e-05 -0.0026516947928196736 -0.0021560899957202527 0.004778564117496322 -0.0016442300732820657 0.00408823533417047 -0.0037481865617438287
PC_21 0.01561853464501254 0.00011727985980198914 0.002434943771480477 0.012858540645255594 -0.001964347522541414 -9.830909664331417e-05 1.1378714653173924e-06 7.471176015825966e-05 -8.571326744262197e-07 -0.15815937686125137 0.16645018016075339 -0.15260358668225052 0.3129591630672933 0.15737179098384982 0.27085589609038835 -0.5494935227061357 -0.2726946855698696 -1.3225831003260395 0.423537658568279 -0.24596850075586302 -1.208817790320588 -0.37871783662220504 0.20556818278719471 -0.787352758251342 -1.012713071751713 0.545205403329373 1.4505327495976206 18.004109630989444 1.0142333277258295 0.001521117166001919 0.0033450943296904506 0.0024974816231827963 -0.008180969761061774 0.00030517551846430033 -0.003929339750203551 -0.0012914501059839675
PC_22 0.012203875269159663 -0.0005236301607064443 0.0034840228593545405 0.015013855465696465 -0.00197398672355465 -0.00010726874176091219 9.86322137994377e-07 7.397926779489173e-05 -8.372624934916482e-07 0.3978516969746776 0.32947236917537226 0.6101402134733992 -0.49471816328774826 -1.0713090412478576 -0.4380078818916339 0.8622771685991021 -1.1447901417862871 0.8859254364644177 0.1830473475698341 -0.8607332558117209 0.9181643221013632 -1.2713586687791454 0.022493064982882498 -0.8214722927850624 0.7592477830638831 0.8593611624998202 -0.20106722143241842 1.0142333277258344 15.43689619566488 0.0008293873455374203 -0.0003167155136594852 -0.004034227240556887 0.0017459597348573992 -0.002271584135147956 0.0021294183520584598 0.003263515659489334
proband 2.865023735113489e-05 1.1920782279193032e-06 2.9312599840046347e-05 0.00023628614669975024 -2.573785987679891e-05 -8.584474569925419e-07 8.00399795159559e-09 8.383513335718214e-07 -8.538091969738244e-09 0.00035037400481829635 -0.00011978682328002696 -0.0003412606096387805 0.00028943001468359584 -0.0014121936784402412 0.0009758276460932648 -0.00034967444152416316 -0.00016872068724361206 0.00018302612083480156 0.0008412707202693119 -0.0012501900058503172 -0.000726805346879665 -0.00013063622961533407 0.0031955612102121896 -0.0007968655636979925 0.001155916254045975 -0.0025488425979406718 6.966827616012074e-05 0.0015211171660019752 0.0008293873455378846 0.0005365634780777347 -0.00026352734357421286 -0.0002699111440731341 3.181273263566782e-05 -3.463730028743425e-05 8.438467307332351e-06 -1.1838703171086214e-05
paternal -4.302888002358709e-05 -1.6071123453147488e-06 1.4800189850199247e-05 0.00016348113153967736 -1.2273047117385163e-05 -2.676012234730586e-07 5.499953122838298e-10 1.513362012612494e-07 7.373204065007839e-10 -0.00022757732318593393 0.000679437401583118 -0.0013922014589269188 0.00043584336727506235 0.0006044123190881531 -0.0005470073700488526 -0.002286978333795173 0.0013466830563373007 -0.002092663431855118 -0.0025721887664107487 0.005056886965381136 0.0019629835122252433 -0.003332925531216735 -0.001991320070421859 0.0033601948046603058 -0.0015400115945907547 0.0010108808991347146 -0.002651694792819444 0.003345094329690597 -0.0003167155136595438 -0.0002635273435742138 0.0017241426970458545 0.0001424399335598106 -0.0014667710084791937 -0.0011389318565544065 2.248961115406207e-05 -1.6599152930933374e-05
