 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband maternal gpm gmm
PC_14 -0.00021445522372455178 3.536385598445025e-05 4.836668047466145e-05 -0.0003445498251283354 3.904699430302703e-05 -1.2912167210156847e-06 1.2025876682486818e-08 -1.2725485320157334e-06 1.554360692223999e-08 0.0106260853135103 -0.0409570890038962 -0.005513635419464128 0.04040172867796676 0.035602418087088694 0.037771356142377914 -0.005937918398740903 -0.016775665804193284 0.04382332093514248 0.019685292258193217 0.133218830944579 1.5903288384431162 0.0405215167738062 -0.01552547628939799 0.02885604360403863 0.005627694411171008 -0.028624787947813566 -0.008818841828937676 -0.11379836901836055 0.10655959223283269 6.447590042201678e-05 5.7023848241119434e-05 -0.0002621647161771635 0.00012509047793392
PC_15 -0.00014098397144381538 -3.50661266753775e-05 -3.106822077784531e-05 -0.0007014775335648693 6.986726272702495e-05 4.923350077018436e-07 -5.729618078936225e-09 -1.6140341558387911e-06 9.638237891946856e-09 0.027032917517926344 -0.023537578847318674 -0.01969736414177611 -0.07912223590176407 -0.09540313018790564 0.06575643496715654 -0.006507261157251025 0.008577100799325088 0.06731108927251214 -0.04779309656098287 -0.06246650889803755 0.04052151677380597 1.809140789689374 -0.01950547205698892 0.03946483512411545 0.0391925695635 -0.011862491724023837 0.01763348155584664 0.010867759618206576 -0.08777081338103461 0.00011775769081597803 -0.00021028911651231784 0.00028896524518776286 5.928073917898439e-05
PC_16 -0.00014672180881794097 -7.085196926289434e-06 -1.822511906172889e-05 -0.0003233594835265823 3.122440975359313e-05 2.599693481763435e-07 -3.2324278581737016e-09 -1.1204089199800558e-06 1.180209762278816e-08 -0.013604485817639948 0.034170072443832494 0.014385643264224968 0.031552831729881645 -0.06214530357042032 -0.05372286061484112 -0.07318198287233194 0.02472530183366168 -0.01919109072746983 0.05752217507642759 -0.028362950305896844 -0.015525476289398193 -0.019505472056988445 1.9939019406367615 0.012985002831759646 -0.010613166345711059 0.051506619546480385 0.05454428216462237 0.036608725214148694 0.003812517532894151 0.00013349924572873527 -3.5469772609527903e-06 -0.00014388175858789468 -0.00012542358872371945
PC_17 -0.00025669388824616006 5.7005746180937765e-05 8.175254935263486e-05 0.0006873819203013384 -7.835291592493125e-05 -1.8799507396908563e-06 2.114877544673851e-08 2.866694143368579e-06 -2.887302874864186e-08 -0.04936583051974604 0.02868954547472291 -0.05820217418239032 0.07491274996599945 0.0703978084644024 0.03852627475187429 -0.009870150343659923 0.010594690511981666 0.02676942424391911 0.06368639483661594 0.09187815521130077 0.02885604360403875 0.039464835124115374 0.012985002831759063 2.145720708369347 -0.0183204823640883 -0.009793298565560915 -0.08125131286606363 -0.0519155849816845 -0.08430233801968484 5.325286640641091e-05 -0.00010907650404806305 2.0717550382201035e-05 0.0001579429639072734
PC_18 -0.0003886455623290765 3.463764144770865e-05 0.00010166484023311574 0.0006140065368451477 -7.399892501042106e-05 -2.4746201768054287e-06 2.20503446088403e-08 2.5896520399042383e-06 -2.563165829688462e-08 -0.014168928081914183 -0.022436924390742685 -0.005632971883250862 -0.0015750565323122182 0.01752325305348193 0.07477294501467856 -0.06500930023908556 0.09370800675313759 -0.10933581308718332 0.07357301705542674 0.1057885205534907 0.005627694411171117 0.03919256956349952 -0.010613166345711227 -0.018320482364087943 1.9411581152252395 0.15355389124455632 -0.041907641431472666 -0.09359924183181345 0.04924826539444386 0.00027522150245208214 -7.346195050266447e-05 6.747972326024042e-05 0.00023696585463783414
PC_19 0.00010301693401071944 -1.449211789021033e-05 -0.00014573386064705367 -0.0015562344928077305 0.00016873231580360318 3.6689606322592076e-06 -2.8734908891579038e-08 -5.11932456816927e-06 4.3170642376117756e-08 -0.012290382107872193 0.013151719820446451 -0.0012251454812727293 -0.0035386222400079583 -0.01140609477343466 0.019075363675960084 -0.03560526560365707 0.037421300834665217 -0.05407071448376803 0.028977022594501498 0.03398115392820586 -0.028624787947813524 -0.011862491724022926 0.05150661954648044 -0.009793298565560892 0.1535538912445568 1.8622853594917184 -0.0033480379552323367 0.060214114691350094 0.10941151576893 -0.0004958930107633631 7.343059935091416e-05 1.566156931977117e-05 6.264695443504414e-05
PC_20 -0.00046806799718431544 -1.40145884987187e-06 -0.00012628744736757283 -0.0013382279470833549 0.00016722752518289974 3.2246191917497324e-06 -2.8386315967337558e-08 -5.439465019846873e-06 5.0558041483209484e-08 0.01779171068546274 -0.019255335815925517 -0.005188467613779669 -0.029591424422046504 -0.026659874627842136 -0.0015622070821245601 -0.0026135686339831712 0.011190562373504015 0.015991565853925926 0.031675330148213304 -0.09358723963982515 -0.00881884182893772 0.017633481555846892 0.05454428216462195 -0.08125131286606349 -0.04190764143147213 -0.0033480379552321585 2.158019931747975 0.11240727361720758 -0.02937791313088267 -6.978219182910289e-05 -0.00016438094245619492 0.00015805497945281085 -0.0003948830449625351
PC_21 9.281649818356425e-05 3.86271820591097e-05 0.00011049923767973507 0.00034722997414802164 -6.340232140663082e-05 -4.567753827092241e-06 5.424459005312595e-08 2.921603960405233e-06 -3.500518622287829e-08 -0.013907295178699803 -0.0018965859457722538 -0.01769709116738456 0.014600010718863413 0.028602620679835832 0.021584443175976836 -0.05413388534058998 -0.014849725256950629 -0.05696608585840222 0.037918907649920786 -0.015652896847746855 -0.11379836901836073 0.010867759618206475 0.03660872521414856 -0.051915584981684554 -0.09359924183181366 0.06021411469135052 0.11240727361720809 2.361381597751099 0.058601258807682716 9.046585187306186e-05 -3.3901296071397657e-05 0.000302479438748357 -0.0001544814190022783
PC_22 0.0009106711421406033 -9.232211276395794e-05 -2.5583332844219653e-05 -0.0016902555905322645 0.00017748624606491343 3.738750679708095e-08 -6.2905647973929675e-09 -5.51830695926859e-06 4.9530566908880516e-08 0.04045920406396914 0.04415485793817899 0.04554781165942959 -0.049427561199709785 -0.07352887893750873 -0.03506004232229901 0.0826492897081113 -0.06076215830350732 0.15106328070114056 0.022410681305569974 -0.09404221524502333 0.10655959223283246 -0.08777081338103389 0.003812517532894572 -0.08430233801968505 0.04924826539444329 0.10941151576893023 -0.02937791313088304 0.05860125880768274 2.173387393584324 0.0002083937482904645 9.645236838231518e-05 -0.0003752127891360898 -0.00021044848465192744
proband 1.026627486547696e-06 -5.913302549882342e-08 -7.194277520800645e-08 -3.4234527946095973e-06 4.957337513736142e-07 1.6631919520060845e-09 -1.5749974540294425e-11 -1.9052987657220303e-08 1.8271122508803023e-10 -1.5713251023156175e-06 -5.662067354497648e-05 2.4364909213015324e-05 -6.012113852686965e-05 3.63414810073844e-05 0.00010592991001478897 0.0001853023870669644 8.681865658528986e-05 0.00020566713644876877 1.0143350722117958e-05 -1.6088981054885505e-05 6.447590042200224e-05 0.00011775769081579573 0.00013349924572878915 5.325286640641461e-05 0.0002752215024520764 -0.0004958930107633849 -6.978219182910889e-05 9.046585187305802e-05 0.00020839374829047895 4.445258354320604e-05 -2.0948928772669508e-05 1.7811621636661796e-06 -3.1175131600645563e-06
maternal -1.6521074350227022e-06 4.481797767198609e-08 1.016888480773625e-07 -3.8308062067521643e-07 -7.299019799343126e-07 -1.200538509231499e-08 1.3889483652552847e-10 3.3944211475453815e-08 -3.381533907588958e-10 -1.6972949389238723e-05 7.838344836163045e-05 -0.0001743379705796964 -2.179373039436644e-06 1.5290535738632077e-05 1.8105351033264096e-05 -0.00013880875999335701 7.288955453110509e-05 -4.6748477427972536e-05 -6.106164152652917e-05 0.0002087839928100073 5.702384824109786e-05 -0.00021028911651168307 -3.546977261006897e-06 -0.00010907650404805518 -7.346195050277216e-05 7.343059935077415e-05 -0.00016438094245633923 -3.390129607100719e-05 9.645236838247819e-05 -2.0948928772669355e-05 0.00021768743795771568 -0.00019165452807961119 -0.00015281256207667438
gpm 1.6141135131727326e-06 -1.4334909224043375e-07 2.16343706783201e-06 2.349577101849032e-05 -1.776841476489911e-06 -5.2475304718820465e-08 3.9436923808607005e-10 4.1804108318610903e-08 -3.2078674916699685e-10 3.9034792632873656e-05 -0.0001865895585262812 0.00023798442078264235 -0.00015626459015569743 5.3486418653662934e-05 -3.591660498963286e-05 0.00022835436177156925 -0.00032311574539018215 -0.0001222283880001993 -0.00020334252767640772 -9.633475511548932e-05 -0.00026216471617706324 0.00028896524518769336 -0.0001438817585880941 2.0717550382161384e-05 6.747972326021434e-05 1.5661569319913195e-05 0.00015805497945334262 0.0003024794387485077 -0.00037521278913604566 1.7811621636661445e-06 -0.00019165452807961105 0.0004981677034630329 -0.00012294893074208519
gmm -2.0913405321630507e-06 -1.6090484813271246e-08 -2.041183790970759e-06 -1.2228875317152485e-05 2.0276721585619755e-06 6.377660879564694e-08 -5.727456007775144e-10 -6.926089513241804e-08 6.351785754630755e-10 -5.9791805281048855e-06 -2.579478114151344e-05 4.266558855837639e-05 0.00011384714407395689 7.156323190811517e-06 0.00014336996007423841 0.00024011796238465627 0.00016463448293006712 0.00024204301944713628 0.000212871810399291 -0.00011414758714607863 0.00012509047793390538 5.928073917855514e-05 -0.00012542358872392288 0.0001579429639072429 0.0002369658546380121 6.264695443479871e-05 -0.0003948830449625643 -0.00015448141900243536 -0.00021044848465203429 -3.1175131600646e-06 -0.00015281256207667446 -0.00012294893074208475 0.0004429734344865281
