 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal
PC_14 -4.320938929760141e-06 5.585047260790136e-06 -1.5648445810289756e-05 4.332340798688371e-05 7.935325353284709e-07 3.641422003892298e-07 -2.0331862728023045e-09 -7.190692390446972e-08 7.758798164948377e-10 0.014588117087871489 -0.018680611544137363 -0.006635165110578689 0.017144805761296417 -0.0007725987311827163 0.0039189948991636804 -0.027348107552125633 0.01086890021844298 0.021998688147743597 -0.002781946585884931 0.014877173134172387 0.5372869801401549 -0.009986329904356722 -0.005085688910675867 -0.0075353260976539 -0.004190057035820735 -0.004907177197068369 -0.002540936263031342 -0.04846912963883706 0.01885523542335695 -3.577238088773596e-05 4.276053499265945e-05 -1.6353954835456596e-05
PC_15 -0.00012400130635944546 -4.6018398704072845e-06 -8.544830678641092e-06 -0.00026073164237944255 1.1635402985040928e-05 -3.495518294345352e-08 7.006573066391597e-10 -1.2602504499021647e-07 7.379966112860603e-11 0.0030598264690456342 -0.0054942505413755 -0.011974540640434501 -0.02665280584987475 -0.03316291606008475 0.02820939232824674 -0.0015694832399269385 0.03153795870115321 0.034156840154536613 -0.01464044132276168 -0.008345920222690775 -0.009986329904356708 0.6399387349081039 -0.037160285333066784 0.003472842795767642 0.008605228011208728 -0.004591252493134427 0.009585368083729414 -0.004510373008823326 -0.017827497632132146 3.1705656064414377e-06 -2.638261302737974e-05 -1.2337661692616936e-05
PC_16 1.9542013613918763e-05 -2.7477780685663472e-06 -4.947511998836279e-05 -6.897658291770061e-05 4.84968448566531e-06 1.1024348631256099e-06 -7.946093619168244e-09 -1.553694490809457e-07 1.3866100312703143e-09 -0.003600787486191284 0.013648375634357756 0.004485654642003371 0.015821444929017853 -0.02410501031787149 -0.01581111665973457 -0.0383060808981023 0.006005831279752908 0.0014314982521447437 0.021869435753457008 -0.03167778360502477 -0.005085688910675801 -0.03716028533306678 0.6162278041597985 -0.001472937705389748 0.008628257511141707 0.008643640282341785 0.007920594057946043 0.005410319305058707 0.040156118034575965 3.9577155146958104e-05 -2.408127676959952e-05 -2.6342369188867828e-05
PC_17 -0.00012376559320668483 9.349909019394718e-06 -1.6776508128754913e-05 -0.0003437509995742675 3.273954481125959e-05 7.390256221457863e-07 -6.199101329536526e-09 -7.978542743974801e-07 5.616578456012876e-09 -0.01859641791559674 0.009194661878998341 -0.013893270623416495 0.0010107969120143338 0.031042892196938517 0.004398335503339941 0.01154962800243284 -0.02005369330498116 0.014017908276472322 0.03681045051773279 0.02513050697208659 -0.0075353260976539285 0.0034728427957677055 -0.0014729377053897114 0.7102116035614703 -0.04182746351437525 -0.03543331557339455 -0.02033504547064307 -0.014561851903496428 -0.0629426143102945 -1.9011895597475184e-05 3.480515703897921e-05 2.6097443508659473e-05
PC_18 0.00011590688313855528 5.355313948792919e-06 3.314699207442802e-05 0.00024508324613921215 -1.4420152688766877e-05 -5.107978524898771e-07 3.2959862509066122e-09 3.4363513268331804e-07 -2.7339493157801157e-09 0.0034431502999584967 -0.0064015063665369375 0.004542877039751239 0.0076828259342658824 -0.0035014556776074616 0.0256727270649224 -0.018787576137049376 0.019527192462164097 -0.019188515421420332 0.012223412148826334 0.01529530467934233 -0.004190057035820832 0.008605228011208743 0.0086282575111413 -0.041827463514375246 0.7196057322042312 0.022793110671330503 -0.010104610966873383 0.005502604523045342 0.004343939561895416 0.00012331884700843312 -1.839242989114364e-05 -9.399995314281765e-07
PC_19 7.280975848848902e-05 1.8646976958661205e-06 -1.0652277129777782e-05 0.0005495126408448411 -4.05440451035847e-05 2.735111358698085e-07 -1.7611728603810583e-09 8.739071923912647e-07 -5.7087625795043864e-09 0.0006013876191282981 0.0019138008603386508 -0.0012483992013911096 0.007473644306244524 -0.004722134483600321 0.00695281417354731 -0.013042180707022625 0.01082437911730092 -0.009423284555176173 0.014978004959550912 0.0011274682527707693 -0.004907177197068401 -0.00459125249313442 0.008643640282341915 -0.03543331557339447 0.0227931106713303 0.7295705547904416 0.002318329198276118 0.011961547139737948 0.0038645660307980896 -0.0001955833420667095 -2.5019581268398847e-06 3.5966792452235894e-06
PC_20 -1.000829072599999e-05 -1.2737005148922555e-06 -2.4636483349140022e-05 0.00026446871131891763 -1.604920269456598e-05 4.929827104267293e-07 -3.0611048561302694e-09 3.1386135742132677e-07 -1.878336957178198e-09 0.00226304461161342 0.000729638447161392 -0.00015687228091114066 -0.004317424286666536 0.010819520272836962 -0.012896763049011764 0.0015705086968289409 -0.008916595793032302 -0.0013834378225323514 0.020700192214205538 -0.03835393170644527 -0.0025409362630310598 0.009585368083729404 0.00792059405794615 -0.020335045470643052 -0.010104610966873344 0.0023183291982760705 0.7326678014064486 0.018151622702615552 -0.008652731513076077 -5.214667805814602e-05 -1.347330264488798e-06 -9.296469231638806e-05
PC_21 -7.650016587588971e-05 2.6524515927796025e-06 -2.81632718294701e-05 -0.00011293106013661522 1.8086933441221988e-05 6.678299992861261e-07 -4.535592773452461e-09 -5.833964849334882e-07 4.830814059416906e-09 -0.0017542569142148267 -0.007811782030589703 -0.012482912559915535 -0.00822938883440036 0.019121166552771046 0.008142562647021305 -0.0038158759765525795 -0.0009392363192785814 -0.000985683184244935 0.015403275415742403 -0.02781267488468212 -0.048469129638837136 -0.0045103730088233065 0.005410319305058669 -0.0145618519034965 0.0055026045230453825 0.011961547139737943 0.01815162270261554 0.7708214755872754 -0.008925948315919354 3.0334234383449963e-05 6.990486201342798e-06 2.6623230336933198e-05
PC_22 2.4857744584759862e-05 -1.6573055373181235e-05 2.8733342514859263e-05 7.764980168706495e-05 -2.2825646979862773e-05 -1.3616090014121905e-06 1.114116992515539e-08 7.0932305186556e-07 -5.675830071130437e-09 0.007860310546612438 0.010467320105659542 0.0048833931834847515 -0.004798448970342825 -0.017599197675975328 -0.010752845049939804 0.002765407936705202 -0.009365979051502155 0.04228638552001222 0.011474420617360662 -0.018800055866377157 0.018855235423356886 -0.017827497632132108 0.04015611803457598 -0.0629426143102945 0.004343939561895416 0.0038645660307980536 -0.008652731513076098 -0.008925948315919427 0.7712640791192504 5.036169311979209e-05 -6.195394172903233e-05 -3.536060916832783e-05
proband -2.192483789598402e-07 1.0340416232614243e-09 -1.5283985418538919e-07 -1.6800955409825637e-06 6.564971206866642e-08 2.737521564619631e-09 -1.5501090007370335e-11 -6.762698246518024e-10 -6.647301560657662e-14 2.30788393800394e-06 7.73765205910607e-06 -1.3398639408497354e-05 1.163795678402714e-05 1.986408974191693e-05 8.181721135626537e-06 1.2682868085390009e-05 -2.705135883712633e-06 1.789032155361172e-05 -5.451788175482481e-06 1.61043080490515e-05 -3.5772380887718476e-05 3.170565606442677e-06 3.957715514687536e-05 -1.9011895597471365e-05 0.00012331884700843802 -0.00019558334206674666 -5.214667805819064e-05 3.0334234383449984e-05 5.0361693119786976e-05 3.4003202282276676e-05 -2.2742134652897715e-05 -2.0833820314701358e-05
paternal 5.388454919638228e-07 2.011365854199025e-09 1.1934770699766633e-07 3.236150042949877e-06 -3.346887755847928e-07 -3.2598068027854976e-09 2.3476247455459695e-11 7.469224851874939e-09 -4.7508389212191686e-11 9.265388691735741e-07 -1.7954104485026342e-05 3.138827551760338e-05 -1.0131225450535522e-05 2.7371211598192292e-05 4.7248416262601596e-05 3.0497595544993328e-05 3.9547718320868315e-05 1.4120653271153161e-05 3.3144596792515368e-06 2.923783197518367e-05 4.276053499267537e-05 -2.6382613027374722e-05 -2.408127676961378e-05 3.480515703898037e-05 -1.8392429891119856e-05 -2.501958126817971e-06 -1.3473302644289672e-06 6.9904862013476795e-06 -6.195394172906503e-05 -2.274213465289774e-05 5.246662991481628e-05 -3.1275172781653047e-06
maternal -5.29306407739586e-08 -2.6364273392385463e-08 3.1880427165303377e-07 5.128027172804798e-06 -2.790267043166525e-07 -6.580205565631236e-09 4.3245389637738894e-11 5.413766690470972e-09 -3.5132587609409884e-11 2.2869727505807515e-06 -3.082210201289073e-05 -7.975624533895903e-06 -1.989802126187952e-05 2.4273432752791785e-05 4.4010832727195955e-05 3.965741898973008e-05 1.3225472794053226e-05 8.291242619157502e-06 2.2453967082382064e-05 4.462255071799895e-05 -1.635395483540513e-05 -1.2337661692617429e-05 -2.6342369189015798e-05 2.6097443508655705e-05 -9.399995314660888e-07 3.5966792452417667e-06 -9.296469231638707e-05 2.6623230336925866e-05 -3.536060916831955e-05 -2.083382031470139e-05 -3.1275172781653018e-06 4.846814550612837e-05
