 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_14 -1.464767066187623e-05 5.807106016186405e-06 -1.5631833882237424e-05 1.717684554001144e-05 -1.391468359968262e-06 4.3427350767834353e-07 -2.8697023522964515e-09 3.5109871115490305e-08 -2.8503474523738046e-10 0.005012070215760593 -0.008486266091341572 -0.00043249857153513467 0.00027321074990211596 0.0051796824333980385 0.00612845392456565 -0.0021062560379656904 -0.0007452962432126345 0.011586223251446395 -0.0010101803213516858 0.014119684137008695 0.3392872250943453 -0.0014507002099203366 -0.0012915415154342396 0.006089755689795824 -0.003007067936801623 -0.0017549086823027674 -0.0023443805842507984 -0.025539837503787355 0.0071453717440115895 -2.934272160150538e-05
PC_15 -4.926003656215593e-05 -5.400391601253732e-06 -9.832356294983651e-06 -2.862738785589656e-05 1.6958755670954112e-06 1.8603130033823134e-08 2.6569135389440655e-10 -9.729115585792408e-09 -5.3005814950330164e-11 0.002632570030511917 -0.005964497539765159 -0.008018365572941015 -0.011724715193666918 -0.017649902564394113 0.017062376357160684 -0.0023802269156701374 0.010171735853123693 0.014766791150505503 -0.010128898886104614 -0.00041622477083221986 -0.0014507002099204314 0.39404578843225724 -0.009888833970297387 0.004722816379359448 0.004813127667691052 0.00046954937779007796 0.002799588219464561 0.0004492330152655157 -0.013400172001626076 -2.4322183208539877e-05
PC_16 2.1028519516607896e-06 -2.7106538835942735e-06 -3.609660997710966e-05 -9.387182918502329e-05 8.665324428399692e-06 7.582767771816005e-07 -5.315523949062388e-09 -2.4411013975762635e-07 1.9380793819580677e-09 -0.0015149647748461793 0.006266321721899278 0.006908169574796305 0.007354630079757647 -0.012819876363356483 -0.010650713962294984 -0.010277159792071987 0.002523282097243263 -0.003874507764145479 0.005736904523077519 -0.0070401717905804306 -0.0012915415154342086 -0.009888833970297358 0.40974725238668314 0.008054360049347023 0.004400069281977145 0.002433588778028907 0.009975289117061217 0.014168064232705063 0.00869727300021306 -1.229281454357314e-05
PC_17 -3.5309172443199765e-05 8.535259906026472e-06 9.326805456210276e-06 -7.114012673242092e-05 8.698524323795202e-06 9.356203011913097e-08 -1.382342068494607e-09 -2.6081408392132494e-07 2.020083639761461e-09 -0.009331183727672995 0.00514921551276038 -0.014161451072516573 0.013283008204172915 0.015396046190402584 0.006336200192614167 -0.005701316725116071 -0.002904623694376012 0.009426787212879241 0.017518087754938495 0.01691019849712498 0.006089755689795841 0.004722816379359465 0.008054360049347085 0.446600530484596 -0.013953837576823733 -0.011049182738802083 -0.016235796437738474 -0.008529574564173413 -0.03154396326090927 1.6614259149485065e-05
PC_18 -5.245359479152628e-06 2.5805017581556007e-06 7.601613039571848e-06 0.0002917511681984551 -1.667573593124457e-05 1.410269387787638e-08 -8.052502238556566e-10 3.1318673523078924e-07 -1.926824064981083e-09 0.0009059789893101442 -0.0027313633615301774 0.0049863277282403435 -0.0039029696333589227 -0.007326347534539146 0.012442189105554509 -0.004786312003186735 0.010063059945553489 -0.009051374720579193 0.010230438829448256 0.00977031097719301 -0.0030070679368016354 0.0048131276676910495 0.00440006928197715 -0.013953837576823665 0.4515196227556544 -0.0014761229528638046 -0.01081982164217241 -0.0038765776794697157 0.006751915501424566 7.899461264534976e-05
PC_19 4.736322737390707e-06 3.297356598206486e-07 -3.824198005178801e-06 0.0003429515845966967 -2.2839066826691976e-05 1.2982156115124226e-07 -1.135675408573218e-09 4.216631338184601e-07 -2.3533578000715337e-09 -0.0005211702111929679 0.0022056211397547005 0.0034035736164318474 -0.000621086200576902 -0.006027657996911593 0.0028335948737450104 -0.0004984038875523876 0.003169112607964336 -0.004830365342795179 0.00956537826924126 0.002078424823298193 -0.0017549086823027762 0.0004695493777900743 0.002433588778028897 -0.01104918273880203 -0.0014761229528636244 0.47201858173647765 -0.0002908988899758399 0.0032201821002131857 -0.0004256874958118423 -0.0001463254416645489
PC_20 -3.877753846286557e-05 -2.2107435292624473e-06 -4.066653376405141e-05 -0.0004006496391960302 2.95995805648388e-05 7.451845885423203e-07 -4.536970395885968e-09 -6.178121700566603e-07 3.920842585679954e-09 0.0031402391986349704 -0.0039684967557711 -0.0013444309644483475 -0.006422000192402542 -0.00156478676075179 -0.00010314794533756618 -0.00016789965688719 -0.0020205557224812253 -9.366957924833121e-06 0.008607993473450959 -0.017816523415161104 -0.0023443805842507806 0.0027995882194645884 0.0099752891170612 -0.016235796437738603 -0.010819821642172354 -0.00029089888997579206 0.45216439416965826 0.021497816995309307 -0.001197086457764342 -1.8240601709604527e-05
PC_21 -4.502146720207172e-05 2.866558712109312e-06 -2.0322347956880454e-05 -0.00021949762063956554 1.5542053035775493e-05 4.346966158016095e-07 -2.518504363208775e-09 -3.016240041422393e-07 1.570421456402189e-09 -0.0007310120933419352 -0.0003008048800945314 -0.001489310305814024 -0.0018848412929554697 0.006553964911286608 0.0007956696009722679 -0.006637971954048818 -0.00203077367871069 -0.002033937278800461 0.010803143888749695 -0.013427664016146465 -0.025539837503787334 0.0004492330152655178 0.01416806423270505 -0.008529574564173458 -0.0038765776794696793 0.0032201821002131406 0.021497816995309334 0.4951695052251596 0.004176289030799658 3.2027249739730933e-05
PC_22 6.369898426548709e-05 -1.135814549358828e-05 1.1309255033151703e-05 -4.825668621745205e-05 -1.0225762845721334e-06 -6.57296907562617e-07 5.5896860915706614e-09 1.0478204262630618e-07 -1.0517380265076117e-09 0.004715838319196855 0.003213800355810842 0.008602658437202764 -0.004953386477142422 -0.00794003239370951 -0.008624745110506628 0.012542012967229543 -0.008579703813852747 0.019328126415703507 0.004057008313730468 -0.005551783674835587 0.0071453717440115635 -0.0134001720016261 0.008697273000213042 -0.031543963260909254 0.006751915501424548 -0.0004256874958118074 -0.001197086457764387 0.004176289030799626 0.48275323147230836 -2.4351904816260204e-05
proband 1.5005027415930718e-08 -1.5682833395316406e-08 -5.317693589047254e-08 -1.088437261854022e-06 1.9930299804838093e-08 -2.3968790831635056e-10 8.2154876794957e-12 3.701004746220332e-10 -6.654253211384256e-12 -1.869736908798319e-05 6.423779839796553e-06 -1.3879129010869432e-05 3.433814659140477e-06 3.015495419034153e-05 -9.653460073288024e-06 -6.982611497140916e-06 2.020634648180478e-05 2.5424271811582718e-05 3.318012321704737e-06 2.411687834533321e-05 -2.934272160148401e-05 -2.4322183208540907e-05 -1.229281454357579e-05 1.6614259149487653e-05 7.899461264534259e-05 -0.00014632544166456036 -1.824060170960477e-05 3.202724973972895e-05 -2.435190481625901e-05 9.317068974395806e-06
