 intercept yob age age2 age3 PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_18 -0.005440252441897244 0.0001265031204438488 -0.00015784409295754493 1.3381567321099118e-05 -1.6769669240684437e-07 -0.05492483735133494 -0.09011214731573189 -0.14466114949500575 -0.07521163796893923 0.21230053662929563 0.4767913338506911 -0.3227226326828436 0.4300546865642518 -0.296199800590697 0.33381227726513046 0.3382081061738867 0.27597092856333294 0.21621971925868846 0.018646320169478346 0.3110498852660022 7.661063061814283 0.3103242573387822 -0.15578200606995962 -0.5841403855413431 0.37119308044130594 0.0010790397253043415 0.0017646331013499703 3.523707262086681e-05 -0.0021820357574565312 -0.0009691570778754558 0.0016412449672062355 -0.002159413708978874
PC_19 -0.000328068627903999 -0.00013127801744213934 4.8257338358349764e-05 -3.6223948019866332e-06 2.0355598149651536e-08 0.004986895628482354 0.057641189705834095 -0.06268797841108253 0.022054056331964268 0.039366273707301704 0.10797254266840807 -0.19319723509201284 0.4231142362440963 -0.13771569842506595 -0.011442444419472442 0.1251795678643031 0.00037163317468579004 -0.14265849716516016 0.294771318415515 0.2171502487441129 0.3103242573387841 8.26596237934354 0.015507348903585478 0.13262020465545718 0.6346852888584527 -0.0013088206638831054 0.0006445586216930274 0.00046031037391019893 0.0010668727961118632 -0.004081781622948648 -0.0011998876200442713 -0.0008426714375489003
PC_20 6.751674195351873e-05 -6.95901921204002e-05 5.308452401911e-05 -8.60442926130066e-06 1.0470045380696949e-07 0.05593130471869527 -0.09459029584540612 -0.041339715184548514 -0.272044967877293 -0.5048399856545176 0.2678707490241483 -0.10896342766418855 0.029823671205896372 0.07524204437156445 0.013049614553179496 -0.2983700021436516 -0.14388983963438434 0.2969793965140619 0.2520189243825173 -0.3444505476457302 -0.1557820060699605 0.01550734890358432 8.60147231848455 0.7733380689579686 -0.04759353152740765 0.0007047271356747467 -0.0019450521611258718 -0.0009534289789829319 0.0016844986710359438 0.0005382958860312046 0.001310821781582861 -0.0011863060940731408
PC_21 0.004550608605021837 6.176757865018835e-05 0.0008352839751682933 -3.37845946086632e-05 3.595743858199702e-07 -0.13063826344082302 0.07546328758729251 -0.11719681353937675 0.1843521215905356 0.080062581471656 0.03005211261408238 -0.367031676980249 -0.20637555709167385 -0.64013033322806 0.20407817030116118 -0.14040165704790913 -0.5259372177620175 -0.13652766016490253 0.1698381103761413 -0.2513560164984373 -0.5841403855413451 0.1326202046554554 0.7733380689579703 10.217331851885543 0.4428403648378681 0.0016833874554559596 -0.0017717345236122719 -0.0012965468769214421 0.003575188341840009 -0.0007330368913849208 0.00181620305881604 -0.0009234290417474843
PC_22 -0.0009826027138068775 -0.0003509821393781361 4.929053152992743e-05 2.0977924006904437e-06 -9.388558884242732e-08 0.1793723338518054 0.23424541189627762 0.29754783896259185 -0.21995383783647507 -0.5963197489200324 -0.21456224340336566 0.406274641155987 -0.620136552080341 0.3803643126277018 -0.02394934630789457 -0.5363851647897315 0.4770226679298458 -0.628696080818884 -0.08289562297006485 -0.27793593251613946 0.3711930804413066 0.6346852888584528 -0.0475935315274076 0.442840364837867 8.824813188881148 -0.00039868902470178264 -0.0016107270313631896 0.0024207541858988764 0.0007457568774249056 0.0002513199465005632 -0.002664710517955499 -0.0006456131578868755
proband -3.2556128770907584e-05 -2.1821681084236791e-07 -1.5798330723662952e-06 5.360542698378668e-08 -7.054549871029959e-10 -0.00011828330426414316 -0.00015848677525407876 -0.0004201464997011663 0.0003873094777563984 -0.0003245430634240786 -0.00048723629032606657 -9.507350467799462e-05 0.00024643450671463425 -5.065298118596658e-05 -0.0007407930128661604 -0.00010112190597159001 -0.00032483050993751064 -0.00041402567652213627 0.00020532612273275452 -0.0004930412845846842 0.0010790397253044215 -0.001308820663883664 0.0007047271356747547 0.001683387455455877 -0.0003986890247019082 0.0002706614383985637 -0.00013362699009134197 -0.0001414738559296727 5.451824225614731e-06 -5.829671324482078e-06 2.3228221820394093e-06 -4.221077549046342e-07
paternal 2.8442691916394358e-05 -3.0530892263847806e-07 1.7318705374730756e-06 -6.7819672280403e-08 7.805673158322847e-10 2.2681606961996107e-05 -0.00015428420683854778 -8.159435178814492e-05 -3.0862950249902023e-05 0.0017202344315275155 -0.0005377064393621797 -0.0012758107415413824 0.0007714145075930549 -0.0005235722302673975 0.0011596833275343815 0.0021340804020475853 -0.000895719855460774 0.0008902931856630182 -0.0007231758082463859 0.00024477186691906157 0.001764633101350159 0.0006445586216930872 -0.0019450521611257287 -0.0017717345236115177 -0.0016107270313630616 -0.00013362699009134203 0.0009332508779952566 6.276122475579471e-05 -0.0007398465854277166 -0.0006613426587732558 2.28465178739386e-05 9.860680641119764e-06
maternal 2.2977657148166555e-05 6.225458967711883e-07 -2.42822521276255e-06 5.688185243627636e-08 -1.7246489838299087e-10 -0.00028027188146106317 0.0004494433496845628 -0.0011012508925003486 -0.0006172672963222736 0.0006884368747634312 0.0009546210318450927 -0.0002533131446227968 0.00043102693608451165 0.0005239232537426596 0.0009055231646962112 -0.0010704826272731171 0.001293105672508659 0.0001650768730917917 -0.0017410192638776323 -0.002599354082809458 3.52370726210552e-05 0.00046031037391024415 -0.0009534289789829045 -0.0012965468769213517 0.0024207541858991375 -0.0001414738559296728 6.276122475579476e-05 0.000863865989455759 9.28660506229705e-06 1.4255664088015286e-05 -0.0006255239443996375 -0.0006093203854226115
gpp 4.487632238231911e-05 -7.595419987388389e-08 8.279390909296737e-06 -3.0238544315613934e-07 3.0144958027056137e-09 0.00036381080493929783 0.0002966811270015387 0.001226140342620904 0.0015329825418179763 0.0003790279120173254 0.002428674414336634 0.0032770353299341947 -0.0036526361926447646 -0.002219142098868832 -0.0002884992961000028 -0.000502650922188582 0.002228885593273723 -0.0009475455847573773 0.00045487950812370223 0.0011179016513177605 -0.002182035757456607 0.0010668727961122763 0.0016844986710363007 0.0035751883418403602 0.0007457568774252842 5.451824225614685e-06 -0.0007398465854277171 9.286605062297719e-06 0.0023877285431523976 -0.0009341974252054743 -1.8733239611393462e-05 -4.29142886901165e-05
gmp -3.151262166330735e-05 3.6646287830214515e-07 -7.074340641078943e-06 2.6712220083977696e-07 -2.644981873400523e-09 -0.0008952127003730222 -0.00027932487682805966 -0.00106702151856334 -0.0018539580319791764 0.00032398356440413835 -0.0004776205794607657 -0.0004459158746077077 0.0014490552580191049 0.004119965467875273 -0.0015000407759370026 -0.001330316881532529 -0.0011568685168807098 0.00017982513480042895 -0.00031933965416164524 -0.000128161317703013 -0.0009691570778754438 -0.004081781622948707 0.0005382958860309545 -0.0007330368913855429 0.00025131994650017236 -5.8296713244816e-06 -0.0006613426587732563 1.4255664088014758e-05 -0.0009341974252054733 0.0022498773911254514 -3.113478969901091e-05 -8.886699926763648e-06
gpm 1.1411423096968566e-05 -4.948525859732828e-07 8.866106751307407e-06 -2.667890063141691e-07 2.2337723924258597e-09 0.0001834943868018252 -0.00047612572457554706 0.0008214651647099447 -0.0001288656687946963 0.0007648184481851344 -0.0017984842847855295 -0.0009938894296849994 0.0011848812560393434 0.0005209795591100555 -0.00015828024264564347 0.00174188210663603 -0.0010627458800923778 -0.000543148369180619 0.0005579626892329788 0.0034934231372840898 0.0016412449672056142 -0.001199887620044282 0.0013108217815833156 0.0018162030588156914 -0.0026647105179552597 2.3228221820395135e-06 2.284651787393751e-05 -0.0006255239443996386 -1.87332396113916e-05 -3.1134789699012166e-05 0.0015031706735284262 -0.00027257112757727165
gmm -6.464540238928154e-06 -2.1414230966874937e-07 -1.1008256488779253e-06 6.002918770753874e-09 2.198192589650231e-11 0.00026402460688986434 -0.0005207807233956206 0.0007076932377670689 -0.0003668194471016248 -0.001215751700201158 -2.056487986677343e-05 0.0007964570030506592 -0.0008384239018681467 -0.00014104712114821366 -0.00012223933627649177 -0.0003852137879546882 -0.0021272834666004876 0.0004028312682428479 -8.340202682005408e-05 0.0019649888263040772 -0.0021594137089786586 -0.0008426714375487592 -0.0011863060940735587 -0.0009234290417476854 -0.0006456131578873553 -4.2210775490475275e-07 9.860680641120467e-06 -0.0006093203854226104 -4.29142886901175e-05 -8.886699926762388e-06 -0.0002725711275772732 0.001466763570044743
