 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_14 -0.004278461650478306 0.00018652050305679815 -0.0005517741159877241 -0.003421141944315798 0.00028158111662045167 2.1869229115626326e-05 -2.121062715867767e-07 -7.322432789028105e-06 5.6822147046617293e-08 0.007232204857025299 -0.03372189106222265 -0.14175236086960016 0.3247798082943031 -0.002611245184609838 0.19311682058246984 -0.006444889053467029 -0.10717263580749443 0.4374547751231061 0.15072322167474103 1.116163870049891 5.906065769855556 0.24431314961109846 -0.292833912249968 0.28466021225438826 0.2914250417648925 0.08501835156164342 -0.02073711315447333 -0.48306506776925034 0.43471283824625667 -0.0003154729140300677 -0.0008989449608561125 0.001397529208435899 0.000824953488293097 0.0001772795845940136 -0.001452508932073866 -0.001108496189294929
PC_15 -0.0033623494851236072 -0.0001364661335976125 -6.212829597040613e-05 -0.00453815386984226 0.00033659023631033946 1.6437701665173894e-06 -3.653308862123172e-08 -4.959039813417242e-06 1.0797937564604733e-09 0.12783044863782933 -0.1956324467146789 -0.10746897917519946 -0.3552502663566743 -0.40904342788904957 0.2298841976246881 0.02852849086584608 0.1701949870018566 0.053420222171905986 -0.1740254286340008 -0.11558308261528343 0.24431314961109823 6.069291189130267 0.16823354663205267 0.11861243904388936 0.09004149257470148 -0.053442091199687965 0.2694000325168342 -0.1152567806338779 -0.580021008737781 -0.000355381484028546 0.0009185294909705928 -0.00042336078097216255 -0.0017215492416783322 -0.0002121288572273378 -0.0002036514537052166 0.00042571534092060084
PC_16 -0.006096627337396323 -5.824100705934066e-05 -0.0005818000841351363 -0.006443974985910864 0.0006482320708174952 2.0237696884477126e-05 -2.44301142298164e-07 -1.976029779391407e-05 1.8887690263926613e-07 0.037072683391615555 0.0968413508718296 0.11441731822004696 0.14942776929639942 -0.22903506550709593 -0.21452429572303533 -0.1380678101513169 0.09382800142296371 -0.06690754077949528 0.22559151077945103 0.061723974520372135 -0.29283391224996613 0.16823354663205176 7.729338762975056 -0.012105376363717566 0.08698373366698223 0.2705357891407744 0.2879397263993542 0.0854645939624985 0.01618231734992847 -0.00027545306162677095 -0.0004350343589813928 -7.811697396240965e-05 -0.0008608452973750771 0.0013992485064942735 0.0008828907741253661 -0.002318609504729396
PC_17 -0.001739614992643589 0.0001290992482655775 -0.00029428103075359625 -0.014558076443022035 0.0016588569630997805 1.2499299364360199e-05 -1.3540884477795067e-07 -5.180052277905911e-05 4.903013255938687e-07 -0.218610163694889 0.09386971861101129 -0.38718929835246796 0.33275815109148327 0.4748044140330001 0.2859028707425366 0.07945922658357273 0.29930926525674834 0.08418831946307895 0.6043077677840873 0.8538388118590223 0.2846602122543964 0.11861243904389171 -0.012105376363707402 8.199032056080576 0.3399763331946294 0.18821882668700102 -0.4638805430497322 -0.2672386052561377 -0.3474737578256562 -0.0006007871748803682 0.00026549602715969663 -0.0012253874853291127 0.0005248837978835493 0.0005656780673649168 0.0016664756665174475 0.00109644300581858
PC_18 -0.0035746674559669956 0.00016323661694496122 0.00023723346896825957 0.004047241799535729 -0.0003173506866984999 3.4625075519856214e-06 -8.725970260166916e-08 5.838116728459757e-06 -2.039719346977813e-08 -0.059802545181294686 -0.07763328119212003 -0.08987016895018515 -0.02989312735782655 0.17864875039846173 0.4207065126971488 -0.2812102493936202 0.4075521031708645 -0.10804861856142915 0.1686341148967609 0.25312786792319214 0.2914250417648897 0.09004149257469712 0.08698373366697319 0.3399763331946179 6.874428160774051 0.12994056255178804 -0.21991397620011927 -0.540852259684355 0.2538778090622051 0.0005418502213839429 0.0005970793215027511 0.00065570851242986 -0.0009575886109924893 -2.594048072289995e-05 0.002389321493164199 -0.003311764971876365
PC_19 -0.0042422517738036 -3.9232725829737805e-05 -0.0010226799935071456 -0.009641423173698939 0.0012871207476547232 4.003323981279953e-05 -4.468624061302679e-07 -4.8848981302653445e-05 5.148049473944211e-07 -0.024986265450451545 -0.023774641596336472 0.0009289447578836338 0.033940349958186344 0.04017883311432303 0.06713031748764613 -0.11440175890446314 0.2810217792995188 -0.04221650775385629 0.03874028593757134 0.020152071913706663 0.08501835156164739 -0.05344209119969107 0.2705357891407743 0.18821882668697712 0.12994056255179703 7.252775494812833 0.07345951408273332 0.19200411370359297 0.3694141175925588 -0.002037734514480003 0.00012750570431108488 0.0012489231290720463 0.0014173485065658814 -0.0026489934762168473 -0.0004685617964803006 -0.0013390380180685934
PC_20 -9.829714468506344e-06 -8.96976078654051e-05 -0.0005175946836927042 -0.0023373971381933484 0.0004160096701468703 1.1136985582645264e-05 -8.082694761343389e-08 -1.5170485170233123e-05 1.4586360750720496e-07 0.048670192788005405 -0.052318078348967845 -0.019978702998615153 -0.17045840198128598 -0.33116912018857525 0.27853635628973067 0.024970490674039524 0.09099180172874548 0.04190563771067167 0.15055925961312305 -0.3733062523499691 -0.020737113154470483 0.2694000325168355 0.28793972639935955 -0.4638805430497325 -0.21991397620011305 0.07345951408273861 7.542682850717244 0.9404779301010432 -0.00016811758064681033 -0.0005072501689357819 -0.0011946330071049222 0.0005493530915366663 0.001240651894542212 0.0005162637749172237 -4.8339572362481824e-05 -0.0020719721560391482
PC_21 0.007367582572919718 6.109449644710392e-05 0.0014537037269667255 0.009302335439495418 -0.001036867608143182 -5.437404986165451e-05 5.863519608038342e-07 3.309474643809126e-05 -3.337252542843334e-07 -0.0714309822483644 0.044208041280639064 -0.10375764601702302 0.22244107399262777 0.033592440218131916 0.17314389204267824 -0.2073205427743687 -0.16764455218145705 -0.5773828455740577 0.17507847126602352 -0.1501965895604176 -0.48306506776925184 -0.11525678063387888 0.08546459396249902 -0.2672386052561114 -0.5408522596843661 0.1920041137035992 0.9404779301010514 9.052097366028041 0.2647364739086554 0.0008601868078353505 -0.0007559726984856628 -0.0015566242402278833 0.0030147105209716533 -0.0025964574663787706 0.0013290351235105851 0.00045548141470546353
PC_22 0.004165018051133209 -0.0003068578479995624 0.0005750520514605815 -0.00033091005172220547 -0.00013766655634304075 -2.0998105215310803e-05 2.0465969178410734e-07 1.0668420238606688e-05 -1.793614293409327e-07 0.17414514178361273 0.17252676053241364 0.3072597174660267 -0.19142745712290898 -0.521056480689917 -0.20765287062910565 0.39246038616381385 -0.5095955667625477 0.48004762624695313 0.09667007602018796 -0.4110213208023599 0.43471283824625656 -0.5800210087377764 0.016182317349932075 -0.34747375782564494 0.25387780906220037 0.3694141175925654 -0.0001681175806426748 0.26473647390865174 8.03466932280307 -0.0007376337512106006 -0.0016955069916846281 0.0016229343006162616 0.0008289742500940338 0.0012923906612857124 -0.0024592770103523255 0.00011108754971558077
proband -2.881120162124351e-06 -2.144248515425951e-07 5.7191241831094e-06 5.83545002508913e-05 -7.670610601032846e-06 -2.1854794830038457e-07 2.2472124668285248e-09 2.789811161499263e-07 -2.965205404360616e-09 1.9434521260026493e-05 -0.0004291915011611061 -0.000202056921855305 4.5773506550757784e-05 -0.00018179444610299947 -1.2382974800138236e-07 -9.190151492874083e-05 0.00035134162953604116 -1.6176045200547267e-05 -0.00044886367967601163 0.0003873770703859512 -0.00031547291403015735 -0.0003553814840286454 -0.00027545306162623807 -0.0006007871748799488 0.0005418502213835567 -0.0020377345144803826 -0.0005072501689357594 0.0008601868078356185 -0.0007376337512105786 0.00026582181854446356 -0.0001295345085951052 -0.00013308983456915662 2.593275644252448e-06 -6.833686245177585e-06 -2.1845177616504793e-06 -3.89390293159634e-07
paternal 1.9146765380294966e-05 -1.9929618419594857e-07 4.100091459969603e-06 4.254169241503701e-05 -5.590455186160022e-06 -1.3728425483374599e-07 1.2781304481772444e-09 1.7118445501849567e-07 -1.4757502426548629e-09 -0.00019020745059335304 0.00018376550165099387 0.0004990675876251579 -0.00029515942286912044 0.001491006377878592 -0.0007927784518332977 0.0002551571408441097 0.0002906212040348947 -0.0007240542019302782 0.0007127812663942386 0.0008025904762448326 -0.0008989449608561482 0.0009185294909716499 -0.00043503435898155644 0.00026549602715973366 0.0005970793215029309 0.00012750570431130742 -0.0011946330071048279 -0.0007559726984848736 -0.0016955069916848654 -0.0001295345085951058 0.0008401946919005608 5.803524312060062e-05 -0.0006774075587331797 -0.0005853423489118596 1.7937307681633933e-05 4.976170290858366e-06
