 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gpm gmp gmm
PC_7 0.00015286470808084264 4.479712212947258e-05 -0.00019285153297191965 -0.0017688380142565508 0.0002002922968482473 8.429023665057363e-06 -8.45230637906207e-08 -7.113976584329593e-06 7.870026602554439e-08 0.014409016502196916 -0.03941938560152359 -0.08282577140470068 0.04823531680295077 1.1246207329425164 0.003406920228331959 0.15884446650992917 -0.09427020688373018 0.12247931126346885 0.09475803705717416 0.024588530968507227 -0.0026514525062467553 -0.12601383059384616 -0.05937854402319835 0.15393549555640307 0.05618245205761224 0.017762671495463886 -0.09223771777733696 0.017673358031996402 -0.1987383230488495 -0.0001405771165517244 0.0006023924981578893 6.6139714496641515e-06 -0.0006407687882700092 0.0008292547188422773 0.00017005788130018234 0.0004876910863792394
PC_8 -7.347507098997598e-05 -9.662072693690187e-05 0.0002531787034727127 0.0029817463759766053 -0.0002458193181003425 -8.3295181467657e-06 6.419255009048721e-08 6.182207442355206e-06 -4.75769168331756e-08 0.004493278421800896 -0.044284404484854815 -0.0882823333140281 0.0702853894822498 0.0034069202283311547 1.2223412143692787 0.16402364904066388 -0.011141670253663607 0.10695087815519039 0.11058397855402714 -0.013239498543773345 0.027878067663845357 0.10521802976716763 -0.07216233255575644 0.10015047481401207 0.15793243973294468 0.025700355435375112 0.0917213261535652 0.08447900243844166 -0.06443639664974238 -0.0001078167423683046 -0.0001476339545387524 0.0003899691478620685 0.0009760635204862781 -0.0004237569804681764 -0.0006234705789311698 -0.00014266349898740913
PC_9 0.0009735979942907534 -1.3385730214619192e-05 0.00017632168395202526 0.00895327824402517 -0.0008970404275526392 -8.367964238939089e-06 9.943378582675883e-08 2.7618341499123134e-05 -2.588996575357332e-07 0.01233143250035964 -0.02153730696437601 0.07575023587609758 -0.06456614074351032 0.15884446650993428 0.16402364904065653 1.5156635532250218 0.1010214411481178 0.016038368380239143 -0.12571385360561313 0.08534369373899184 0.009250642661842941 0.005065342652314208 -0.09308152471734421 0.0010949823384492944 -0.12302932696870941 -0.07228772918066965 0.04682065542580934 -0.08570108335077553 0.15655886671772112 -3.1885996000291334e-05 0.0003101801917138441 -6.0713272188214004e-05 0.00014670024778550624 -0.00029193984602695136 -0.0004086264261854159 0.0006114477524667855
PC_10 0.00017506076760232135 -3.9048500027597544e-05 -0.0005448926747655729 -0.010624763677879883 0.0009355907315920139 1.2177976257645742e-05 -8.867479587174101e-08 -2.5155004857620984e-05 2.0883573634194516e-07 -0.02741235961765345 0.014974482187550148 -0.043442205600384476 0.07439004518880896 -0.09427020688373104 -0.01114167025366163 0.10102144114810699 2.012789122688569 0.28156446324806983 -0.11726763301715888 -0.014597859298794832 -0.035287511361289096 0.09357591770668926 0.04242753999875395 0.08685133149635271 0.1423380291279941 0.11701217421653867 0.0384933965405856 -0.07235431639861963 -0.23553840341984647 0.00012705056856263116 0.0004085790140228546 0.0004977743447300181 -0.0009953541207064383 -4.242741773241834e-05 -0.00023496614183681012 -0.0005735540439064877
PC_11 0.0010426112293644306 8.894701077163983e-05 0.00022823556527121707 -0.006110452354235092 0.0005835105775807904 -5.060026805893482e-06 5.3505000613969994e-08 -1.6077652066066045e-05 1.308907260743003e-07 -0.01837021175341843 0.01053894359741013 -0.08625692161945654 0.024477078595442004 0.12247931126346291 0.10695087815519604 0.016038368380253916 0.2815644632480521 1.6849764908410996 0.14225740731962838 0.236696859457221 0.1203590977236758 0.05594963414958772 -0.00044985409118164163 -0.014127653388936002 -0.11421524272597743 -0.057124263855648325 0.022445675605711646 -0.21174530458186702 0.16392755690953287 -0.0001961744260065669 -0.0002579820441254708 0.0009314200962056251 0.0007974918000220467 0.00044592645683217997 -0.00016835461728459134 -0.0008104323909616724
PC_12 0.00012824856558076283 -3.136040843235527e-05 0.0011920100984786149 0.014710462522905227 -0.0012766917576741475 -3.447907133620858e-05 2.992594763677323e-07 3.4976008367123473e-05 -3.0185075253255354e-07 -0.011417904038105848 0.038984639136354284 -0.052977429871868466 -0.029885312400890485 0.0947580370571707 0.11058397855402564 -0.12571385360558332 -0.11726763301716892 0.14225740731959566 2.1262552951765414 0.09187290743279886 0.05139813453868037 -0.01859189323151131 0.13528035494138974 0.17515041466887316 0.07632790581403073 0.028119484286062126 0.09119315148391295 0.07575897198479907 0.017289195104262 -0.00037293356567745474 0.0008206421860431301 0.0005282284531887217 -0.00033527976716340974 -0.0005550086257681698 -0.0001190032189522443 -0.0004909741341555003
PC_13 -0.0009990206376787744 -6.340084081971683e-05 -0.00010915904079376256 0.000969530461459625 -0.00012398049483195939 1.6650071009343301e-06 -1.4016055059633195e-08 4.751783635130229e-06 -5.346129133806945e-08 0.03681240996072522 0.053281989481388216 0.025436328433690387 0.04145915898452057 0.024588530968508163 -0.013239498543776353 0.08534369373898767 -0.014597859298788748 0.2366968594572215 0.09187290743278716 1.9785156206304524 0.3737287873740743 -0.10058432751003463 -0.043963301170046105 0.22547468190601574 0.11356984321654312 0.023568525215459976 -0.1786576676188625 -0.04955150081411074 -0.1867698026673078 7.060586818206689e-05 -1.4114489877332151e-05 -0.0006010653961894851 -0.0011321564432971963 0.001281830320985141 0.0008123552468298496 0.00022186886883988977
PC_14 -0.0027419047745043707 5.424016530948107e-05 -0.0003694778249955172 0.0033206558933902976 -0.00038305935615310337 1.1320463713156073e-05 -1.018250622136563e-07 1.2324249919828635e-05 -1.1974634762592432e-07 0.00384428686734897 -0.028860323124104133 -0.04028640128251194 0.1491401843294641 -0.002651452506242355 0.02787806766384063 0.009250642661835179 -0.03528751136127852 0.12035909772367354 0.05139813453865865 0.37372878737407367 2.080614607829894 0.08940971959949086 -0.19742578962914265 0.09057689205860513 0.048692726908427256 0.013620759697380832 0.06569323573724285 -0.22820544880551355 0.1265458006850393 4.229378885580572e-05 -0.00044524901925162486 0.0004074680848866532 0.0005641393838630592 -0.00021977174830643335 -0.00042472544166501693 -0.0005633942190409268
PC_15 0.0004416998197727764 -4.252416160281283e-05 0.0004251898163427564 -0.005771875880317832 0.00046141121024560094 -1.2907400513695665e-05 1.1223126714747084e-07 -1.0298094064299217e-05 6.807299604278014e-08 0.04801404261587849 -0.0500289315737016 -0.0263757531920882 -0.12991680993233232 -0.12601383059385063 0.10521802976717254 0.005065342652324392 0.09357591770667695 0.055949634149587986 -0.018591893231490204 -0.10058432751003323 0.08940971959949195 2.1425742418712574 0.018265516928757924 0.019961048981201483 0.10279849126433487 -0.026631658859409893 0.17566425862350143 -0.0916421113618589 -0.26424193117366623 -0.00015024522146601143 9.462455258250354e-05 -4.294622201904845e-05 -5.451157602368032e-05 -3.7153426675062416e-05 -0.0001615058141776387 -0.0002784924787897019
PC_16 -0.0003909196719573653 -8.121268754520646e-06 0.0005660976958253051 -0.0038222266377074873 0.0003464178007775304 -1.2997281903732384e-05 8.181492627664944e-08 -1.0096295738517339e-05 9.539832038994496e-08 0.014227908958356694 0.05341676171896856 0.0380347576329691 0.053869675047657516 -0.05937854402320524 -0.07216233255574944 -0.09308152471732624 0.04242753999873525 -0.00044985409118596575 0.13528035494141896 -0.043963301170045876 -0.1974257896291398 0.01826551692875562 2.572752179726159 -0.0051269246846827946 0.011762000044819969 0.07604835071323222 0.07874610202920206 0.009514877136489045 -0.00057288186986987 5.1070610047442376e-05 -0.00015683191609118478 -8.331505700346385e-05 0.00029517904191726725 -0.00022162007339968854 -0.00010727701700382884 -0.00034532162052012584
