(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal gpp gpm gmp gmm
covarPC5 9.38090316807559e-06 -2.33968905894104 -2.32804470799294e-05 9.59335279117171e-05 4.69390388374184 -2.35444206084984 -0.000182307540046658 -6.42866352754148e-05 0.000491611600513083 0.000477038184739679 0.00314800295603817 7.51182004891181e-05 0.000254018142673591 -0.000177812313095045 -0.000127154809902339 -9.72748743994687e-05 -0.000219375616174429 9.77645589113469e-05 -0.000275231190648967 0.000128665509503712 -1.35960525002609e-06 -3.13422379377334e-05 0.000169217750950238 -1.47554588592842e-05 4.97052814490624e-05 -2.31566863459048e-05 -2.48195013200116e-05 -4.47624110651677e-05 -0.000290615415609792 -0.000111884909603124 9.2098752540871e-05 0.000388571686329572 -0.000171599685185027
covarPC6 -1.75395263996937e-05 2.71215370606577 0.0117993382473587 -0.0119261782863114 -5.42149567313944 2.70951936255931 6.22177982215166e-05 -6.5970678655491e-05 7.07598929830502e-06 -0.000116843553538012 7.51182004891181e-05 0.00277282522168962 -1.82991217291553e-05 4.59208927981032e-05 4.72224025701273e-05 1.07456807661398e-06 -8.61682371122277e-05 -1.79027148097896e-05 -3.26086069185648e-05 -4.65138092410368e-05 -2.49702789866687e-05 -1.91319975358175e-05 6.31236288490226e-05 -8.17303492058323e-05 -4.91911868921539e-05 -9.78466927869861e-05 3.23653500874627e-05 -5.09991397370396e-05 -5.94694020730887e-05 0.000145131681028489 5.62368615905409e-06 5.64490678101887e-05 -5.26359889578489e-05
covarPC7 3.2860071305463e-05 0.703341880773936 0.0131508218844692 -0.0130122267369611 -1.38868669350913 0.685363731450008 2.39339283409981e-05 -5.03462806648552e-05 0.000218416425249126 7.2260465998621e-05 0.000254018142673591 -1.82991217291553e-05 0.00291599411315035 0.000178428714264087 -5.13492641494074e-05 -2.1977944542885e-05 0.000331249419559066 6.27863818619449e-05 7.72408505923669e-05 -9.70697884379664e-05 -0.000129885385464378 -3.32921091757327e-06 -0.000147894250027402 4.34973918375266e-05 2.86852396135395e-05 -0.000121537962537351 3.85858397565025e-05 0.000125249963491976 -0.000155092495157468 -0.000389325799260602 -4.08129206374419e-05 0.000562258879623697 -0.000241719778669503
covarPC8 5.81502034007121e-06 -1.88284658245852 0.0444670933797154 -0.0445838339588019 3.75167639631359 -1.8688957236569 4.78260765428284e-05 0.000118159832141343 -0.000109290963016924 -0.00036464410985648 -0.000177812313095045 4.59208927981032e-05 0.000178428714264087 0.00289788804651367 7.24332021140486e-05 0.000103043963743362 -0.000193317178702237 8.56280724267359e-05 -3.32899201495793e-05 -9.36272835433697e-05 -0.000114628046807831 7.58392482110418e-05 3.84890915308329e-05 -0.000200160013743755 -5.67076419842603e-05 3.71145945704904e-05 5.42331298342778e-05 -6.07429879528909e-05 4.98509236940606e-05 7.38884614374216e-05 5.54368863781849e-05 -0.000205753838117281 0.000275401089029189
covarPC9 2.14268375023634e-05 3.58576472434931 0.0383000084126404 -0.0381733469705278 -7.18038937425796 3.59481010414615 -2.41112397249933e-05 -3.92139253061626e-05 -0.000421368170202923 0.000118333731991157 -0.000127154809902339 4.72224025701273e-05 -5.13492641494074e-05 7.24332021140486e-05 0.00290769255184627 -5.91308950147149e-05 -1.55598139977188e-06 -0.000110857813175847 3.18279885383441e-05 -0.000201218994613433 0.000106783377294542 7.61090249815275e-05 0.000140768849288236 -0.000127999068133375 -7.95139593105175e-05 -0.000191715713180987 -1.14638429891563e-05 7.29255270401691e-05 9.50869921849691e-05 -0.000152745929577214 -7.00403132889036e-05 -0.000215355704712826 -9.20142010746583e-05
covarPC10 7.01778194969908e-06 0.60976930806238 0.0367738977438158 -0.0366345576522533 -1.21881767422165 0.60908330885029 4.96190966792278e-05 -1.5184543987749e-05 -3.12449780581913e-05 0.000105619089880483 -9.72748743994687e-05 1.07456807661398e-06 -2.1977944542885e-05 0.000103043963743362 -5.91308950147149e-05 0.00273435669173702 -0.00011934022633249 -1.55044695757165e-05 -5.34416512386158e-05 -2.50919970515959e-05 6.19562786069173e-05 -7.82711829976383e-05 1.9243495436994e-05 5.03059910212923e-05 9.38348923306374e-05 5.77993885967185e-05 0.000144775575522428 -3.28891127696413e-05 -8.94318204820709e-05 -0.000177654702474596 7.21232741280409e-05 -0.000108868351295731 0.000117099130990212
covarPC11 -6.42383905913027e-05 2.00454197153617 0.043346877832398 -0.0433170076515024 -4.01561422176114 2.01122454975253 1.2543583694626e-05 -1.71621673864475e-05 0.000210382116059094 9.26177024776077e-05 -0.000219375616174429 -8.61682371122277e-05 0.000331249419559066 -0.000193317178702237 -1.55598139977188e-06 -0.00011934022633249 0.00294806318845575 -1.57596961231396e-05 -4.44445210949452e-05 -0.000120151428618279 7.82795300090229e-05 5.01046636932161e-05 9.68779747156584e-05 -6.71934032035172e-06 0.000186237775045745 3.86576069046642e-05 -4.59429350791931e-05 0.0001737244162224 -3.12178875886036e-05 -0.000178878437982374 -0.000148221419474311 0.00015766013773581 -0.000156432932088368
covarPC12 1.84281401537912e-05 -0.141035598619876 0.0386662422381578 -0.0388015815649601 0.288952534438339 -0.147900142923731 0.000410068388566281 -0.000158783089111314 1.6836504447553e-05 -0.000316250749971684 9.77645589113469e-05 -1.79027148097896e-05 6.27863818619449e-05 8.56280724267359e-05 -0.000110857813175847 -1.55044695757165e-05 -1.57596961231396e-05 0.00290533810241817 3.1167325588841e-05 -1.26770632835645e-06 -0.000121626055836335 6.2677892827644e-05 -2.59780876335878e-05 -6.93891956747474e-05 -4.07631950425568e-05 -0.000158547718107165 -5.14826186355855e-05 8.40543740948123e-05 0.000144298584616446 -0.000106784268667693 0.000150682464315537 -0.000355277396889039 0.000348663759975415
covarPC13 6.88326767198294e-06 0.853016139983665 0.00709165874757644 -0.00698223265714087 -1.70149418084313 0.84845241611134 -0.000150183501344384 0.000103608151150493 -0.000307970517532971 -0.000211929291300347 -0.000275231190648967 -3.26086069185648e-05 7.72408505923669e-05 -3.32899201495793e-05 3.18279885383441e-05 -5.34416512386158e-05 -4.44445210949452e-05 3.1167325588841e-05 0.00288879620976674 -0.00016269548831326 0.000243917251065005 6.1760028844843e-05 3.34116177006408e-05 -4.48620817129832e-05 5.95112370922071e-06 4.52092476968893e-05 -5.82222769739688e-06 -9.09898020402219e-05 -0.000209151560225482 -0.00031623943105889 0.000213025568641082 2.48578181234625e-06 0.000113920494844588
covarPC14 -1.57923608910998e-05 -1.49942227186614 0.0265643180700687 -0.026688350894655 3.00035294736438 -1.50099578298424 -0.000190717622774749 -0.000147731138339647 4.33658914487801e-05 -1.54231352734039e-05 0.000128665509503712 -4.65138092410368e-05 -9.70697884379664e-05 -9.36272835433697e-05 -0.000201218994613433 -2.50919970515959e-05 -0.000120151428618279 -1.26770632835645e-06 -0.00016269548831326 0.00282404636372435 -5.57894286986212e-05 8.99918892388797e-06 -6.77984277381057e-06 5.59254237445558e-05 -3.31671098572696e-05 -2.78098011569979e-06 0.000125241580445059 -0.000188489896434929 -0.000226701816036588 0.000152667240651084 0.000134827414061687 0.000192318738825598 -0.000196331868438821
