 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
pcs.V15 3.3668274426128655e-07 -9.359687756171791e-08 -7.529929782074008e-09 1.575804685915002e-10 -9.01742538202167e-07 -5.076667986228647e-07 3.108009448523494e-08 -4.39763904002382e-10 4.72538866961749e-09 -1.3968609215882361e-07 3.667994594559429e-08 3.8212424236194344e-08 6.81714464872996e-08 -4.6398427368835716e-08 -3.8490792703931744e-08 -3.664126090487269e-08 3.887404122367101e-08 1.887993864799625e-08 3.662966967530443e-08 -3.872955753353276e-08 3.4895522226397654e-06 -1.9074795886820713e-08 -3.166724474323334e-08 3.133526737784211e-08 5.082305496020333e-08 -1.6670004943925416e-07 -1.7200165672454452e-08 -9.245399800043676e-08 9.260576161089753e-07 -1.4300144634872048e-06 -8.111770471450204e-07 1.2757895703293048e-06
pcs.V16 2.841394243045369e-06 -1.2933644676304044e-07 -1.0305472426372197e-08 1.8776735322507975e-10 -6.008695616794036e-06 9.271858635872365e-08 7.2222867167968e-09 -1.057578906073177e-10 3.879814593951771e-08 8.943758079548348e-08 -2.3139865332877087e-08 3.72868351303503e-08 -2.8043351254695188e-08 -1.402543318192078e-08 -3.4003938282918955e-08 2.623540438106155e-08 -8.230472251876855e-08 -5.250395124877034e-08 2.464818966046752e-08 -3.871794448300162e-08 -1.907479588682257e-08 3.488777210323984e-06 -2.481119357594032e-08 -5.372035694726892e-08 -8.96351203506766e-08 -3.089963987712873e-08 -1.0352083206297459e-07 -4.846819468009695e-09 -4.231184899330018e-07 2.0950379724073333e-07 -6.025087808689097e-07 1.8773375452424174e-06
pcs.V17 5.198145924099811e-06 1.8877380695708888e-06 -5.9326788233879665e-08 5.777592402255222e-10 -2.0839647013902424e-05 1.7913070520443111e-06 -5.0529561791016004e-08 4.226111944121408e-10 -1.0253329752325722e-07 1.2101056713147835e-07 -9.493000346230458e-08 -1.22237257795819e-07 -1.5299048525682183e-07 9.816814558228797e-09 7.45531320011304e-08 1.94871218670666e-07 -6.211365022338158e-08 -5.4356721851325666e-08 -8.944569446321951e-08 3.138340699141782e-08 -3.1667244743250255e-08 -2.481119357594704e-08 3.5727748690056164e-06 7.805316774845069e-08 2.0198695864627852e-07 6.224421490330458e-08 2.249823882448225e-08 -1.8752002803796055e-07 -6.52648169159348e-08 2.1826580864169128e-08 2.501290959660395e-06 -4.0000779590073525e-06
pcs.V18 -1.736618272741298e-06 4.0937361054273656e-07 3.6171909371482726e-09 -1.742336171041329e-10 -3.0222761652255513e-05 3.498240817923652e-06 -1.1985329621489286e-07 1.2383946516150635e-09 1.0284326300286114e-07 1.2782771196996782e-07 -7.181936273749177e-08 2.8244687224361924e-08 1.2681736776204002e-08 2.9174388908063516e-08 -8.511938692612055e-08 7.155481250050307e-08 7.776999230657162e-08 -9.279547509038999e-08 -3.5579672285824584e-08 -9.098673724783177e-08 3.1335267377837064e-08 -5.372035694727835e-08 7.805316774838711e-08 3.439731985035744e-06 -1.2009031931195133e-07 4.5321371041372016e-08 -7.461183415204121e-08 1.4041080113516504e-07 4.7527080225004147e-07 -8.871925084070843e-08 -1.7055636753312418e-06 5.32488929099011e-07
pcs.V19 -6.622044833715938e-08 -3.0599169143716013e-06 7.632114998524433e-08 -5.603295224933803e-10 -2.7704929464428543e-05 1.8152354933991769e-06 -3.428083526183203e-08 1.2238070678946012e-10 3.5558733581610163e-09 4.783293678778097e-08 4.151929437466083e-08 -2.5311791988205558e-08 2.1954090492305906e-09 1.2811644299850035e-07 -1.786884514800051e-07 2.0032379999927022e-08 -1.0489030994757501e-07 -1.02639320857316e-07 -1.8739128968319383e-07 3.445378708868704e-08 5.0823054960216847e-08 -8.963512035067673e-08 2.0198695864622973e-07 -1.2009031931201303e-07 3.4332384395605577e-06 9.970141911907682e-08 1.3027524929589177e-07 -2.996618311700911e-08 -9.57726796284111e-07 -8.253695709793501e-07 -1.4775100899614232e-06 3.196372900585125e-06
pcs.V20 -4.811735879404533e-06 -3.213677631245414e-06 9.186403037481266e-08 -8.462178097446848e-10 -2.993436745042041e-05 2.7652425793821522e-06 -8.166639293900911e-08 7.575002093068883e-10 9.134274435409854e-09 7.95274435685914e-08 9.674038381837036e-08 9.863305407969947e-09 3.556968856574338e-08 6.728094605685927e-08 -1.137246403575377e-07 1.2644512628921232e-08 7.543746526291264e-08 -1.2739230667813507e-08 2.370247072467894e-10 -8.430652128904827e-08 -1.6670004943923933e-07 -3.089963987713183e-08 6.224421490322574e-08 4.532137104129515e-08 9.970141911909447e-08 3.4112052719894e-06 7.53767522605066e-08 1.1644711513486328e-07 8.375628227708673e-07 3.938117480684442e-07 -2.9703699048752197e-06 1.7200313270266602e-06
pcs.V21 9.243943092336279e-06 6.068552259106614e-07 -3.2280852748447704e-08 4.545763105391757e-10 3.091078546705788e-06 -5.505923832042459e-08 -5.353777207437782e-09 7.023142236251139e-11 4.3993060498694104e-08 1.4513881586965856e-08 3.162688549446419e-08 -1.1446561938786492e-07 -7.002852839057721e-08 -1.0133306111844927e-08 -3.2801398372104967e-08 4.2222319305367783e-08 -6.342580037362613e-08 -2.949123418770146e-08 -5.990340255062971e-08 -6.249183207357144e-08 -1.7200165672461437e-08 -1.0352083206297533e-07 2.2498238824496382e-08 -7.461183415200844e-08 1.302752492959055e-07 7.537675226053159e-08 3.5225302785020623e-06 -1.3947569605234848e-08 -9.300454024759674e-07 8.496392556012731e-07 -6.97952812267189e-07 -2.364147879558295e-06
pcs.V22 -5.986543217877402e-06 7.481863422414352e-07 -1.0967722615347696e-09 -1.59269744272221e-10 4.697846846137879e-05 -4.168227328178319e-06 1.1407304346379505e-07 -9.821631575198839e-10 8.462175797122307e-08 9.96294539515223e-08 5.57830112437629e-08 9.503227505117257e-09 -3.078233347719005e-08 -6.869084501109605e-08 7.472422218540997e-10 -5.2991853396485924e-08 9.011812006509959e-08 5.551546188966512e-08 -7.648035854865168e-10 5.170871263082016e-08 -9.245399800043047e-08 -4.846819468000657e-09 -1.875200280379024e-07 1.40410801135155e-07 -2.996618311707571e-08 1.1644711513477877e-07 -1.39475696052006e-08 3.4473365259684266e-06 -2.6591017974422188e-08 1.0116707101787678e-06 1.1339763008159022e-06 -2.5178163949500553e-06
proband -7.847133404308718e-06 1.2027014422349574e-05 -2.8201220977096917e-07 2.2027586693476635e-09 0.00036465334006255824 -3.2897807744924346e-05 9.171713049564816e-07 -8.209275438030814e-09 2.785684983401661e-06 -7.518114974766477e-07 2.735162791191606e-07 8.745946500493129e-07 -4.158261523050541e-07 -3.136448776865318e-07 -7.735455172906007e-07 6.328045439939678e-07 -6.901210883340358e-07 -3.7858301685126057e-07 2.7435873261218457e-08 3.482359473158795e-07 9.260576161089906e-07 -4.231184899329287e-07 -6.526481691537509e-08 4.7527080225014957e-07 -9.577267962845552e-07 8.375628227703348e-07 -9.300454024756891e-07 -2.659101797463251e-08 0.00037733832766985675 -0.00019313858161697266 -2.082664747543682e-05 -3.2964077083342857e-06
paternal -0.0001253627396820479 9.344912123877243e-06 -3.1406919350428227e-07 2.5162244068160385e-09 0.0001390836776170036 -1.3620584396965517e-05 3.201986063688563e-07 -1.53109075339598e-09 3.2753838772192317e-07 7.000677411282065e-07 8.929073806361104e-08 1.611187459421267e-06 6.656992720479387e-07 -1.5843764637735531e-06 8.319282069412783e-07 3.1114777427435736e-07 -4.9421650933830225e-08 2.589946276029537e-07 3.590736516897261e-07 -1.5027258996018674e-06 -1.4300144634873986e-06 2.0950379724069373e-07 2.182658086462868e-08 -8.871925083995921e-08 -8.253695709793315e-07 3.9381174806874005e-07 8.496392556013463e-07 1.0116707101780769e-06 -0.00019313858161697751 0.002006444621395523 -0.0013776594584529224 -0.0014076673676942774
gpp 9.719628370462343e-05 0.00012622459064992776 -3.103209613099942e-06 2.489995626866866e-08 0.0020754106951326634 -0.00017438951484446735 4.721145335109332e-06 -4.132199793837368e-08 2.4004576931109942e-06 -2.3410922738648246e-06 4.227159538867649e-06 1.2373749985195973e-06 -7.29914490316175e-07 7.778892376918682e-07 2.8953936391971572e-06 -1.7540181150422368e-07 1.8235491172870946e-06 1.036950241486755e-06 2.7712697043078107e-07 2.1654402003612957e-06 -8.11177047145508e-07 -6.025087808686405e-07 2.501290959664359e-06 -1.7055636753283081e-06 -1.4775100899629442e-06 -2.970369904876309e-06 -6.979528122656863e-07 1.1339763008124398e-06 -2.0826647475455423e-05 -0.0013776594584529037 0.005293550035306616 -0.0028868907341728953
gmp 8.74279686612538e-06 -0.00016034762012984274 4.350200654027362e-06 -3.8045579363038404e-08 -0.0027708158702265105 0.000247980942617494 -7.013606862116156e-06 6.266691377208092e-08 4.019448476985444e-07 -2.823162512506974e-06 -4.730170170536656e-07 -1.993871901039011e-06 -8.456647918311478e-08 2.7997515039121277e-06 -3.872122874037727e-06 6.309171007214147e-07 -1.1075827354209842e-06 -8.539616146079022e-07 -2.13366353654346e-06 2.223673035847212e-06 1.2757895703301391e-06 1.8773375452420853e-06 -4.000077959013238e-06 5.324889290943569e-07 3.196372900587341e-06 1.7200313270280468e-06 -2.36414787956042e-06 -2.5178163949447935e-06 -3.2964077083049817e-06 -0.0014076673676943054 -0.002886890734172886 0.005367793470704743
