 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gpm gmp gmm
pcs.V5 2.4898475311219886e-07 8.650915003271732e-06 -1.662863886398853e-07 1.0126840737707467e-09 0.0005521455098689957 -3.7053494144894266e-05 8.050898655758893e-07 -5.642336499053974e-09 1.887433054181147e-07 1.7321907845030937e-07 5.268816593094294e-06 8.441574372964775e-08 -1.9742688561767426e-07 -7.889201950601132e-08 -3.7235758698857434e-07 -1.62922457793716e-07 -3.549947733213267e-07 3.6082904258292733e-07 3.0850311342324135e-08 -5.790958695278553e-08 1.1107199472533292e-07 -1.288723570980591e-07 -1.0430701454079887e-08 -3.104558116259925e-07 2.1802310510518784e-07 1.81917205783356e-07 1.5787224274135828e-07 -5.413322847550274e-08 7.335554481628464e-07 -9.769308961156284e-07 -9.48707018164302e-07 1.7991170447157437e-05 -1.1797596744575026e-05 1.5847646253376824e-05 -8.788659565257018e-06
pcs.V6 -1.5892965848880234e-05 -7.51064367417974e-06 1.9475737631568874e-07 -1.751256818230556e-09 -2.4293749909100596e-05 3.053342589326361e-07 3.330592119167954e-08 -5.609882831211591e-10 -7.073216922010095e-08 2.9719087008016395e-07 8.441574372960554e-08 5.230975177249938e-06 -1.2878361684949148e-08 2.3768845146603824e-07 2.1392675857445518e-07 -2.793668301053922e-07 3.744781342422639e-07 -9.54121474473627e-08 7.998875637120436e-08 2.9252191145096553e-08 2.5059456980945242e-08 4.805249357957761e-08 -3.241733592410074e-07 1.518167039333158e-07 -1.3592587831602712e-07 -1.4006500775260544e-08 -2.5322028564953103e-07 3.011497677676146e-07 3.8796574879245087e-07 5.156353179751527e-06 -4.835090862652381e-06 6.200554645009741e-06 -1.1261133138798732e-05 6.60741349553803e-06 1.0748497065199383e-05
pcs.V7 1.6883764461752334e-05 -3.840098552167114e-06 9.72953191821661e-09 5.022966552970473e-10 -0.0008226417925662167 5.734410998146998e-05 -1.3129547769654086e-06 9.854341312056693e-09 8.14478291019852e-08 -1.9062762123808254e-07 -1.97426885617627e-07 -1.2878361685015584e-08 6.517479930179304e-06 1.8829282613142035e-07 4.455488416229577e-08 -3.1302618377215853e-07 2.3397339707783427e-07 -4.3548881527628577e-07 -1.9691531206924701e-07 -4.208906563981133e-07 2.1783906906741258e-07 -2.1769374477319763e-07 -1.3467002149767879e-07 -7.03777917289384e-08 1.5276923248073437e-07 7.709955618160021e-08 8.189186494667295e-08 -3.9839901464144154e-08 -2.398766360218819e-08 3.7299582602345266e-06 1.321803270933318e-05 -1.9906657704771297e-05 1.3185644105939266e-05 -2.7058286963730197e-05 5.562506974813775e-06
pcs.V8 -4.259184406972895e-05 -4.345242911728065e-05 1.1043778123844572e-06 -9.214351379758786e-09 -0.00028901967310581144 1.8768713629631304e-05 -3.8440845444347235e-07 2.4612905882336644e-09 4.263275932663252e-07 -1.395405799135469e-07 -7.889201950613681e-08 2.3768845146601855e-07 1.8829282613164026e-07 6.188084737698433e-06 6.488238845584972e-08 -9.483611606178021e-08 3.045736487304193e-07 3.935916985063369e-07 1.4249697320650874e-07 -4.885906318392581e-07 -3.946448524419578e-08 -1.9877468121613587e-07 -3.169647970532454e-08 1.424691104889506e-07 2.097997796433488e-07 3.4729006273409635e-07 2.7766992195834643e-08 -1.4569981312167909e-07 -1.0766717476587345e-06 2.188972466090167e-06 3.6531391440301437e-06 3.124692383284176e-05 -3.244300975669017e-05 -3.060531533725613e-05 1.996122444006383e-05
pcs.V9 4.768495592527416e-06 1.3189144939119258e-05 -2.7452381590232246e-07 1.7527352970848427e-09 0.00015958283799358006 -8.839041490182307e-06 1.3129938160097885e-07 -2.4559102761105453e-10 -3.030744688343508e-07 1.014539804688142e-08 -3.723575869885476e-07 2.1392675857446452e-07 4.455488416224253e-08 6.488238845586547e-08 6.442662925601705e-06 7.47261103948635e-08 3.393152700627014e-07 -1.6558762750308483e-07 -9.130015156015596e-08 -4.156903079240431e-07 6.150437363424769e-08 2.3373230383936312e-08 1.5075654545531882e-07 -5.1492170832114464e-08 -4.999411902289944e-07 -2.3475467586090814e-07 -6.964768181123038e-08 1.4376389080926673e-07 6.667391595778244e-07 5.010773768942457e-06 -3.4750130088654364e-06 -7.876023876461052e-06 -2.037015516527583e-06 1.158705429301284e-05 -1.0674868009903864e-05
pcs.V10 1.1934404570287256e-05 3.082277673526315e-05 -7.723441332912488e-07 6.322936906767166e-09 0.0010800706274569727 -8.061040729592998e-05 1.9542121481901567e-06 -1.54167335672943e-08 2.5123939785011525e-07 2.3302863331378289e-07 -1.6292245779367927e-07 -2.7936683010529793e-07 -3.1302618377232185e-07 -9.483611606152076e-08 7.472611039481086e-08 6.6497422174363314e-06 -1.12070643335595e-07 2.2109697377085048e-07 3.1330557403950284e-07 3.5890891728410853e-07 1.0433473306478472e-07 5.2253003373651825e-08 7.03733564084769e-07 2.1817435203101557e-11 3.1903438569127775e-08 4.0609341526771684e-07 9.346231056261626e-08 -2.41522061354431e-07 3.7566670791723285e-06 3.879237289279857e-06 -1.5474159348534603e-05 -3.7791003388411792e-06 -2.9902346283152026e-06 2.6343052215607704e-05 1.2789732856156014e-06
pcs.V11 -8.719490665869047e-06 6.476400553871905e-06 -1.4296419429961395e-07 1.0355485072338187e-09 2.3704100786045154e-05 -4.9380663292596846e-06 2.0276915759004603e-07 -2.264123069612159e-09 -4.307150394552523e-07 1.6422988873841931e-07 -3.5499477332133093e-07 3.744781342422717e-07 2.3397339707783204e-07 3.0457364873044286e-07 3.3931527006269456e-07 -1.1207064333560883e-07 6.6117661448292384e-06 -5.905891450676757e-08 3.584843743924113e-07 -1.4932701714623442e-07 2.565868169311064e-07 -2.9968552099101934e-07 9.75290495762505e-08 5.399780940841031e-07 -1.951143974071115e-07 4.470407407240156e-08 -2.0985586224985209e-07 2.0147665230873428e-07 -4.310708129852412e-06 1.0907520549948763e-06 1.447766181969744e-05 -1.0949829031481017e-05 9.624933205239153e-06 -1.631219493861661e-05 -1.5636431312601897e-06
pcs.V12 -1.365084476429489e-05 -2.56116934271277e-05 6.285022716182334e-07 -4.93920860559968e-09 0.00043493410794874043 -3.163075307708937e-05 7.594764079055614e-07 -6.041924945630459e-09 1.6335857911566508e-07 -2.818499313692601e-07 3.608290425828621e-07 -9.541214744732588e-08 -4.3548881527622346e-07 3.935916985064771e-07 -1.6558762750312278e-07 2.2109697377067062e-07 -5.905891450677804e-08 6.093815463813518e-06 -1.996014438438379e-07 -4.683387549293613e-09 -8.839297711468707e-09 -3.758977050139074e-07 -1.3639902581431139e-08 -3.2186453386193705e-07 1.519372097875113e-08 1.6012451775665766e-07 -1.657113906973823e-07 2.212253281804394e-07 2.635791651265945e-06 2.853367447160823e-06 -9.605192595055676e-06 2.62387834354294e-05 -3.083215636960801e-05 2.591701822793404e-05 -1.4910494076355428e-05
pcs.V13 -5.42359318914457e-05 -1.4023442232343616e-05 5.149459434518163e-07 -5.669083325529067e-09 -0.0001208789799714712 9.08783527287967e-06 -2.5423108909191986e-07 2.505267123485065e-09 -8.334619572036578e-08 1.4239721968040653e-07 3.0850311342228176e-08 7.998875637119591e-08 -1.9691531206908785e-07 1.4249697320652796e-07 -9.1300151560173e-08 3.1330557403930437e-07 3.584843743923985e-07 -1.9960144384393448e-07 6.369907351615071e-06 -4.9212729988926995e-08 4.3158458569320103e-07 2.3710062414972987e-07 -2.5469601513978645e-07 1.6485200335149804e-07 -1.6561571055051795e-07 1.9419364163274112e-07 -1.8276117483749435e-07 -7.866677978638539e-08 3.0794226320262936e-06 -7.921058627704461e-06 -5.6729109801923035e-06 1.1817042551126306e-05 -1.1399402143270726e-05 5.8884708241467075e-06 2.1035221206689467e-07
pcs.V14 -2.313661491254469e-05 -1.4392152546244754e-05 3.3125896075644304e-07 -2.5678941267562996e-09 0.00012330539358010382 -1.2496458422313741e-05 3.9567776760399194e-07 -3.91338345993476e-09 6.836232206334892e-08 -2.0457671673815654e-07 -5.7909586952855666e-08 2.9252191145111998e-08 -4.208906563980198e-07 -4.885906318391799e-07 -4.156903079240686e-07 3.5890891728393706e-07 -1.4932701714624694e-07 -4.6833875493303865e-09 -4.921272998888064e-08 6.3532637210050515e-06 2.0355385887598346e-07 -2.6960489000717736e-08 -1.6410899013593986e-07 -6.083382386307519e-08 -3.7592524306926754e-08 -2.9326795739871395e-07 -4.953195831500605e-07 1.5696043544052324e-07 -5.736590571244725e-07 1.4611010290576742e-06 -1.5032402842558316e-06 -4.845524709188176e-06 9.300884958603753e-06 1.7577389545979456e-05 -7.63720713907909e-06
