 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal gpp gmp
pcs.V15 2.4524348844267898e-06 8.014766419517614e-06 -2.13157631370131e-07 1.8389280298079337e-09 -6.074926962201147e-06 -7.322496527618488e-07 5.4158839517479295e-08 -7.834599160686564e-10 1.9192745975137934e-07 -3.4202607648769934e-07 1.5243419071258351e-07 -2.9474890922924104e-08 1.7622344933463004e-07 -6.21380700572939e-08 1.1776148667918917e-07 1.0546752131307637e-07 1.6901708528062675e-07 -2.433496050398522e-08 3.324298966454216e-07 1.7439813531554136e-07 6.623666532038952e-06 1.851955006495171e-08 6.733208917897546e-08 2.2936678334219305e-07 3.299277177831931e-08 -1.881109429762728e-07 -2.1291247630189583e-07 -9.263738909430061e-08 -1.4588056738472488e-06 -3.885863345436244e-06 8.777757637059566e-06 -7.314622724587429e-07
pcs.V16 1.209591326054823e-05 6.732529011608978e-06 -2.1756906952805343e-07 2.0941969802959485e-09 -0.000195290932798152 1.2606668298479565e-05 -2.612118772000697e-07 1.782017332442828e-09 9.307746450525765e-08 1.7426071856479284e-07 -4.265057760504872e-08 2.2641620007881403e-08 -4.178299329075511e-08 -1.5249823819599033e-07 -3.5992703927517414e-08 6.976554747517638e-08 -1.545892104527634e-07 -2.3637108670474778e-07 2.0697105995006933e-07 -1.0810638500969205e-07 1.8519550065016855e-08 6.724900032295702e-06 -1.0153384020111247e-07 5.7151771983667095e-08 -2.992840733587908e-07 -1.2495922559759521e-07 -2.4499723761958344e-07 1.1348940846444058e-07 -1.4397344474008843e-06 -6.822243004753597e-06 3.014246176625518e-06 5.946261779943911e-06
pcs.V17 1.0609374979067999e-05 3.366453354958119e-06 -1.1889821533964573e-07 1.2206424625524426e-09 -0.0003729589336496737 2.6031872767889798e-05 -5.937689769450208e-07 4.3608737860307356e-09 4.8468148731737445e-08 1.725231286472276e-07 -4.8681968794520155e-09 -3.502782463160638e-07 -2.2468562392160542e-07 -1.0601301345406452e-07 1.786518145703365e-07 5.718861180068998e-07 8.779239225643455e-09 3.3074054742412804e-08 -2.0365713489556753e-07 9.072966606981829e-08 6.73320891791034e-08 -1.0153384020102226e-07 6.743209848058968e-06 1.226716706835803e-07 4.0391451255494727e-07 1.0773634212680547e-07 1.3926172194248037e-07 -4.2048307717820626e-07 2.0360798547890597e-06 4.448932669737965e-06 1.7473129538558671e-06 -7.282894269090624e-06
pcs.V18 -4.076764319152765e-06 1.1283058267159708e-05 -2.439130148567716e-07 1.6266241619852558e-09 0.0005015830742347736 -3.37602627185417e-05 7.266086272112742e-07 -5.001493370400963e-09 4.097372997105266e-08 -9.105946890599642e-08 -2.3436409252372525e-07 1.2548621098003727e-07 -2.3314912582298582e-08 3.099070037566992e-08 -4.863207549571567e-08 -1.9758790058574874e-08 3.3230591720401705e-07 -2.17676968411117e-07 3.53945248413234e-08 -7.892969539213378e-08 2.2936678334200268e-07 5.715177198338505e-08 1.2267167068328999e-07 6.12140683945572e-06 -2.1652299456875607e-07 1.692430170093763e-07 -1.1341050277275658e-07 2.676082084094918e-07 -1.4524527839387132e-06 -3.5113129218910756e-06 -2.8374769251225394e-06 1.291194846864646e-05
pcs.V19 -5.671557173509106e-06 -1.6838426613946298e-05 4.288995421019644e-07 -3.4207763409458154e-09 -0.00017006627580517034 1.2705033675024418e-05 -2.99041408373781e-07 2.1421914839994828e-09 -7.187257653539725e-08 1.817962671302926e-07 1.2379272996909166e-07 -3.15288175630018e-09 1.1543826101476671e-07 2.9304089102709567e-07 -4.800487883867368e-07 5.92999234439141e-09 -1.6701788002316128e-07 -3.211837664544574e-08 -2.2253340278609435e-07 -3.475054105403806e-08 3.2992771778393e-08 -2.9928407335857146e-07 4.039145125552741e-07 -2.1652299456907272e-07 6.226244470660795e-06 3.324474311061113e-07 1.9571399645066784e-07 -7.571255202473946e-08 2.123107829593259e-06 4.1122851100657685e-07 -1.8866625856437152e-06 5.222055439485854e-06
pcs.V20 -7.480220277943765e-06 2.558467514067751e-05 -5.516880692716608e-07 3.804240279958053e-09 0.00047307903528521437 -3.197378157646958e-05 6.970734171937783e-07 -4.928718168464419e-09 -6.392288285637865e-08 9.868827324699609e-08 1.079771158171326e-07 5.867513434134965e-08 7.590987350271696e-08 2.953564515571156e-07 -2.4273528991726286e-07 2.4022682961656017e-07 1.4477532272177557e-07 1.537577777242792e-07 1.7648704884234237e-07 -3.494548334542749e-07 -1.881109429764652e-07 -1.249592255979907e-07 1.0773634212629711e-07 1.6924301700969068e-07 3.3244743110631056e-07 6.590567882846896e-06 2.0321571437241366e-07 1.7097103666459298e-07 -1.3425261293593466e-06 -6.3306492659698784e-06 1.0706461984249926e-05 5.937465840745711e-06
pcs.V21 1.887928260127979e-05 1.1995908968524662e-05 -3.241591312873929e-07 2.924936353157784e-09 -5.5780570417104994e-05 3.1191714897875246e-06 -5.759160654860147e-08 2.917709240646976e-10 4.087226529468145e-07 3.583757491416966e-08 1.4789285506776387e-07 -1.6272028756659265e-07 1.641970286937905e-11 8.911141036032821e-08 -1.2441054433810093e-07 3.363790356332326e-08 -1.924308567815061e-07 -1.6739633856468262e-07 -2.0265300147014914e-07 -3.3664457318311496e-07 -2.129124763018854e-07 -2.449972376196848e-07 1.3926172194226826e-07 -1.1341050277241763e-07 1.9571399645051847e-07 2.0321571437277682e-07 6.473391813309645e-06 -7.933641634047003e-08 3.9618376716546395e-06 2.172969456206849e-06 -1.1393713826375184e-05 9.44309227423147e-06
pcs.V22 -7.674355545008058e-06 2.9166792939703422e-05 -6.367506544265003e-07 4.4325938045538736e-09 0.0002644452916439517 -1.9398010602230224e-05 4.6203623745838414e-07 -3.5793076175575076e-09 -1.7302912246182057e-07 -1.6905518879005529e-07 -6.289685263948733e-08 2.0167079476568827e-07 -4.372427243931206e-08 -1.7642750218149011e-07 6.495144946955266e-08 -2.370885734775047e-07 1.764574926878831e-07 1.2623797874566946e-07 3.696343327593607e-09 4.80386164841848e-08 -9.263738909441935e-08 1.1348940846408196e-07 -4.2048307717874387e-07 2.676082084100077e-07 -7.57125520247386e-08 1.7097103666491433e-07 -7.933641634071616e-08 6.611408162895213e-06 3.018836886399106e-07 -4.4012242103281214e-07 6.955179537763289e-06 -7.189665541235981e-06
proband -0.00010991689316547848 -0.00022642271349058838 5.649773554112788e-06 -4.596017456065011e-08 -0.007579705202192455 0.0005506652912352789 -1.2958381018036148e-05 9.911795360093458e-08 1.7481238202780113e-06 -1.5221006784534779e-06 -2.3906827323530377e-06 7.527669103713933e-07 2.430701844538516e-08 1.1078177520393813e-06 6.04693143178913e-07 4.281688685517566e-07 1.650018784774828e-06 -1.054149568417749e-06 6.125473476028849e-07 1.0620140443062107e-06 -1.4588056738444506e-06 -1.4397344473961413e-06 2.0360798547945112e-06 -1.452452783940461e-06 2.1231078295892588e-06 -1.3425261293564443e-06 3.961837671659716e-06 3.0188368864651117e-07 0.0006588187959684081 -0.0003008099056737828 -5.605321944346322e-05 -1.9466439959753416e-05
paternal 0.0001073363396184679 0.00012939156544366012 -2.9751141125589685e-06 2.4144851218777127e-08 0.0014915755919443102 -9.640691014017831e-05 2.217248735506152e-06 -1.765662815582618e-08 3.228549974170045e-06 3.4004472868402134e-06 -3.4421792543800075e-06 3.024341788203434e-06 -2.079379830838188e-06 2.3056484061885597e-06 -4.56107302760591e-07 -4.337715568393421e-06 -3.396039690222095e-06 -2.545958367470139e-06 -5.218108136079208e-06 2.6129219849821124e-06 -3.885863345436923e-06 -6.822243004755734e-06 4.448932669734739e-06 -3.5113129218879437e-06 4.112285110065332e-07 -6.3306492659679015e-06 2.1729694562054245e-06 -4.401224210327184e-07 -0.00030080990567382427 0.003587794413977324 -0.0016918482650650584 -0.0038713028761775186
gpp -0.0006913427223902302 -0.002430671099631689 5.49625835833469e-05 -4.096314427203725e-07 -0.029678680367845045 0.0019788636527998775 -4.242762502469835e-05 2.9089606310043937e-07 1.2344288986453624e-05 -1.7756662707584936e-05 -2.650539186892337e-06 1.0168915381585662e-06 2.5006967512701323e-07 -4.546753143452674e-06 -1.7202614149498164e-06 4.339406314325921e-06 1.1383592187300422e-05 -8.636360876423785e-07 6.225483298860931e-06 3.571981833158997e-06 8.777757637073056e-06 3.0142461766580524e-06 1.7473129539007457e-06 -2.837476925159637e-06 -1.8866625856513554e-06 1.0706461984233853e-05 -1.1393713826349453e-05 6.955179537775108e-06 -5.6053219443045366e-05 -0.0016918482650650133 0.022799718938198453 -0.019131627780515574
gmp 0.0007320196500474369 0.0023745894316566664 -5.465804804581581e-05 4.120582129572202e-07 0.030807030394181128 -0.0021102226187169827 4.633292293516236e-05 -3.2625134373278694e-07 -4.788768581104846e-06 6.957203730054425e-06 8.754000128058528e-06 -3.855224256484206e-06 1.7630499641847494e-06 1.9104574464027334e-06 3.6237767246562064e-06 1.359610745725925e-06 -9.370596781356473e-06 1.0306442779817474e-05 -1.1823094295653689e-07 -1.2448476249733396e-05 -7.314622724723607e-07 5.9462617799120085e-06 -7.282894269134136e-06 1.2911948468681374e-05 5.222055439494508e-06 5.937465840759383e-06 9.44309227420567e-06 -7.189665541249661e-06 -1.9466439960135218e-05 -0.003871302876177576 -0.019131627780515446 0.026208331185775535
