 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband sibling paternal maternal
PC_14 -8.090441140105015e-06 9.648965621191027e-06 -9.254955942846765e-06 0.0002452813365524851 -1.779229069023512e-05 3.8241503393849656e-07 -2.7603558347028092e-09 3.670214253499433e-07 -2.3091741057659645e-09 0.007809237332115158 -0.01240098226713711 -0.0013477531713545247 -0.0003406028787369421 0.006145377374817206 0.007863294669016356 -0.004393717056535526 -0.0009212005701319771 0.019019716184334484 -0.003327579923499249 0.02371472689090903 0.4883035286244534 -0.0018034198528367484 -0.0036379066628500303 0.008946230791021477 -0.002473925007738868 0.0005464674882381 -0.0034609741429595746 -0.0390779748430624 0.00896346929333549 -4.214097311692695e-05 -4.218290438119617e-05 0.00015832300605049288 4.1445020644766225e-05
PC_15 -9.848175877172786e-05 -7.357542867146326e-06 -2.367668055430097e-05 -0.0007194208264492213 4.730815118327641e-05 2.802007571440048e-07 -1.3409936077296031e-09 -9.122877869540528e-07 5.514978306611445e-09 0.003436249088797953 -0.009844827269387752 -0.013912677675975385 -0.01757192082346723 -0.02643067436863724 0.02335454525080769 -0.0025926224886422956 0.01721100455426024 0.019594430405572107 -0.013541898346386382 0.000676385185069493 -0.001803419852836734 0.5636577179621789 -0.012648628514841817 0.005765723222014618 0.0074881216524885635 0.0007764497435714288 0.00616991797952906 -0.0013290449472632617 -0.020610140710938644 -2.0419693663790482e-05 -8.526698602940793e-06 -4.4879334263740746e-05 -2.3178304269065873e-05
PC_16 2.062876013927886e-05 -2.2363614619690037e-06 -2.716306116242645e-05 -0.00015426223174682465 1.6586107896358338e-05 6.919413526878914e-07 -5.6589227191195955e-09 -4.781537127180464e-07 3.813445953736085e-09 -0.001838438271581211 0.009142933139890987 0.010853605912995461 0.010988933346480273 -0.017566327079845807 -0.015089591638085154 -0.01086038138553357 0.00036836292826404675 -0.004894918983809381 0.0064630307135845385 -0.011117091924849783 -0.0036379066628499557 -0.01264862851484182 0.5910026168703372 0.01017880070804558 0.009630692708116494 -0.001697089634632856 0.01274766827681592 0.020128162457120506 0.015624619086929657 -3.2977924611150955e-05 -1.113955181179079e-05 -2.945760782048057e-05 -6.771729754502133e-05
PC_17 -4.533160227522075e-05 1.1994707738821017e-05 3.705852732975283e-05 -1.5972822369554804e-05 1.6001475377110534e-06 -3.914435367192934e-07 1.4746564284016718e-09 -7.285221609336215e-08 6.226761978716257e-10 -0.013829530889609335 0.007229882942539142 -0.023115014114549366 0.0167550309548541 0.02461639104296219 0.010327326598670269 -0.008285431056122587 -0.0028348796368048708 0.010511897111141847 0.02914828840442569 0.026947888939541316 0.008946230791021543 0.005765723222014424 0.01017880070804534 0.645048629170058 -0.017655687639557167 -0.014375877776380934 -0.023030128467687407 -0.011214664891365663 -0.04560934564909207 -2.279265696474147e-05 -2.5806635460261136e-05 0.00010183989076244537 8.631153487724247e-06
PC_18 1.6501915625407469e-06 4.407194396982527e-06 2.920533812604744e-05 0.00014612470167426822 -9.331077412984698e-06 -3.251877232424474e-07 8.047953927421123e-10 1.8989899397316468e-07 -1.2674307196439688e-09 0.0029454922702998143 -0.005262893579666492 0.008389229252126694 -0.0059130583010686905 -0.011916541735445416 0.018460984647334627 -0.00749383919934194 0.012825994222136896 -0.009929082391026056 0.010795028484818708 0.01051190064483898 -0.0024739250077388643 0.007488121652488521 0.00963069270811645 -0.01765568763955721 0.6593560927122539 -0.018695886119113696 -0.018822847472078016 -0.003954567363872318 0.013262501643795437 -5.256438271361075e-06 2.1925074425230618e-06 7.69159696392555e-05 -3.8547973515693517e-05
PC_19 2.2019733188344402e-05 2.7772008688376244e-07 -3.382242596253959e-05 0.0006875745007697096 -4.269201607172482e-05 7.415123268629896e-07 -5.006440944382766e-09 7.76528267434143e-07 -4.34496275049464e-09 -0.0008502945353945525 0.0019895607184928243 0.0050722531051228675 -0.0009277272395879991 -0.009127969438314966 0.005175866025326098 0.0017399355765856381 0.0058939635396801325 -0.0046957729466166115 0.012117781635718318 -0.0011933205357525234 0.0005464674882380301 0.0007764497435716265 -0.0016970896346326053 -0.014375877776381068 -0.018695886119113766 0.7065841282472984 0.0004461273725607317 0.000640055419135961 -0.0056653746929794845 -2.6209496147569415e-05 -2.95893898447277e-05 7.699612803096645e-05 -3.3132619273284956e-05
PC_20 -5.476866734623482e-05 -3.1160907355598156e-06 -5.62094746245106e-05 -0.0006846232778716354 4.977946981675629e-05 1.0418189769099952e-06 -6.531222351154942e-09 -1.0625448454129893e-06 6.988316081339574e-09 0.004158713885666765 -0.005291427024172004 -0.0022941638358281863 -0.011180918007044082 -0.0036494148647994887 0.0013243452879672813 0.001150405455285982 -0.003786920339637892 -0.0014019870913629456 0.013288464269779785 -0.02731016962750934 -0.0034609741429596328 0.006169917979529221 0.01274766827681569 -0.023030128467687143 -0.01882284747207798 0.00044612737256030606 0.6407262459031243 0.03745192638606055 0.0018073708248786387 -4.764116693656775e-05 -1.3160919563551394e-05 1.229829555441234e-05 -2.2108954324871594e-06
PC_21 -5.2068308462763196e-05 4.2083192044867125e-06 -3.182082853647172e-05 -0.0003113531067448519 2.6340240537986978e-05 6.77459741295237e-07 -4.129459054945576e-09 -5.91087377729711e-07 3.5741286393477702e-09 -0.0010290016235288359 -0.00023535668346122323 -0.002390258368605845 -0.0022373411085417627 0.0103583192019134 0.0005860891734849024 -0.0073103603175025 -0.002324937430575328 -0.005222680560179641 0.014029356925972073 -0.02018587261261655 -0.039077974843062364 -0.0013290449472633937 0.020128162457120357 -0.011214664891365503 -0.003954567363872247 0.0006400554191359313 0.0374519263860603 0.713830116873125 0.0022778073002062815 -5.4648898799812294e-06 1.1456703044732815e-06 -5.32186493302789e-05 4.9378567897664645e-05
PC_22 7.666174309987313e-05 -1.73832694157374e-05 -3.1355898722454496e-05 -0.0008022921042625994 5.398285781925489e-05 3.3104581407928056e-08 1.97245954774022e-09 -1.0275296730976158e-06 6.06525155328568e-09 0.006658419762913585 0.004375782094662646 0.014495345092566456 -0.006880519934924136 -0.013059983421070983 -0.012937792153371338 0.020171913899398205 -0.014549701135139754 0.023919746858636248 0.003987736108669518 -0.009449844709389652 0.008963469293335455 -0.02061014071093841 0.015624619086929433 -0.04560934564909186 0.013262501643795476 -0.005665374692979811 0.001807370824878586 0.0022778073002065876 0.7032843192989006 -1.701519872319211e-05 3.0520506429518065e-05 -0.00016640157382245819 -5.1401710903924464e-05
proband 4.018269061555664e-06 2.9683802030888594e-08 -2.413888295961146e-07 -6.097006967430212e-06 2.951848837720275e-07 2.799353245189209e-09 -3.735971008334852e-12 -4.373257724055769e-09 1.8796271419904863e-11 2.2250900093935063e-05 1.5847400530816646e-05 -2.1049879040361525e-08 -6.190668926752204e-06 -2.5129223972009183e-06 -1.8392563413441836e-06 -2.9745666881846455e-05 1.7384256745482373e-06 2.835096531704009e-06 -1.3474092699110412e-05 3.302117146883371e-05 -4.214097311691802e-05 -2.0419693663924798e-05 -3.297792461112038e-05 -2.2792656964740172e-05 -5.25643827135802e-06 -2.620949614754712e-05 -4.764116693659627e-05 -5.4648898799962854e-06 -1.701519872314057e-05 4.746975802939752e-05 2.287144359918015e-05 -4.4385689934158174e-05 -4.2523026547256634e-05
sibling 4.3637516278537775e-06 1.048723790012945e-08 -4.3454158769331384e-07 -5.8249623087857105e-06 4.0002401447453375e-07 7.636912173126986e-09 -4.084075272967598e-11 -8.130868978508938e-09 5.06703979824896e-11 2.6597923643619487e-05 2.52304967335844e-05 -2.4103421742469536e-06 4.442386323225632e-06 -1.3985389906041746e-05 -4.910817499993856e-06 -5.246182539887521e-05 -1.5315119645441373e-05 -1.3188455962411768e-05 -4.681251443317103e-06 3.588310453901603e-05 -4.218290438118326e-05 -8.526698602991727e-06 -1.1139551811799026e-05 -2.5806635460258646e-05 2.192507442529259e-06 -2.9589389844704306e-05 -1.3160919563584124e-05 1.1456703044568207e-06 3.0520506429515205e-05 2.2871443599180238e-05 5.6209580621660055e-05 -4.991914199579208e-05 -4.776385032961469e-05
paternal -5.153402324640468e-06 -2.821060124369385e-08 -1.1158395906495976e-06 -2.926716355225768e-05 1.5647908015335537e-06 1.7464202844262513e-08 -9.088080470754589e-11 -2.6162025231386612e-08 1.3966193563730453e-10 -2.3644910919713404e-05 -6.686814117981751e-05 -2.2037226281760944e-05 -2.7614900472464213e-05 4.6721446835337044e-05 -4.696491434402933e-05 1.6120204506630565e-05 1.9298764791931134e-05 7.339182338916105e-05 3.858207505799898e-05 5.7045175642215e-05 0.0001583230060504858 -4.48793342636687e-05 -2.945760782054951e-05 0.00010183989076244957 7.691596963925693e-05 7.699612803094544e-05 1.2298295554423098e-05 -5.3218649330266535e-05 -0.00016640157382243523 -4.4385689934157165e-05 -4.9919141995790696e-05 0.00015090808595970962 -1.6900284412011074e-05
maternal -6.393323250863693e-06 -2.5797295674545865e-08 1.3032374984209245e-06 3.9702811835678707e-05 -2.3164174913765654e-06 -2.2267859592200206e-08 1.229641987784607e-10 4.189331051186003e-08 -2.3985494384419134e-10 -2.778409403768546e-05 -7.695182847358066e-05 4.311046272183537e-05 2.8143644633326504e-05 6.97073312956726e-05 9.606299900499821e-05 5.479911100530046e-05 5.05447444920571e-05 1.5016136340312265e-05 4.373726956755109e-05 -6.344878574591886e-05 4.144502064473851e-05 -2.3178304268937124e-05 -6.771729754506837e-05 8.63115348770752e-06 -3.85479735157073e-05 -3.313261927332846e-05 -2.210895432412031e-06 4.9378567897695694e-05 -5.140171090384928e-05 -4.2523026547257684e-05 -4.776385032961583e-05 -1.6900284412007787e-05 0.00014568025089477588
