 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband
PC_14 -0.00012373774787328732 1.3042409821953833e-05 4.249145314632666e-06 8.848394859989036e-05 -8.502150784077863e-06 -2.5950695201064053e-08 5.082772092547182e-10 2.9929838784301543e-07 -2.1406791208558944e-09 0.006736854543536267 -0.016634759594832637 -0.0010460466799070353 0.0018372296805144038 0.010081031451793022 0.013137227871693042 -0.0051417006357824275 -0.001943572061954733 0.02523331941029815 -0.011067979827523649 0.03414412039554636 0.5767212057076594 -0.0008084340799822272 -0.0016144828318279392 0.010235034514112546 -0.0034570818158253486 -0.006545438696885982 -0.0009004661193658984 -0.04485308579065664 0.021333394196201755 4.054963569658226e-05
PC_15 -5.3924815353425944e-05 -1.0455540190682674e-05 -2.365049114781918e-05 -0.00041473935354033434 3.731709473900603e-05 5.927457553397455e-07 -5.772660816618292e-09 -1.0325859304335437e-06 8.29062271951915e-09 0.00624979249440961 -0.009261811189623556 -0.013045952613295131 -0.021935840146513782 -0.03343241659961203 0.027457014334651 -0.0013231330654327094 0.013328632782255946 0.02604409135222134 -0.02051307835991764 -0.0041661818667802384 -0.000808434079982258 0.6604376883844881 -0.007139584928445061 0.012019066862484344 0.007125292975994963 -0.0020118591945370605 0.0018195943097863959 0.0032558414220579183 -0.024460771249080398 -4.9317750821607966e-05
PC_16 -5.3937181379783455e-05 -4.817009070026818e-06 -9.81316736481937e-06 6.506318241290756e-05 -9.142302250388088e-06 1.1749603040001685e-07 -1.2252144586325554e-09 2.488696877457148e-07 -1.6448951321260515e-09 -0.004084927725822614 0.012202947595256794 0.010734749847714968 0.011863141756023475 -0.023196704043323232 -0.01783364547316337 -0.02185060121005801 0.003157382966188603 -0.0085774912945188 0.008968692111407734 -0.009702447626546585 -0.0016144828318280819 -0.007139584928444895 0.7128216313811049 0.014343770619319591 0.004336850276916694 0.013600277032640206 0.020428247201797953 0.026205059068910044 0.013138584681665502 -8.413033317968674e-05
PC_17 -8.521627099171299e-05 1.873366844436591e-05 -3.994978279033535e-06 -0.00011526750073106563 1.288174332048717e-05 3.819428708338179e-07 -2.0206290561297677e-09 -2.0465974904712986e-07 4.954743140545196e-10 -0.015663718380110887 0.008378236682856055 -0.022697378805094752 0.02518749227727637 0.02539005855289435 0.01129712539094675 -0.00865562485709358 -0.003741146185638641 0.014695908443769574 0.02920986461472234 0.025472450333188675 0.010235034514112538 0.01201906686248436 0.014343770619319575 0.7658784234742404 -0.025136764659672056 -0.016977295449238202 -0.024551631565544154 -0.01280713733336112 -0.04798250054518009 4.370596131971794e-06
PC_18 -7.824325441967347e-05 7.645049805117576e-06 2.3625885072784795e-05 0.00016532263326406377 -2.462260043732362e-05 -6.748026583238064e-07 6.298224309584662e-09 9.762450663454705e-07 -9.130073314597526e-09 -0.0013469844037115849 -0.005383582466008176 0.0044208837016083925 -0.004788273144721138 -0.0063111831929085795 0.02127701114793147 -0.0129814809867555 0.018913620465970164 -0.025991762478664072 0.02293240987250532 0.02584006860955584 -0.003457081815825302 0.007125292975994872 0.004336850276916731 -0.025136764659672024 0.7409622730125206 0.03835550934290033 -0.023187672968173704 -0.015521645180203159 0.011590014328731453 2.5062941192111998e-05
PC_19 -3.995800307873463e-05 -2.0023163066814e-06 -4.52308778258674e-05 -0.00028252167675511857 2.9629259930298297e-05 1.2231664351673836e-06 -1.0421850788925846e-08 -9.161537158719402e-07 8.32225383885786e-09 -0.0017828413655547881 0.004599769904023126 0.0033330768634117517 -5.952440455862476e-05 -0.009050950675661824 0.005544554258638073 -0.0043267199128521104 0.005682384885659498 -0.015765436641486177 0.015402578733631088 0.007895674339558192 -0.006545438696886046 -0.00201185919453688 0.013600277032640069 -0.016977295449238202 0.03835550934290024 0.7312784166691916 -0.0015522268908193867 0.01631898517143372 0.0192177797183636 -2.842892979075954e-05
PC_20 -9.631359851015588e-05 -2.2895004942884877e-06 -3.757214497918037e-05 -0.00026966731384960735 2.7550399388856922e-05 8.889265006364324e-07 -7.233483235105143e-09 -7.548755456588136e-07 6.366241462910645e-09 0.004561057872432779 -0.004995722307395678 -6.172600526550739e-05 -0.00883556481859229 -0.000167954659818797 -0.004359845617814089 -0.001046204297077369 -0.009716033413302308 -0.0005301252518311344 0.018939905183252944 -0.029513492751738916 -0.000900466119365954 0.001819594309786525 0.020428247201797763 -0.024551631565544147 -0.02318767296817376 -0.0015522268908194357 0.7491230638155505 0.04787477420231315 0.0017937894711025043 -5.088396836801974e-05
PC_21 -8.248550675355499e-05 1.1561669331480491e-05 -2.0736973271909702e-06 -6.445327713588714e-05 -1.2990156162274013e-06 -1.305172292578172e-07 3.976594861335763e-09 3.3525515441715266e-07 -5.127292995271122e-09 -0.0033725160576744 -0.0014264630347569768 -0.005053795071787938 -0.0014417471032564173 0.010546851754641498 0.00480798664519569 -0.011748996061722994 0.004487868482147582 -0.007384906970493173 0.0172194280078722 -0.01840846185633794 -0.04485308579065657 0.0032558414220578095 0.026205059068910085 -0.012807137333361125 -0.015521645180203065 0.01631898517143367 0.04787477420231308 0.8379747140423371 0.0030988610240985878 -1.2418977783346267e-05
PC_22 0.00018329175160108452 -2.5183778709956024e-05 3.1751517273223924e-05 1.9628251320729323e-05 -4.237978021283649e-06 -1.009534827901799e-06 5.89470357034114e-09 -1.166333961666257e-07 2.2177708734311864e-09 0.010876107862851073 0.009203727837793685 0.015941630344374496 -0.013123512335842634 -0.018410792701562335 -0.013881597846366599 0.025805718087451388 -0.012465300334035206 0.04400888663870748 0.008584847569338522 -0.020648194868781347 0.021333394196201783 -0.024460771249080443 0.01313858468166536 -0.04798250054518011 0.011590014328731607 0.019217779718363415 0.0017937894711023128 0.003098861024098635 0.8069756943622002 -9.04121551724825e-05
proband -1.9938380425518015e-07 -8.597031314577602e-09 3.292296649438798e-07 2.2215678191949585e-06 -2.749349877713204e-07 -8.77038398573562e-09 6.533112597815568e-11 6.5406844397169844e-09 -4.464543606316398e-11 1.5132134362451724e-05 -5.1749979743720515e-05 1.3469604204542048e-05 -1.822499096121816e-05 3.964954281402894e-05 1.9085488005157834e-05 7.906791910876313e-06 4.0427809451426966e-05 4.341218954892703e-05 3.052326215358736e-05 5.271068435105904e-05 4.054963569658309e-05 -4.931775082164557e-05 -8.413033317965996e-05 4.370596131972805e-06 2.506294119211319e-05 -2.8428929790759562e-05 -5.0883968368018436e-05 -1.2418977783347702e-05 -9.041215517249351e-05 1.4042359029389083e-05
