(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal maternal
covarPC5 -5.5581911681949e-05 -0.227534446164698 0.00127409356684455 -0.00127191025027135 0.457775762759188 -0.230271129937659 -4.54550413209364e-05 -2.93959186667502e-05 0.000167311841176175 0.00022133926339758 0.0019147257708069 1.03712559394512e-05 0.00022339726505298 -6.08259002539258e-06 -3.04992620990109e-05 -3.15431657783007e-05 -0.000115436201345828 5.24857349842547e-05 -0.000110349060945485 -5.52311638730303e-06 2.85097754549077e-05 -3.38774397590222e-05 0.000121795654382912 -5.08237671913882e-05 3.82575385978034e-05 3.66313196096586e-05 -1.45099353569939e-06 2.16516210953117e-06 -1.76478945841248e-05
covarPC6 4.57818688589243e-05 0.271307299874608 0.0103768909349909 -0.0104454799491334 -0.545895402029312 0.274653030249342 9.71338276308018e-06 -3.58217691869592e-05 1.2177388320208e-05 -0.000100129060854725 1.03712559394512e-05 0.00161615130205794 4.7184650042284e-06 -1.80690280226859e-05 3.50351787524107e-05 -7.04129023973629e-06 -4.85559908780453e-05 2.10303956755602e-05 -8.97072153351236e-05 -7.3878485976959e-06 -2.96524318082139e-05 -1.43602409849779e-05 9.4925032125465e-05 -1.3468923561446e-05 -3.08672030749277e-06 -2.29113927273576e-05 3.46060302816877e-05 1.30622195038154e-05 -1.65232273580301e-05
covarPC7 -4.56736169359652e-05 -0.379903190287893 -0.00150601721747872 0.0015264824159105 0.761567973976845 -0.381722716848624 3.90779443143942e-05 5.21793378033209e-06 6.80720344883851e-05 1.5790558082742e-05 0.00022339726505298 4.7184650042284e-06 0.00178577445177397 9.13282858583467e-05 -2.01613723137828e-05 -9.42443635556968e-06 0.000158274422762345 2.35024808399217e-05 0.000143492165566949 -3.16543648513055e-05 -6.48443202824807e-05 -6.1360603593742e-05 -1.08579819491409e-05 1.88566024651133e-05 -2.49097793672483e-05 -4.92872517932425e-05 2.98792329582821e-05 -5.63698828892935e-06 -3.1009869967541e-05
covarPC8 -4.39841527846013e-05 0.0574350053811317 0.00502595147140323 -0.00501546891571858 -0.115872249335599 0.0584543852203045 9.27492347188306e-05 1.41771224837721e-05 -3.8053954721346e-05 -0.000210861780828993 -6.08259002539258e-06 -1.80690280226859e-05 9.13282858583467e-05 0.00181170905453634 1.47424982655996e-05 5.97931289533578e-05 -0.000114223811843909 3.12048466834727e-05 -1.53991005743251e-05 1.64801494851823e-05 -6.68121919519887e-05 1.30234434282583e-05 5.53323723296999e-05 -2.53169449625311e-05 -1.28649247429277e-05 5.23260314459443e-05 1.47704642504028e-05 -1.92824310097214e-05 4.74490836791344e-05
covarPC9 -1.1558624886984e-05 -0.37637294836684 -0.000585921692500416 0.000648632354945893 0.75593958631658 -0.379637459264167 -1.60199741495473e-05 -4.27573128617492e-06 -0.000212572460764185 0.000111381355121759 -3.04992620990109e-05 3.50351787524107e-05 -2.01613723137828e-05 1.47424982655996e-05 0.00178930402640589 -3.6753358726115e-05 -5.58036797330133e-05 -2.17834281551455e-05 -6.06847014083295e-05 -3.20743543560346e-05 6.50038137471821e-06 4.1931296288268e-05 6.5288250424234e-05 -5.40899742511537e-05 -2.77008348730102e-05 -3.82505147739159e-05 -3.42250947110223e-05 6.55480128671402e-05 -1.35501710769685e-05
covarPC10 5.36471505279217e-05 0.410738647968958 0.0038705678128125 -0.00383254697137248 -0.817354864638899 0.406692639525931 2.91452969119376e-05 -2.9686497859223e-06 3.38252176804657e-05 3.29257380184328e-05 -3.15431657783007e-05 -7.04129023973629e-06 -9.42443635556968e-06 5.97931289533578e-05 -3.6753358726115e-05 0.00178351818541398 -9.6289673620368e-05 7.26945552408371e-05 -8.41315713313843e-05 -4.96305269094845e-05 -9.03389146181547e-06 -5.71392656104479e-05 1.9059391825891e-05 8.56803461478601e-05 5.46859587296103e-05 3.43622798294151e-05 6.69124502777074e-05 -4.82954230297657e-06 -3.03786525888194e-05
covarPC11 1.03634622627882e-05 0.0853190097496601 0.00528639329174886 -0.00526434456551756 -0.171725544277858 0.0864545907677187 -4.51982320164318e-05 2.4136719117306e-05 9.12504553269551e-05 3.80872810040388e-05 -0.000115436201345828 -4.85559908780453e-05 0.000158274422762345 -0.000114223811843909 -5.58036797330133e-05 -9.6289673620368e-05 0.00175602956176231 -7.94429951074489e-06 -3.27980171610131e-05 -5.7888486921453e-05 3.77502060239827e-05 1.0778127343354e-05 8.05316115844158e-05 8.7603289563111e-06 4.11083375482152e-05 7.46042313795894e-05 -5.29608461721172e-05 2.24153531245237e-05 -7.2611944469897e-06
covarPC12 4.87128459048287e-05 0.166079491230381 0.0048236961181893 -0.00484626630164671 -0.328903109858013 0.162868532295035 0.000246656981107747 -5.95053924424875e-05 3.4729584145694e-05 -0.000116958436665806 5.24857349842547e-05 2.10303956755602e-05 2.35024808399217e-05 3.12048466834727e-05 -2.17834281551455e-05 7.26945552408371e-05 -7.94429951074489e-06 0.00167316785295164 2.82412621547061e-05 -3.98834602849378e-09 -3.26393431930775e-05 -4.76040504528775e-05 -1.97787401918171e-05 3.72918134249497e-05 -4.94183279616908e-05 -5.04688197493386e-05 9.93665370871738e-06 2.82929851942997e-05 -4.54026758546739e-06
covarPC13 3.55965298057035e-05 -0.147633474453251 -0.0016646972510654 0.00169957233701694 0.298167431708816 -0.1505473445779 -8.11777293532909e-07 -1.34841057222298e-05 -0.000130863801969764 1.16876938952919e-05 -0.000110349060945485 -8.97072153351236e-05 0.000143492165566949 -1.53991005743251e-05 -6.06847014083295e-05 -8.41315713313843e-05 -3.27980171610131e-05 2.82412621547061e-05 0.00166630613809514 -6.48617419727287e-06 9.62834237243266e-05 2.47352277030063e-05 2.4762176019791e-05 -8.35528163902406e-05 3.84395963412493e-05 1.49034399140924e-05 6.83030195721355e-05 -6.47463588770031e-05 -7.80966195922973e-05
covarPC14 8.50784251146394e-05 -0.410249056873792 -0.00209191747767494 0.0019980642111991 0.817458014149099 -0.4072913489884 -0.000111020304924547 -3.72001662855487e-05 -2.96121673708407e-05 -6.7633607395319e-05 -5.52311638730303e-06 -7.3878485976959e-06 -3.16543648513055e-05 1.64801494851823e-05 -3.20743543560346e-05 -4.96305269094845e-05 -5.7888486921453e-05 -3.98834602849378e-09 -6.48617419727287e-06 0.0016945063468514 -7.17274685225612e-06 -3.01337758838366e-05 -3.06423337309506e-06 5.01483652074921e-05 3.73587602318057e-05 -2.686910776584e-05 5.33538625394846e-05 -6.19104296318028e-05 7.79536815196631e-06
covarPC15 4.44117725292829e-05 -0.364101606712106 -0.0157503024386256 0.015738980964125 0.728473218420519 -0.364406416339306 -0.000181632306545716 6.00159329464748e-06 -6.66890665701942e-06 -8.91168775419297e-07 2.85097754549077e-05 -2.96524318082139e-05 -6.48443202824807e-05 -6.68121919519887e-05 6.50038137471821e-06 -9.03389146181547e-06 3.77502060239827e-05 -3.26393431930775e-05 9.62834237243266e-05 -7.17274685225612e-06 0.00170408151634801 8.22347340397466e-05 -8.47584621680304e-05 -5.59937237508845e-05 5.22042442927618e-05 1.36038730024652e-05 -1.15408195251856e-05 9.46075293922602e-06 -2.90808460557675e-05
