(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal gpp gmp
covarPC15 -0.000164946405791628 0.301247299783848 0.00435455709093383 -0.00410396291270207 -0.595510971867654 0.294355111951805 -0.000356287300915055 1.18078462479932e-05 -4.70836992353004e-05 -3.22573910195893e-05 -1.64828423428923e-05 -8.90694116544528e-06 -5.67535525192431e-05 -5.58641568192583e-05 6.60318207874703e-06 8.16064936883335e-05 4.24477463247314e-05 -0.000125993931038266 0.000152050650688373 -3.63523935809628e-06 0.00234882423663415 8.35671962798301e-05 -0.000153716632703242 -4.4404886114401e-05 -3.9748008504343e-05 5.87417742673414e-05 -8.50308872198502e-06 -1.27728760476856e-05 0.000180744259295626 -0.000186349116389921
covarPC16 -7.02498324662972e-05 -1.75195332551605 -0.0467786706658618 0.0466490236158768 3.48228048479544 -1.73065721993455 -0.000309242933330879 -1.88057222352858e-05 1.23433527641507e-05 6.76438241904413e-05 -1.50864888437232e-05 -3.47767562169075e-05 -0.000101594709902939 3.43453310065397e-05 4.91986148631951e-05 -1.86096321832197e-05 -6.78150038554403e-06 -6.74119882754564e-05 3.30577651602878e-05 4.33009041433454e-05 8.35671962798301e-05 0.00232682966840952 -9.3400318239625e-05 1.05995954133238e-05 -0.000130211174000499 3.3231448532633e-05 -4.75299752271513e-05 -1.88771708660554e-05 -0.000140555417150115 0.000326887090494346
covarPC17 7.44297220875609e-05 -0.458694192786797 -0.0136638909649124 0.0134721601731038 0.909497176720853 -0.450853586836581 9.10485763781958e-05 4.52154296534421e-05 -0.000110264653896235 -2.13125751465613e-05 0.000157599020802636 9.30717998278056e-05 -7.02441278050321e-05 2.52463649065353e-05 6.40075268235968e-05 -2.80004972126252e-05 5.51553995568721e-05 3.40564281759891e-05 2.99165448329572e-05 -1.31319258896089e-05 -0.000153716632703242 -9.3400318239625e-05 0.00229426373803131 4.28536406424947e-05 -4.93359531632347e-05 -7.55796971022127e-06 -3.20339571915889e-05 7.24427454474139e-06 0.000106727956113762 2.71420817193851e-06
covarPC18 -4.26579679454123e-08 -1.36177541813793 -0.0202795373961648 0.0201569294270191 2.71202920834404 -1.35047043762637 4.98979657561741e-06 -2.97105110353473e-05 -0.000124050216320092 -9.46349723906228e-05 -6.90945772026663e-05 -5.65577402435028e-05 4.22948363258318e-05 -8.12124543321814e-05 -0.000124385801984565 7.29540745482832e-05 -6.97597868061414e-06 -3.07038058168532e-05 -8.40725349793882e-05 3.8135706961059e-05 -4.4404886114401e-05 1.05995954133238e-05 4.28536406424947e-05 0.00218143693327043 -1.61364390546643e-05 4.03147067141867e-05 -3.72753274163449e-05 -7.66116403113833e-05 9.38537745170156e-05 9.77900128601069e-05
covarPC19 0.000135948251057972 -0.352588481532153 -0.0134193064409105 0.0132511322255762 0.700931447579018 -0.348398887923669 0.000101008931010839 -5.57304622220296e-05 0.00012137834846991 -3.68511220866535e-05 4.22846833955916e-05 -2.06929507841723e-05 1.88824198920522e-05 -7.59402362819408e-05 -6.44107359945146e-05 9.25502948221954e-05 6.32470566189923e-05 4.20558045859416e-05 2.23196605455737e-05 1.42682169052958e-05 -3.9748008504343e-05 -0.000130211174000499 -4.93359531632347e-05 -1.61364390546643e-05 0.00223665556442263 0.000128209565780689 -1.08967037845155e-05 -1.50548048819836e-05 7.79904421002717e-05 1.49246012167162e-06
covarPC20 8.121522470096e-05 0.228085328152964 -0.0151007732551735 0.0150928016102467 -0.454867688608726 0.226774330606276 -3.71215122734662e-05 -2.5876519695963e-05 5.43634003856821e-05 -3.16348602361116e-06 -2.86839963085568e-06 -4.84384308362662e-05 -5.09551430630813e-05 9.62071811324139e-05 -8.93259724788753e-05 9.99942982160011e-06 8.90018056012491e-05 -3.35929971901356e-05 2.92500281323875e-05 -3.64384973111875e-05 5.87417742673414e-05 3.3231448532633e-05 -7.55796971022127e-06 4.03147067141867e-05 0.000128209565780689 0.00216442792676349 3.86093472678769e-05 -9.27142060915515e-05 0.000173155251610736 1.20152953904197e-05
proband -4.05491927367749e-05 0.0870780760600794 -0.00511530282712076 0.00520038910854188 -0.166431296001191 0.0793948398597302 1.07036973484832e-05 7.40444536556723e-06 -5.94281399089937e-05 7.50171606968957e-05 -3.33200219516173e-05 5.50301664738155e-06 6.29627632616869e-05 5.86266217066938e-05 -4.12665009018844e-05 3.01371263560303e-05 -2.26979106704348e-05 2.11640212759164e-05 3.29191703410692e-05 3.10303564921944e-05 -8.50308872198502e-06 -4.75299752271513e-05 -3.20339571915889e-05 -3.72753274163449e-05 -1.08967037845155e-05 3.86093472678769e-05 0.00252850210762106 -0.00143758076934795 0.00018923377755813 -5.17039143201079e-05
paternal 0.000227728199394075 0.112009996965202 -0.0264509094720101 0.0262949085077872 -0.224698562638207 0.112732216282034 0.000223265448209352 6.84021405095045e-05 -3.27588464813723e-05 -8.67508270376594e-05 4.03643884272922e-05 -2.91382111892747e-05 4.62279732886657e-05 8.30030003630782e-05 0.000139382918985579 -0.000119098142162464 2.63828851886618e-05 2.26574012397968e-05 1.20376362740763e-05 -0.000170669949047341 -1.27728760476856e-05 -1.88771708660554e-05 7.24427454474139e-06 -7.66116403113833e-05 -1.50548048819836e-05 -9.27142060915515e-05 -0.00143758076934795 0.00861416079053674 -0.00615453405305294 -0.00556727419452377
gpp -9.70791640362376e-05 0.763911590121547 0.079073432537155 -0.0788787607152553 -1.51325292719634 0.749424769226506 -1.79320894130251e-05 -0.000119693589105876 6.13972598945224e-05 -9.37629702749245e-05 -0.000221661027170831 0.000185800514501618 -0.000209427131285325 -0.000148380195924454 -7.10396260853406e-05 8.71237255748025e-05 7.01059403700918e-05 -2.24770495187462e-05 -0.0001579010708083 2.27594223787599e-06 0.000180744259295626 -0.000140555417150115 0.000106727956113762 9.38537745170156e-05 7.79904421002717e-05 0.000173155251610736 0.00018923377755813 -0.00615453405305294 0.0166717877828105 -0.00440626469296009
gmp 3.9641268518521e-06 -3.75329517240999 -0.084410539489312 0.0838680697046714 7.47583994305367 -3.72318196673268 -9.5586121776983e-05 5.12728137991811e-05 -2.23473174170288e-05 0.000204879265484619 0.000216332115625041 -4.48064064251845e-05 -2.9867053331299e-05 -0.000187522960499115 5.83545854381411e-06 0.000198681695970074 -2.29772483097876e-05 -4.32030806354874e-05 -6.59955710258675e-05 0.000314143005963756 -0.000186349116389921 0.000326887090494346 2.71420817193851e-06 9.77900128601069e-05 1.49246012167162e-06 1.20152953904197e-05 -5.17039143201079e-05 -0.00556727419452377 -0.00440626469296009 0.0160689767695352
