(Intercept) covarSEX covarYOB covarYOBsq covarSEX_YOB covarSEX_YOBsq covarPC1 covarPC2 covarPC3 covarPC4 covarPC5 covarPC6 covarPC7 covarPC8 covarPC9 covarPC10 covarPC11 covarPC12 covarPC13 covarPC14 covarPC15 covarPC16 covarPC17 covarPC18 covarPC19 covarPC20 proband paternal gpp gmp
covarPC5 -0.000430777642099453 -2.63821431694604 0.0406891035288556 -0.0403474171374129 5.26360500101537 -2.62594124742004 -0.000217799597148688 -0.000190382642108987 0.000529515678218 0.000791202332595621 0.00462014157026652 0.000108701813830307 0.000354763943596279 -0.000145136843993704 -0.000124644940238315 -9.67456965636623e-05 -0.00034534134982225 0.000151351669752674 -0.000410996947029346 0.000233575537058862 -2.26857209496098e-05 -1.93804287831761e-05 0.00018206348032168 -0.000166911197901413 0.000108601387720827 4.92208601750711e-07 6.8618682708658e-05 2.40398970812201e-05 0.000257989570743225 -0.000453610443476493
covarPC6 0.000243528363299248 0.379203555244782 -0.00770927149406273 0.00742989809351367 -0.761648115089612 0.382543248949409 2.51690500579428e-05 -8.28266382465358e-05 4.13375072311306e-05 -4.08276774535373e-05 0.000108701813830307 0.00305625686844028 -3.25383396093251e-05 7.45943560315158e-05 0.000118853314637328 6.44282467678365e-05 -9.53289626702911e-05 -7.69767444802012e-05 -7.66880545599502e-05 -5.28746236941874e-05 -2.4364837853875e-05 -8.23071045086731e-05 0.000117715444635396 -8.25279554967178e-05 -2.20913384882467e-05 -6.92654650550972e-05 3.54964746298504e-05 -0.000191257416055554 0.000113000703048811 -0.000102712881874218
covarPC7 1.18580596535394e-05 1.41306225207304 -0.00493332295330062 0.00515993367612693 -2.78791660811181 1.37525305875962 4.41722891318877e-05 -1.83707879806191e-05 0.000244023719052119 6.04397611010967e-05 0.000354763943596279 -3.25383396093251e-05 0.00327466664692476 0.000120333787458426 -8.23699650833299e-05 -2.21459995331627e-05 0.000294856263287969 5.86518376243549e-05 0.000255999332289789 -0.000119470387124183 -5.85073369250214e-05 -0.000128326332827196 -0.000158112537957742 2.69344101557887e-05 4.0345852379146e-05 -0.000133838893163148 -8.91279612488885e-05 0.000261679517594825 6.78339491840018e-05 -0.000423067937800049
covarPC8 -0.000250014904146055 -0.418156855109785 0.0572837504454808 -0.0568891310015389 0.82170402729298 -0.40361996265801 2.11770302059146e-05 0.000227920421068582 -4.07784474282828e-05 -0.000354508977862004 -0.000145136843993704 7.45943560315158e-05 0.000120333787458426 0.0035635875909903 0.000120363722288137 5.29088781756538e-05 -0.000217772416602285 -1.69517613406363e-05 5.20504179649195e-05 2.75858881650993e-05 -0.000108340035834738 8.80169930753425e-05 3.8915736486371e-05 -6.63437450746938e-05 -0.00013751460434298 0.000159880709436392 -9.16976459672253e-06 -0.000111419376115311 -1.90949793657329e-06 0.000106969499201476
covarPC9 -8.43831982011887e-05 -0.994415019706063 -0.000290149533935715 0.000426922245778102 1.99383602165552 -0.999605603632341 2.27087046375954e-05 -3.90676967263388e-05 -0.000520255843448923 0.000217574590786259 -0.000124644940238315 0.000118853314637328 -8.23699650833299e-05 0.000120363722288137 0.00329867473655204 -0.00016898349370568 -4.25987494127515e-05 -7.23838749797175e-05 -0.00011348068470725 -0.000166380991840846 -8.35708031576999e-07 4.46536087853176e-05 0.000130398035391177 -0.000176123197184983 -0.000125614051303487 -0.000122057965637108 3.04056955904487e-05 -0.000312638314118355 0.000422623070070117 0.000106784299104126
covarPC10 0.00012864757182124 0.770915923702743 -0.0302914695776909 0.0303319892053957 -1.53870250198621 0.767920962349328 -4.38287786178809e-05 8.66547710484318e-05 0.000141723931317462 0.000111320899099775 -9.67456965636623e-05 6.44282467678365e-05 -2.21459995331627e-05 5.29088781756538e-05 -0.00016898349370568 0.00365855011776554 -0.000127899753411056 3.99361535244424e-05 -9.56289784550045e-05 -0.000127654362832012 0.000157847349880577 -3.2549734070252e-05 -5.874823133681e-06 0.000101168571488131 0.000146629084030181 -2.19646339368252e-05 -5.66582747691905e-05 -0.000132475284515476 0.00045392015638706 -0.000236726065943357
covarPC11 -0.000266599577294249 1.72082194579659 0.103635774272125 -0.103056733497583 -3.43511834254366 1.71465956931238 -9.93016952329786e-05 3.61314328330149e-06 0.000194368253314296 0.000130986674955279 -0.00034534134982225 -9.53289626702911e-05 0.000294856263287969 -0.000217772416602285 -4.25987494127515e-05 -0.000127899753411056 0.00357196161784615 -9.34357052944972e-05 -3.32098051956257e-05 -9.65043679522353e-05 0.000109233225569063 -4.95620205626727e-05 0.000114147122386738 -1.79792934565804e-05 6.93276670060953e-05 0.00014557086591404 3.90285069920791e-05 0.000346335049505546 -0.000439752331710769 -0.000175246998510708
covarPC12 -0.000300249577260802 -1.00851762277039 0.0540478629933465 -0.0538584735920819 2.01775693382244 -1.00940558394309 0.000450994602362726 -8.53306082258222e-05 2.6357536374505e-05 -0.000305998929225242 0.000151351669752674 -7.69767444802012e-05 5.86518376243549e-05 -1.69517613406363e-05 -7.23838749797175e-05 3.99361535244424e-05 -9.34357052944972e-05 0.00328481653942491 5.00880374691337e-05 2.70597806159339e-05 -0.000178399591606573 -7.82165620285434e-05 6.9826388521568e-05 -3.89048758928703e-05 7.73942785166532e-05 -7.19465611467031e-05 -2.13625451251937e-05 0.000369888746687724 -0.000297993417775595 -3.82890735765363e-05
covarPC13 6.26013475108202e-05 1.06114455806749 -0.00385591396019167 0.00411859995955813 -2.09812912721562 1.0372412954791 8.04283808241904e-05 -2.11104744673213e-05 -0.000212522078833268 -3.98422332979752e-05 -0.000410996947029346 -7.66880545599502e-05 0.000255999332289789 5.20504179649195e-05 -0.00011348068470725 -9.56289784550045e-05 -3.32098051956257e-05 5.00880374691337e-05 0.00323748795629456 -0.00012123872331209 0.000157092583784668 3.83019636150277e-05 8.5301785902354e-05 -0.000167377665602224 2.21690213416501e-05 1.98629569099188e-05 5.01942491224091e-07 -0.000136414376584698 -0.000168018275188433 -0.000162676988969035
covarPC14 -0.000166836915574163 1.00350445149729 0.0372525065497868 -0.0372364001019344 -2.00671264237002 1.00336278962896 -0.000289571984670827 -0.00011169736521883 0.000159793791738397 -7.80370254783253e-05 0.000233575537058862 -5.28746236941874e-05 -0.000119470387124183 2.75858881650993e-05 -0.000166380991840846 -0.000127654362832012 -9.65043679522353e-05 2.70597806159339e-05 -0.00012123872331209 0.00336631726547787 -3.22317206935397e-05 7.3008433862819e-05 -1.73855450092531e-05 5.22916186309633e-05 4.15054243273644e-05 -2.7098912969984e-05 -3.32750345354116e-05 0.00020500679808063 -0.000585737988081638 0.000147629242444069
