 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband maternal gpm gmm
pcs.V15 -3.846815987203047e-07 4.7824858624602e-06 -1.024782050282457e-07 7.182464427842882e-10 0.00021738404296507105 -1.4724312447212976e-05 3.2378585098651317e-07 -2.3031651862137444e-09 1.9593327800342592e-07 -1.3752817618633143e-07 1.6728036982407997e-08 -4.6871174600489336e-08 4.727970559526269e-09 -8.415120392308767e-09 9.979310386487549e-08 2.0827234369206544e-08 6.393217891930098e-08 1.6861023315202693e-08 1.6692108961415569e-07 8.017591278351928e-08 4.611454323612745e-06 -6.566781680812365e-08 -4.117524655607881e-08 1.1393489762683394e-07 -2.9569307569644824e-08 -9.99685344497306e-08 -1.2955806446293667e-07 -2.0516216706614574e-08 2.929016235938728e-07 -1.565910018738493e-06 2.3961602388152497e-06 3.6511056027574e-06
pcs.V16 1.7670617364488632e-06 -6.709213170456025e-06 1.3226343811802374e-07 -8.273834025807285e-10 0.00011315466742151631 -8.8430427039563e-06 2.2148464756460902e-07 -1.7423642915084814e-09 5.2221191919154e-08 5.6307961836804806e-09 -2.8033410417896412e-08 -1.750182435639967e-08 -1.5261530103597603e-07 1.8658606730813435e-08 -2.144397205893755e-08 2.6563190395481697e-08 -1.1431373822917108e-07 -7.295946526618665e-08 1.505341708814236e-07 -4.845966306135757e-09 -6.566781680809885e-08 4.492558930913513e-06 -2.2950413510927858e-08 5.157430103270193e-08 -7.069627361898307e-08 -1.0711782730354802e-07 -9.544573065746842e-08 1.2110014376921048e-07 4.660236492904144e-07 -4.0456214812468614e-07 2.610414085131253e-06 -2.1680715978265282e-06
pcs.V17 2.6085120041328554e-06 2.5607930857372244e-06 -7.6786896388167e-08 6.864452352687225e-10 -0.0003056341413555186 2.041198455649453e-05 -4.457071707742089e-07 3.177988547681106e-09 -2.805513786244294e-08 1.3548479539261067e-07 -7.155778970091513e-08 -7.963428590258421e-08 -6.878273146860417e-08 2.239257105480294e-09 2.853521115032037e-09 1.470778522106143e-07 1.3050686513480154e-07 -5.3625225456036716e-08 -6.674973974537658e-08 1.3319273431505767e-08 -4.1175246556095284e-08 -2.295041351091032e-08 4.7874610523736085e-06 1.4625553716778285e-07 1.1504749410256536e-07 5.626066127973482e-08 6.923325092851986e-08 -1.9978588328956852e-07 1.4043406571944087e-06 1.1697097556340167e-07 -2.8001781639728237e-06 1.7096354425318991e-06
pcs.V18 -9.458575783160551e-07 3.3532877435947707e-06 -6.262641544686464e-08 3.513483890110593e-10 0.00026355588108368627 -1.7548662338595264e-05 3.7355851078762165e-07 -2.558987052373298e-09 3.771961493097316e-08 -3.4090583230534304e-08 -9.434958944306734e-08 3.527890972731167e-08 -9.764442461145551e-08 1.1182263700094271e-07 -1.8551681741696453e-08 4.874644676936986e-08 1.8339668781865508e-07 -9.808944716317353e-08 9.100806790473251e-08 -5.732629413872015e-08 1.1393489762684283e-07 5.157430103268114e-08 1.4625553716778687e-07 4.352240981941989e-06 -3.811369514713727e-08 3.5065718319029825e-08 -3.9031866345303806e-08 8.95014050068271e-09 9.067856355099794e-07 -4.292924573797865e-07 4.18106551426373e-06 -2.4869150342560966e-06
pcs.V19 -3.3583733582930107e-06 -5.040566877839409e-06 1.2952647464142096e-07 -1.0624882036697636e-09 0.00010060288398727627 -7.549747023979733e-06 1.829213262144881e-07 -1.4397543845180247e-09 -6.008049282874012e-08 1.7463023040825388e-07 1.209395203370642e-07 5.163842047837102e-09 2.079245897471806e-08 9.335905907325494e-08 -1.4678973192821657e-07 -9.27031854928716e-08 -2.4299940785785464e-08 -2.095019472298809e-08 -4.9240625912161126e-08 2.9823401211898004e-08 -2.9569307569644993e-08 -7.069627361899155e-08 1.1504749410257707e-07 -3.811369514714459e-08 4.502721128490868e-06 1.0833005051485558e-07 1.439286993683357e-07 6.119649662063785e-09 3.6540854335016575e-07 -1.4802332429512232e-06 3.375643080768574e-06 -4.494871485462947e-07
pcs.V20 -6.820129088970814e-07 6.58645823650349e-06 -1.479093066419695e-07 1.0828157347638181e-09 0.0001694032443356732 -1.1969309460578575e-05 2.7823400952427836e-07 -2.1258630492476417e-09 -7.278072000279841e-08 7.527736488716824e-08 9.521423970266714e-08 -1.1227475502940031e-08 -2.0054247329407822e-08 2.2655874480144572e-07 -7.091999567300596e-08 1.9312264138497525e-07 6.787768284518475e-08 6.440190536941117e-08 5.283091670538547e-08 -1.2901068647560274e-07 -9.99685344497416e-08 -1.0711782730357952e-07 5.626066127976397e-08 3.506571831901053e-08 1.0833005051484869e-07 4.46933723937322e-06 9.15778914431263e-08 1.6474271235503028e-08 -7.921193338482811e-07 1.2651646250287986e-06 -1.226472165461086e-06 1.386952663928763e-06
pcs.V21 -2.560815901638529e-06 -8.563006120700793e-06 2.016358895419387e-07 -1.5437261101026186e-09 3.288596152368591e-05 -3.379052551294121e-06 9.680314009275003e-08 -8.492905176948842e-10 1.3414143107593294e-07 -5.2149982352484206e-08 1.503643225125468e-07 -1.271907537054555e-07 7.484338495917301e-08 2.3744499866168984e-08 -1.3002799084136785e-07 -5.8995179110287846e-08 -9.920884479179217e-08 -1.0516787853074023e-07 2.2092181851583944e-08 -1.7483354526419567e-07 -1.2955806446293992e-07 -9.544573065747505e-08 6.923325092853347e-08 -3.9031866345313997e-08 1.43928699368333e-07 9.157789144312766e-08 4.6748538353533706e-06 8.029318453577326e-08 1.5547519594091795e-07 -1.0608392612195737e-06 7.537606526049245e-07 2.7411532722882487e-06
pcs.V22 -4.92359195217658e-06 1.913013631362191e-06 -2.619696427391938e-08 5.6591931819724883e-11 2.8304223793836627e-05 -2.6889489321304984e-06 7.772321395341644e-08 -7.107599091085924e-10 -1.369337843074046e-07 -8.477209194483032e-08 1.4325539062455245e-08 8.037362054850005e-08 5.615524766403897e-08 -2.194813778584052e-08 1.0025457435645322e-07 -5.950268372526226e-08 2.1483486082365054e-08 1.3491183014477837e-07 -8.934218950807034e-08 2.6932240694697967e-09 -2.0516216706620407e-08 1.2110014376920278e-07 -1.9978588328955677e-07 8.950140500673753e-09 6.1196496620602656e-09 1.647427123550119e-08 8.029318453577147e-08 4.763724606478936e-06 -6.075921424694214e-07 1.941409067250635e-06 -6.381394474573351e-06 3.116986375184565e-06
proband -5.3279639341613245e-06 -6.464156657567324e-05 1.3933890155118365e-06 -9.526118764320254e-09 -0.0013583384970973977 8.726623590559163e-05 -1.7494900785848813e-06 1.0704408033901953e-08 8.247263597449805e-08 -1.3584357191166147e-06 -6.382043935078596e-07 -5.878295837246585e-07 -6.275007196204e-07 3.307849896953673e-07 4.992662093388069e-07 2.5915969683790035e-07 5.013610834375116e-07 -4.27838439459245e-07 3.009999900752397e-07 -1.6934913582875122e-06 2.929016235938708e-07 4.660236492905601e-07 1.4043406571943562e-06 9.06785635510008e-07 3.6540854335014674e-07 -7.921193338483204e-07 1.5547519594087435e-07 -6.075921424694522e-07 0.00036745566533041363 -0.00020831655873914968 -1.3197229857949888e-06 3.176959521018632e-05
maternal -3.826859852478094e-05 8.573422454335826e-05 -2.010956794306601e-06 1.4813093305690938e-08 0.0013667997268703574 -0.00011450598246228025 3.061986173284902e-06 -2.537170783524976e-08 -1.620938555063957e-07 -5.444185990354187e-07 -2.7119390457110764e-06 2.006692150165645e-06 -8.772469636767003e-07 9.957781115099263e-07 4.2079919787693205e-07 -1.1430860646693739e-06 1.186206482362142e-06 -1.7543902408547107e-06 1.355962061994431e-06 2.804194900023335e-07 -1.5659100187387517e-06 -4.045621481251178e-07 1.1697097556393189e-07 -4.292924573801474e-07 -1.4802332429514356e-06 1.2651646250286876e-06 -1.060839261219661e-06 1.9414090672505906e-06 -0.0002083165587391487 0.002021020061694097 -0.0018159350041875833 -0.0011673370657148139
gpm 0.00011597537986963457 -0.0002063212572793015 3.907484155436489e-06 -2.239529776275772e-08 0.00512056064147555 -0.00036537762389776213 8.46431776632292e-06 -6.403207000723241e-08 5.568732835030975e-07 6.253027278068736e-07 3.18797242155892e-06 -8.418099996887831e-07 -2.1022133913258353e-06 9.756061867724663e-07 1.917991967952918e-06 -1.1325911819031758e-06 -1.251134136019221e-06 5.371434828619379e-06 2.565982537575839e-06 -3.362630642667607e-08 2.3961602388150126e-06 2.6104140851305746e-06 -2.800178163971836e-06 4.181065514262969e-06 3.3756430807684612e-06 -1.2264721654609746e-06 7.537606526050107e-07 -6.3813944745731276e-06 -1.3197229857914971e-06 -0.0018159350041875874 0.008679757246579219 -0.005233408177339227
gmm -7.60474595715598e-05 0.00022735659054301 -4.2901287598454435e-06 2.5067948794930945e-08 -0.0013062191018183864 0.00013147620556713054 -3.8953798170590805e-06 3.518825148843555e-08 3.1078489298243054e-06 2.72082823178449e-07 -7.09482885292638e-07 -3.441381408430362e-06 4.458156211056659e-06 -2.368087203850266e-06 -2.126664424844923e-06 1.8304150109830837e-06 -6.167066897619756e-07 2.884642079724658e-07 -1.8102429919684795e-06 -6.113784271319776e-08 3.651105602757854e-06 -2.168071597826061e-06 1.7096354425308116e-06 -2.486915034255229e-06 -4.494871485459583e-07 1.3869526639289365e-06 2.741153272288344e-06 3.116986375184527e-06 3.176959521018216e-05 -0.0011673370657148052 -0.005233408177339227 0.007517806476650751
