 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal
pcs.V15 -3.556976648442474e-08 -1.2130034290705633e-07 2.370357389403141e-09 -1.5428457685094412e-11 1.5054758205126908e-06 -1.7358377421760406e-07 5.101098532641018e-09 -4.230846474624046e-11 -2.6492473658478724e-09 -9.86598861049751e-09 1.0413309172860095e-08 1.4201481217899636e-11 -3.2532590126143212e-09 -1.3970289331095542e-09 -5.421642030636915e-09 -2.548928291119024e-08 -1.002618957578451e-08 -2.745989466984788e-09 -1.0661021365666726e-08 -4.308623508514435e-09 1.3090660786151368e-06 -5.7230871149281854e-09 -4.702707832873285e-09 1.0553480025789416e-08 8.320330598414682e-09 -1.3528101154485758e-08 -2.663584870204389e-08 -4.360340324161378e-09 2.8242892228165277e-08 4.1454159079298976e-08 3.2056327988332687e-07
pcs.V16 2.403701620090237e-08 -1.5384122130154674e-07 2.2975867492977687e-09 -8.282802426814801e-12 -2.1431093117262032e-07 -3.3624454360101204e-08 2.1836219153353335e-09 -2.370801621453421e-11 -1.679920844959953e-08 1.719981535082698e-08 1.3460608651867796e-08 7.355819766489359e-09 -4.683982067990155e-09 1.173190795863954e-08 -1.4388801635617148e-08 7.835455976760028e-09 -3.4677844936836844e-09 8.544503895197863e-09 1.265909197853197e-08 -5.779570935707217e-09 -5.723087114928126e-09 1.285278516209992e-06 1.161919520913909e-09 -4.52849553404998e-12 -1.7006743348108478e-08 -5.338043978016304e-09 -1.5708683472811694e-08 -1.5369842403772795e-08 1.9950024436854098e-07 1.3209506487335173e-07 -1.973055750406063e-07
pcs.V17 -2.0087312701725967e-08 -1.9617731524833034e-07 3.6957717743786257e-09 -2.3019239966260058e-11 -3.4640614030284187e-06 2.4059398193530215e-07 -5.6676828273495835e-09 4.3079148690237515e-11 -1.2282225802196697e-08 1.6314484674449887e-08 -1.9565410335255603e-08 -4.529021465505699e-10 -1.9750437585680523e-08 -6.171841950011872e-09 -3.166308529265046e-09 3.6347508398599204e-09 7.337101705760513e-09 -3.4143208063465566e-09 -1.7691658430656194e-08 1.514766370239125e-08 -4.7027078328728676e-09 1.1619195209141212e-09 1.3167333085852095e-06 2.551334414282811e-08 -2.5383803490047736e-10 -2.6254202999938515e-09 -9.469332628951628e-09 -2.6265117049370266e-08 -2.091249497735648e-08 2.1253436512347654e-07 1.13992644834985e-07
pcs.V18 -2.4447782577624104e-08 2.0849413009834773e-07 -3.708957527506625e-09 1.900387999361569e-11 1.0094759426965163e-06 7.019689373472028e-09 -2.2117634952171856e-09 3.0881357730377975e-11 -6.1278791640159475e-09 5.853093382541124e-09 -5.084844562723859e-09 5.213697740370177e-09 1.3585681828012327e-08 1.0986216954321544e-08 -1.9136489701451387e-08 3.6802971281775673e-09 5.56374095457689e-09 -1.638701848096519e-08 -1.1155192450072242e-08 -1.7758620470346482e-08 1.0553480025789309e-08 -4.528495534077703e-12 2.551334414282837e-08 1.2808976413582502e-06 -7.515077475544052e-09 -1.6126900931628706e-08 -1.4568873219855664e-08 -4.49351318576578e-09 -4.541903416055313e-09 2.245506073444292e-07 2.960990499944295e-07
pcs.V19 6.353169331437513e-08 2.7561695550078e-07 -7.04678043342128e-09 5.481270963149476e-11 1.519963000030024e-06 -1.964565313196826e-07 5.604424463564738e-09 -4.568296767170049e-11 5.544528861957112e-10 1.4980402056791764e-08 6.171628113188346e-09 2.1340473447991847e-09 3.731737529512587e-09 2.2155730549723615e-08 -2.205936694723646e-08 5.377314547703722e-09 1.601349857752906e-10 -1.1354951857188163e-08 -2.23231554347494e-08 -1.973347039420879e-09 8.320330598414113e-09 -1.700674334810884e-08 -2.53838034900335e-10 -7.515077475543612e-09 1.279857529299247e-06 9.987692541191741e-09 -7.6829878536266e-10 2.897859012932557e-09 4.967198448219692e-08 8.740610188569046e-09 1.3059566934381356e-07
pcs.V20 -1.1600189305073971e-08 -3.88385519151035e-07 8.64530727413599e-09 -6.022348750361254e-11 -4.487734322669315e-06 3.5932957550438935e-07 -9.105412138330322e-09 7.135738564416319e-11 -1.5165420825962022e-08 7.64588992925306e-09 9.446874213130817e-09 6.635448531980123e-09 -2.8970922390278094e-08 1.535159172566697e-08 -7.684122373904565e-09 2.0756227111308656e-08 2.0417530349933642e-09 3.3529099270581744e-09 -4.804583343242013e-09 -5.4287236455764455e-09 -1.352810115448495e-08 -5.338043978015883e-09 -2.6254202999942134e-09 -1.6126900931629265e-08 9.987692541191662e-09 1.2961272988860523e-06 1.243972198196642e-08 1.7969219948815444e-08 -2.545066933638222e-07 8.120177724844002e-08 3.8688438591231405e-07
pcs.V21 3.556952561063982e-08 1.7366934452329142e-07 -4.457300331686593e-09 3.444399314643344e-11 3.6289438222588774e-06 -3.2027430822573365e-07 8.098671348039907e-09 -6.181647942631668e-11 6.842434418716937e-09 -4.95793926253275e-09 4.346625350357498e-10 -2.7339684297264658e-08 -1.0979318006461401e-08 8.413999718764624e-09 -5.242978095036764e-09 -4.676942664640976e-09 -1.6396741991168753e-08 -2.321187215136719e-08 5.3293600137350635e-09 -6.676262354241915e-09 -2.6635848702044328e-08 -1.5708683472812044e-08 -9.46933262895196e-09 -1.4568873219855196e-08 -7.682987853622118e-10 1.2439721981965874e-08 1.289014622413189e-06 -8.529935181286743e-10 4.926591583479139e-08 -5.8153865527247595e-08 -1.6338063533824982e-07
pcs.V22 -6.728452240321869e-09 3.294297053448394e-07 -7.621145725791603e-09 5.3572408575618415e-11 3.83558375061317e-07 -4.651107873818633e-08 7.778248266413441e-10 -3.2498957450954564e-12 3.2100823766459857e-09 -7.789518550181505e-10 4.580041646378782e-09 -1.6815235190449225e-08 1.946239937571336e-09 3.3227110303019518e-09 1.3833033485786545e-08 -1.0467276568428314e-08 9.755249068852041e-09 1.9400921659469946e-08 -7.069560409500486e-10 -1.2146348640016287e-08 -4.360340324161687e-09 -1.536984240377298e-08 -2.6265117049370075e-08 -4.49351318576556e-09 2.8978590129323124e-09 1.7969219948815805e-08 -8.529935181290716e-10 1.2962221991662829e-06 -1.3500486576532092e-07 -3.32710097825684e-08 2.6921255484524923e-08
proband 1.2181801907309483e-06 1.549025794198885e-06 -2.1398798146275692e-08 5.1371543775286485e-11 1.9887994741087347e-05 -1.205383238819004e-06 1.3368769812735464e-08 5.560486505279778e-11 -6.271318168849383e-08 -2.432371854412643e-07 2.5254342932893424e-08 -1.2696277955714572e-08 1.1705101968383247e-07 -1.2824602899574868e-07 -2.9429490913847418e-08 -3.8086594016830444e-08 -1.2049818686043058e-08 5.4865355861594614e-08 4.49315843623562e-08 3.797465839809018e-08 2.8242892228159265e-08 1.9950024436853865e-07 -2.0912494977349394e-08 -4.541903416053607e-09 4.967198448218983e-08 -2.545066933638188e-07 4.926591583478275e-08 -1.3500486576532253e-07 0.00017988549028428508 -0.00011136153038723254 -9.886976921691146e-05
paternal 5.234256014769506e-07 1.4483148546369521e-06 -3.4580997021931734e-08 2.6806256359554286e-10 4.162971647152152e-05 -2.678988577623848e-06 5.317739232342036e-08 -3.535150612811368e-10 2.617196806756077e-07 -7.437624846219592e-08 -3.384232101894347e-07 -4.425559997449475e-07 -2.464636162995775e-07 1.4951128324649738e-07 5.766107444354792e-08 -2.1430807649739283e-07 2.0192348801490833e-07 -2.1335185761089292e-07 1.718151363576616e-08 -3.973617423362912e-07 4.1454159079299214e-08 1.3209506487335168e-07 2.1253436512347053e-07 2.2455060734443048e-07 8.740610188576044e-09 8.120177724843634e-08 -5.81538655272445e-08 -3.327100978256554e-08 -0.00011136153038723243 0.0002090390668540267 1.6280641471837643e-05
maternal -5.555476202882569e-07 -6.745983894408024e-06 1.3486233068576464e-07 -8.147464888636113e-10 -7.45693878818521e-05 5.538944321791538e-06 -1.1064254180910699e-07 6.462193777964735e-10 4.1334033074776333e-07 1.3014065011400569e-07 -2.9839748658951906e-07 -1.981526904532052e-07 -6.72778489762374e-08 -8.888155127725182e-08 -8.031428105931548e-08 -2.624818853767235e-07 3.355452577320776e-08 2.7953757083093874e-07 1.8838229874515081e-07 -3.4947121066385203e-07 3.205632798833378e-07 -1.9730557504060025e-07 1.13992644834982e-07 2.9609904999442214e-07 1.3059566934381555e-07 3.868843859123192e-07 -1.633806353382412e-07 2.692125548452237e-08 -9.886976921691161e-05 1.6280641471837823e-05 0.0001893526346388794
