 intercept age age2 age3 sex agesex age2sex age3sex pcs.V3 pcs.V4 pcs.V5 pcs.V6 pcs.V7 pcs.V8 pcs.V9 pcs.V10 pcs.V11 pcs.V12 pcs.V13 pcs.V14 pcs.V15 pcs.V16 pcs.V17 pcs.V18 pcs.V19 pcs.V20 pcs.V21 pcs.V22 proband paternal maternal gpp gmp gpm gmm
pcs.V15 -1.0658473691580669e-05 -4.547203994945355e-06 9.849688156691743e-08 -7.228738796622112e-10 0.0002503555224604217 -1.9254057518775766e-05 4.933611666744812e-07 -4.175471003115529e-09 4.962009420652146e-07 -5.089147899530898e-07 9.196406204013785e-08 -2.1181004345679523e-08 2.1609369999048758e-07 4.71436756783082e-08 1.0983700449678646e-07 9.516716804988604e-08 2.4711031535952967e-07 4.126690080554956e-08 4.928420208639613e-07 1.6321750192642025e-07 7.432753776975516e-06 -1.0297032883254849e-07 5.730219617543752e-08 2.5684208235607634e-07 -9.768324282263122e-08 -1.7058296288619393e-07 -3.673181198627027e-07 -1.5103128410190862e-07 1.2265582460093406e-06 8.943781119663496e-06 -1.2024298650037132e-05 -7.042006228889752e-05 5.866652789652834e-05 1.791232231126274e-05 1.1064111177268795e-05
pcs.V16 -3.6537967976178082e-06 -3.072075914805546e-05 6.985542023759255e-07 -5.290065940655233e-09 -0.0005614552789784879 4.03296761788781e-05 -9.54650879991098e-07 7.545753104716247e-09 1.7013782421824961e-07 1.4125305856949882e-07 -1.3831818194602172e-07 6.367566490048052e-08 -2.61257842564661e-07 -2.1864931325835988e-07 4.5090650800065166e-08 6.042911249030563e-08 -3.5047349000022393e-07 -3.6698502298901137e-07 2.870092503177942e-07 -2.021806738015928e-08 -1.0297032883270552e-07 7.540425489728854e-06 -1.1528691493494385e-07 2.383859853718787e-07 -3.5398313476994584e-07 -2.7601261621132245e-07 -3.5169105678070223e-07 6.467272817364026e-08 3.7614933316950494e-06 -2.611883080956083e-06 -3.9683704351738785e-06 1.8385233306440982e-06 -3.211194276067312e-06 1.7063131899903088e-05 -1.002195661207201e-05
pcs.V17 1.6493608147801655e-05 1.782849759748077e-05 -4.746375656082977e-07 4.04561367572476e-09 -0.0002761660890209755 1.7945013794985938e-05 -3.838349959557214e-07 2.606645170487469e-09 -5.745105884490299e-08 3.3592343724979243e-07 -2.5381041123723658e-08 -3.7855661193422e-07 -1.1348551491635134e-07 -2.0019370291866106e-09 1.743650362982968e-07 7.597867787772851e-07 1.3222996312119094e-07 -5.2718164479422027e-08 -3.096642095567752e-07 -2.20201287143889e-07 5.7302196175484986e-08 -1.1528691493513332e-07 7.722020928205834e-06 2.724726983432212e-07 5.637590830604981e-07 1.3181001888065396e-07 1.5637724288075873e-07 -5.529732105213956e-07 1.4216314441823251e-06 2.4332070478096967e-06 6.021581393152504e-06 -5.987551122968591e-05 5.983061352145589e-05 -1.0928718766675513e-05 4.6771797995557475e-07
pcs.V18 -2.796973947148988e-06 2.9497581067019085e-05 -6.675829451078343e-07 4.808601619875779e-09 0.0008167431982773192 -5.5552764101110075e-05 1.21495094469019e-06 -8.55629412435878e-09 6.598921261404876e-08 -6.485817206982148e-08 -3.653369107812704e-07 1.5831528152022957e-07 -1.064883630850222e-07 1.8856230711840623e-07 -1.7795179837552057e-08 -1.915203041383835e-08 5.961212207395068e-07 -3.2554073365648733e-07 2.0615402240158473e-07 -1.0549440505663555e-07 2.5684208235625486e-07 2.383859853719e-07 2.724726983429955e-07 6.609648498005392e-06 -2.401549047831071e-07 1.641532756795069e-07 -8.733910012200283e-08 2.962664576601389e-07 1.318734055856414e-06 7.564801227044261e-06 -9.085284268970423e-07 -4.51752014662806e-05 3.54329037362327e-05 1.3395575639274328e-05 -2.207824297415421e-06
pcs.V19 -2.1572219778700907e-06 -2.539133648802208e-05 5.944850131204155e-07 -4.382991636932007e-09 0.0001766154186204507 -1.4274462663385914e-05 3.8132213609508664e-07 -3.4271255259351704e-09 -1.1853495435603205e-07 4.0503218491166956e-07 2.7471151268456015e-07 -1.6448791038370177e-07 2.047378403032414e-07 2.4750755823045957e-07 -5.505417142771536e-07 3.348556902863951e-08 -2.1949183431007578e-07 1.2587603015209027e-08 -2.203480471629282e-07 -5.164669259175275e-08 -9.768324282272398e-08 -3.5398313476964006e-07 5.637590830605188e-07 -2.4015490478346963e-07 6.937029577835494e-06 4.6144363981212714e-07 1.987612508722363e-07 -8.773884581650404e-08 5.464975323851653e-07 5.123628439382712e-07 1.9916302305707472e-07 6.1305618788583385e-06 -3.828887069497251e-06 -2.7227963756858444e-06 -5.498720871199005e-06
pcs.V20 -4.6132138567799196e-06 2.6275674726898893e-05 -5.499062225677627e-07 3.730189028513816e-09 0.0006719629954624438 -4.5451857823271545e-05 9.950173435625835e-07 -7.097142866853847e-09 -2.322834447598765e-07 2.204250675536217e-07 2.1321122590979334e-07 -2.43597828965634e-08 1.4067198830634864e-07 4.0684477508256207e-07 -2.877540466269741e-07 3.8445465555168185e-07 9.917793768504572e-08 1.6638847124164252e-07 1.4078723465533073e-07 -3.2689579537930187e-07 -1.7058296288604446e-07 -2.76012616211322e-07 1.3181001888047148e-07 1.6415327567952336e-07 4.614436398124202e-07 7.042307410942255e-06 2.760911639459098e-07 1.5298779816595236e-07 -5.497994814305302e-06 4.902645762305723e-06 3.990170995262282e-06 -5.190532284332554e-05 4.929576235132988e-05 -5.788240569672192e-06 5.233449815937482e-06
pcs.V21 5.935710102177186e-05 5.473730055644602e-05 -1.4448568948632422e-06 1.2619103365912086e-08 0.0001068725132859083 -1.1886471212845318e-05 3.795804118971769e-07 -3.838329510227354e-09 3.3535507389136583e-07 -3.509737409753864e-08 2.200617596091437e-07 -2.60317560983321e-07 9.257656799604701e-08 3.0032895249553215e-08 -9.332692930413026e-08 1.0902285022862886e-07 -2.407917484228695e-07 -1.6883984979878402e-07 -2.0058181685168656e-07 -5.09347926657794e-07 -3.6731811986247763e-07 -3.5169105678092966e-07 1.56377242880553e-07 -8.733910012169963e-08 1.9876125087253546e-07 2.76091163946134e-07 7.242817627992741e-06 -3.2206435113631317e-08 -1.0409237253753847e-07 -2.2550014179865515e-06 -7.987429930165108e-06 2.8867255710668148e-05 -2.6035980437274492e-05 2.9529893466775667e-06 1.6664676570311035e-05
pcs.V22 -3.773069075512614e-05 -2.3124703175834418e-05 6.853920080692641e-07 -6.487501877372937e-09 -0.00032439733687069695 2.4876597261079387e-05 -6.281645063239576e-07 5.192106474234604e-09 -2.5031735382705913e-07 -3.0017732982807776e-07 -3.850996601302884e-08 3.086580916760794e-07 -5.294182065616399e-08 -1.9738761436316116e-07 1.2584080540549336e-07 -2.848069344801824e-07 2.677214132919667e-07 2.5151223444927073e-07 -1.005700673438715e-07 1.910299644668026e-07 -1.510312841020328e-07 6.467272817362876e-08 -5.529732105212357e-07 2.9626645766012634e-07 -8.773884581675272e-08 1.5298779816595742e-07 -3.2206435113425415e-08 7.445210594652327e-06 -4.718903845873552e-07 -1.4951502911314684e-05 -7.499142450458097e-07 3.097946514482287e-05 -9.838089140987163e-06 -2.1497224097932506e-05 2.3018485911253778e-05
proband -0.00039378943870435314 -0.0010261646272184805 2.4372087267228976e-05 -1.9059010356557607e-07 -0.015447182167880113 0.0010543729888988537 -2.349756235960994e-05 1.7158797193136872e-07 6.544527221703354e-07 -1.4136996136865878e-06 -3.3619911650045704e-06 2.531259379207897e-07 -5.964051026749107e-07 2.598931838120545e-07 2.8750359394743677e-06 4.5359322503006196e-06 -7.30430550354444e-07 -2.4087067108394765e-07 1.3732609930117048e-06 -6.96756695105806e-07 1.2265582460042786e-06 3.76149333169724e-06 1.4216314441878374e-06 1.3187340558532258e-06 5.464975323765754e-07 -5.497994814307416e-06 -1.0409237253321123e-07 -4.7189038458531506e-07 0.0011669732651635712 -0.0005894273353287681 -0.0006504496114042545 -0.0008274230276908867 0.0007330416819889747 0.00012377402625623305 3.0980411151075335e-05
paternal 0.0004425497052929441 0.0017136608027960294 -4.0550470286608596e-05 3.140493961605142e-07 0.031300709132396964 -0.002148829764269122 4.8545558878840996e-05 -3.6107367664739785e-07 -6.3959637914268325e-06 -1.0876919763871535e-05 -1.0328363731364491e-05 7.960326845645316e-06 1.8753023138030844e-05 3.5066989267169083e-06 5.124579854875855e-06 -1.4091201004312163e-05 -1.1393385826445924e-07 -1.5341454766551474e-05 -2.094264854245259e-06 -9.056976540913498e-06 8.943781119672152e-06 -2.6118830809580124e-06 2.433207047799758e-06 7.564801227047623e-06 5.123628439541275e-07 4.902645762307611e-06 -2.2550014179964055e-06 -1.4951502911316762e-05 -0.0005894273353287093 0.0063551546618218204 0.0005678731137702207 -0.01339545200109238 0.003256447427405631 -0.00028741287094192884 -8.233685131347367e-05
