 intercept AGE sex age_sex age2_sex age3_sex PC.PC1 PC.PC2 PC.PC3 PC.PC4 PC.PC5 PC.PC6 PC.PC7 PC.PC8 PC.PC9 PC.PC10 PC.PC11 PC.PC12 PC.PC13 PC.PC14 PC.PC15 PC.PC16 PC.PC17 PC.PC18 PC.PC19 PC.PC20 proband paternal maternal gpp gpm gmp gmm
PC.PC18 4.604913373640207e-06 7.305223465095226e-08 -6.174982792815943e-06 -1.5704389612728623e-05 -1.7015383451904925e-05 -5.207275923192996e-06 1.6924339936898904e-07 -1.7888120375951165e-07 -8.081160580692563e-08 -7.476384322079788e-07 -1.1172923089704768e-08 1.913011516698286e-07 2.322001421556198e-07 -1.6739469130883e-07 1.24353420055685e-08 -9.326076321320231e-07 -1.6702893392296876e-07 1.7448326507920696e-08 -2.949460993659548e-07 2.702765633030455e-07 -2.2219190494602548e-07 -1.9236443912293235e-06 -8.688418489311361e-08 1.0903835606343282e-05 1.0598829252007377e-06 1.2981143749609495e-06 -8.583880162892678e-07 1.1731105215139228e-06 -5.412512062260442e-06 6.412570338668161e-06 6.95428825952345e-06 1.2473740378726327e-05 -8.612224829905864e-06
PC.PC19 4.296344188911267e-06 1.0467071575608473e-07 1.2071034637871928e-05 -1.236441946964938e-06 -1.09423091795774e-05 -4.713003678269959e-06 4.239177592776036e-07 -3.4440798279415033e-07 -3.464503207368148e-07 3.0545774723860327e-07 4.257572331531327e-07 3.034383158841483e-07 1.28238304318243e-07 1.997202463399572e-07 7.579532525808096e-07 -1.4389047963001299e-07 1.8453636470191953e-07 7.188043212620649e-07 -5.19331088708138e-07 3.269479832873078e-07 3.4116093525959693e-07 -6.896854604622533e-07 -6.863638523701375e-07 1.0598829252007375e-06 8.80983038012418e-06 1.287776444231684e-06 2.2844635316591423e-06 5.030078679035945e-06 -2.2892420351346394e-06 9.073105678019065e-07 -2.623660076334195e-06 1.213228937773302e-07 -7.932696326917028e-06
PC.PC20 5.883577919269678e-06 -5.121566082272352e-09 7.370927057692378e-06 -6.9079378537264235e-06 -1.2118686549333563e-05 -3.6779891175455807e-06 -2.4084758711953945e-07 6.992229777284447e-08 -1.8237308232211784e-07 4.231364246029955e-07 -2.363435094179222e-08 -5.153173257952857e-07 -6.698253159761726e-08 -1.4234470444230293e-07 -2.1433100045716366e-07 1.0707402544713633e-07 1.0532799512894946e-07 -1.0416403462399795e-07 -3.2647662035381256e-07 -4.3704675647832633e-07 2.500184296602984e-07 9.731065167672961e-08 -9.083851951106982e-08 1.2981143749609466e-06 1.2877764442316814e-06 6.210607568205848e-06 -3.3889243596956005e-07 -6.416485180048465e-06 -2.3972572773582007e-06 5.710118803726822e-06 4.822015283880756e-06 3.3074450836863652e-06 1.2358019246640976e-06
proband -0.0001501612067390445 -4.500235337247208e-06 -0.00011337617388607387 -0.0003418837446524345 -0.00028279713753234765 -6.272041867169823e-05 2.358231461271305e-07 -1.0065455366708067e-06 -4.881893463219357e-07 -8.611597394563164e-07 -1.2049640877154592e-07 1.0803392189885919e-06 1.6820138415526723e-06 1.2381066544213867e-06 2.532263139535024e-07 1.850483901488911e-07 -9.929498056643542e-07 -6.349525379437924e-07 -2.9198524555293354e-07 9.960561800217443e-07 3.086625271278213e-06 -9.826242858323694e-07 6.040920948095713e-07 -8.583880162892455e-07 2.2844635316591664e-06 -3.388924359695156e-07 0.0010141733620637001 -0.0004983460039822316 -0.0004584952089966886 -6.112865388258581e-05 5.130017869185905e-05 -6.503922702570761e-05 -5.7805053191023736e-05
paternal -0.0003114496754786632 -1.024240051568394e-05 -0.0001188482214599825 -0.00013751448741565773 -0.00016319841763104976 -6.54569975591774e-05 3.185607260188141e-08 -4.4298296508207e-06 -1.993102190635608e-06 3.7469312734607024e-06 -3.263894484348394e-06 6.113362453400715e-06 3.2634863975115108e-06 -3.438018728276064e-06 3.100771765529853e-06 4.4120113290701896e-06 -1.4991506313054957e-06 1.1614383778528382e-05 1.1168132729657464e-06 2.788100066510061e-06 4.808609889926106e-08 -2.757399229283344e-06 -4.254551475316471e-06 1.1731105215138563e-06 5.0300786790360054e-06 -6.416485180048586e-06 -0.0004983460039822327 0.003305832002283355 0.00014722546080377677 -0.00210695492719847 -0.0022731746324478673 0.0001469336489282858 0.00017446017742998106
maternal -0.00024721868279323884 -6.772415447121883e-06 -2.2720541867066506e-05 -0.0001868849110021165 -0.00018207355478086195 -3.8671549546183566e-05 -1.1495687649186053e-06 8.545992792170588e-06 1.4158417148641368e-06 -6.956762160204171e-06 5.131235148577031e-06 1.934732221952225e-06 7.055360242684527e-06 -5.1234486267244604e-06 -5.065189973060817e-06 1.3359444204786392e-05 -1.820313878348502e-06 -3.043746313674567e-06 1.3801947239884647e-06 -6.205422111734989e-06 2.333155101925323e-06 -6.5990742377135275e-06 1.1078049077000635e-06 -5.4125120622604925e-06 -2.2892420351347546e-06 -2.3972572773581914e-06 -0.0004584952089966895 0.000147225460803776 0.0036786248125815113 0.0002931859746121404 -0.00012939454483677716 -0.0030970680685725597 -0.0020896106502675317
gpp 0.0006041991500571714 2.1099465889507703e-05 4.061452012226306e-05 0.00018326956873319602 0.00028523099383092015 0.00010598024283715618 1.7961751108052437e-06 2.856339445068323e-06 -2.55810333311407e-06 -8.117592109492505e-06 3.635094899598211e-06 -4.535384013682238e-06 2.93385773744002e-06 7.285945160842082e-06 -7.158945931667784e-06 -1.787137858608963e-06 1.1259773681593324e-05 -8.718698370791842e-06 6.090107617699916e-06 3.576236177023073e-06 3.884283672202911e-06 -5.45659984395754e-07 -9.331262709065525e-06 6.412570338668262e-06 9.073105678020544e-07 5.710118803727102e-06 -6.112865388258602e-05 -0.002106954927198468 0.000293185974612141 0.006243016164972096 -0.001994446760149553 -2.059904061249039e-05 -0.0002660519783975806
gpm 0.00010533633329624494 6.568247488489016e-07 -4.4451276525392216e-05 -0.00019645393668199924 -0.00018824435239606468 -3.7580190828236855e-05 4.588103584935116e-06 8.50662902656771e-06 -4.843191605308104e-06 6.661592888173081e-08 4.7040120854052635e-08 -6.555284476681616e-06 2.3113138804531506e-07 4.611875721039744e-06 5.546734796063529e-06 -9.786676241401708e-06 -8.277266303316352e-06 -3.892405290859264e-06 -7.353447456394218e-06 -1.0303117588336928e-05 2.3462561750136976e-06 2.2391176419514025e-06 1.0784691605566545e-05 6.954288259523442e-06 -2.623660076334499e-06 4.8220152838806375e-06 5.130017869186109e-05 -0.0022731746324478708 -0.00012939454483677906 -0.001994446760149549 0.006542413832643167 -0.00017499599383982017 0.00016001943390572088
gmp 0.00048573934003724034 1.1940252041943256e-05 0.00031867920831761494 0.000875245536165118 0.0009256651949395299 0.0002541202689729206 3.790709534092913e-06 -1.9769974680961247e-06 -9.585008104836386e-06 2.086760652636779e-06 1.687290086124269e-06 -3.1845750446296314e-06 -1.2143752682326836e-06 1.6239036503671671e-06 7.414071612140374e-06 -9.660732467301148e-06 4.2731896204630145e-06 1.8137750738005825e-05 6.092846255106306e-06 1.3980906709299439e-05 3.845187514676043e-06 1.066531079642612e-06 -7.314482944920747e-06 1.2473740378726349e-05 1.2132289377744685e-07 3.307445083686229e-06 -6.503922702570703e-05 0.00014693364892828562 -0.0030970680685725644 -2.0599040612490273e-05 -0.00017499599383982066 0.007107676533302129 -0.0009058845704682174
gmm 0.00022724413462576104 8.63879054234909e-06 0.00011702731296111539 0.00023379706238448242 1.38497736815329e-05 -4.804413460802513e-05 3.883208123727459e-06 -2.060982822168206e-06 -2.0070440081508273e-06 6.987658701363034e-06 -1.2582843703959362e-05 -8.116251264358713e-06 -8.065657288593563e-06 7.5865439276783285e-06 8.243732749864666e-07 -8.80604609951742e-06 -2.0639114196422397e-06 7.355262740025399e-07 -8.949308323841175e-06 -3.625318980102423e-06 -5.606878919144726e-06 9.913255461493474e-06 -3.0987139316119833e-06 -8.612224829905832e-06 -7.932696326917001e-06 1.235801924664145e-06 -5.7805053191023356e-05 0.00017446017742998111 -0.002089610650267528 -0.00026605197839757997 0.00016001943390572053 -0.0009058845704682238 0.005361012387419338
