 intercept yob age sex age_sex age2 age3 age2_sex age3_sex PC_3 PC_4 PC_5 PC_6 PC_7 PC_8 PC_9 PC_10 PC_11 PC_12 PC_13 PC_14 PC_15 PC_16 PC_17 PC_18 PC_19 PC_20 PC_21 PC_22 proband paternal maternal gpp gmp gpm gmm
PC_14 -0.004044748402528713 0.00014980497056884664 -0.0004086795922830064 0.0010354341264086503 -0.00030113158658983877 1.4601059936506995e-05 -1.3725981822555987e-07 1.1785742442717433e-05 -1.1766244268156496e-07 0.01805227888012389 -0.1247894489898658 -0.11691378118644014 0.4119416708515899 0.010369406220589654 0.11698110967050981 0.03502670294469698 -0.11824108649679611 0.36308476142895096 0.1819859981241068 0.9691075738417988 6.050462991476795 0.24195834763966015 -0.47974713002700897 0.2743111986038936 0.14764948305503092 0.011975489058043961 0.13557208297683068 -0.6277575377938455 0.3695198392714596 2.0110057150502523e-05 -7.78820775743675e-05 0.0006660275123084279 0.00016967038739876798 0.00013197818066196154 -0.0018596072202443543 0.0017489148243503597
PC_15 -0.002439015180536936 -0.00013606189217656587 -0.00048320998278472775 -0.011952814688627897 0.000982222007808363 9.715265999405315e-06 -8.380854963637167e-08 -2.2355862538034488e-05 1.5222390047585976e-07 0.1333407147864944 -0.13085069261671559 -0.09814802444423287 -0.40595691203271966 -0.36460749331770964 0.3002459347184889 -0.008713388662113642 0.22068784241329636 0.15054084880820245 -0.14450896705921062 -0.2580860206596006 0.24195834763965623 6.353971982200923 -0.019560800473911167 0.1146504901773802 0.2390731539978302 -0.09512014355631385 0.46599726689101073 -0.20377510647143438 -0.6776482191032758 -1.4975849517239196e-05 0.000620615353082856 0.00034216732457426573 -0.0003488042191647117 -0.0009445927474598382 0.0006533221417445934 5.861256234391914e-05
PC_16 -0.007233033119399541 -4.510612784514228e-05 -0.0009030017124079898 -0.011163525804406667 0.0010145999858323766 2.920673377915422e-05 -3.226647440467557e-07 -2.818415034053633e-05 2.466063005144543e-07 0.027791617964776985 0.13099551232017612 0.10334361031180178 0.17263376082458162 -0.21478717769389138 -0.21859094006966817 -0.21294335580685242 0.1509778181050974 0.0023635410623725804 0.3387136992377271 -0.08054249461253238 -0.47974713002701835 -0.019560800473906154 7.531576209489195 -0.00021146506888654234 0.028413578352342626 0.19779394135263767 0.2159045560072264 0.0022573794612702615 -0.011197250883220098 -0.0015667282338713447 0.00010409513200994502 0.0021254932326414456 0.0008492817082676424 -0.0002730244491409294 0.0006119107494440926 -0.002115695007906123
PC_17 -0.0016119266184166938 0.00013544259486146363 -0.00048188411814804107 -0.03002517657988172 0.002826378451731136 1.7339714287046277e-05 -1.7487032672688804e-07 -7.97210236429949e-05 7.022414677679858e-07 -0.2631049845891764 0.1023511172426903 -0.35693025233542175 0.30777987658209344 0.4460355328300205 0.2491356119984528 0.01728460413644664 0.21980498253786018 0.06350358105477336 0.5203048607653149 0.6949120005051599 0.2743111986038824 0.11465049017737317 -0.00021146506890992568 8.329818879047309 0.15753553919944904 0.10683535404709239 -0.4375468119979592 -0.35299374736770056 -0.37742875314182167 -0.0008263498990599408 -0.0005026835111514914 0.0001038309008427612 0.000536286812234292 -0.0001431883869622234 -0.0036606637992398724 0.0020539767825433464
PC_18 -0.0028867354230487003 9.80483264721264e-05 -0.00034403747477122895 -0.016902154623570767 0.0016310894194273276 2.22230349431824e-05 -2.72631040695367e-07 -4.97200390657254e-05 4.7307864202689033e-07 -0.07629200716923286 -0.0791249774535815 -0.05277386519974079 -0.07204565789303716 0.18335572889305843 0.5040574805206257 -0.3120498979994101 0.4532700233231349 -0.38551194263054583 0.22304264745586783 0.31865947125605976 0.14764948305502557 0.2390731539978297 0.028413578352334393 0.1575355391994616 7.237898595768826 0.24354591167066172 -0.1175366276302601 -0.4752370103614959 0.41076469960313067 -0.001675261082525404 -0.00041489774751741245 0.0026207244295092724 0.0012545984252016241 -0.0006793898375289128 -0.003081667684295964 -0.0012357475616609978
PC_19 -0.004016347574134254 -4.1552991789920676e-05 -0.0012208929148565593 -0.01377216755674185 0.0018624133205057275 4.642387062970977e-05 -5.09787533143702e-07 -6.777315253218929e-05 6.97183641707486e-07 -0.022204540776107222 0.01828759491432233 -0.026656010973258946 -0.006961322652621611 0.07528649188538951 0.08338944240991691 -0.20116602503259984 0.3172178057145574 -0.14982725065019034 0.06372748925190742 0.09225597664236074 0.011975489058035029 -0.09512014355630513 0.19779394135262754 0.10683535404713235 0.24354591167067446 7.330467895279682 0.033281159304468066 0.2409073749952184 0.3809171294616133 0.0014074644718452905 -0.0014687335579039898 0.001477579673137289 0.0013762808105531703 0.0022013438837465292 -0.00425464449800295 0.002759570898459466
PC_20 -0.004390772796496578 -7.178065600847362e-05 -0.0016187877001127575 0.014596209417741927 -0.0012602479454630775 3.594268140981482e-05 -2.585311926975739e-07 3.601563814581735e-05 -3.360244616569796e-07 0.06980603825191432 -0.06953937938548338 -0.06269420057597958 -0.14258677119279087 -0.2762546989929716 0.18971095034646154 0.10178450885694376 0.1027411438160087 0.06120587573010011 0.2295107468689433 -0.49412598344102454 0.1355720829768299 0.4659972668910255 0.2159045560072524 -0.4375468119979176 -0.11753662763022829 0.03328115930451496 8.017913734698157 0.7214205015920794 -0.12783758994064878 3.2681905173791994e-05 -0.002369535795447425 0.00028820079300404395 0.0012559997667940233 0.0023791881927411915 0.0025585276068570972 0.00021944550121409168
PC_21 0.005066019965710142 2.5360487286147526e-05 0.00038358346717023967 0.0028133442509238223 -0.00045948968287134285 -2.475046226562762e-05 3.2781456320442394e-07 1.8529750595285563e-05 -2.2430163116178316e-07 -0.08874844803984158 0.060392759149313496 -0.08981115618079037 0.13608679645572835 0.051583804172738994 0.18599713976778537 -0.3080756678520766 -0.14640765730703095 -0.6127313345407384 0.18588558076403272 -0.14090014245719684 -0.6277575377938398 -0.20377510647144223 0.002257379461266469 -0.3529937473677258 -0.47523701036150556 0.24090737499520282 0.7214205015921014 9.21791316136124 0.49728265761470286 -4.158443446839313e-05 -0.0006263368843431949 0.0014322499133053058 -0.003206571395405892 0.003568071097697003 -0.0016374133653176714 -0.0008662167272737842
PC_22 0.006271964481100611 -0.00026219861139981066 0.0016629432539802733 0.01140604402473741 -0.001162220169520935 -5.0463680305817974e-05 4.6386418352257984e-07 3.781274665574956e-05 -4.041841464890693e-07 0.18364622345736287 0.19668942072789242 0.2717025334304422 -0.25879206807439636 -0.5050723469297167 -0.1912281510644366 0.42404010775004625 -0.5859244277529445 0.48784161708545476 0.06525994806067065 -0.4552435530616137 0.36951983927147164 -0.6776482191032848 -0.011197250883222829 -0.37742875314186414 0.4107646996031115 0.38091712946159656 -0.1278375899406093 0.49728265761470103 7.963380611154089 0.0002941002216320296 0.00014664604289404775 -0.0003466832787525302 0.0008837059185356285 -0.0004381043343862771 0.0010627548645944166 -0.00037678937703606913
proband -2.2960289224053426e-05 4.6518848840424115e-07 -3.6821380679079956e-06 0.000100155995875758 -8.311941493995669e-06 1.1374870526889929e-07 -1.0092806171092053e-09 2.2880864369436725e-07 -1.9341772624036833e-09 0.00011907014004100883 5.429902855806728e-05 0.000803246193253258 -0.0002917030826600432 0.0004983918701574421 -0.0005892111826361372 0.00020020219782596705 0.0005071376387123276 0.000281563121195665 0.0006726107484463269 -0.00016250282535685184 2.0110057150805226e-05 -1.4975849517117716e-05 -0.0015667282338713588 -0.0008263498990596325 -0.0016752610825252856 0.001407464471845403 3.268190517399271e-05 -4.158443446851691e-05 0.0002941002216318777 0.00026469913496648387 -0.0001404562499674015 -0.00012857340071022871 -2.2377841085258244e-06 1.930014935764086e-05 3.8078990024953906e-06 -1.77614843419545e-05
paternal 7.682614415338435e-06 -1.8168070878948201e-06 -1.7799344842607466e-05 -0.00021438134746363098 2.4172755147191545e-05 4.844904020240519e-07 -4.342094330698156e-09 -8.18214727581944e-07 8.19041903333174e-09 0.000317431646905967 -0.0004556403898144054 -0.00038921758684700336 0.0001362208756857731 -0.00034562169623276074 -0.0002383720306781162 0.0007909715481872501 -0.00043639516656001406 0.0008602371317681366 -0.0011633143984814756 -0.001036979536272144 -7.788207757438578e-05 0.0006206153530822853 0.00010409513200960428 -0.000502683511151617 -0.00041489774751728186 -0.0014687335579036344 -0.0023695357954485645 -0.0006263368843426103 0.00014664604289399077 -0.00014045624996740405 0.0009402605929503239 4.992769128345226e-05 -0.0007758365397945143 -0.0006137725173914381 -1.4978076570472186e-05 4.103534294491362e-05
maternal -4.910023600642332e-05 -2.7759563782450674e-07 -1.9427000413234265e-06 0.00013100120038638435 -1.4130052474440619e-05 8.39590041907116e-09 3.3852828102447664e-10 4.792257528942293e-07 -5.108730744305989e-09 -0.0006487047603194732 -0.000577564774212227 0.0007035202378455782 -0.000804700728605612 -0.0007426593730889474 -0.0005122606708993118 0.0009238820607119507 -0.00043510789527248587 -0.0007216133016233834 -0.001748291698660554 8.309492648049005e-05 0.0006660275123086673 0.00034216732457411476 0.0021254932326414803 0.00010383090084284258 0.0026207244295091115 0.0014775796731367836 0.0002882007930032988 0.0014322499133043872 -0.0003466832787528218 -0.00012857340071022804 4.992769128345671e-05 0.0009098846397575633 2.5715240198989513e-05 -1.583885625745279e-05 -0.0007345311245288018 -0.0006272973283231459
gpp -3.341156280071567e-05 1.7037916159071736e-06 -2.4670224676277284e-05 -0.00037281928363651053 2.936196252513663e-05 6.85140827834679e-07 -5.576198511042598e-09 -6.597921771661683e-07 4.4942786973648994e-09 0.00013425463432558996 4.007528749179209e-05 -0.00037104966182123343 -0.00013165967393181292 0.0003752656959948365 -0.0020964320291020785 -0.0020755664837733 -4.487286112204918e-05 -0.0037711504320842417 -0.0009667755945402824 0.0006891689440398693 0.0001696703873983426 -0.0003488042191642679 0.0008492817082703747 0.0005362868122355757 0.0012545984252017527 0.0013762808105542597 0.0012559997667908756 -0.0032065713954081533 0.0008837059185357233 -2.237784108528007e-06 -0.0007758365397945121 2.5715240198984523e-05 0.003228633097982862 -0.0017406920517742564 -7.044973000781027e-06 -4.3359649819612165e-05
gmp 2.0327251265738996e-05 1.652261481947087e-06 3.901582299939838e-05 0.0004407638044664835 -4.1595493954348463e-05 -1.062769284631848e-06 9.11345441899633e-09 1.1941046657654398e-06 -1.0642889179988793e-08 0.0004504922450734678 0.0005792437303024916 0.0004805984884386331 0.0004448272883320858 -0.0016992053901404046 0.0023446490671271687 -0.0004037486086395007 0.0007725465742810639 0.0012986695461710965 0.0017838175021605129 0.0003066266300463214 0.00013197818066209508 -0.0009445927474588916 -0.00027302444914379184 -0.00014318838696268177 -0.0006793898375290755 0.0022013438837444523 0.0023791881927451857 0.003568071097697189 -0.00043810433438654783 1.930014935764474e-05 -0.0006137725173914412 -1.5838856257442608e-05 -0.0017406920517742531 0.0029030644175497946 3.6071899796683235e-05 -2.2969360042921143e-05
gpm -4.599484997674446e-05 -4.880910621062949e-07 -2.0455369359075456e-05 -0.0002637380100117082 2.6099199424063433e-05 7.371761768112556e-07 -7.638119494439995e-09 -7.874978476286907e-07 7.449213559549464e-09 0.001059616414417973 0.0012071281900039802 -0.0006522961048702417 0.0011757381012847833 -0.00012987011799074172 0.0005562055681981218 -0.0020358951606707534 -0.00023728884571117277 0.0010068398963153174 0.0020898680119698513 0.000333402130046091 -0.0018596072202451545 0.0006533221417453394 0.000611910749444428 -0.0036606637992391937 -0.003081667684295246 -0.004254644498001822 0.0025585276068574494 -0.001637413365317622 0.0010627548645943574 3.8078990024924658e-06 -1.4978076570471493e-05 -0.0007345311245288052 -7.044973000782461e-06 3.607189979668693e-05 0.0019137213170044452 -0.0005089721324838746
